"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","Male","10","5","[c]","[c]"
"In post","2022","16-19","Finance","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Finance","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Grants Management","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Legal","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","AA/AO","Female","320","300","21620","21250"
"In post","2022","16-19","No function","AA/AO","Male","280","260","21260","21250"
"In post","2022","16-19","No function","EO","Female","40","40","26410","27570"
"In post","2022","16-19","No function","EO","Male","40","40","25850","25170"
"In post","2022","16-19","No function","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Male","75","75","18320","17930"
"In post","2022","16-19","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Unknown","Male","15","15","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Unknown","Male","10","10","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Security","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Female","55","55","21820","21560"
"In post","2022","16-19","Unknown","AA/AO","Male","50","45","21670","21260"
"In post","2022","16-19","Unknown","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","Analysis","AA/AO","Female","75","75","21970","21260"
"In post","2022","20-29","Analysis","AA/AO","Male","90","90","21740","21260"
"In post","2022","20-29","Analysis","EO","Female","195","195","26960","26750"
"In post","2022","20-29","Analysis","EO","Male","210","205","27150","27530"
"In post","2022","20-29","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","G6/G7","Female","170","170","54330","53360"
"In post","2022","20-29","Analysis","G6/G7","Male","245","245","55490","54160"
"In post","2022","20-29","Analysis","SEO/HEO","Female","985","980","35090","34000"
"In post","2022","20-29","Analysis","SEO/HEO","Male","1025","1020","34910","34000"
"In post","2022","20-29","Analysis","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Male","45","45","21640","21470"
"In post","2022","20-29","Commercial","EO","Female","170","170","26240","26350"
"In post","2022","20-29","Commercial","EO","Male","115","115","26290","26590"
"In post","2022","20-29","Commercial","G6/G7","Female","95","95","57000","54700"
"In post","2022","20-29","Commercial","G6/G7","Male","65","65","58380","54700"
"In post","2022","20-29","Commercial","SEO/HEO","Female","290","285","35370","34550"
"In post","2022","20-29","Commercial","SEO/HEO","Male","265","265","35390","34550"
"In post","2022","20-29","Commercial","Unknown","Female","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","Male","15","15","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","Female","70","65","21910","21250"
"In post","2022","20-29","Communications","AA/AO","Male","50","50","21830","21250"
"In post","2022","20-29","Communications","EO","Female","595","585","26860","26820"
"In post","2022","20-29","Communications","EO","Male","605","605","26800","26820"
"In post","2022","20-29","Communications","G6/G7","Female","65","65","55280","54270"
"In post","2022","20-29","Communications","G6/G7","Male","35","35","56080","53420"
"In post","2022","20-29","Communications","SEO/HEO","Female","475","470","35590","33370"
"In post","2022","20-29","Communications","SEO/HEO","Male","325","325","35810","33370"
"In post","2022","20-29","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","Female","180","175","22390","21260"
"In post","2022","20-29","Counter Fraud","AA/AO","Male","195","195","22050","21260"
"In post","2022","20-29","Counter Fraud","EO","Female","620","610","27740","27570"
"In post","2022","20-29","Counter Fraud","EO","Male","505","500","27870","26820"
"In post","2022","20-29","Counter Fraud","G6/G7","Female","35","35","55640","55210"
"In post","2022","20-29","Counter Fraud","G6/G7","Male","30","30","56710","55210"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Female","235","230","35130","33370"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Male","230","230","35110","33370"
"In post","2022","20-29","Debt","AA/AO","Female","580","550","21400","21250"
"In post","2022","20-29","Debt","AA/AO","Male","535","525","21380","21250"
"In post","2022","20-29","Debt","EO","Female","75","75","26530","26820"
"In post","2022","20-29","Debt","EO","Male","75","75","26700","26820"
"In post","2022","20-29","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","20-29","Debt","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","AA/AO","Female","105","105","21380","21170"
"In post","2022","20-29","Digital, Data & Technology","AA/AO","Male","145","145","21040","21170"
"In post","2022","20-29","Digital, Data & Technology","EO","Female","325","320","26870","26820"
"In post","2022","20-29","Digital, Data & Technology","EO","Male","650","645","27040","26670"
"In post","2022","20-29","Digital, Data & Technology","G6/G7","Female","135","135","54190","54160"
"In post","2022","20-29","Digital, Data & Technology","G6/G7","Male","180","180","54500","54160"
"In post","2022","20-29","Digital, Data & Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","SEO/HEO","Female","725","720","35260","33520"
"In post","2022","20-29","Digital, Data & Technology","SEO/HEO","Male","950","950","35610","34110"
"In post","2022","20-29","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Unknown","Male","10","10","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","Female","130","120","21590","21250"
"In post","2022","20-29","Finance","AA/AO","Male","140","135","21590","21250"
"In post","2022","20-29","Finance","EO","Female","265","265","25770","26350"
"In post","2022","20-29","Finance","EO","Male","235","230","25500","26130"
"In post","2022","20-29","Finance","G6/G7","Female","95","95","54400","53360"
"In post","2022","20-29","Finance","G6/G7","Male","90","90","56120","54700"
"In post","2022","20-29","Finance","SEO/HEO","Female","385","380","35320","33740"
"In post","2022","20-29","Finance","SEO/HEO","Male","410","410","35610","35310"
"In post","2022","20-29","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","Male","10","10","[c]","[c]"
"In post","2022","20-29","Grants Management","AA/AO","Female","155","150","21300","21300"
"In post","2022","20-29","Grants Management","AA/AO","Male","135","130","21200","21300"
"In post","2022","20-29","Grants Management","EO","Female","40","40","24790","24920"
"In post","2022","20-29","Grants Management","EO","Male","30","30","24950","24920"
"In post","2022","20-29","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","20-29","Grants Management","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","Female","215","205","21580","21170"
"In post","2022","20-29","Human Resources","AA/AO","Male","95","95","21210","21170"
"In post","2022","20-29","Human Resources","EO","Female","350","345","26530","26820"
"In post","2022","20-29","Human Resources","EO","Male","160","160","26780","26970"
"In post","2022","20-29","Human Resources","G6/G7","Female","90","90","55420","54070"
"In post","2022","20-29","Human Resources","G6/G7","Male","50","50","54690","54220"
"In post","2022","20-29","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SEO/HEO","Female","500","495","33390","32790"
"In post","2022","20-29","Human Resources","SEO/HEO","Male","200","200","34480","33300"
"In post","2022","20-29","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","Female","5","5","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","20-29","Legal","AA/AO","Female","345","340","22480","22200"
"In post","2022","20-29","Legal","AA/AO","Male","140","140","22550","22200"
"In post","2022","20-29","Legal","EO","Female","425","420","27280","26970"
"In post","2022","20-29","Legal","EO","Male","175","175","27760","26970"
"In post","2022","20-29","Legal","G6/G7","Female","140","140","51570","50500"
"In post","2022","20-29","Legal","G6/G7","Male","85","85","53550","51250"
"In post","2022","20-29","Legal","SEO/HEO","Female","270","265","38440","38700"
"In post","2022","20-29","Legal","SEO/HEO","Male","120","120","38270","38000"
"In post","2022","20-29","No function","AA/AO","Female","10240","9850","22830","21260"
"In post","2022","20-29","No function","AA/AO","Male","8580","8480","23410","21650"
"In post","2022","20-29","No function","EO","Female","7240","7120","28040","27570"
"In post","2022","20-29","No function","EO","Male","4685","4660","28040","27570"
"In post","2022","20-29","No function","G6/G7","Female","1415","1410","54420","53380"
"In post","2022","20-29","No function","G6/G7","Male","1240","1235","54990","53870"
"In post","2022","20-29","No function","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","No function","SCS level","Male","5","5","[c]","[c]"
"In post","2022","20-29","No function","SEO/HEO","Female","6915","6870","34030","33210"
"In post","2022","20-29","No function","SEO/HEO","Male","5275","5260","34110","33370"
"In post","2022","20-29","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","No function","Unknown","Female","2875","2815","25510","24090"
"In post","2022","20-29","No function","Unknown","Male","500","490","24900","24090"
"In post","2022","20-29","Project Delivery","AA/AO","Female","70","65","21790","21300"
"In post","2022","20-29","Project Delivery","AA/AO","Male","50","50","21760","21260"
"In post","2022","20-29","Project Delivery","EO","Female","440","435","24680","25440"
"In post","2022","20-29","Project Delivery","EO","Male","635","635","24220","25500"
"In post","2022","20-29","Project Delivery","G6/G7","Female","130","130","53700","53500"
"In post","2022","20-29","Project Delivery","G6/G7","Male","100","100","55290","54160"
"In post","2022","20-29","Project Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","SEO/HEO","Female","935","925","34320","33370"
"In post","2022","20-29","Project Delivery","SEO/HEO","Male","1045","1040","33610","33080"
"In post","2022","20-29","Project Delivery","Unknown","Female","95","95","28890","28900"
"In post","2022","20-29","Project Delivery","Unknown","Male","285","285","28560","27540"
"In post","2022","20-29","Property","AA/AO","Female","160","155","21460","22010"
"In post","2022","20-29","Property","AA/AO","Male","125","125","22310","22010"
"In post","2022","20-29","Property","EO","Female","170","170","26040","26030"
"In post","2022","20-29","Property","EO","Male","185","180","26610","26030"
"In post","2022","20-29","Property","G6/G7","Female","25","25","[c]","[c]"
"In post","2022","20-29","Property","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","20-29","Property","SEO/HEO","Female","190","185","34160","33000"
"In post","2022","20-29","Property","SEO/HEO","Male","230","230","34950","33370"
"In post","2022","20-29","Property","Unknown","Female","5","5","[c]","[c]"
"In post","2022","20-29","Property","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","Security","AA/AO","Female","190","185","24050","22900"
"In post","2022","20-29","Security","AA/AO","Male","640","640","25610","25000"
"In post","2022","20-29","Security","EO","Female","140","140","27070","26670"
"In post","2022","20-29","Security","EO","Male","160","160","27820","26840"
"In post","2022","20-29","Security","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","20-29","Security","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","20-29","Security","SEO/HEO","Female","175","175","35520","34550"
"In post","2022","20-29","Security","SEO/HEO","Male","170","170","36370","36500"
"In post","2022","20-29","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Unknown","Male","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","AA/AO","Female","1670","1605","22280","21680"
"In post","2022","20-29","Unknown","AA/AO","Male","1380","1350","22300","21680"
"In post","2022","20-29","Unknown","EO","Female","2110","2080","26850","26670"
"In post","2022","20-29","Unknown","EO","Male","1565","1560","26650","25860"
"In post","2022","20-29","Unknown","G6/G7","Female","285","280","56740","57430"
"In post","2022","20-29","Unknown","G6/G7","Male","200","200","57510","57430"
"In post","2022","20-29","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","Female","1800","1785","35950","35050"
"In post","2022","20-29","Unknown","SEO/HEO","Male","1345","1340","36650","35070"
"In post","2022","20-29","Unknown","Unknown","Female","60","60","25910","28680"
"In post","2022","20-29","Unknown","Unknown","Male","320","320","28590","28980"
"In post","2022","30-39","Analysis","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","30-39","Analysis","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","30-39","Analysis","EO","Female","70","65","26890","26510"
"In post","2022","30-39","Analysis","EO","Male","65","65","26120","25330"
"In post","2022","30-39","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","G6/G7","Female","480","445","57620","55210"
"In post","2022","30-39","Analysis","G6/G7","Male","535","525","57920","55210"
"In post","2022","30-39","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","SCS level","Female","20","15","[c]","[c]"
"In post","2022","30-39","Analysis","SCS level","Male","20","20","[c]","[c]"
"In post","2022","30-39","Analysis","SEO/HEO","Female","545","510","36980","37930"
"In post","2022","30-39","Analysis","SEO/HEO","Male","590","585","36970","37010"
"In post","2022","30-39","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Commercial","AA/AO","Female","25","20","[c]","[c]"
"In post","2022","30-39","Commercial","AA/AO","Male","20","20","[c]","[c]"
"In post","2022","30-39","Commercial","EO","Female","100","90","26280","26350"
"In post","2022","30-39","Commercial","EO","Male","45","45","26700","26350"
"In post","2022","30-39","Commercial","G6/G7","Female","260","255","59430","58010"
"In post","2022","30-39","Commercial","G6/G7","Male","270","270","61250","61710"
"In post","2022","30-39","Commercial","SCS level","Female","15","15","[c]","[c]"
"In post","2022","30-39","Commercial","SCS level","Male","20","20","[c]","[c]"
"In post","2022","30-39","Commercial","SEO/HEO","Female","455","430","36790","36970"
"In post","2022","30-39","Commercial","SEO/HEO","Male","365","365","37220","37400"
"In post","2022","30-39","Commercial","Unknown","Female","25","20","[c]","[c]"
"In post","2022","30-39","Commercial","Unknown","Male","30","30","39110","38240"
"In post","2022","30-39","Communications","AA/AO","Female","40","30","21420","21250"
"In post","2022","30-39","Communications","AA/AO","Male","40","40","21480","21250"
"In post","2022","30-39","Communications","EO","Female","435","405","26780","26820"
"In post","2022","30-39","Communications","EO","Male","505","500","26750","26820"
"In post","2022","30-39","Communications","G6/G7","Female","275","265","58250","56400"
"In post","2022","30-39","Communications","G6/G7","Male","155","155","58100","56120"
"In post","2022","30-39","Communications","SCS level","Female","10","10","[c]","[c]"
"In post","2022","30-39","Communications","SCS level","Male","10","10","[c]","[c]"
"In post","2022","30-39","Communications","SEO/HEO","Female","655","630","36590","34410"
"In post","2022","30-39","Communications","SEO/HEO","Male","575","570","36150","33370"
"In post","2022","30-39","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","AA/AO","Female","190","160","22160","21260"
"In post","2022","30-39","Counter Fraud","AA/AO","Male","130","130","22200","21260"
"In post","2022","30-39","Counter Fraud","EO","Female","695","650","27650","27570"
"In post","2022","30-39","Counter Fraud","EO","Male","650","645","27830","26820"
"In post","2022","30-39","Counter Fraud","G6/G7","Female","100","95","57030","55210"
"In post","2022","30-39","Counter Fraud","G6/G7","Male","175","170","58080","55210"
"In post","2022","30-39","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Counter Fraud","SEO/HEO","Female","550","525","35250","33370"
"In post","2022","30-39","Counter Fraud","SEO/HEO","Male","675","675","35520","33370"
"In post","2022","30-39","Debt","AA/AO","Female","560","470","21340","21250"
"In post","2022","30-39","Debt","AA/AO","Male","450","440","21310","21250"
"In post","2022","30-39","Debt","EO","Female","115","105","26880","26820"
"In post","2022","30-39","Debt","EO","Male","95","95","26820","26820"
"In post","2022","30-39","Debt","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","30-39","Debt","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","30-39","Debt","SEO/HEO","Female","45","40","34180","33370"
"In post","2022","30-39","Debt","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","AA/AO","Female","85","80","21480","21250"
"In post","2022","30-39","Digital, Data & Technology","AA/AO","Male","75","75","21970","21380"
"In post","2022","30-39","Digital, Data & Technology","EO","Female","245","230","26810","26670"
"In post","2022","30-39","Digital, Data & Technology","EO","Male","450","445","27550","26820"
"In post","2022","30-39","Digital, Data & Technology","G6/G7","Female","625","605","55850","54700"
"In post","2022","30-39","Digital, Data & Technology","G6/G7","Male","945","940","57460","55210"
"In post","2022","30-39","Digital, Data & Technology","SCS level","Female","25","25","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","SCS level","Male","30","30","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","SEO/HEO","Female","1080","1035","36530","36500"
"In post","2022","30-39","Digital, Data & Technology","SEO/HEO","Male","1690","1680","37480","37110"
"In post","2022","30-39","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Digital, Data & Technology","Unknown","Male","15","15","[c]","[c]"
"In post","2022","30-39","Finance","AA/AO","Female","145","120","21540","21250"
"In post","2022","30-39","Finance","AA/AO","Male","95","90","21500","21250"
"In post","2022","30-39","Finance","EO","Female","230","210","26660","26670"
"In post","2022","30-39","Finance","EO","Male","150","150","26720","26820"
"In post","2022","30-39","Finance","G6/G7","Female","320","305","57460","55460"
"In post","2022","30-39","Finance","G6/G7","Male","345","345","58290","56240"
"In post","2022","30-39","Finance","SCS level","Female","15","15","[c]","[c]"
"In post","2022","30-39","Finance","SCS level","Male","30","30","78380","75540"
"In post","2022","30-39","Finance","SEO/HEO","Female","625","590","36660","36330"
"In post","2022","30-39","Finance","SEO/HEO","Male","540","540","37260","36740"
"In post","2022","30-39","Finance","Unknown","Female","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Grants Management","AA/AO","Female","150","130","21240","21300"
"In post","2022","30-39","Grants Management","AA/AO","Male","100","100","21300","21300"
"In post","2022","30-39","Grants Management","EO","Female","75","65","24990","24920"
"In post","2022","30-39","Grants Management","EO","Male","50","50","25060","24920"
"In post","2022","30-39","Grants Management","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","30-39","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Grants Management","SEO/HEO","Female","35","30","30860","29860"
"In post","2022","30-39","Grants Management","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","30-39","Human Resources","AA/AO","Female","230","200","21670","21220"
"In post","2022","30-39","Human Resources","AA/AO","Male","90","90","21680","21170"
"In post","2022","30-39","Human Resources","EO","Female","380","350","26720","26670"
"In post","2022","30-39","Human Resources","EO","Male","175","170","26970","26820"
"In post","2022","30-39","Human Resources","G6/G7","Female","360","345","57190","55210"
"In post","2022","30-39","Human Resources","G6/G7","Male","165","165","57110","55210"
"In post","2022","30-39","Human Resources","SCS level","Female","25","25","[c]","[c]"
"In post","2022","30-39","Human Resources","SCS level","Male","10","10","[c]","[c]"
"In post","2022","30-39","Human Resources","SEO/HEO","Female","820","785","35650","34260"
"In post","2022","30-39","Human Resources","SEO/HEO","Male","375","370","35950","35310"
"In post","2022","30-39","Human Resources","Unknown","Female","10","10","[c]","[c]"
"In post","2022","30-39","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","G6/G7","Female","20","15","[c]","[c]"
"In post","2022","30-39","Internal Audit","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","30-39","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","SEO/HEO","Female","50","50","38060","38920"
"In post","2022","30-39","Internal Audit","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","30-39","Legal","AA/AO","Female","160","140","22770","22200"
"In post","2022","30-39","Legal","AA/AO","Male","50","50","22730","22200"
"In post","2022","30-39","Legal","EO","Female","240","225","27530","27070"
"In post","2022","30-39","Legal","EO","Male","120","120","27490","26970"
"In post","2022","30-39","Legal","G6/G7","Female","1100","1035","56180","53050"
"In post","2022","30-39","Legal","G6/G7","Male","560","555","57100","53370"
"In post","2022","30-39","Legal","SCS level","Female","15","15","[c]","[c]"
"In post","2022","30-39","Legal","SCS level","Male","30","30","[c]","[c]"
"In post","2022","30-39","Legal","SEO/HEO","Female","375","350","40960","40180"
"In post","2022","30-39","Legal","SEO/HEO","Male","240","235","39170","38180"
