"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","White","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Asian","AA/AO","AA","95","85","20900","21050"
"In post","2022","20-29","Asian","AA/AO","AO","1765","1690","22250","21260"
"In post","2022","20-29","Asian","EO","EO","2535","2505","27970","27570"
"In post","2022","20-29","Asian","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","20-29","Asian","G6/G7","G7","330","330","54720","53690"
"In post","2022","20-29","Asian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SEO/HEO","HEO","1495","1485","33590","33370"
"In post","2022","20-29","Asian","SEO/HEO","SEO","515","510","40510","40230"
"In post","2022","20-29","Asian","Unknown","Unknown","165","160","25500","24090"
"In post","2022","20-29","Black","AA/AO","AA","35","35","22460","21790"
"In post","2022","20-29","Black","AA/AO","AO","485","475","24350","23720"
"In post","2022","20-29","Black","EO","EO","965","955","28750","28500"
"In post","2022","20-29","Black","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","20-29","Black","G6/G7","G7","90","90","54250","53400"
"In post","2022","20-29","Black","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SEO/HEO","HEO","470","470","33800","33570"
"In post","2022","20-29","Black","SEO/HEO","SEO","165","165","40490","40250"
"In post","2022","20-29","Black","Unknown","Unknown","145","145","26920","27060"
"In post","2022","20-29","Mixed","AA/AO","AA","35","35","20830","20890"
"In post","2022","20-29","Mixed","AA/AO","AO","595","580","23700","21980"
"In post","2022","20-29","Mixed","EO","EO","685","670","27930","27570"
"In post","2022","20-29","Mixed","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","20-29","Mixed","G6/G7","G7","180","180","54440","53420"
"In post","2022","20-29","Mixed","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SEO/HEO","HEO","605","605","33380","33370"
"In post","2022","20-29","Mixed","SEO/HEO","SEO","205","200","40740","40520"
"In post","2022","20-29","Mixed","Unknown","Unknown","110","110","25450","24090"
"In post","2022","20-29","Other ethnicity","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AA/AO","AO","110","110","24120","23140"
"In post","2022","20-29","Other ethnicity","EO","EO","175","170","28300","27680"
"In post","2022","20-29","Other ethnicity","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G6/G7","G7","35","35","54920","53380"
"In post","2022","20-29","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SEO/HEO","HEO","110","110","34020","33370"
"In post","2022","20-29","Other ethnicity","SEO/HEO","SEO","55","55","40910","40730"
"In post","2022","20-29","Other ethnicity","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","AA/AO","AA","30","30","21060","20970"
"In post","2022","20-29","Undeclared","AA/AO","AO","305","295","23620","21840"
"In post","2022","20-29","Undeclared","EO","EO","380","375","28130","27570"
"In post","2022","20-29","Undeclared","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","G6/G7","G7","95","95","54410","54220"
"In post","2022","20-29","Undeclared","SEO/HEO","HEO","320","315","32940","33080"
"In post","2022","20-29","Undeclared","SEO/HEO","SEO","170","170","40630","40140"
"In post","2022","20-29","Undeclared","Unknown","Unknown","40","40","28040","27800"
"In post","2022","20-29","Unknown","AA/AO","AA","990","955","20940","20890"
"In post","2022","20-29","Unknown","AA/AO","AO","6725","6555","23060","21680"
"In post","2022","20-29","Unknown","EO","EO","4915","4870","27230","26820"
"In post","2022","20-29","Unknown","G6/G7","G6","100","100","65820","65310"
"In post","2022","20-29","Unknown","G6/G7","G7","935","935","54730","54160"
"In post","2022","20-29","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","HEO","5025","5010","32110","32250"
"In post","2022","20-29","Unknown","SEO/HEO","SEO","1365","1360","40530","40600"
"In post","2022","20-29","Unknown","Unknown","Unknown","1205","1180","25700","24090"
"In post","2022","20-29","White","AA/AO","AA","1780","1730","20680","20890"
"In post","2022","20-29","White","AA/AO","AO","13600","13290","23180","21680"
"In post","2022","20-29","White","EO","EO","13505","13365","27120","27130"
"In post","2022","20-29","White","G6/G7","G6","220","220","65260","64700"
"In post","2022","20-29","White","G6/G7","G7","3010","2995","53850","53380"
"In post","2022","20-29","White","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","White","SEO/HEO","HEO","10705","10650","32740","33000"
"In post","2022","20-29","White","SEO/HEO","SEO","4345","4325","40130","40050"
"In post","2022","20-29","White","Unknown","Unknown","2565","2530","26080","24090"
"In post","2022","30-39","Asian","AA/AO","AA","105","90","21050","21650"
"In post","2022","30-39","Asian","AA/AO","AO","1850","1655","22550","21260"
"In post","2022","30-39","Asian","EO","EO","2790","2640","28000","27570"
"In post","2022","30-39","Asian","G6/G7","G6","255","250","68830","66090"
"In post","2022","30-39","Asian","G6/G7","G7","1060","1045","55190","54400"
"In post","2022","30-39","Asian","SCS level","SCS level","60","60","82170","75910"
"In post","2022","30-39","Asian","SEO/HEO","HEO","1760","1705","34010","33370"
"In post","2022","30-39","Asian","SEO/HEO","SEO","1115","1100","41450","40650"
"In post","2022","30-39","Asian","Unknown","Unknown","220","200","28860","27980"
"In post","2022","30-39","Black","AA/AO","AA","60","60","22700","22140"
"In post","2022","30-39","Black","AA/AO","AO","685","635","24830","23720"
"In post","2022","30-39","Black","EO","EO","1075","1035","28850","28670"
"In post","2022","30-39","Black","G6/G7","G6","45","45","67540","66230"
"In post","2022","30-39","Black","G6/G7","G7","330","325","54110","53380"
"In post","2022","30-39","Black","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","30-39","Black","SEO/HEO","HEO","680","670","34100","33900"
"In post","2022","30-39","Black","SEO/HEO","SEO","415","410","40850","40600"
"In post","2022","30-39","Black","Unknown","Unknown","235","225","29980","27980"
"In post","2022","30-39","Mixed","AA/AO","AA","35","30","21750","21050"
"In post","2022","30-39","Mixed","AA/AO","AO","425","390","23940","21840"
"In post","2022","30-39","Mixed","EO","EO","595","570","28240","27570"
"In post","2022","30-39","Mixed","G6/G7","G6","125","120","66350","65410"
"In post","2022","30-39","Mixed","G6/G7","G7","415","405","54840","54570"
"In post","2022","30-39","Mixed","SCS level","SCS level","45","45","78210","75490"
"In post","2022","30-39","Mixed","SEO/HEO","HEO","450","440","34000","33370"
"In post","2022","30-39","Mixed","SEO/HEO","SEO","365","355","41100","40590"
"In post","2022","30-39","Mixed","Unknown","Unknown","165","155","29390","28200"
"In post","2022","30-39","Other ethnicity","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","30-39","Other ethnicity","AA/AO","AO","100","95","24220","22420"
"In post","2022","30-39","Other ethnicity","EO","EO","140","135","28730","28310"
"In post","2022","30-39","Other ethnicity","G6/G7","G6","40","35","66960","65850"
"In post","2022","30-39","Other ethnicity","G6/G7","G7","105","100","54950","53900"
"In post","2022","30-39","Other ethnicity","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","30-39","Other ethnicity","SEO/HEO","HEO","120","115","34060","33670"
"In post","2022","30-39","Other ethnicity","SEO/HEO","SEO","85","85","40950","40180"
"In post","2022","30-39","Other ethnicity","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","30-39","Undeclared","AA/AO","AA","45","40","20730","20890"
"In post","2022","30-39","Undeclared","AA/AO","AO","620","570","23690","21680"
"In post","2022","30-39","Undeclared","EO","EO","855","820","28360","27570"
"In post","2022","30-39","Undeclared","G6/G7","G6","145","145","67020","66250"
"In post","2022","30-39","Undeclared","G6/G7","G7","500","495","54260","54270"
"In post","2022","30-39","Undeclared","SCS level","SCS level","30","30","77740","75000"
"In post","2022","30-39","Undeclared","SEO/HEO","HEO","615","600","33850","33300"
"In post","2022","30-39","Undeclared","SEO/HEO","SEO","525","520","41280","40520"
"In post","2022","30-39","Undeclared","Unknown","Unknown","105","100","33480","32690"
"In post","2022","30-39","Unknown","AA/AO","AA","610","565","21090","20890"
"In post","2022","30-39","Unknown","AA/AO","AO","4660","4335","23550","21680"
"In post","2022","30-39","Unknown","EO","EO","4315","4150","27900","27230"
"In post","2022","30-39","Unknown","G6/G7","G6","750","730","67400","66200"
"In post","2022","30-39","Unknown","G6/G7","G7","2310","2265","55390","54640"
"In post","2022","30-39","Unknown","SCS level","SCS level","170","165","81590","77000"
"In post","2022","30-39","Unknown","SEO/HEO","HEO","3020","2950","33520","33370"
"In post","2022","30-39","Unknown","SEO/HEO","SEO","2020","1970","40820","40520"
"In post","2022","30-39","Unknown","Unknown","Unknown","1300","1215","30470","28200"
"In post","2022","30-39","White","AA/AO","AA","1675","1545","20570","20890"
"In post","2022","30-39","White","AA/AO","AO","14485","13250","23650","21680"
"In post","2022","30-39","White","EO","EO","16880","15990","27630","27570"
"In post","2022","30-39","White","G6/G7","G6","3050","2960","66720","65610"
"In post","2022","30-39","White","G6/G7","G7","9495","9220","54080","53810"
"In post","2022","30-39","White","SCS level","SCS level","755","725","79610","75240"
"In post","2022","30-39","White","SEO/HEO","HEO","12990","12575","33300","33080"
"In post","2022","30-39","White","SEO/HEO","SEO","10330","10035","41090","40230"
"In post","2022","30-39","White","Unknown","Unknown","3285","3070","30710","30210"
"In post","2022","40-49","Asian","AA/AO","AA","130","115","21200","20890"
"In post","2022","40-49","Asian","AA/AO","AO","1930","1615","22850","21380"
"In post","2022","40-49","Asian","EO","EO","2660","2435","28310","27570"
"In post","2022","40-49","Asian","G6/G7","G6","365","350","68600","67110"
"In post","2022","40-49","Asian","G6/G7","G7","990","960","55980","55000"
"In post","2022","40-49","Asian","SCS level","SCS level","160","155","87950","82600"
"In post","2022","40-49","Asian","SEO/HEO","HEO","1390","1340","34570","34260"
"In post","2022","40-49","Asian","SEO/HEO","SEO","1105","1080","42440","41870"
"In post","2022","40-49","Asian","Unknown","Unknown","260","245","32500","30210"
"In post","2022","40-49","Black","AA/AO","AA","95","90","22540","21860"
"In post","2022","40-49","Black","AA/AO","AO","710","650","24890","23770"
"In post","2022","40-49","Black","EO","EO","1185","1125","29080","29000"
"In post","2022","40-49","Black","G6/G7","G6","75","75","68810","67410"
"In post","2022","40-49","Black","G6/G7","G7","370","365","55740","54700"
"In post","2022","40-49","Black","SCS level","SCS level","30","30","88830","80500"
"In post","2022","40-49","Black","SEO/HEO","HEO","655","645","34690","34260"
"In post","2022","40-49","Black","SEO/HEO","SEO","510","505","42140","41750"
"In post","2022","40-49","Black","Unknown","Unknown","215","210","32110","30200"
"In post","2022","40-49","Mixed","AA/AO","AA","30","30","21870","21050"
"In post","2022","40-49","Mixed","AA/AO","AO","315","280","23580","21380"
"In post","2022","40-49","Mixed","EO","EO","445","415","28230","27570"
"In post","2022","40-49","Mixed","G6/G7","G6","135","125","69080","67310"
"In post","2022","40-49","Mixed","G6/G7","G7","300","290","55500","54700"
"In post","2022","40-49","Mixed","SCS level","SCS level","60","60","84480","78500"
"In post","2022","40-49","Mixed","SEO/HEO","HEO","275","265","34820","34260"
"In post","2022","40-49","Mixed","SEO/HEO","SEO","225","220","42810","41380"
"In post","2022","40-49","Mixed","Unknown","Unknown","135","125","33190","34220"
"In post","2022","40-49","Other ethnicity","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","40-49","Other ethnicity","AA/AO","AO","105","95","24220","22200"
"In post","2022","40-49","Other ethnicity","EO","EO","165","155","28270","27570"
"In post","2022","40-49","Other ethnicity","G6/G7","G6","40","40","69290","68230"
"In post","2022","40-49","Other ethnicity","G6/G7","G7","90","90","55410","54850"
"In post","2022","40-49","Other ethnicity","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","40-49","Other ethnicity","SEO/HEO","HEO","95","95","34290","33960"
"In post","2022","40-49","Other ethnicity","SEO/HEO","SEO","90","85","42720","41310"
"In post","2022","40-49","Other ethnicity","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","AA/AO","AA","70","65","20340","20160"
"In post","2022","40-49","Undeclared","AA/AO","AO","915","830","23580","21490"
"In post","2022","40-49","Undeclared","EO","EO","1245","1175","28460","27570"
"In post","2022","40-49","Undeclared","G6/G7","G6","235","230","68750","67910"
"In post","2022","40-49","Undeclared","G6/G7","G7","625","610","55580","55210"
"In post","2022","40-49","Undeclared","SCS level","SCS level","65","65","85200","79760"
"In post","2022","40-49","Undeclared","SEO/HEO","HEO","815","790","34200","33370"
"In post","2022","40-49","Undeclared","SEO/HEO","SEO","710","695","42170","40670"
"In post","2022","40-49","Undeclared","Unknown","Unknown","150","140","34770","34680"
"In post","2022","40-49","Unknown","AA/AO","AA","485","450","20920","20890"
"In post","2022","40-49","Unknown","AA/AO","AO","3070","2800","23110","21300"
"In post","2022","40-49","Unknown","EO","EO","2745","2600","28040","27370"
"In post","2022","40-49","Unknown","G6/G7","G6","850","820","70000","67910"
"In post","2022","40-49","Unknown","G6/G7","G7","1745","1680","55860","54700"
"In post","2022","40-49","Unknown","SCS level","SCS level","400","390","94100","88390"
"In post","2022","40-49","Unknown","SEO/HEO","HEO","1760","1700","34270","33370"
"In post","2022","40-49","Unknown","SEO/HEO","SEO","1430","1385","41620","40520"
"In post","2022","40-49","Unknown","Unknown","Unknown","1170","1080","34020","32400"
"In post","2022","40-49","White","AA/AO","AA","2050","1890","20520","20560"
"In post","2022","40-49","White","AA/AO","AO","15910","14205","23300","21450"
"In post","2022","40-49","White","EO","EO","19475","18105","27790","27570"
"In post","2022","40-49","White","G6/G7","G6","4900","4695","68390","67000"
"In post","2022","40-49","White","G6/G7","G7","10670","10250","55170","54540"
"In post","2022","40-49","White","SCS level","SCS level","2225","2150","86980","80000"
"In post","2022","40-49","White","SEO/HEO","HEO","12420","11900","33850","33300"
"In post","2022","40-49","White","SEO/HEO","SEO","11365","10940","41990","40580"
"In post","2022","40-49","White","Unknown","Unknown","3595","3350","34350","34340"
"In post","2022","50-59","Asian","AA/AO","AA","185","175","21010","20890"
"In post","2022","50-59","Asian","AA/AO","AO","1430","1255","23030","21870"
"In post","2022","50-59","Asian","EO","EO","2035","1895","28900","28680"
"In post","2022","50-59","Asian","G6/G7","G6","175","170","70960","70210"
"In post","2022","50-59","Asian","G6/G7","G7","510","500","57300","56560"
"In post","2022","50-59","Asian","SCS level","SCS level","85","85","101820","99820"
"In post","2022","50-59","Asian","SEO/HEO","HEO","870","845","35430","35070"
"In post","2022","50-59","Asian","SEO/HEO","SEO","630","625","43110","41950"
"In post","2022","50-59","Asian","Unknown","Unknown","140","130","31720","28620"
"In post","2022","50-59","Black","AA/AO","AA","200","190","22860","22460"
"In post","2022","50-59","Black","AA/AO","AO","1195","1120","25020","24310"
"In post","2022","50-59","Black","EO","EO","1865","1795","29720","30000"
"In post","2022","50-59","Black","G6/G7","G6","95","95","70410","68940"
"In post","2022","50-59","Black","G6/G7","G7","395","390","57200","56560"
"In post","2022","50-59","Black","SCS level","SCS level","55","55","95670","85880"
"In post","2022","50-59","Black","SEO/HEO","HEO","765","750","35910","35560"
"In post","2022","50-59","Black","SEO/HEO","SEO","530","520","43580","42500"
"In post","2022","50-59","Black","Unknown","Unknown","405","390","33470","32090"
"In post","2022","50-59","Mixed","AA/AO","AA","45","40","21130","20890"
"In post","2022","50-59","Mixed","AA/AO","AO","350","320","24180","21900"
"In post","2022","50-59","Mixed","EO","EO","445","420","28760","27570"
"In post","2022","50-59","Mixed","G6/G7","G6","70","70","70380","69090"
"In post","2022","50-59","Mixed","G6/G7","G7","180","170","56030","55210"
"In post","2022","50-59","Mixed","SCS level","SCS level","40","40","89520","82190"
"In post","2022","50-59","Mixed","SEO/HEO","HEO","235","225","34980","34550"
"In post","2022","50-59","Mixed","SEO/HEO","SEO","185","180","43820","42270"
"In post","2022","50-59","Mixed","Unknown","Unknown","95","95","35100","34100"
"In post","2022","50-59","Other ethnicity","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","50-59","Other ethnicity","AA/AO","AO","120","115","24820","23460"
"In post","2022","50-59","Other ethnicity","EO","EO","170","165","29200","28760"
"In post","2022","50-59","Other ethnicity","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","50-59","Other ethnicity","G6/G7","G7","65","65","56970","55500"
"In post","2022","50-59","Other ethnicity","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","50-59","Other ethnicity","SEO/HEO","HEO","70","65","34870","35160"
"In post","2022","50-59","Other ethnicity","SEO/HEO","SEO","95","90","45370","43070"
"In post","2022","50-59","Other ethnicity","Unknown","Unknown","35","35","33270","32090"
"In post","2022","50-59","Undeclared","AA/AO","AA","145","135","20260","19810"
"In post","2022","50-59","Undeclared","AA/AO","AO","1645","1480","23070","21680"
"In post","2022","50-59","Undeclared","EO","EO","2245","2095","28750","27570"
"In post","2022","50-59","Undeclared","G6/G7","G6","300","295","70660","69250"
"In post","2022","50-59","Undeclared","G6/G7","G7","720","710","56560","55980"
"In post","2022","50-59","Undeclared","SCS level","SCS level","80","80","88120","82310"
"In post","2022","50-59","Undeclared","SEO/HEO","HEO","1280","1245","34880","33870"
"In post","2022","50-59","Undeclared","SEO/HEO","SEO","1040","1010","42850","41900"
"In post","2022","50-59","Undeclared","Unknown","Unknown","210","200","35020","34340"
"In post","2022","50-59","Unknown","AA/AO","AA","780","705","20960","20950"
"In post","2022","50-59","Unknown","AA/AO","AO","3210","2895","23060","21840"
"In post","2022","50-59","Unknown","EO","EO","2930","2745","29240","27570"
"In post","2022","50-59","Unknown","G6/G7","G6","665","645","71440","69280"
"In post","2022","50-59","Unknown","G6/G7","G7","1305","1280","56820","55210"
"In post","2022","50-59","Unknown","SCS level","SCS level","310","305","104630","96040"
"In post","2022","50-59","Unknown","SEO/HEO","HEO","1535","1475","35410","33890"
"In post","2022","50-59","Unknown","SEO/HEO","SEO","1200","1165","42770","41260"
"In post","2022","50-59","Unknown","Unknown","Unknown","1300","1215","35280","32690"
"In post","2022","50-59","White","AA/AO","AA","4305","4000","20510","20310"
"In post","2022","50-59","White","AA/AO","AO","24790","22130","23350","21490"
"In post","2022","50-59","White","EO","EO","28940","26795","28130","27570"
"In post","2022","50-59","White","G6/G7","G6","5040","4930","70150","68400"
"In post","2022","50-59","White","G6/G7","G7","10415","10150","56040","55210"
"In post","2022","50-59","White","SCS level","SCS level","2050","2015","94360","85430"
"In post","2022","50-59","White","SEO/HEO","HEO","16020","15420","34420","33370"
"In post","2022","50-59","White","SEO/HEO","SEO","13230","12845","42720","40980"
"In post","2022","50-59","White","Unknown","Unknown","3500","3315","33920","30210"
"In post","2022","60-64","Asian","AA/AO","AA","85","75","21320","21650"
"In post","2022","60-64","Asian","AA/AO","AO","510","425","23910","24180"
"In post","2022","60-64","Asian","EO","EO","530","445","29530","29370"
"In post","2022","60-64","Asian","G6/G7","G6","30","25","[c]","[c]"
"In post","2022","60-64","Asian","G6/G7","G7","75","65","58560","58610"
"In post","2022","60-64","Asian","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","60-64","Asian","SEO/HEO","HEO","205","185","36710","36950"
"In post","2022","60-64","Asian","SEO/HEO","SEO","120","115","44860","43810"
"In post","2022","60-64","Asian","Unknown","Unknown","40","35","32740","28200"
"In post","2022","60-64","Black","AA/AO","AA","80","75","22440","21860"
"In post","2022","60-64","Black","AA/AO","AO","400","355","24920","24310"
"In post","2022","60-64","Black","EO","EO","470","425","29800","29790"
"In post","2022","60-64","Black","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","60-64","Black","G6/G7","G7","45","45","58910","58320"
"In post","2022","60-64","Black","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","60-64","Black","SEO/HEO","HEO","160","150","35650","35200"
"In post","2022","60-64","Black","SEO/HEO","SEO","100","95","44600","43420"
"In post","2022","60-64","Black","Unknown","Unknown","145","135","32720","32090"
"In post","2022","60-64","Mixed","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","60-64","Mixed","AA/AO","AO","110","90","22720","21550"
"In post","2022","60-64","Mixed","EO","EO","100","85","28820","27570"
"In post","2022","60-64","Mixed","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","60-64","Mixed","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","60-64","Mixed","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","60-64","Mixed","SEO/HEO","HEO","55","45","35590","34890"
"In post","2022","60-64","Mixed","SEO/HEO","SEO","35","35","43630","42170"
"In post","2022","60-64","Mixed","Unknown","Unknown","40","40","33910","33950"
"In post","2022","60-64","Other ethnicity","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","60-64","Other ethnicity","AA/AO","AO","40","35","24170","23770"
"In post","2022","60-64","Other ethnicity","EO","EO","50","45","29070","28480"
"In post","2022","60-64","Other ethnicity","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","60-64","Other ethnicity","G6/G7","G7","20","15","[c]","[c]"
"In post","2022","60-64","Other ethnicity","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","60-64","Other ethnicity","SEO/HEO","HEO","30","25","35600","35190"
"In post","2022","60-64","Other ethnicity","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","60-64","Other ethnicity","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","60-64","Undeclared","AA/AO","AA","75","65","20140","19810"
"In post","2022","60-64","Undeclared","AA/AO","AO","555","455","22680","21680"
"In post","2022","60-64","Undeclared","EO","EO","660","525","28550","27570"
"In post","2022","60-64","Undeclared","G6/G7","G6","60","50","72240","72200"
"In post","2022","60-64","Undeclared","G6/G7","G7","155","135","57200","56600"
"In post","2022","60-64","Undeclared","SCS level","SCS level","20","15","[c]","[c]"
"In post","2022","60-64","Undeclared","SEO/HEO","HEO","375","315","35400","34020"
"In post","2022","60-64","Undeclared","SEO/HEO","SEO","235","200","42970","42410"
"In post","2022","60-64","Undeclared","Unknown","Unknown","65","55","35860","34490"
"In post","2022","60-64","Unknown","AA/AO","AA","340","285","20930","20950"
"In post","2022","60-64","Unknown","AA/AO","AO","1095","900","22730","21820"
"In post","2022","60-64","Unknown","EO","EO","730","590","29330","28650"
"In post","2022","60-64","Unknown","G6/G7","G6","95","85","72350","71050"
"In post","2022","60-64","Unknown","G6/G7","G7","240","225","57280","55610"
"In post","2022","60-64","Unknown","SCS level","SCS level","35","35","105240","105000"
"In post","2022","60-64","Unknown","SEO/HEO","HEO","330","285","35420","34860"
"In post","2022","60-64","Unknown","SEO/HEO","SEO","240","215","44550","43120"
"In post","2022","60-64","Unknown","Unknown","Unknown","420","375","33190","31520"
"In post","2022","60-64","White","AA/AO","AA","2385","1990","20370","19810"
"In post","2022","60-64","White","AA/AO","AO","9070","7230","22760","21380"
"In post","2022","60-64","White","EO","EO","8760","6940","28160","27570"
"In post","2022","60-64","White","G6/G7","G6","845","760","71840","70500"
"In post","2022","60-64","White","G6/G7","G7","1865","1625","57240","56130"
"In post","2022","60-64","White","SCS level","SCS level","345","320","103550","94500"
"In post","2022","60-64","White","SEO/HEO","HEO","3945","3300","34820","34130"
"In post","2022","60-64","White","SEO/HEO","SEO","2805","2415","43360","42170"
"In post","2022","60-64","White","Unknown","Unknown","1195","1030","32130","28200"
"In post","2022","65+","Asian","AA/AO","AA","65","55","21820","22460"
"In post","2022","65+","Asian","AA/AO","AO","295","225","24240","25110"
"In post","2022","65+","Asian","EO","EO","240","185","29800","30230"
"In post","2022","65+","Asian","G6/G7","G6","10","5","[c]","[c]"
"In post","2022","65+","Asian","G6/G7","G7","20","15","[c]","[c]"
"In post","2022","65+","Asian","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","65+","Asian","SEO/HEO","HEO","65","55","37020","36950"
"In post","2022","65+","Asian","SEO/HEO","SEO","45","35","47590","46200"
"In post","2022","65+","Asian","Unknown","Unknown","15","10","[c]","[c]"
"In post","2022","65+","Black","AA/AO","AA","40","35","22640","22460"
"In post","2022","65+","Black","AA/AO","AO","145","130","24570","24310"
"In post","2022","65+","Black","EO","EO","100","85","30260","30780"
"In post","2022","65+","Black","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","65+","Black","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","65+","Black","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Black","SEO/HEO","HEO","35","30","38540","37350"
"In post","2022","65+","Black","SEO/HEO","SEO","20","15","[c]","[c]"
"In post","2022","65+","Black","Unknown","Unknown","50","45","32310","31100"
"In post","2022","65+","Mixed","AA/AO","AA","10","5","[c]","[c]"
"In post","2022","65+","Mixed","AA/AO","AO","35","25","23430","21680"
"In post","2022","65+","Mixed","EO","EO","45","35","28860","27570"
"In post","2022","65+","Mixed","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","65+","Mixed","G6/G7","G7","10","5","[c]","[c]"
"In post","2022","65+","Mixed","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Mixed","SEO/HEO","HEO","15","15","[c]","[c]"
