"Status","Year","Ethnicity","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Internal Audit","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","London","Female","60","60","46010","38540"
"In post","2022","Asian","International Trade","London","Male","50","50","46100","39040"
"In post","2022","Asian","International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","Female","50","50","36300","34260"
"In post","2022","Asian","Knowledge and Information Management","London","Male","25","20","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","Female","30","30","29090","27570"
"In post","2022","Asian","Knowledge and Information Management","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","London","Female","395","365","53230","53050"
"In post","2022","Asian","Legal","London","Male","175","175","51770","52040"
"In post","2022","Asian","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Outside London","Female","285","260","44590","46400"
"In post","2022","Asian","Legal","Outside London","Male","190","185","42990","42090"
"In post","2022","Asian","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","London","Female","60","55","72010","62100"
"In post","2022","Asian","Medicine","London","Male","30","25","78470","73750"
"In post","2022","Asian","Medicine","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Outside London","Female","65","60","57970","40870"
"In post","2022","Asian","Medicine","Outside London","Male","35","35","83370","82330"
"In post","2022","Asian","Medicine","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","London","Female","3870","3450","31080","30110"
"In post","2022","Asian","Operational Delivery","London","Male","2340","2270","32160","31060"
"In post","2022","Asian","Operational Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Outside London","Female","6155","5375","25830","25040"
"In post","2022","Asian","Operational Delivery","Outside London","Male","4955","4745","27010","26590"
"In post","2022","Asian","Operational Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Overseas","Female","10","5","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Overseas","Male","10","10","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Delivery","Unknown","Female","60","55","29650","30330"
"In post","2022","Asian","Operational Delivery","Unknown","Male","30","30","29970","29810"
"In post","2022","Asian","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","London","Female","15","15","[c]","[c]"
"In post","2022","Asian","Operational Research","London","Male","20","20","[c]","[c]"
"In post","2022","Asian","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Asian","Operational Research","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Asian","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","London","Female","485","465","34990","31060"
"In post","2022","Asian","Other","London","Male","295","290","33580","31060"
"In post","2022","Asian","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","Outside London","Female","455","390","26380","24250"
"In post","2022","Asian","Other","Outside London","Male","360","345","26290","24100"
"In post","2022","Asian","Other","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Asian","Other","Overseas","Male","20","20","[c]","[c]"
"In post","2022","Asian","Other","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","Unknown","Female","45","35","25410","25110"
"In post","2022","Asian","Other","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Asian","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","London","Female","1185","1150","44750","40600"
"In post","2022","Asian","Policy","London","Male","720","715","45020","40050"
"In post","2022","Asian","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Outside London","Female","225","215","38380","36340"
"In post","2022","Asian","Policy","Outside London","Male","200","200","37920","35900"
"In post","2022","Asian","Policy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Overseas","Female","30","30","46750","40710"
"In post","2022","Asian","Policy","Overseas","Male","40","40","47660","41200"
"In post","2022","Asian","Policy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","London","Female","330","310","42310","38540"
"In post","2022","Asian","Project Delivery","London","Male","200","200","44210","41950"
"In post","2022","Asian","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Outside London","Female","200","190","37400","35190"
"In post","2022","Asian","Project Delivery","Outside London","Male","225","225","40590","39100"
"In post","2022","Asian","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","London","Female","85","80","39620","34860"
"In post","2022","Asian","Property","London","Male","80","75","39810","37840"
"In post","2022","Asian","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Outside London","Female","70","65","34370","31000"
"In post","2022","Asian","Property","Outside London","Male","90","90","38250","32890"
"In post","2022","Asian","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","London","Female","5","5","[c]","[c]"
"In post","2022","Asian","Psychology","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Asian","Psychology","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Asian","Psychology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","London","Female","130","130","40390","40070"
"In post","2022","Asian","Science and Engineering","London","Male","55","55","40130","40070"
"In post","2022","Asian","Science and Engineering","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Outside London","Female","165","155","37190","32980"
"In post","2022","Asian","Science and Engineering","Outside London","Male","245","240","36870","35110"
"In post","2022","Asian","Science and Engineering","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","London","Female","80","75","35620","32600"
"In post","2022","Asian","Security","London","Male","120","120","32770","29370"
"In post","2022","Asian","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Outside London","Female","40","40","31840","30170"
"In post","2022","Asian","Security","Outside London","Male","110","110","28600","24790"
"In post","2022","Asian","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","London","Female","20","20","[c]","[c]"
"In post","2022","Asian","Social Research","London","Male","5","5","[c]","[c]"
"In post","2022","Asian","Social Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","Outside London","Female","20","15","[c]","[c]"
"In post","2022","Asian","Social Research","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Asian","Social Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","London","Female","60","55","48610","46350"
"In post","2022","Asian","Statistics","London","Male","70","70","42750","40310"
"In post","2022","Asian","Statistics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Outside London","Female","30","25","[c]","[c]"
"In post","2022","Asian","Statistics","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Asian","Statistics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","London","Female","245","235","39460","37930"
"In post","2022","Asian","Tax","London","Male","280","270","42660","37930"
"In post","2022","Asian","Tax","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","Outside London","Female","575","540","30360","26820"
"In post","2022","Asian","Tax","Outside London","Male","870","855","31250","28920"
"In post","2022","Asian","Tax","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","London","Female","405","395","44360","40600"
"In post","2022","Asian","Unknown","London","Male","315","315","46190","40600"
"In post","2022","Asian","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Outside London","Female","325","305","32210","29660"
"In post","2022","Asian","Unknown","Outside London","Male","390","385","32880","28310"
"In post","2022","Asian","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","London","Female","70","70","39450","37760"
"In post","2022","Black","Commercial","London","Male","30","30","41670","40850"
"In post","2022","Black","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Outside London","Female","55","55","33560","31990"
"In post","2022","Black","Commercial","Outside London","Male","35","35","35550","34000"
"In post","2022","Black","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","London","Female","70","70","39050","35280"
"In post","2022","Black","Communications","London","Male","30","30","40220","38620"
"In post","2022","Black","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Black","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
