"Status","Year","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","SEO/HEO","Heterosexual / straight","60","[c]","38160","38840"
"Leaver CS","2022","Unknown","SEO/HEO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Undeclared","45","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Heterosexual / straight","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","430","[c]","36010","33270"
"Leaver Dept.","2022","London","AA/AO","Heterosexual / straight","325","[c]","23610","23780"
"Leaver Dept.","2022","London","AA/AO","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","London","AA/AO","Undeclared","40","[c]","23030","23280"
"Leaver Dept.","2022","London","AA/AO","Unknown","125","[c]","22790","22680"
"Leaver Dept.","2022","London","EO","Heterosexual / straight","1050","[c]","28620","28310"
"Leaver Dept.","2022","London","EO","LGBO","105","[c]","28630","27690"
"Leaver Dept.","2022","London","EO","Undeclared","195","[c]","27980","27520"
"Leaver Dept.","2022","London","EO","Unknown","270","[c]","28860","28650"
"Leaver Dept.","2022","London","G6/G7","Heterosexual / straight","1595","[c]","58700","55130"
"Leaver Dept.","2022","London","G6/G7","LGBO","175","[c]","57300","54700"
"Leaver Dept.","2022","London","G6/G7","Undeclared","430","[c]","59460","55590"
"Leaver Dept.","2022","London","G6/G7","Unknown","720","[c]","59430","56340"
"Leaver Dept.","2022","London","SCS level","Heterosexual / straight","325","[c]","93200","89980"
"Leaver Dept.","2022","London","SCS level","LGBO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","London","SCS level","Undeclared","80","[c]","93340","89680"
"Leaver Dept.","2022","London","SCS level","Unknown","135","[c]","102580","94870"
"Leaver Dept.","2022","London","SEO/HEO","Heterosexual / straight","2475","[c]","37100","36500"
"Leaver Dept.","2022","London","SEO/HEO","LGBO","315","[c]","36540","35420"
"Leaver Dept.","2022","London","SEO/HEO","Undeclared","565","[c]","37000","36670"
"Leaver Dept.","2022","London","SEO/HEO","Unknown","1180","[c]","35380","34260"
"Leaver Dept.","2022","London","Unknown","Heterosexual / straight","50","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Unknown","Undeclared","35","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Unknown","Unknown","55","[c]","[c]","[c]"
"Leaver Dept.","2022","Outside London","AA/AO","Heterosexual / straight","1560","[c]","21070","21260"
"Leaver Dept.","2022","Outside London","AA/AO","LGBO","120","[c]","21160","21170"
"Leaver Dept.","2022","Outside London","AA/AO","Undeclared","170","[c]","21200","21130"
"Leaver Dept.","2022","Outside London","AA/AO","Unknown","915","[c]","21090","21130"
"Leaver Dept.","2022","Outside London","EO","Heterosexual / straight","2380","[c]","26300","27570"
"Leaver Dept.","2022","Outside London","EO","LGBO","205","[c]","26580","27570"
"Leaver Dept.","2022","Outside London","EO","Undeclared","250","[c]","26240","27570"
"Leaver Dept.","2022","Outside London","EO","Unknown","685","[c]","26820","27570"
"Leaver Dept.","2022","Outside London","G6/G7","Heterosexual / straight","1035","[c]","56560","53500"
"Leaver Dept.","2022","Outside London","G6/G7","LGBO","65","[c]","56950","52610"
"Leaver Dept.","2022","Outside London","G6/G7","Undeclared","240","[c]","57060","53830"
"Leaver Dept.","2022","Outside London","G6/G7","Unknown","375","[c]","56960","52810"
"Leaver Dept.","2022","Outside London","SCS level","Heterosexual / straight","175","[c]","101380","99900"
"Leaver Dept.","2022","Outside London","SCS level","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Outside London","SCS level","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Outside London","SCS level","Unknown","55","[c]","112710","114000"
"Leaver Dept.","2022","Outside London","SEO/HEO","Heterosexual / straight","2630","[c]","34960","34850"
"Leaver Dept.","2022","Outside London","SEO/HEO","LGBO","200","[c]","34510","34020"
"Leaver Dept.","2022","Outside London","SEO/HEO","Undeclared","450","[c]","35450","35310"
"Leaver Dept.","2022","Outside London","SEO/HEO","Unknown","855","[c]","35470","35240"
"Leaver Dept.","2022","Outside London","Unknown","Heterosexual / straight","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Outside London","Unknown","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Outside London","Unknown","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Outside London","Unknown","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","G6/G7","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","G6/G7","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SEO/HEO","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Heterosexual / straight","45","[c]","21300","21840"
"Leaver Dept.","2022","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","EO","Heterosexual / straight","50","[c]","27240","27500"
"Leaver Dept.","2022","Unknown","EO","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","EO","Undeclared","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","EO","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","Heterosexual / straight","65","[c]","57940","56300"
"Leaver Dept.","2022","Unknown","G6/G7","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","Undeclared","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","G6/G7","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS level","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS level","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SCS level","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SEO/HEO","Heterosexual / straight","115","[c]","35040","33350"
"Leaver Dept.","2022","Unknown","SEO/HEO","LGBO","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SEO/HEO","Undeclared","95","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","SEO/HEO","Unknown","150","[c]","32010","32000"
"Leaver Dept.","2022","Unknown","Unknown","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","London","AA/AO","Heterosexual / straight","970","[c]","25030","24590"
"New entrant CS","2022","London","AA/AO","LGBO","95","[c]","24380","24190"
"New entrant CS","2022","London","AA/AO","Undeclared","85","[c]","23470","23310"
"New entrant CS","2022","London","AA/AO","Unknown","745","[c]","25760","25110"
"New entrant CS","2022","London","EO","Heterosexual / straight","2095","[c]","29000","28700"
"New entrant CS","2022","London","EO","LGBO","240","[c]","28460","27850"
"New entrant CS","2022","London","EO","Undeclared","305","[c]","28130","27270"
"New entrant CS","2022","London","EO","Unknown","1135","[c]","28910","28650"
"New entrant CS","2022","London","G6/G7","Heterosexual / straight","1015","[c]","57560","54700"
"New entrant CS","2022","London","G6/G7","LGBO","110","[c]","57710","54700"
"New entrant CS","2022","London","G6/G7","Undeclared","155","[c]","57500","54270"
"New entrant CS","2022","London","G6/G7","Unknown","495","[c]","60450","58000"
"New entrant CS","2022","London","SCS level","Heterosexual / straight","100","[c]","102020","94310"
"New entrant CS","2022","London","SCS level","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2022","London","SCS level","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2022","London","SCS level","Unknown","70","[c]","99890","84780"
"New entrant CS","2022","London","SEO/HEO","Heterosexual / straight","2620","[c]","36690","35370"
"New entrant CS","2022","London","SEO/HEO","LGBO","390","[c]","36090","34550"
"New entrant CS","2022","London","SEO/HEO","Undeclared","440","[c]","36100","34380"
"New entrant CS","2022","London","SEO/HEO","Unknown","1575","[c]","34610","34260"
"New entrant CS","2022","London","Unknown","Heterosexual / straight","660","[c]","34110","30240"
"New entrant CS","2022","London","Unknown","LGBO","50","[c]","36640","27060"
"New entrant CS","2022","London","Unknown","Undeclared","75","[c]","37120","33700"
"New entrant CS","2022","London","Unknown","Unknown","300","[c]","33510","32090"
"New entrant CS","2022","Outside London","AA/AO","Heterosexual / straight","12205","[c]","21830","21260"
"New entrant CS","2022","Outside London","AA/AO","LGBO","1385","[c]","21760","21260"
"New entrant CS","2022","Outside London","AA/AO","Undeclared","710","[c]","21650","21260"
"New entrant CS","2022","Outside London","AA/AO","Unknown","7795","[c]","21690","21250"
"New entrant CS","2022","Outside London","EO","Heterosexual / straight","7470","[c]","26750","27230"
"New entrant CS","2022","Outside London","EO","LGBO","810","[c]","26580","27230"
"New entrant CS","2022","Outside London","EO","Undeclared","485","[c]","26370","26590"
"New entrant CS","2022","Outside London","EO","Unknown","3560","[c]","26320","26590"
"New entrant CS","2022","Outside London","G6/G7","Heterosexual / straight","1715","[c]","55020","52080"
"New entrant CS","2022","Outside London","G6/G7","LGBO","115","[c]","54720","50210"
"New entrant CS","2022","Outside London","G6/G7","Undeclared","180","[c]","53820","50430"
"New entrant CS","2022","Outside London","G6/G7","Unknown","715","[c]","57900","54550"
"New entrant CS","2022","Outside London","SCS level","Heterosexual / straight","95","[c]","88430","81270"
"New entrant CS","2022","Outside London","SCS level","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2022","Outside London","SCS level","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2022","Outside London","SCS level","Unknown","55","[c]","103390","92900"
"New entrant CS","2022","Outside London","SEO/HEO","Heterosexual / straight","5970","[c]","34850","33080"
"New entrant CS","2022","Outside London","SEO/HEO","LGBO","620","[c]","33840","33080"
"New entrant CS","2022","Outside London","SEO/HEO","Undeclared","575","[c]","34660","33080"
"New entrant CS","2022","Outside London","SEO/HEO","Unknown","2470","[c]","33890","33080"
"New entrant CS","2022","Outside London","Unknown","Heterosexual / straight","4350","[c]","28240","24800"
"New entrant CS","2022","Outside London","Unknown","LGBO","375","[c]","27600","24270"
"New entrant CS","2022","Outside London","Unknown","Undeclared","250","[c]","28940","26900"
"New entrant CS","2022","Outside London","Unknown","Unknown","2795","[c]","27530","25480"
"New entrant CS","2022","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","AA/AO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","SEO/HEO","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","SEO/HEO","Unknown","20","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Heterosexual / straight","65","[c]","21360","21260"
"New entrant CS","2022","Unknown","AA/AO","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Unknown","45","[c]","20410","20970"
"New entrant CS","2022","Unknown","EO","Heterosexual / straight","55","[c]","28400","27570"
"New entrant CS","2022","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","EO","Undeclared","15","[c]","[c]","[c]"
