"Status","Year","Function_of_post","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","140","140","37590","35900"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Companies House","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Companies House","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Female","Heterosexual / straight","45","40","61220","56360"
"In post","2022","Analysis","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Male","Heterosexual / straight","65","60","62660","56630"
"In post","2022","Analysis","Competition and Markets Authority","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Female","Heterosexual / straight","30","30","39130","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Female","Unknown","110","100","38860","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Male","Heterosexual / straight","75","70","41200","38090"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Male","Unknown","265","255","42500","45260"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Heterosexual / straight","75","75","42310","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Heterosexual / straight","120","120","44220","37850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","45","40","46290","38280"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","70","70","49920","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Female","Heterosexual / straight","85","75","44130","42220"
"In post","2022","Analysis","Department for Education (excl. agencies)","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Male","Heterosexual / straight","65","65","45630","45540"
"In post","2022","Analysis","Department for Education (excl. agencies)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Female","Heterosexual / straight","60","60","42260","32920"
"In post","2022","Analysis","Department for International Trade","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Male","Heterosexual / straight","110","110","46860","51710"
"In post","2022","Analysis","Department for International Trade","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Male","Unknown","30","30","40170","32120"
"In post","2022","Analysis","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","Heterosexual / straight","70","65","47450","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","Heterosexual / straight","115","115","47420","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Female","Heterosexual / straight","110","105","49220","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Male","Heterosexual / straight","110","110","48040","47740"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Male","Unknown","40","40","44020","42680"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Female","Heterosexual / straight","245","225","44430","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Female","Unknown","30","30","39950","37650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Male","Heterosexual / straight","225","220","42210","36650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Male","Unknown","50","50","44130","40290"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Female","Heterosexual / straight","145","135","52130","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Female","Undeclared","75","70","49010","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Male","Heterosexual / straight","105","105","51460","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Male","Undeclared","55","55","51330","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Female","Heterosexual / straight","50","45","72840","70820"
"In post","2022","Analysis","Government Actuary's Department","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Male","Heterosexual / straight","90","90","73040","65470"
"In post","2022","Analysis","Government Actuary's Department","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Female","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Male","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Male","Unknown","[c]","[c]","[c]","[c]"
