"Status","Year","Ethnicity","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Northern Ireland Office","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Budget Responsibility","HM Treasury","London","5","5","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","40","35","42970","42850"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","65","60","38540","32010"
"In post","2022","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","120","115","42930","38500"
"In post","2022","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","30","25","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Office of Rail and Road","London","25","20","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Office of Rail and Road","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Office of the Public Guardian","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Public Guardian","Ministry of Justice","Outside London","410","380","22570","20970"
"In post","2022","Asian","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Scottish Charity Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","5","5","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","Scottish Government","Outside London","15","10","[c]","[c]"
"In post","2022","Asian","Revenue Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Royal Fleet Auxiliary","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","45","40","25990","21300"
"In post","2022","Asian","Scottish Courts and Tribunals Service","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Scottish Fiscal Commission","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Forestry","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government (excl. agencies)","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government (excl. agencies)","Scottish Government","Outside London","115","115","39450","35540"
"In post","2022","Asian","Scottish Government (excl. agencies)","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Housing Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","Scottish Government","Outside London","10","5","[c]","[c]"
"In post","2022","Asian","Scottish Public Pensions Agency","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Serious Fraud Office","Attorney General's Departments","London","45","45","44360","40170"
"In post","2022","Asian","Social Security Scotland","Scottish Government","Outside London","55","55","28840","27230"
"In post","2022","Asian","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Standards and Testing Agency","Department for Education","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Student Awards Agency for Scotland","Scottish Government","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Submarine Delivery Agency","Ministry of Defence","Outside London","50","50","38580","36260"
"In post","2022","Asian","Submarine Delivery Agency","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Teaching Regulation Agency","Department for Education","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","45","45","31680","28010"
"In post","2022","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","100","95","27280","21130"
"In post","2022","Asian","The National Archives","The National Archives","London","50","45","33970","32980"
"In post","2022","Asian","The National Archives","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Transport Scotland","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","UK Debt Management Office","HM Treasury","London","25","25","[c]","[c]"
"In post","2022","Asian","UK Export Finance","UK Export Finance","London","90","90","50050","44080"
"In post","2022","Asian","UK Export Finance","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Health Security Agency","Department of Health and Social Care","London","455","425","42480","34000"
"In post","2022","Asian","UK Health Security Agency","Department of Health and Social Care","Outside London","290","265","38910","28590"
"In post","2022","Asian","UK Health Security Agency","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Ministry of Defence","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","UK Hydrographic Office","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","20","20","[c]","[c]"
"In post","2022","Asian","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","UK Statistics Authority","London","25","25","[c]","[c]"
"In post","2022","Asian","UK Statistics Authority","UK Statistics Authority","Outside London","160","145","31350","30210"
"In post","2022","Asian","UK Supreme Court","UK Supreme Court","London","5","5","[c]","[c]"
"In post","2022","Asian","Valuation Office Agency","HM Revenue and Customs","London","120","115","37300","35640"
"In post","2022","Asian","Valuation Office Agency","HM Revenue and Customs","Outside London","90","85","31300","27000"
"In post","2022","Asian","Vehicle Certification Agency","Department for Transport","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Vehicle Certification Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Water Services Regulation Authority","London","5","5","[c]","[c]"
"In post","2022","Asian","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","30","30","[c]","[c]"
"In post","2022","Asian","Welsh Government (excl. agencies)","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Government (excl. agencies)","Welsh Government","Outside London","65","65","39670","38160"
"In post","2022","Asian","Welsh Government (excl. agencies)","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Welsh Revenue Authority","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Accountant in Bankruptcy","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","20","20","[c]","[c]"
"In post","2022","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","15","15","[c]","[c]"
"In post","2022","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","10","10","[c]","[c]"
"In post","2022","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Cabinet Office (excl. agencies)","Cabinet Office","London","220","215","43150","38580"
"In post","2022","Black","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","25","20","[c]","[c]"
"In post","2022","Black","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Charity Commission","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","Competition and Markets Authority","London","40","40","41550","38990"
"In post","2022","Black","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Crown Commercial Service","Cabinet Office","London","10","10","[c]","[c]"
"In post","2022","Black","Crown Commercial Service","Cabinet Office","Outside London","10","10","[c]","[c]"
"In post","2022","Black","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2022","Black","Crown Prosecution Service","Attorney General's Departments","London","270","260","40320","31560"
"In post","2022","Black","Crown Prosecution Service","Attorney General's Departments","Outside London","120","115","39080","32430"
"In post","2022","Black","Crown Prosecution Service","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Defence Electronics and Components Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Defence Equipment and Support","Ministry of Defence","London","15","10","[c]","[c]"
"In post","2022","Black","Defence Equipment and Support","Ministry of Defence","Outside London","200","200","33830","33490"
"In post","2022","Black","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Defence Science and Technology Laboratory","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","25","25","[c]","[c]"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","325","320","41430","38620"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","40","40","34410","30360"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","100","100","38730","34020"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","5","5","[c]","[c]"
"In post","2022","Black","Department for Education (excl. agencies)","Department for Education","London","145","140","42180","40230"
"In post","2022","Black","Department for Education (excl. agencies)","Department for Education","Outside London","110","105","36790","36500"
"In post","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","160","155","35950","32560"
"In post","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","65","65","37150","35900"
"In post","2022","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for International Trade","Department for International Trade","London","125","125","39660","38160"
"In post","2022","Black","Department for International Trade","Department for International Trade","Outside London","5","5","[c]","[c]"
"In post","2022","Black","Department for International Trade","Department for International Trade","Overseas","5","5","[c]","[c]"
"In post","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","160","155","42060","39600"
"In post","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","30","30","31540","30190"
"In post","2022","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Transport (excl. agencies)","Department for Transport","London","165","165","41370","37660"
"In post","2022","Black","Department for Transport (excl. agencies)","Department for Transport","Outside London","25","25","[c]","[c]"
"In post","2022","Black","Department for Transport (excl. agencies)","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","2230","2115","31170","31060"
"In post","2022","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","1770","1660","27020","27570"
"In post","2022","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","40","40","30760","31060"
"In post","2022","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","135","130","40670","35110"
