"Status","Year","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","Central Hampshire","Outside London","35","35","29530","25940"
"In post","2022","Animal and Plant Health Agency","Cheshire East","Outside London","35","30","33160","29860"
"In post","2022","Animal and Plant Health Agency","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","60","55","31730","29180"
"In post","2022","Animal and Plant Health Agency","Devon CC","Outside London","210","195","27990","24920"
"In post","2022","Animal and Plant Health Agency","Dorset","Outside London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dumfries and Galloway","Outside London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Cumbria","Outside London","160","150","25320","21300"
"In post","2022","Animal and Plant Health Agency","East Kent","Outside London","35","35","28430","28340"
"In post","2022","Animal and Plant Health Agency","East Lothian and Midlothian","Outside London","10","10","37620","33130"
"In post","2022","Animal and Plant Health Agency","East Riding of Yorkshire","Outside London","20","20","28570","24920"
"In post","2022","Animal and Plant Health Agency","Gloucestershire CC","Outside London","65","60","31310","29180"
"In post","2022","Animal and Plant Health Agency","Gwynedd","Outside London","70","60","26960","24920"
"In post","2022","Animal and Plant Health Agency","Harrow and Hillingdon","London","15","15","35720","32720"
"In post","2022","Animal and Plant Health Agency","Heart of Essex","Outside London","45","40","29590","28340"
"In post","2022","Animal and Plant Health Agency","Hertfordshire CC","Outside London","10","10","33670","30670"
"In post","2022","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","London","65","65","33010","31750"
"In post","2022","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","20","15","28720","25260"
"In post","2022","Animal and Plant Health Agency","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire CC and Rutland","Outside London","20","20","33650","35900"
"In post","2022","Animal and Plant Health Agency","Lincolnshire CC","Outside London","25","25","33510","29800"
"In post","2022","Animal and Plant Health Agency","Manchester","Outside London","15","15","29560","29180"
"In post","2022","Animal and Plant Health Agency","Mid Kent","Outside London","10","10","28070","26580"
"In post","2022","Animal and Plant Health Agency","Mid Lancashire","Outside London","95","90","28660","24920"
"In post","2022","Animal and Plant Health Agency","North and West Norfolk","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Yorkshire CC","Outside London","130","125","31610","29180"
"In post","2022","Animal and Plant Health Agency","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Norwich and East Norfolk","Outside London","10","10","33500","30670"
"In post","2022","Animal and Plant Health Agency","Nottingham","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Oxfordshire CC","Outside London","15","15","41660","42780"
"In post","2022","Animal and Plant Health Agency","Perth and Kinross, and Stirling","Outside London","45","40","34750","29180"
"In post","2022","Animal and Plant Health Agency","Powys","Outside London","20","20","32650","35900"
"In post","2022","Animal and Plant Health Agency","Redbridge and Waltham Forest","London","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Scottish Borders","Outside London","15","15","29830","24920"
"In post","2022","Animal and Plant Health Agency","Shropshire","Outside London","40","40","34630","33300"
"In post","2022","Animal and Plant Health Agency","Somerset CC","Outside London","35","35","34500","35900"
"In post","2022","Animal and Plant Health Agency","South and West Derbyshire","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","South Ayrshire","Outside London","25","25","28170","24920"
"In post","2022","Animal and Plant Health Agency","South Lanarkshire","Outside London","10","10","31120","25720"
"In post","2022","Animal and Plant Health Agency","South Nottinghamshire","Outside London","20","20","30110","27190"
"In post","2022","Animal and Plant Health Agency","South West Wales","Outside London","150","140","28350","25160"
"In post","2022","Animal and Plant Health Agency","Staffordshire CC","Outside London","70","70","25860","21300"
"In post","2022","Animal and Plant Health Agency","Suffolk CC","Outside London","45","45","31830","29840"
"In post","2022","Animal and Plant Health Agency","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Tyneside","Outside London","50","50","30990","26440"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","25","25","29460","25520"
"In post","2022","Animal and Plant Health Agency","West Surrey","Outside London","645","615","33380","28630"
"In post","2022","Animal and Plant Health Agency","West Sussex (North East)","Outside London","20","20","32950","30040"
"In post","2022","Animal and Plant Health Agency","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Westminster","London","20","20","44370","52290"
"In post","2022","Animal and Plant Health Agency","Wiltshire","Outside London","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Worcestershire CC","Outside London","170","155","30080","28000"
"In post","2022","Animal and Plant Health Agency","York","Outside London","70","70","23910","21300"
"In post","2022","Attorney General's Office","Westminster","London","45","45","51580","51250"
"In post","2022","Cabinet Office (excl. agencies)","Ards and North Down","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","50","50","55290","45140"
"In post","2022","Cabinet Office (excl. agencies)","Belfast","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Berkshire","Outside London","35","35","36480","29250"
"In post","2022","Cabinet Office (excl. agencies)","Birmingham","Outside London","105","105","53030","38740"
"In post","2022","Cabinet Office (excl. agencies)","Blackpool","Outside London","40","35","56170","58210"
"In post","2022","Cabinet Office (excl. agencies)","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Bristol, City of","Outside London","110","105","49480","49700"
"In post","2022","Cabinet Office (excl. agencies)","Buckinghamshire","Outside London","10","10","52830","60920"
"In post","2022","Cabinet Office (excl. agencies)","Cambridgeshire CC","Outside London","15","15","47460","33300"
"In post","2022","Cabinet Office (excl. agencies)","Camden and City of London","London","70","70","56280","54700"
"In post","2022","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Outside London","50","45","43110","37300"
"In post","2022","Cabinet Office (excl. agencies)","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Central Hampshire","Outside London","45","40","64070","64750"
"In post","2022","Cabinet Office (excl. agencies)","City of Edinburgh","Outside London","30","30","35390","32000"
"In post","2022","Cabinet Office (excl. agencies)","Coventry","Outside London","10","10","66610","63110"
"In post","2022","Cabinet Office (excl. agencies)","Croydon","London","20","20","62640","65320"
"In post","2022","Cabinet Office (excl. agencies)","Darlington","Outside London","15","15","62900","62010"
"In post","2022","Cabinet Office (excl. agencies)","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Dorset","Outside London","10","10","35240","33470"
"In post","2022","Cabinet Office (excl. agencies)","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Glasgow City","Outside London","250","245","42310","33130"
"In post","2022","Cabinet Office (excl. agencies)","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Greater Manchester South East","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Greater Manchester South West","Outside London","245","240","43730","37300"
"In post","2022","Cabinet Office (excl. agencies)","Hackney and Newham","London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Herefordshire, County of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Leeds","Outside London","220","215","47420","40460"
"In post","2022","Cabinet Office (excl. agencies)","Lewisham and Southwark","London","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Liverpool","Outside London","85","85","50630","49700"
"In post","2022","Cabinet Office (excl. agencies)","Manchester","Outside London","135","135","47610","49700"
"In post","2022","Cabinet Office (excl. agencies)","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Milton Keynes","Outside London","90","85","34410","33300"
"In post","2022","Cabinet Office (excl. agencies)","Monmouthshire and Newport","Outside London","30","30","39700","29250"
"In post","2022","Cabinet Office (excl. agencies)","North Hampshire","Outside London","25","25","45390","40600"
"In post","2022","Cabinet Office (excl. agencies)","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","North Yorkshire CC","Outside London","15","15","45630","45150"
"In post","2022","Cabinet Office (excl. agencies)","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Norwich and East Norfolk","Outside London","65","60","51020","49700"
"In post","2022","Cabinet Office (excl. agencies)","Nottingham","Outside London","35","35","50910","35910"
"In post","2022","Cabinet Office (excl. agencies)","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Peterborough","Outside London","10","10","63300","68150"
"In post","2022","Cabinet Office (excl. agencies)","Plymouth","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Portsmouth","Outside London","15","15","44500","33300"
"In post","2022","Cabinet Office (excl. agencies)","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Sheffield","Outside London","85","80","50450","49700"
"In post","2022","Cabinet Office (excl. agencies)","Shropshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South Hampshire","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","South Lanarkshire","Outside London","10","10","70310","64860"
"In post","2022","Cabinet Office (excl. agencies)","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Staffordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Telford and Wrekin","Outside London","20","20","69660","64500"
"In post","2022","Cabinet Office (excl. agencies)","Tower Hamlets","London","1015","995","51990","54700"
"In post","2022","Cabinet Office (excl. agencies)","Tyneside","Outside London","460","435","29460","25550"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","475","475","37420","32000"
"In post","2022","Cabinet Office (excl. agencies)","Warrington","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Cumbria","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Westminster","London","5300","5240","49530","40600"
"In post","2022","Cabinet Office (excl. agencies)","Wiltshire","Outside London","60","60","66690","63750"
"In post","2022","Cabinet Office (excl. agencies)","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Wolverhampton","Outside London","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","York","Outside London","545","520","32540","32000"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Outside London","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Dorset","Outside London","150","145","33820","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Suffolk CC","Outside London","480","455","34470","30220"
"In post","2022","Charity Commission","Monmouthshire and Newport","Outside London","5","5","[c]","[c]"
"In post","2022","Charity Commission","Sefton","Outside London","345","325","31850","29160"
"In post","2022","Charity Commission","Somerset CC","Outside London","35","35","31780","29540"
"In post","2022","Charity Commission","Westminster","London","80","80","44120","37910"
"In post","2022","Companies House","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Belfast","Outside London","25","20","24750","22740"
"In post","2022","Companies House","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Cardiff and Vale of Glamorgan","Outside London","1080","995","31180","25460"
"In post","2022","Companies House","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","City of Edinburgh","Outside London","40","40","24820","22740"
"In post","2022","Companies House","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Lisburn and Castlereagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Westminster","London","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Belfast","Outside London","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Outside London","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","City of Edinburgh","Outside London","55","55","58200","55860"
"In post","2022","Competition and Markets Authority","Tower Hamlets","London","795","770","61480","57060"
"In post","2022","Criminal Injuries Compensation Authority","Glasgow City","Outside London","320","295","27620","25120"
"In post","2022","Criminal Injuries Compensation Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Birmingham","Outside London","30","30","32010","30420"
"In post","2022","Crown Commercial Service","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Brent","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Liverpool","Outside London","385","380","37860","38330"
"In post","2022","Crown Commercial Service","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Monmouthshire and Newport","Outside London","115","115","36050","31250"
"In post","2022","Crown Commercial Service","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","North Yorkshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Norwich and East Norfolk","Outside London","155","150","37960","38330"
"In post","2022","Crown Commercial Service","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Swindon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Tower Hamlets","London","70","70","54200","55690"
"In post","2022","Crown Commercial Service","Wakefield","Outside London","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Aberdeen City and Aberdeenshire","Outside London","120","115","34350","30360"
"In post","2022","Crown Office and Procurator Fiscal Service","Angus and Dundee City","Outside London","105","100","36480","31540"
"In post","2022","Crown Office and Procurator Fiscal Service","Caithness and Sutherland, and Ross and Cromarty","Outside London","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","City of Edinburgh","Outside London","550","530","38660","31540"
"In post","2022","Crown Office and Procurator Fiscal Service","Clackmannanshire and Fife","Outside London","85","80","34180","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","Dumfries and Galloway","Outside London","45","40","32360","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","East Ayrshire and North Ayrshire mainland","Outside London","85","80","33070","28990"
"In post","2022","Crown Office and Procurator Fiscal Service","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","80","75","27330","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Falkirk","Outside London","65","60","36560","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","Glasgow City","Outside London","650","610","37220","31540"
"In post","2022","Crown Office and Procurator Fiscal Service","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","130","120","38730","30950"
"In post","2022","Crown Office and Procurator Fiscal Service","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","70","65","35070","28640"
"In post","2022","Crown Office and Procurator Fiscal Service","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Outside London","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Na h-Eileanan Siar","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","North Lanarkshire","Outside London","100","95","39450","34600"
"In post","2022","Crown Office and Procurator Fiscal Service","Orkney Islands","Outside London","[c]","[c]","[c]","[c]"
