"Status","Year","Ethnicity","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Female","Heterosexual / straight","50","50","43640","36370"
"In post","2022","Asian","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Male","Heterosexual / straight","45","45","54410","54700"
"In post","2022","Asian","Competition and Markets Authority","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","440","425","39900","38620"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Female","Unknown","40","35","30660","26500"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","370","365","40420","39240"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","85","85","44530","39900"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","65","65","43620","38020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Female","Heterosexual / straight","445","425","39370","36500"
"In post","2022","Asian","Department for Education","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Department for Education","Female","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Department for Education","Male","Heterosexual / straight","305","300","40070","36660"
"In post","2022","Asian","Department for Education","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","240","230","35930","32560"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Female","Unknown","15","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","180","180","37980","32910"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Female","Heterosexual / straight","120","120","42020","38160"
"In post","2022","Asian","Department for International Trade","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Male","Heterosexual / straight","125","125","45200","41160"
"In post","2022","Asian","Department for International Trade","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Female","Heterosexual / straight","165","160","40860","36340"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Male","Heterosexual / straight","110","110","40800","36340"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Female","Heterosexual / straight","245","235","38480","34710"
"In post","2022","Asian","Department for Transport","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Department for Transport","Female","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","Department for Transport","Male","Heterosexual / straight","315","315","40170","34710"
"In post","2022","Asian","Department for Transport","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Transport","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Department for Transport","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Female","Heterosexual / straight","3655","3225","28210","27570"
"In post","2022","Asian","Department for Work and Pensions","Female","LGBO","75","65","27680","27570"
"In post","2022","Asian","Department for Work and Pensions","Female","Undeclared","310","260","27090","27570"
"In post","2022","Asian","Department for Work and Pensions","Female","Unknown","790","610","26880","27570"
"In post","2022","Asian","Department for Work and Pensions","Male","Heterosexual / straight","2795","2730","29040","27570"
"In post","2022","Asian","Department for Work and Pensions","Male","LGBO","60","60","30120","27570"
"In post","2022","Asian","Department for Work and Pensions","Male","Undeclared","140","130","27040","27570"
"In post","2022","Asian","Department for Work and Pensions","Male","Unknown","390","365","26980","27570"
"In post","2022","Asian","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Female","Heterosexual / straight","655","615","39730","32960"
"In post","2022","Asian","Department of Health and Social Care","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Female","Undeclared","75","70","38860","32980"
"In post","2022","Asian","Department of Health and Social Care","Female","Unknown","110","100","50880","40830"
"In post","2022","Asian","Department of Health and Social Care","Male","Heterosexual / straight","330","320","42540","33990"
"In post","2022","Asian","Department of Health and Social Care","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Male","Undeclared","35","30","41880","39590"
"In post","2022","Asian","Department of Health and Social Care","Male","Unknown","50","50","52140","44950"
"In post","2022","Asian","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Female","Heterosexual / straight","245","230","41310","37560"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Female","Unknown","20","15","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Male","Heterosexual / straight","180","180","44090","37560"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Female","Heterosexual / straight","90","80","30830","27130"
"In post","2022","Asian","HM Land Registry","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Female","Unknown","30","25","28000","27130"
"In post","2022","Asian","HM Land Registry","Male","Heterosexual / straight","80","80","32020","27130"
"In post","2022","Asian","HM Land Registry","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","Female","Heterosexual / straight","2010","1865","33390","31060"
"In post","2022","Asian","HM Revenue and Customs","Female","LGBO","55","45","28070","26400"
"In post","2022","Asian","HM Revenue and Customs","Female","Undeclared","140","125","30500","26820"
"In post","2022","Asian","HM Revenue and Customs","Female","Unknown","510","455","30590","26820"
"In post","2022","Asian","HM Revenue and Customs","Male","Heterosexual / straight","2500","2445","32960","31060"
"In post","2022","Asian","HM Revenue and Customs","Male","LGBO","75","70","31810","26820"
"In post","2022","Asian","HM Revenue and Customs","Male","Undeclared","125","120","32550","31020"
"In post","2022","Asian","HM Revenue and Customs","Male","Unknown","430","410","33900","33080"
"In post","2022","Asian","HM Revenue and Customs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Treasury","Female","Heterosexual / straight","150","150","45680","43160"
"In post","2022","Asian","HM Treasury","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Treasury","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","HM Treasury","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","HM Treasury","Male","Heterosexual / straight","105","105","45780","39360"
"In post","2022","Asian","HM Treasury","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","HM Treasury","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","HM Treasury","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Treasury","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Treasury","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Home Office","Female","Heterosexual / straight","2330","2110","32010","28990"
"In post","2022","Asian","Home Office","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Home Office","Female","Undeclared","245","220","29700","28670"
"In post","2022","Asian","Home Office","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Home Office","Male","Heterosexual / straight","1715","1665","32220","28850"
"In post","2022","Asian","Home Office","Male","LGBO","25","20","[c]","[c]"
"In post","2022","Asian","Home Office","Male","Undeclared","120","115","30540","28670"
"In post","2022","Asian","Home Office","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Home Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Home Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Home Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","Female","Heterosexual / straight","545","510","34540","30750"
"In post","2022","Asian","Ministry of Defence","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","Female","Undeclared","40","35","34080","29550"
"In post","2022","Asian","Ministry of Defence","Female","Unknown","30","30","35220","32290"
"In post","2022","Asian","Ministry of Defence","Male","Heterosexual / straight","705","695","35410","33020"
"In post","2022","Asian","Ministry of Defence","Male","LGBO","30","30","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","Male","Undeclared","40","40","35520","30570"
"In post","2022","Asian","Ministry of Defence","Male","Unknown","60","55","40780","38460"
"In post","2022","Asian","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice","Female","Heterosexual / straight","2275","2080","29310","25120"
"In post","2022","Asian","Ministry of Justice","Female","LGBO","50","45","26340","24560"
"In post","2022","Asian","Ministry of Justice","Female","Undeclared","160","140","28040","24310"
"In post","2022","Asian","Ministry of Justice","Female","Unknown","75","60","32000","25120"
"In post","2022","Asian","Ministry of Justice","Male","Heterosexual / straight","1675","1595","31070","28200"
"In post","2022","Asian","Ministry of Justice","Male","LGBO","45","45","31200","24310"
"In post","2022","Asian","Ministry of Justice","Male","Undeclared","95","90","30330","28060"
"In post","2022","Asian","Ministry of Justice","Male","Unknown","80","75","32840","31650"
"In post","2022","Asian","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Female","Heterosexual / straight","155","150","37130","36410"
"In post","2022","Asian","National Crime Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Male","Heterosexual / straight","110","110","39210","37560"
"In post","2022","Asian","National Crime Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
