"Status","Year","Age","Ethnicity","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Other ethnicity","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA","Unknown","95","90","19990","20890"
"In post","2022","16-19","Unknown","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AO","Unknown","245","235","22170","21260"
"In post","2022","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Unknown","100","100","22500","24340"
"In post","2022","16-19","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","45","45","17940","16720"
"In post","2022","16-19","White","AA","Heterosexual / straight","100","95","19580","19450"
"In post","2022","16-19","White","AA","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","White","AA","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","White","AA","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","White","AO","Heterosexual / straight","270","265","21990","21260"
"In post","2022","16-19","White","AO","LGBO","30","30","23280","21840"
"In post","2022","16-19","White","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","White","AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","White","EO","Heterosexual / straight","140","140","23350","24300"
"In post","2022","16-19","White","EO","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","White","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","AA","Heterosexual / straight","90","80","20890","21050"
"In post","2022","20-29","Asian","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","AO","Heterosexual / straight","1605","1535","22280","21260"
"In post","2022","20-29","Asian","AO","LGBO","35","35","23710","21250"
"In post","2022","20-29","Asian","AO","Undeclared","55","50","21440","21250"
"In post","2022","20-29","Asian","AO","Unknown","70","65","21510","21250"
"In post","2022","20-29","Asian","EO","Heterosexual / straight","2320","2295","28010","27570"
"In post","2022","20-29","Asian","EO","LGBO","50","50","27490","27420"
"In post","2022","20-29","Asian","EO","Undeclared","65","65","27980","27570"
"In post","2022","20-29","Asian","EO","Unknown","95","95","27420","27200"
"In post","2022","20-29","Asian","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Asian","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","G7","Heterosexual / straight","280","280","54650","53760"
"In post","2022","20-29","Asian","G7","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Asian","G7","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Asian","G7","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Asian","HEO","Heterosexual / straight","1320","1310","33540","33370"
"In post","2022","20-29","Asian","HEO","LGBO","55","55","33850","33570"
"In post","2022","20-29","Asian","HEO","Undeclared","50","50","33510","33570"
"In post","2022","20-29","Asian","HEO","Unknown","70","70","34370","33380"
"In post","2022","20-29","Asian","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SEO","Heterosexual / straight","445","445","40590","40280"
"In post","2022","20-29","Asian","SEO","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Asian","SEO","Undeclared","25","25","[c]","[c]"
"In post","2022","20-29","Asian","SEO","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Asian","Unknown","Heterosexual / straight","150","145","25560","24090"
"In post","2022","20-29","Asian","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","AA","Heterosexual / straight","35","35","22480","21790"
"In post","2022","20-29","Black","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","AO","Heterosexual / straight","440","425","24350","23720"
"In post","2022","20-29","Black","AO","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Black","AO","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Black","AO","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Black","EO","Heterosexual / straight","865","855","28800","28650"
"In post","2022","20-29","Black","EO","LGBO","40","40","28550","28310"
"In post","2022","20-29","Black","EO","Undeclared","35","35","28420","27570"
"In post","2022","20-29","Black","EO","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Black","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Black","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","G7","Heterosexual / straight","80","80","54180","53380"
"In post","2022","20-29","Black","G7","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Black","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","HEO","Heterosexual / straight","415","410","33830","33570"
"In post","2022","20-29","Black","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Black","HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Black","HEO","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Black","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SEO","Heterosexual / straight","145","145","40400","40230"
"In post","2022","20-29","Black","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Black","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Black","Unknown","Heterosexual / straight","140","140","26880","27060"
"In post","2022","20-29","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","AA","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","20-29","Mixed","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","AO","Heterosexual / straight","470","455","23740","22220"
"In post","2022","20-29","Mixed","AO","LGBO","75","75","23440","21450"
"In post","2022","20-29","Mixed","AO","Undeclared","40","35","23760","22240"
"In post","2022","20-29","Mixed","AO","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Mixed","EO","Heterosexual / straight","545","535","27940","27570"
"In post","2022","20-29","Mixed","EO","LGBO","75","75","27630","27570"
"In post","2022","20-29","Mixed","EO","Undeclared","45","40","28150","27570"
"In post","2022","20-29","Mixed","EO","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Mixed","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Mixed","G6","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Mixed","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","G7","Heterosexual / straight","145","145","54480","53420"
"In post","2022","20-29","Mixed","G7","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Mixed","G7","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Mixed","G7","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Mixed","HEO","Heterosexual / straight","460","455","33460","33370"
"In post","2022","20-29","Mixed","HEO","LGBO","70","70","32720","33080"
"In post","2022","20-29","Mixed","HEO","Undeclared","45","45","34360","34260"
"In post","2022","20-29","Mixed","HEO","Unknown","35","35","32380","31870"
"In post","2022","20-29","Mixed","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SEO","Heterosexual / straight","150","145","40750","40560"
"In post","2022","20-29","Mixed","SEO","LGBO","35","35","41120","40650"
"In post","2022","20-29","Mixed","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Mixed","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Mixed","Unknown","Heterosexual / straight","95","90","25910","24270"
"In post","2022","20-29","Mixed","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AO","Heterosexual / straight","95","90","24190","23140"
"In post","2022","20-29","Other ethnicity","AO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","EO","Heterosexual / straight","145","145","28280","27620"
"In post","2022","20-29","Other ethnicity","EO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Other ethnicity","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Other ethnicity","EO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G7","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","HEO","Heterosexual / straight","90","85","34180","33370"
"In post","2022","20-29","Other ethnicity","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Other ethnicity","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Other ethnicity","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SEO","Heterosexual / straight","40","40","40590","40600"
"In post","2022","20-29","Other ethnicity","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","AA","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","AO","Heterosexual / straight","85","80","22980","21840"
"In post","2022","20-29","Undeclared","AO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","AO","Undeclared","185","180","23960","21840"
"In post","2022","20-29","Undeclared","AO","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","EO","Heterosexual / straight","90","90","28260","27570"
"In post","2022","20-29","Undeclared","EO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","EO","Undeclared","250","250","28080","27570"
"In post","2022","20-29","Undeclared","EO","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Undeclared","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","G7","Undeclared","70","70","54770","54270"
"In post","2022","20-29","Undeclared","G7","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","HEO","Heterosexual / straight","45","45","33280","33370"
"In post","2022","20-29","Undeclared","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","HEO","Undeclared","225","225","33070","33080"
"In post","2022","20-29","Undeclared","HEO","Unknown","40","40","32160","31960"
"In post","2022","20-29","Undeclared","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","SEO","Undeclared","115","115","40870","40520"
"In post","2022","20-29","Undeclared","SEO","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Unknown","Undeclared","35","35","27790","27540"
"In post","2022","20-29","Unknown","AA","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","20-29","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","AA","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","AA","Unknown","960","930","20950","20890"
"In post","2022","20-29","Unknown","AO","Heterosexual / straight","160","155","24670","23320"
"In post","2022","20-29","Unknown","AO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","AO","Undeclared","55","55","25060","23170"
"In post","2022","20-29","Unknown","AO","Unknown","6495","6335","23000","21680"
"In post","2022","20-29","Unknown","EO","Heterosexual / straight","140","140","28120","27570"
"In post","2022","20-29","Unknown","EO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","EO","Undeclared","135","135","26900","27270"
"In post","2022","20-29","Unknown","EO","Unknown","4620","4580","27220","26820"
"In post","2022","20-29","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","G6","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","G6","Unknown","80","80","66010","64700"
"In post","2022","20-29","Unknown","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","G7","Undeclared","110","110","53030","53360"
"In post","2022","20-29","Unknown","G7","Unknown","805","805","55010","54420"
"In post","2022","20-29","Unknown","HEO","Heterosexual / straight","95","95","32520","32120"
"In post","2022","20-29","Unknown","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","HEO","Undeclared","185","185","32450","32790"
"In post","2022","20-29","Unknown","HEO","Unknown","4735","4720","32080","32000"
"In post","2022","20-29","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","SEO","Heterosexual / straight","40","40","39600","39660"
"In post","2022","20-29","Unknown","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","SEO","Undeclared","80","80","40050","40650"
"In post","2022","20-29","Unknown","SEO","Unknown","1235","1230","40590","40580"
"In post","2022","20-29","Unknown","Unknown","Heterosexual / straight","20","20","[c]","[c]"
