"Status","Year","Disability","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","London","115","110","42590","39600"
"In post","2022","Declared disabled","Communications","Communications","Outside London","160","150","36150","33290"
"In post","2022","Declared disabled","Communications","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","Outside London","130","120","28760","26820"
"In post","2022","Declared disabled","Communications","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","Outside London","150","145","30270","26820"
"In post","2022","Declared disabled","Communications","Unknown","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","London","145","130","31440","31060"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","Outside London","825","730","27850","27570"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Legal","London","50","50","38190","37930"
"In post","2022","Declared disabled","Counter Fraud","Legal","Outside London","190","175","32350","33080"
"In post","2022","Declared disabled","Counter Fraud","Operational Delivery","London","70","60","34560","31060"
"In post","2022","Declared disabled","Counter Fraud","Operational Delivery","Outside London","405","370","29050","27570"
"In post","2022","Declared disabled","Counter Fraud","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Other","London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Other","Outside London","35","30","35430","33370"
"In post","2022","Declared disabled","Counter Fraud","Tax","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Tax","Outside London","145","130","40810","33680"
"In post","2022","Declared disabled","Counter Fraud","Unknown","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Unknown","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Operational Delivery","London","50","45","28570","26400"
"In post","2022","Declared disabled","Debt","Operational Delivery","Outside London","305","260","23870","22080"
"In post","2022","Declared disabled","Debt","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Other","Outside London","390","325","22400","21260"
"In post","2022","Declared disabled","Debt","Other","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Debt","Tax","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Debt","Tax","Outside London","50","45","22060","21250"
"In post","2022","Declared disabled","Debt","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Unknown","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","London","225","220","45910","41140"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Outside London","1320","1260","37960","34970"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","Outside London","105","100","32690","29230"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Operational Delivery","London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Operational Delivery","Outside London","45","40","35440","33370"
"In post","2022","Declared disabled","Digital, Data & Technology","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Other","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Policy","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Policy","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Project Delivery","Outside London","20","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Science and Engineering","Outside London","50","45","35120","34360"
"In post","2022","Declared disabled","Digital, Data & Technology","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Tax","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","London","95","95","48920","54700"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Outside London","45","45","40740","37300"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Commercial","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","Commercial","Outside London","75","65","32760","31990"
"In post","2022","Declared disabled","Finance","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Corporate Finance","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Digital, Data and Technology","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Finance","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Finance","London","175","170","48070","43810"
"In post","2022","Declared disabled","Finance","Finance","Outside London","605","565","36450","33300"
"In post","2022","Declared disabled","Finance","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Operational Delivery","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Finance","Operational Delivery","Outside London","115","95","25100","22080"
"In post","2022","Declared disabled","Finance","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Other","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Policy","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Security","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Security","Outside London","35","35","37800","34290"
"In post","2022","Declared disabled","Finance","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Operational Delivery","Outside London","180","160","25350","21300"
"In post","2022","Declared disabled","Grants Management","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Human Resources","London","295","285","47310","41750"
"In post","2022","Declared disabled","Human Resources","Human Resources","Outside London","800","750","36460","33300"
"In post","2022","Declared disabled","Human Resources","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Operational Delivery","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Operational Delivery","Outside London","195","180","28940","27570"
"In post","2022","Declared disabled","Human Resources","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Other","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Policy","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Tax","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Tax","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","London","90","85","46940","41820"
"In post","2022","Declared disabled","Human Resources","Unknown","Outside London","120","115","35080","33220"
"In post","2022","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Internal Audit","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Internal Audit","Outside London","65","65","42240","39980"
"In post","2022","Declared disabled","Internal Audit","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Finance","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Legal","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Knowledge and Information Management","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","Legal","London","295","275","59790","62140"
"In post","2022","Declared disabled","Legal","Legal","Outside London","380","345","52640","54580"
"In post","2022","Declared disabled","Legal","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Operational Delivery","London","95","85","29380","27760"
"In post","2022","Declared disabled","Legal","Operational Delivery","Outside London","305","275","27280","25650"
"In post","2022","Declared disabled","Legal","Other","London","30","30","33570","27580"
"In post","2022","Declared disabled","Legal","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Policy","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Legal","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Tax","Outside London","35","35","39270","33370"
"In post","2022","Declared disabled","Legal","Unknown","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Legal","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Commercial","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","No function","Commercial","Outside London","45","45","43080","44330"
