"Status","Year","Age","Function_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Communications","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","AO","75","75","25110","25110"
"In post","2022","20-29","Counter Fraud","London","EO","240","240","30470","31020"
"In post","2022","20-29","Counter Fraud","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","G7","20","20","59170","60940"
"In post","2022","20-29","Counter Fraud","London","HEO","110","110","36420","37610"
"In post","2022","20-29","Counter Fraud","London","SEO","35","35","41960","43430"
"In post","2022","20-29","Counter Fraud","Outside London","AO","300","295","21480","21260"
"In post","2022","20-29","Counter Fraud","Outside London","EO","880","870","27070","26820"
"In post","2022","20-29","Counter Fraud","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Outside London","G7","40","40","53970","55210"
"In post","2022","20-29","Counter Fraud","Outside London","HEO","270","265","32880","33080"
"In post","2022","20-29","Counter Fraud","Outside London","SEO","55","55","39350","40180"
"In post","2022","20-29","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","London","AO","35","30","25240","25330"
"In post","2022","20-29","Debt","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","Outside London","AO","1080","1040","21270","21250"
"In post","2022","20-29","Debt","Outside London","EO","145","145","26520","26820"
"In post","2022","20-29","Debt","Outside London","HEO","15","15","32250","33080"
"In post","2022","20-29","Debt","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","London","AO","30","30","23660","24250"
"In post","2022","20-29","Digital, Data & Technology","London","EO","160","160","28610","27910"
"In post","2022","20-29","Digital, Data & Technology","London","G6","10","10","65600","64500"
"In post","2022","20-29","Digital, Data & Technology","London","G7","155","155","55120","54700"
"In post","2022","20-29","Digital, Data & Technology","London","HEO","245","245","34350","34260"
"In post","2022","20-29","Digital, Data & Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","London","SEO","175","175","41950","41300"
"In post","2022","20-29","Digital, Data & Technology","Outside London","AA","50","50","19120","17900"
"In post","2022","20-29","Digital, Data & Technology","Outside London","AO","165","165","21310","21170"
"In post","2022","20-29","Digital, Data & Technology","Outside London","EO","805","800","26660","26590"
"In post","2022","20-29","Digital, Data & Technology","Outside London","G6","10","10","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Outside London","G7","135","135","52110","50430"
"In post","2022","20-29","Digital, Data & Technology","Outside London","HEO","810","805","32390","33080"
"In post","2022","20-29","Digital, Data & Technology","Outside London","SEO","420","420","39350","38710"
"In post","2022","20-29","Digital, Data & Technology","Outside London","Unknown","10","10","28750","28050"
"In post","2022","20-29","Digital, Data & Technology","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Overseas","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Overseas","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Finance","London","AO","15","15","24570","25110"
"In post","2022","20-29","Finance","London","EO","90","90","28110","27500"
"In post","2022","20-29","Finance","London","G6","15","15","65010","65440"
"In post","2022","20-29","Finance","London","G7","105","105","55580","54320"
"In post","2022","20-29","Finance","London","HEO","160","160","35060","34000"
"In post","2022","20-29","Finance","London","SEO","130","130","41920","41000"
"In post","2022","20-29","Finance","Outside London","AA","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Outside London","AO","245","230","21430","21250"
"In post","2022","20-29","Finance","Outside London","EO","405","405","25100","25500"
"In post","2022","20-29","Finance","Outside London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Outside London","G7","55","55","51250","49890"
"In post","2022","20-29","Finance","Outside London","HEO","330","325","31630","31940"
"In post","2022","20-29","Finance","Outside London","SEO","170","165","38360","36820"
"In post","2022","20-29","Finance","Outside London","Unknown","15","15","29380","31010"
"In post","2022","20-29","Finance","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","Outside London","AO","290","285","21250","21300"
"In post","2022","20-29","Grants Management","Outside London","EO","70","70","24860","24920"
"In post","2022","20-29","Grants Management","Outside London","HEO","10","10","29270","29180"
"In post","2022","20-29","Grants Management","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","London","AA","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","London","AO","30","25","23950","23780"
"In post","2022","20-29","Human Resources","London","EO","170","170","27960","27500"
"In post","2022","20-29","Human Resources","London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","London","G7","90","90","55530","54370"
"In post","2022","20-29","Human Resources","London","HEO","220","220","33350","33470"
"In post","2022","20-29","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","London","SEO","70","70","41240","40650"
"In post","2022","20-29","Human Resources","Outside London","AA","20","20","18910","19810"
"In post","2022","20-29","Human Resources","Outside London","AO","255","255","21380","21170"
"In post","2022","20-29","Human Resources","Outside London","EO","335","335","25930","26350"
"In post","2022","20-29","Human Resources","Outside London","G6","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Outside London","G7","35","35","49690","49700"
"In post","2022","20-29","Human Resources","Outside London","HEO","305","305","31080","31600"
"In post","2022","20-29","Human Resources","Outside London","SEO","85","85","38220","38180"
"In post","2022","20-29","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Overseas","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","London","HEO","15","15","34400","33420"
"In post","2022","20-29","Internal Audit","London","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","EO","5","5","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Outside London","HEO","15","15","32550","31780"
"In post","2022","20-29","Internal Audit","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Legal","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","London","AO","145","140","23270","23770"
"In post","2022","20-29","Legal","London","EO","275","275","28360","27050"
"In post","2022","20-29","Legal","London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Legal","London","G7","135","135","52960","50500"
"In post","2022","20-29","Legal","London","HEO","135","135","37740","37930"
"In post","2022","20-29","Legal","London","SEO","20","20","40230","39750"
"In post","2022","20-29","Legal","Outside London","AO","340","335","22210","22200"
"In post","2022","20-29","Legal","Outside London","EO","325","320","26610","26590"
"In post","2022","20-29","Legal","Outside London","G7","85","80","50400","48080"
"In post","2022","20-29","Legal","Outside London","HEO","120","120","35120","33840"
"In post","2022","20-29","Legal","Outside London","SEO","115","115","42270","41750"
"In post","2022","20-29","No function","London","AA","160","155","23380","24080"
"In post","2022","20-29","No function","London","AO","1440","1425","27440","25330"
"In post","2022","20-29","No function","London","EO","3125","3080","29820","30750"
"In post","2022","20-29","No function","London","G6","150","150","65170","64700"
"In post","2022","20-29","No function","London","G7","2050","2045","54380","53380"
"In post","2022","20-29","No function","London","HEO","5080","5065","33300","33210"
"In post","2022","20-29","No function","London","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","No function","London","SEO","1805","1800","40810","40230"
"In post","2022","20-29","No function","London","Unknown","420","415","28740","27060"
"In post","2022","20-29","No function","Outside London","AA","1650","1595","20400","20890"
"In post","2022","20-29","No function","Outside London","AO","15540","15125","22980","21260"
"In post","2022","20-29","No function","Outside London","EO","8730","8630","27400","27570"
"In post","2022","20-29","No function","Outside London","G6","25","25","63230","63410"
"In post","2022","20-29","No function","Outside London","G7","400","400","51780","51850"
"In post","2022","20-29","No function","Outside London","HEO","3970","3945","31220","30950"
"In post","2022","20-29","No function","Outside London","SEO","950","940","38160","37300"
"In post","2022","20-29","No function","Outside London","Unknown","2950","2885","24940","23170"
"In post","2022","20-29","No function","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","No function","Overseas","EO","5","5","[c]","[c]"
"In post","2022","20-29","No function","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","No function","Overseas","G7","15","15","53070","53190"
"In post","2022","20-29","No function","Overseas","HEO","150","150","33300","32830"
"In post","2022","20-29","No function","Overseas","SEO","15","15","40400","39110"
"In post","2022","20-29","No function","Unknown","AA","5","5","[c]","[c]"
"In post","2022","20-29","No function","Unknown","AO","20","20","21670","21260"
"In post","2022","20-29","No function","Unknown","EO","65","60","28550","27570"
"In post","2022","20-29","No function","Unknown","G7","5","5","[c]","[c]"
"In post","2022","20-29","No function","Unknown","HEO","215","210","30010","29250"
"In post","2022","20-29","No function","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","20-29","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","London","AO","15","15","24200","24290"
"In post","2022","20-29","Project Delivery","London","EO","95","95","28940","28840"
"In post","2022","20-29","Project Delivery","London","G6","15","15","66170","65440"
"In post","2022","20-29","Project Delivery","London","G7","130","130","54400","54110"
"In post","2022","20-29","Project Delivery","London","HEO","270","270","35940","36360"
"In post","2022","20-29","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","London","SEO","140","140","41610","41750"
"In post","2022","20-29","Project Delivery","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","Outside London","AO","95","95","21480","21260"
"In post","2022","20-29","Project Delivery","Outside London","EO","980","970","23960","24750"
"In post","2022","20-29","Project Delivery","Outside London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Project Delivery","Outside London","G7","65","65","51180","53430"
"In post","2022","20-29","Project Delivery","Outside London","HEO","1085","1075","30510","31600"
"In post","2022","20-29","Project Delivery","Outside London","SEO","460","460","38430","39120"
"In post","2022","20-29","Project Delivery","Outside London","Unknown","375","375","28620","27540"
"In post","2022","20-29","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","Overseas","G7","15","15","50210","51500"
"In post","2022","20-29","Project Delivery","Overseas","HEO","15","15","34880","36260"
"In post","2022","20-29","Project Delivery","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","London","AO","5","5","[c]","[c]"
"In post","2022","20-29","Property","London","EO","75","75","28570","29500"
"In post","2022","20-29","Property","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","London","G7","15","15","54430","54700"
"In post","2022","20-29","Property","London","HEO","80","75","33310","34410"
"In post","2022","20-29","Property","London","SEO","35","35","44080","45750"
"In post","2022","20-29","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Outside London","AA","55","55","19150","19010"
"In post","2022","20-29","Property","Outside London","AO","220","215","22410","22010"
"In post","2022","20-29","Property","Outside London","EO","280","275","25750","26030"
"In post","2022","20-29","Property","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Outside London","G7","20","20","51370","49860"
"In post","2022","20-29","Property","Outside London","HEO","215","215","31250","31900"
"In post","2022","20-29","Property","Outside London","SEO","80","80","40720","42000"
"In post","2022","20-29","Property","Outside London","Unknown","25","25","23210","24080"
"In post","2022","20-29","Property","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","London","AA","10","10","[c]","[c]"
"In post","2022","20-29","Security","London","AO","35","35","28230","29370"
"In post","2022","20-29","Security","London","EO","130","130","28350","28700"
"In post","2022","20-29","Security","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","London","G7","15","15","52780","54700"
"In post","2022","20-29","Security","London","HEO","135","135","35810","35700"
"In post","2022","20-29","Security","London","SEO","55","55","43260","42880"
"In post","2022","20-29","Security","London","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Security","Outside London","AA","230","230","21160","19810"
"In post","2022","20-29","Security","Outside London","AO","555","555","26790","25700"
"In post","2022","20-29","Security","Outside London","EO","160","160","26840","26350"
"In post","2022","20-29","Security","Outside London","G7","5","5","[c]","[c]"
"In post","2022","20-29","Security","Outside London","HEO","120","120","32260","33000"
"In post","2022","20-29","Security","Outside London","SEO","25","25","39510","38650"
"In post","2022","20-29","Security","Outside London","Unknown","15","15","23620","21750"
"In post","2022","20-29","Security","Overseas","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Security","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Unknown","EO","5","5","[c]","[c]"
"In post","2022","20-29","Security","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","London","AA","55","55","22400","22460"
"In post","2022","20-29","Unknown","London","AO","180","175","25410","25630"
"In post","2022","20-29","Unknown","London","EO","730","725","29080","28650"
"In post","2022","20-29","Unknown","London","G6","30","30","68480","68700"
"In post","2022","20-29","Unknown","London","G7","305","305","57730","57430"
"In post","2022","20-29","Unknown","London","HEO","785","785","35320","35050"
"In post","2022","20-29","Unknown","London","SEO","540","540","42860","41950"
"In post","2022","20-29","Unknown","London","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Outside London","AA","705","675","21210","21050"
"In post","2022","20-29","Unknown","Outside London","AO","2100","2040","22390","21680"
"In post","2022","20-29","Unknown","Outside London","EO","2930","2900","26180","25040"
"In post","2022","20-29","Unknown","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Outside London","G7","145","140","53220","52050"
"In post","2022","20-29","Unknown","Outside London","HEO","1355","1340","32740","31540"
"In post","2022","20-29","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Outside London","SEO","435","430","40420","39660"
"In post","2022","20-29","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Overseas","AO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Overseas","EO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Overseas","HEO","10","10","36720","37000"
"In post","2022","20-29","Unknown","Overseas","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","EO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Unknown","370","370","28250","28980"
"In post","2022","30-39","Analysis","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","London","EO","35","30","29510","30000"
"In post","2022","30-39","Analysis","London","G6","185","175","70830","66920"
"In post","2022","30-39","Analysis","London","G7","420","405","56710","55730"
"In post","2022","30-39","Analysis","London","HEO","150","150","36070","36250"
