"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","North West (England)","Greater Manchester","G6/G7","G7","1950","1890","53720","54160"
"In post","2022","North West (England)","Greater Manchester","SCS level","SCS level","140","135","88770","81860"
"In post","2022","North West (England)","Greater Manchester","SEO/HEO","HEO","3740","3610","32570","33080"
"In post","2022","North West (England)","Greater Manchester","SEO/HEO","SEO","2435","2355","39720","40180"
"In post","2022","North West (England)","Greater Manchester","Unknown","Unknown","1190","1120","29570","28200"
"In post","2022","North West (England)","Lancashire","AA/AO","AA","450","395","20750","20890"
"In post","2022","North West (England)","Lancashire","AA/AO","AO","5570","4975","22360","21260"
"In post","2022","North West (England)","Lancashire","EO","EO","4435","4035","27630","27570"
"In post","2022","North West (England)","Lancashire","G6/G7","G6","270","260","68660","66610"
"In post","2022","North West (England)","Lancashire","G6/G7","G7","725","695","53540","52640"
"In post","2022","North West (England)","Lancashire","SCS level","SCS level","45","45","82710","76480"
"In post","2022","North West (England)","Lancashire","SEO/HEO","HEO","1515","1415","33250","32900"
"In post","2022","North West (England)","Lancashire","SEO/HEO","SEO","1110","1055","40160","39390"
"In post","2022","North West (England)","Lancashire","Unknown","Unknown","660","615","29640","28200"
"In post","2022","North West (England)","Merseyside","AA/AO","AA","500","440","19230","18240"
"In post","2022","North West (England)","Merseyside","AA/AO","AO","6605","5850","21730","21380"
"In post","2022","North West (England)","Merseyside","EO","EO","6675","6150","26520","26820"
"In post","2022","North West (England)","Merseyside","G6/G7","G6","345","335","67260","67320"
"In post","2022","North West (England)","Merseyside","G6/G7","G7","1250","1205","54370","54160"
"In post","2022","North West (England)","Merseyside","SCS level","SCS level","85","85","89360","80500"
"In post","2022","North West (England)","Merseyside","SEO/HEO","HEO","3045","2915","32400","33080"
"In post","2022","North West (England)","Merseyside","SEO/HEO","SEO","1900","1835","40240","40180"
"In post","2022","North West (England)","Merseyside","Unknown","Unknown","815","765","28950","26310"
"In post","2022","Northern Ireland","Northern Ireland","AA/AO","AA","480","470","20200","20560"
"In post","2022","Northern Ireland","Northern Ireland","AA/AO","AO","1160","1060","21760","21250"
"In post","2022","Northern Ireland","Northern Ireland","EO","EO","1105","1050","26930","26820"
"In post","2022","Northern Ireland","Northern Ireland","G6/G7","G6","65","60","70010","67910"
"In post","2022","Northern Ireland","Northern Ireland","G6/G7","G7","240","230","54470","55210"
"In post","2022","Northern Ireland","Northern Ireland","SCS level","SCS level","20","15","79550","75700"
"In post","2022","Northern Ireland","Northern Ireland","SEO/HEO","HEO","800","780","33580","33370"
"In post","2022","Northern Ireland","Northern Ireland","SEO/HEO","SEO","390","380","40240","40180"
"In post","2022","Northern Ireland","Northern Ireland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Overseas","AA/AO","AO","65","65","22260","21830"
"In post","2022","Overseas","Overseas","EO","EO","285","285","27700","27130"
"In post","2022","Overseas","Overseas","G6/G7","G6","445","445","66660","65210"
"In post","2022","Overseas","Overseas","G6/G7","G7","865","865","55990","54560"
"In post","2022","Overseas","Overseas","SCS level","SCS level","290","290","85420","76600"
"In post","2022","Overseas","Overseas","SEO/HEO","HEO","1065","1060","36120","34220"
"In post","2022","Overseas","Overseas","SEO/HEO","SEO","460","460","46490","41950"
"In post","2022","Overseas","Overseas","Unknown","Unknown","200","200","40510","32790"
"In post","2022","Scotland","Eastern Scotland","AA/AO","AA","1275","1195","21810","21050"
"In post","2022","Scotland","Eastern Scotland","AA/AO","AO","4765","4425","23010","21640"
"In post","2022","Scotland","Eastern Scotland","EO","EO","5495","5140","29320","27570"
"In post","2022","Scotland","Eastern Scotland","G6/G7","G6","1010","965","72390","75340"
"In post","2022","Scotland","Eastern Scotland","G6/G7","G7","1885","1800","57360","57190"
"In post","2022","Scotland","Eastern Scotland","SCS level","SCS level","250","245","89680","83230"
"In post","2022","Scotland","Eastern Scotland","SEO/HEO","HEO","3495","3360","34820","33680"
"In post","2022","Scotland","Eastern Scotland","SEO/HEO","SEO","2785","2655","44340","43660"
"In post","2022","Scotland","Eastern Scotland","Unknown","Unknown","30","30","41380","39880"
"In post","2022","Scotland","Highlands and Islands","AA/AO","AA","170","155","20810","20260"
"In post","2022","Scotland","Highlands and Islands","AA/AO","AO","645","595","23820","23230"
"In post","2022","Scotland","Highlands and Islands","EO","EO","690","645","29190","27570"
"In post","2022","Scotland","Highlands and Islands","G6/G7","G6","25","25","72250","72480"
"In post","2022","Scotland","Highlands and Islands","G6/G7","G7","45","40","56960","55000"
"In post","2022","Scotland","Highlands and Islands","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Highlands and Islands","SEO/HEO","HEO","280","270","35160","35240"
"In post","2022","Scotland","Highlands and Islands","SEO/HEO","SEO","140","135","44800","44680"
"In post","2022","Scotland","Highlands and Islands","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Scotland","North Eastern Scotland","AA/AO","AA","80","65","21740","21640"
"In post","2022","Scotland","North Eastern Scotland","AA/AO","AO","450","425","26860","24020"
"In post","2022","Scotland","North Eastern Scotland","EO","EO","635","595","29630","27570"
"In post","2022","Scotland","North Eastern Scotland","G6/G7","G6","40","40","74640","73910"
"In post","2022","Scotland","North Eastern Scotland","G6/G7","G7","95","95","64080","59150"
"In post","2022","Scotland","North Eastern Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","North Eastern Scotland","SEO/HEO","HEO","315","300","35940","34600"
"In post","2022","Scotland","North Eastern Scotland","SEO/HEO","SEO","320","300","55950","47490"
"In post","2022","Scotland","Southern Scotland","AA/AO","AA","175","155","21310","20950"
"In post","2022","Scotland","Southern Scotland","AA/AO","AO","2155","1900","22420","21260"
"In post","2022","Scotland","Southern Scotland","EO","EO","1955","1770","27440","27570"
"In post","2022","Scotland","Southern Scotland","G6/G7","G6","145","140","66240","66610"
"In post","2022","Scotland","Southern Scotland","G6/G7","G7","385","370","53080","53480"
"In post","2022","Scotland","Southern Scotland","SCS level","SCS level","30","30","79690","77650"
"In post","2022","Scotland","Southern Scotland","SEO/HEO","HEO","900","850","33410","33370"
"In post","2022","Scotland","Southern Scotland","SEO/HEO","SEO","495","480","41850","40520"
"In post","2022","Scotland","West Central Scotland","AA/AO","AA","1295","1205","21180","21050"
"In post","2022","Scotland","West Central Scotland","AA/AO","AO","5865","5260","23050","21260"
"In post","2022","Scotland","West Central Scotland","EO","EO","5600","5205","28370","27570"
"In post","2022","Scotland","West Central Scotland","G6/G7","G6","535","520","71420","70480"
"In post","2022","Scotland","West Central Scotland","G6/G7","G7","1245","1210","56400","55210"
"In post","2022","Scotland","West Central Scotland","SCS level","SCS level","95","95","85720","83230"
"In post","2022","Scotland","West Central Scotland","SEO/HEO","HEO","3105","2975","33800","33080"
"In post","2022","Scotland","West Central Scotland","SEO/HEO","SEO","2045","1970","43440","41550"
"In post","2022","Scotland","West Central Scotland","Unknown","Unknown","65","65","39810","40220"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","540","515","20960","20890"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","2730","2590","26970","25110"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","2330","2200","29470","28350"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","195","185","72020","69710"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","590","550","56560","55150"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","65","60","98920","97110"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","1420","1355","35030","34290"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","1010","975","43390","42000"
"In post","2022","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","655","615","28950","25790"
"In post","2022","South East (England)","Hampshire and Isle of Wight","AA/AO","AA","1115","920","20160","19810"
"In post","2022","South East (England)","Hampshire and Isle of Wight","AA/AO","AO","3340","2875","23410","21260"
"In post","2022","South East (England)","Hampshire and Isle of Wight","EO","EO","3600","3380","27200","26820"
"In post","2022","South East (England)","Hampshire and Isle of Wight","G6/G7","G6","345","325","70030","67770"
"In post","2022","South East (England)","Hampshire and Isle of Wight","G6/G7","G7","1700","1630","54060","53050"
"In post","2022","South East (England)","Hampshire and Isle of Wight","SCS level","SCS level","95","90","92610","90000"
"In post","2022","South East (England)","Hampshire and Isle of Wight","SEO/HEO","HEO","2875","2765","32880","33300"
"In post","2022","South East (England)","Hampshire and Isle of Wight","SEO/HEO","SEO","1995","1920","41030","40180"
"In post","2022","South East (England)","Hampshire and Isle of Wight","Unknown","Unknown","500","460","30160","28200"
"In post","2022","South East (England)","Kent","AA/AO","AA","410","390","20920","20920"
"In post","2022","South East (England)","Kent","AA/AO","AO","2520","2370","25990","24520"
"In post","2022","South East (England)","Kent","EO","EO","3560","3290","28300","27370"
"In post","2022","South East (England)","Kent","G6/G7","G6","60","55","71830","67910"
"In post","2022","South East (England)","Kent","G6/G7","G7","245","235","55460","53050"
"In post","2022","South East (England)","Kent","SCS level","SCS level","10","10","101410","103000"
"In post","2022","South East (England)","Kent","SEO/HEO","HEO","995","950","34290","33300"
"In post","2022","South East (England)","Kent","SEO/HEO","SEO","480","460","42600","40520"
"In post","2022","South East (England)","Kent","Unknown","Unknown","480","440","30000","28250"
"In post","2022","South East (England)","Surrey, East and West Sussex","AA/AO","AA","425","390","21640","20890"
"In post","2022","South East (England)","Surrey, East and West Sussex","AA/AO","AO","2455","2250","25370","23450"
"In post","2022","South East (England)","Surrey, East and West Sussex","EO","EO","2955","2655","28330","27570"
"In post","2022","South East (England)","Surrey, East and West Sussex","G6/G7","G6","170","160","70070","66830"
"In post","2022","South East (England)","Surrey, East and West Sussex","G6/G7","G7","450","430","56060","54850"
"In post","2022","South East (England)","Surrey, East and West Sussex","SCS level","SCS level","35","35","91460","86600"
"In post","2022","South East (England)","Surrey, East and West Sussex","SEO/HEO","HEO","985","935","34450","33370"
"In post","2022","South East (England)","Surrey, East and West Sussex","SEO/HEO","SEO","660","625","42520","40520"
"In post","2022","South East (England)","Surrey, East and West Sussex","Unknown","Unknown","635","565","30510","28510"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","AA/AO","AA","110","100","19450","19200"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","AA/AO","AO","610","555","21510","21260"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","EO","EO","590","540","27320","27570"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","G6/G7","G6","20","15","70530","66150"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","G6/G7","G7","65","60","55150","51760"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","HEO","180","170","33040","33000"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","SEO","95","90","40390","38260"
"In post","2022","South West (England)","Cornwall and Isles of Scilly","Unknown","Unknown","95","85","29380","26310"
"In post","2022","South West (England)","Devon","AA/AO","AA","585","555","20330","19810"
"In post","2022","South West (England)","Devon","AA/AO","AO","2450","2175","23330","21380"
"In post","2022","South West (England)","Devon","EO","EO","2245","2030","27450","27570"
"In post","2022","South West (England)","Devon","G6/G7","G6","270","255","64790","60740"
"In post","2022","South West (England)","Devon","G6/G7","G7","735","700","51410","48830"
"In post","2022","South West (England)","Devon","SCS level","SCS level","35","30","94210","91960"
"In post","2022","South West (England)","Devon","SEO/HEO","HEO","1285","1210","34040","33300"
"In post","2022","South West (England)","Devon","SEO/HEO","SEO","1220","1160","41390","40000"
"In post","2022","South West (England)","Devon","Unknown","Unknown","490","460","31090","28250"
"In post","2022","South West (England)","Dorset and Somerset","AA/AO","AA","365","340","20180","19810"
"In post","2022","South West (England)","Dorset and Somerset","AA/AO","AO","1310","1220","23540","21510"
"In post","2022","South West (England)","Dorset and Somerset","EO","EO","1620","1485","27430","27570"
"In post","2022","South West (England)","Dorset and Somerset","G6/G7","G6","80","75","70690","68440"
"In post","2022","South West (England)","Dorset and Somerset","G6/G7","G7","190","185","55330","53720"
"In post","2022","South West (England)","Dorset and Somerset","SCS level","SCS level","10","10","97420","96250"
"In post","2022","South West (England)","Dorset and Somerset","SEO/HEO","HEO","925","880","33540","33290"
"In post","2022","South West (England)","Dorset and Somerset","SEO/HEO","SEO","595","570","42550","42510"
"In post","2022","South West (England)","Dorset and Somerset","Unknown","Unknown","365","330","28810","26310"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AA","600","575","19970","19810"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AO","3195","2935","22990","21380"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","EO","5705","5325","26280","26670"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","G6","1200","1155","68240","67220"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","G7","4090","3950","52610","52700"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","SCS level","300","290","97940","90530"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","HEO","6615","6330","31830","32720"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","SEO","6210","5975","40550","40510"
"In post","2022","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Unknown","2250","2150","37600","33710"
"In post","2022","Unknown","Unknown","AA/AO","AA","20","15","20120","20370"
"In post","2022","Unknown","Unknown","AA/AO","AO","180","165","22630","21300"
"In post","2022","Unknown","Unknown","EO","EO","440","415","28290","27570"
"In post","2022","Unknown","Unknown","G6/G7","G6","40","35","68690","65950"
"In post","2022","Unknown","Unknown","G6/G7","G7","125","125","54050","53360"
"In post","2022","Unknown","Unknown","SCS level","SCS level","25","20","96490","87600"
"In post","2022","Unknown","Unknown","SEO/HEO","HEO","485","480","33100","32000"
"In post","2022","Unknown","Unknown","SEO/HEO","SEO","110","105","40810","40600"
"In post","2022","Unknown","Unknown","Unknown","Unknown","1890","1875","36980","33570"
"In post","2022","Wales","East Wales","AA/AO","AA","440","415","20050","19810"
"In post","2022","Wales","East Wales","AA/AO","AO","4915","4450","22220","21260"
"In post","2022","Wales","East Wales","EO","EO","5135","4815","27080","26820"
"In post","2022","Wales","East Wales","G6/G7","G6","565","545","68020","67380"
"In post","2022","Wales","East Wales","G6/G7","G7","2180","2095","55580","55210"
"In post","2022","Wales","East Wales","SCS level","SCS level","275","270","86030","78460"
"In post","2022","Wales","East Wales","SEO/HEO","HEO","3875","3705","33400","33110"
"In post","2022","Wales","East Wales","SEO/HEO","SEO","2840","2730","41790","40520"
"In post","2022","Wales","East Wales","Unknown","Unknown","625","590","29620","28200"
"In post","2022","Wales","West Wales and The Valleys","AA/AO","AA","1410","1150","18770","18310"
"In post","2022","Wales","West Wales and The Valleys","AA/AO","AO","5830","5150","22040","21840"
"In post","2022","Wales","West Wales and The Valleys","EO","EO","4595","4235","27440","27570"
"In post","2022","Wales","West Wales and The Valleys","G6/G7","G6","250","240","73360","75480"
"In post","2022","Wales","West Wales and The Valleys","G6/G7","G7","685","660","57160","57150"
