"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","AA/AO","Heterosexual / straight","35","30","19450","18310"
"In post","2022","16-19","Department for Transport","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","AA/AO","Unknown","45","35","19230","18310"
"In post","2022","16-19","Department for Transport","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","EO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","AA/AO","Heterosexual / straight","100","95","21670","21260"
"In post","2022","16-19","Department for Work and Pensions","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","AA/AO","Undeclared","5","0","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","AA/AO","Heterosexual / straight","70","70","21320","21250"
"In post","2022","16-19","HM Revenue and Customs","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","AA/AO","Unknown","100","95","21420","21250"
"In post","2022","16-19","HM Revenue and Customs","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","EO","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","HM Treasury","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","HM Treasury","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Home Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","Home Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","EO","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","EO","Heterosexual / straight","65","65","19450","19460"
"In post","2022","16-19","Ministry of Defence","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","EO","Unknown","40","40","17690","17140"
"In post","2022","16-19","Ministry of Defence","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","Unknown","Unknown","40","40","17790","16720"
"In post","2022","16-19","Ministry of Justice","AA/AO","Heterosexual / straight","85","85","22790","23140"
"In post","2022","16-19","Ministry of Justice","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","AA/AO","Unknown","85","85","22690","21790"
"In post","2022","16-19","Ministry of Justice","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","AA/AO","Heterosexual / straight","35","35","21380","21050"
"In post","2022","16-19","Scottish Government","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","AA/AO","Unknown","40","40","21860","21050"
"In post","2022","16-19","Scottish Government","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","AA/AO","Heterosexual / straight","380","375","22490","22200"
"In post","2022","20-29","Attorney General's Departments","AA/AO","LGBO","40","40","22140","22200"
"In post","2022","20-29","Attorney General's Departments","AA/AO","Undeclared","30","30","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","AA/AO","Unknown","40","40","23180","23770"
"In post","2022","20-29","Attorney General's Departments","EO","Heterosexual / straight","435","430","26980","26950"
"In post","2022","20-29","Attorney General's Departments","EO","LGBO","45","45","27250","26950"
"In post","2022","20-29","Attorney General's Departments","EO","Undeclared","35","30","27630","26950"
"In post","2022","20-29","Attorney General's Departments","EO","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","G6/G7","Heterosexual / straight","135","135","50950","50500"
"In post","2022","20-29","Attorney General's Departments","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","G6/G7","Undeclared","10","5","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","SEO/HEO","Heterosexual / straight","200","200","36420","38000"
"In post","2022","20-29","Attorney General's Departments","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","SEO/HEO","Unknown","35","35","36460","38000"
"In post","2022","20-29","Cabinet Office","AA/AO","Heterosexual / straight","95","95","21970","21050"
"In post","2022","20-29","Cabinet Office","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Cabinet Office","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office","AA/AO","Unknown","40","40","21380","21050"
"In post","2022","20-29","Cabinet Office","EO","Heterosexual / straight","295","290","26450","27500"
"In post","2022","20-29","Cabinet Office","EO","LGBO","45","45","26180","27500"
"In post","2022","20-29","Cabinet Office","EO","Undeclared","30","30","[c]","[c]"
"In post","2022","20-29","Cabinet Office","EO","Unknown","110","110","26550","27500"
"In post","2022","20-29","Cabinet Office","G6/G7","Heterosexual / straight","220","220","55660","54700"
"In post","2022","20-29","Cabinet Office","G6/G7","LGBO","55","55","55420","54700"
"In post","2022","20-29","Cabinet Office","G6/G7","Undeclared","35","35","56810","54700"
"In post","2022","20-29","Cabinet Office","G6/G7","Unknown","180","180","57660","54700"
"In post","2022","20-29","Cabinet Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office","SEO/HEO","Heterosexual / straight","530","530","35510","34550"
"In post","2022","20-29","Cabinet Office","SEO/HEO","LGBO","110","110","36110","34550"
"In post","2022","20-29","Cabinet Office","SEO/HEO","Undeclared","70","70","36220","34550"
"In post","2022","20-29","Cabinet Office","SEO/HEO","Unknown","1725","1725","30450","29250"
"In post","2022","20-29","Chancellor's other departments","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Charity Commission","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Charity Commission","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","EO","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Charity Commission","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Charity Commission","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","G6/G7","Heterosexual / straight","35","35","56150","54320"
"In post","2022","20-29","Competition and Markets Authority","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","SEO/HEO","Heterosexual / straight","55","55","35520","33610"
"In post","2022","20-29","Competition and Markets Authority","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","Heterosexual / straight","190","185","21050","21130"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","LGBO","40","40","20600","21020"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","125","125","21100","21130"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","350","350","26430","25130"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","EO","LGBO","40","40","26820","27680"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","EO","Undeclared","40","40","26690","25830"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","EO","Unknown","135","135","26100","24250"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","Heterosexual / straight","415","415","55400","53380"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","LGBO","60","60","56220","53400"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","Undeclared","55","55","54810","53380"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","55","55","55210","53380"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","SEO/HEO","Heterosexual / straight","1135","1135","36350","34360"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","SEO/HEO","LGBO","185","185","36720","33980"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","SEO/HEO","Undeclared","130","130","37020","37080"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","205","205","36580","35070"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","80","80","26670","26180"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","EO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","EO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G6/G7","Heterosexual / straight","150","150","53510","51730"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G6/G7","LGBO","35","35","54790","51730"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","Heterosexual / straight","305","305","35060","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","LGBO","60","60","34910","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","Undeclared","40","40","34670","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","35","35","35310","34020"
"In post","2022","20-29","Department for Education","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","20-29","Department for Education","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Department for Education","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Department for Education","EO","Heterosexual / straight","290","290","25850","25000"
"In post","2022","20-29","Department for Education","EO","LGBO","35","35","25990","25000"
"In post","2022","20-29","Department for Education","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Department for Education","EO","Unknown","75","75","26710","25000"
"In post","2022","20-29","Department for Education","G6/G7","Heterosexual / straight","190","190","52460","53420"
"In post","2022","20-29","Department for Education","G6/G7","LGBO","30","30","53850","53420"
"In post","2022","20-29","Department for Education","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Department for Education","G6/G7","Unknown","50","50","54110","53420"
"In post","2022","20-29","Department for Education","SEO/HEO","Heterosexual / straight","730","725","34680","34020"
"In post","2022","20-29","Department for Education","SEO/HEO","LGBO","105","105","35380","36500"
"In post","2022","20-29","Department for Education","SEO/HEO","Undeclared","60","60","34880","36500"
"In post","2022","20-29","Department for Education","SEO/HEO","Unknown","160","160","34690","32940"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","AA/AO","Heterosexual / straight","250","245","21970","21300"
