"Status","Year","Function_of_post","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","G6","15","15","64720","63140"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","G7","55","55","56260","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","HEO","55","55","38050","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","G7","20","20","54400","53470"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","HEO","15","15","37110","36660"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","SEO","20","20","45220","45250"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","EO","15","15","26620","25000"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","G7","35","35","50930","50130"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","HEO","35","30","31980","32870"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","SEO","40","35","41470","41990"
"In post","2022","Analysis","Department for International Trade","London","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","London","G6","25","25","65370","63910"
"In post","2022","Analysis","Department for International Trade","London","G7","85","85","53440","51970"
"In post","2022","Analysis","Department for International Trade","London","HEO","85","85","32120","31800"
"In post","2022","Analysis","Department for International Trade","London","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","London","SEO","20","20","39760","39590"
"In post","2022","Analysis","Department for International Trade","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","EO","20","20","28970","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G6","25","25","66430","64720"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G7","80","75","54920","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","HEO","50","45","32920","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SEO","20","20","42010","42980"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","EO","25","25","29910","29970"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","G6","35","30","66220","66090"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","G7","115","110","55420","54760"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","HEO","70","70","33920","34710"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","SEO","55","55","42870","42470"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","AO","15","15","25110","25110"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","EO","10","10","31570","31060"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","G6","15","15","74610","73150"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","G7","65","60","59750","57230"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","HEO","105","100","36760","36650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","SEO","35","35","42260","40830"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","AO","35","35","21380","21260"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","EO","25","25","27610","27570"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","G6","30","30","66980","66370"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","G7","85","80","53940","52150"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","HEO","100","100","32920","31990"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","SEO","95","85","37630","36320"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","EO","15","15","27860","27270"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","G6","65","60","67230","66230"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","G7","135","135","54240","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","HEO","40","40","32800","32790"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","SCS level","15","15","84870","81010"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","SEO","30","30","41410","40650"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","G6","10","10","65130","64580"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","G7","45","40","51730","51310"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","HEO","15","15","30190","28970"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","SEO","15","10","37340","36820"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","AO","15","15","21840","21840"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","EO","15","10","26330","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","HEO","15","15","32540","33010"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Outside London","SEO","10","10","38960","38310"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","G6","15","15","73870","74400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","G7","20","20","61880","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","SEO","15","15","49780","48860"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","London","EO","10","10","28770","28230"
"In post","2022","Analysis","Government Actuary's Department","London","G6","90","80","92470","89720"
"In post","2022","Analysis","Government Actuary's Department","London","G7","20","20","57860","57250"
"In post","2022","Analysis","Government Actuary's Department","London","HEO","35","30","36660","36590"
"In post","2022","Analysis","Government Actuary's Department","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","London","SEO","15","15","46960","48370"
"In post","2022","Analysis","Government Actuary's Department","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Outside London","EO","10","5","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Outside London","G7","15","15","58600","57510"
"In post","2022","Analysis","Health and Safety Executive","Outside London","HEO","10","10","32590","31710"
"In post","2022","Analysis","Health and Safety Executive","Outside London","SEO","10","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","G7","10","10","58670","59790"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Outside London","SEO","10","10","37650","36650"
"In post","2022","Analysis","HM Land Registry","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","EO","20","20","31360","31020"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","G6","30","30","74210","74850"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","G7","115","110","61690","62120"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","HEO","130","125","37860","37930"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","SCS level","10","10","82490","82270"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","SEO","70","70","43910","43810"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","EO","20","20","27140","26820"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","G6","15","15","67630","67910"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","G7","85","80","54160","55210"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","HEO","130","125","33250","33370"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","SEO","95","90","40260","40520"
"In post","2022","Analysis","HM Treasury (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Outside London","HEO","10","10","31290","30770"
"In post","2022","Analysis","Intellectual Property Office","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","G7","15","15","53920","53830"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","SEO","15","15","40700","40850"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","EO","15","15","28280","27480"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","G7","15","15","61190","61550"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","HEO","30","30","39040","38500"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","SEO","30","25","47040","46750"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Outside London","AO","15","10","21310","21170"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Outside London","EO","55","55","27880","27850"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Outside London","G7","15","15","56780","56500"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Outside London","HEO","65","65","34240","33300"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Outside London","SEO","40","35","42130","43000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","EO","50","50","29150","28950"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","G6","35","35","69270","68540"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","G7","135","125","59950","60280"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","HEO","85","80","34780","34360"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","SCS level","10","10","83350","82580"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","SEO","110","110","43210","42010"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Outside London","EO","20","15","25130","25120"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Outside London","G7","15","15","52990","50430"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Outside London","HEO","10","10","31070","30450"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Outside London","SEO","25","20","38380","38780"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","London","G7","10","10","55320","53060"
"In post","2022","Analysis","National Savings and Investments","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","London","G6","5","5","[c]","[c]"
