"Status","Year","Age","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Grants Management","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Human Resources","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","Operational Delivery","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Operational Delivery","300","280","22160","21260"
"In post","2022","16-19","Declared non-disabled","No function","Other","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Policy","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Science and Engineering","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Tax","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","Other","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","Project Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","Science and Engineering","30","30","19240","18030"
"In post","2022","16-19","Declared non-disabled","Property","Property","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","Security","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
