"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Knowledge and Information Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","AA/AO","Heterosexual / straight","305","290","21530","21260"
"In post","2022","16-19","Operational Delivery","AA/AO","LGBO","30","30","22950","21760"
"In post","2022","16-19","Operational Delivery","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2022","16-19","Operational Delivery","AA/AO","Unknown","240","225","21460","21250"
"In post","2022","16-19","Operational Delivery","EO","Heterosexual / straight","40","40","26900","27570"
"In post","2022","16-19","Operational Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","EO","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA/AO","Heterosexual / straight","35","35","21680","21260"
"In post","2022","16-19","Other","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Other","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Other","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","EO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Policy","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Policy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","EO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Policy","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Property","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Science and Engineering","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Science and Engineering","EO","Heterosexual / straight","30","30","19180","18030"
"In post","2022","16-19","Science and Engineering","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","EO","Unknown","30","30","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","AA/AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","16-19","Tax","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","AA/AO","Unknown","35","30","21250","21250"
"In post","2022","16-19","Tax","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Heterosexual / straight","35","35","21660","21050"
"In post","2022","16-19","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Unknown","35","35","21830","21050"
"In post","2022","16-19","Unknown","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Heterosexual / straight","30","30","21700","21260"
"In post","2022","20-29","Commercial","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Commercial","EO","Heterosexual / straight","200","200","25310","26010"
"In post","2022","20-29","Commercial","EO","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Commercial","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","EO","Unknown","70","70","26180","26540"
"In post","2022","20-29","Commercial","G6/G7","Heterosexual / straight","40","40","53750","53360"
"In post","2022","20-29","Commercial","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Commercial","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","SEO/HEO","Heterosexual / straight","380","380","34220","33730"
"In post","2022","20-29","Commercial","SEO/HEO","LGBO","45","45","35230","35740"
"In post","2022","20-29","Commercial","SEO/HEO","Undeclared","50","50","36280","36820"
"In post","2022","20-29","Commercial","SEO/HEO","Unknown","105","105","35000","34710"
"In post","2022","20-29","Commercial","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","Heterosexual / straight","35","35","22550","21840"
"In post","2022","20-29","Communications","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Communications","EO","Heterosexual / straight","115","115","27310","27140"
"In post","2022","20-29","Communications","EO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Communications","EO","Undeclared","40","40","27350","27270"
"In post","2022","20-29","Communications","EO","Unknown","35","35","27510","28310"
"In post","2022","20-29","Communications","G6/G7","Heterosexual / straight","45","45","54880","53380"
"In post","2022","20-29","Communications","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Communications","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Communications","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Communications","SEO/HEO","Heterosexual / straight","305","305","36360","36500"
"In post","2022","20-29","Communications","SEO/HEO","LGBO","50","50","36040","34710"
"In post","2022","20-29","Communications","SEO/HEO","Undeclared","35","35","35190","32790"
"In post","2022","20-29","Communications","SEO/HEO","Unknown","130","130","37070","36840"
"In post","2022","20-29","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","Heterosexual / straight","155","155","22850","21260"
"In post","2022","20-29","Counter Fraud","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","Unknown","20","15","[c]","[c]"
"In post","2022","20-29","Counter Fraud","EO","Heterosexual / straight","275","275","27820","27570"
"In post","2022","20-29","Counter Fraud","EO","LGBO","30","30","28130","27570"
"In post","2022","20-29","Counter Fraud","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Counter Fraud","EO","Unknown","40","40","27700","27570"
"In post","2022","20-29","Counter Fraud","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Heterosexual / straight","65","65","33880","32350"
"In post","2022","20-29","Counter Fraud","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","Heterosexual / straight","105","105","21330","21250"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","Unknown","40","40","21790","21260"
"In post","2022","20-29","Digital, Data and Technology","EO","Heterosexual / straight","510","505","27050","26670"
"In post","2022","20-29","Digital, Data and Technology","EO","LGBO","65","65","26870","26590"
"In post","2022","20-29","Digital, Data and Technology","EO","Undeclared","60","60","26930","26820"
"In post","2022","20-29","Digital, Data and Technology","EO","Unknown","275","270","27330","26820"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","Heterosexual / straight","140","140","54590","53420"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","Unknown","60","60","54130","53310"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","905","900","36010","35050"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","LGBO","125","125","35280","33370"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","Undeclared","110","110","35200","33460"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","Unknown","445","445","36480","35700"
"In post","2022","20-29","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","AA/AO","Heterosexual / straight","50","50","21810","19860"
"In post","2022","20-29","Economics","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Economics","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","EO","Heterosexual / straight","60","60","26780","26820"
"In post","2022","20-29","Economics","EO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Economics","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Economics","EO","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Economics","G6/G7","Heterosexual / straight","195","195","55430","54320"
"In post","2022","20-29","Economics","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Economics","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Economics","G6/G7","Unknown","35","35","55940","54110"
"In post","2022","20-29","Economics","SEO/HEO","Heterosexual / straight","465","465","35200","33940"
"In post","2022","20-29","Economics","SEO/HEO","LGBO","55","55","35220","34600"
"In post","2022","20-29","Economics","SEO/HEO","Undeclared","55","55","35510","34320"
"In post","2022","20-29","Economics","SEO/HEO","Unknown","150","150","33760","33370"
"In post","2022","20-29","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","Heterosexual / straight","100","95","22060","21260"
"In post","2022","20-29","Finance","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","Unknown","60","50","21890","21250"
"In post","2022","20-29","Finance","EO","Heterosexual / straight","355","350","25740","26350"
"In post","2022","20-29","Finance","EO","LGBO","30","30","25180","25000"
"In post","2022","20-29","Finance","EO","Undeclared","45","45","25270","25450"
"In post","2022","20-29","Finance","EO","Unknown","80","80","26610","26350"
"In post","2022","20-29","Finance","G6/G7","Heterosexual / straight","120","120","55280","54070"
"In post","2022","20-29","Finance","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Finance","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Finance","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Finance","SEO/HEO","Heterosexual / straight","490","490","35320","33570"
"In post","2022","20-29","Finance","SEO/HEO","LGBO","45","45","35840","33370"
"In post","2022","20-29","Finance","SEO/HEO","Undeclared","70","70","36240","36820"
"In post","2022","20-29","Finance","SEO/HEO","Unknown","130","130","36000","35860"
"In post","2022","20-29","Finance","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","20-29","Geography","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Geography","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Geography","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","EO","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Geography","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Geography","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Geography","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","Heterosexual / straight","150","145","21930","21250"
"In post","2022","20-29","Human Resources","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","Unknown","45","45","21500","21170"
"In post","2022","20-29","Human Resources","EO","Heterosexual / straight","240","235","26670","26750"
"In post","2022","20-29","Human Resources","EO","LGBO","40","40","26840","27220"
"In post","2022","20-29","Human Resources","EO","Undeclared","35","35","26870","27270"
"In post","2022","20-29","Human Resources","EO","Unknown","60","55","25950","26350"
"In post","2022","20-29","Human Resources","G6/G7","Heterosexual / straight","95","95","54310","53360"
"In post","2022","20-29","Human Resources","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Human Resources","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SEO/HEO","Heterosexual / straight","420","420","33750","32940"
"In post","2022","20-29","Human Resources","SEO/HEO","LGBO","60","60","34110","33330"
"In post","2022","20-29","Human Resources","SEO/HEO","Undeclared","45","45","34940","33370"
"In post","2022","20-29","Human Resources","SEO/HEO","Unknown","75","75","33520","32670"
"In post","2022","20-29","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","EO","Heterosexual / straight","185","180","27130","26590"
"In post","2022","20-29","Intelligence Analysis","EO","LGBO","15","10","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","EO","Undeclared","20","15","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","EO","Unknown","60","60","27720","28650"
"In post","2022","20-29","Intelligence Analysis","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
