"Status","Year","Organisation","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Somerset CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","EO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","HEO","20","20","32570","34260"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk CC","SEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","EO","30","30","24770","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","HEO","35","35","31940","30990"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","SEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Wales","Flintshire and Wrexham","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Essex","Heart of Essex","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Essex","Thurrock","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","EO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","HEO","25","25","31880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Greater Manchester North West","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","AO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","EO","55","50","24540","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","HEO","55","50","32730","32990"
"In post","2022","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","SEO","15","15","40670","39840"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Central Hampshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","EO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","HEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","SEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Wandsworth","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","AO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","EO","30","30","28400","28420"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","G7","20","20","58820","58560"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","HEO","65","60","37640","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","SEO","45","45","46610","47610"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Kent Thames Gateway","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Medway","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","Mid Kent","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Kent","West Kent","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Lancashire","Mid Lancashire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","East Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","Liverpool","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Merseyside","Sefton","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","EO","60","55","24610","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","HEO","60","55","32040","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Tyneside","SEO","10","10","40680","39840"
"In post","2022","Advisory, Conciliation and Arbitration Service","Shropshire and Staffordshire","Staffordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","EO","30","30","24690","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","HEO","45","40","32180","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","SEO","15","15","41990","40710"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","EO","25","20","24730","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","HEO","35","35","32220","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","SEO","15","15","40550","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands","Dudley","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","South West Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","South West Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Swansea","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Swansea","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","EO","20","20","24560","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","HEO","30","30","32280","31140"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","SEO","10","10","40820","39920"
"In post","2022","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cheshire","Cheshire East","EO","10","10","25200","24920"
"In post","2022","Animal and Plant Health Agency","Cheshire","Cheshire East","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cheshire","Cheshire East","HEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cheshire","Cheshire East","SEO","10","10","39620","36970"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AO","10","10","21300","21300"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","15","15","25230","25190"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","HEO","10","10","30250","29180"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO","15","15","40260","37910"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","AO","100","95","21430","21300"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","EO","30","30","25260","24920"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","HEO","10","10","29830","29180"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cumbria","East Cumbria","SEO","15","10","42250","37580"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","AO","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","AO","100","95","21320","21300"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","EO","50","45","25530","25090"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","G7","10","10","50820","47550"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","HEO","15","15","29760","29180"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon","Devon CC","SEO","25","25","40600","37530"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Dorset","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Dorset","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Dorset","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","EO","10","10","25630","26150"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Somerset CC","SEO","15","15","38100","36780"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","HEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","SEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","North and West Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","North and West Norfolk","HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","North and West Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","EO","15","15","24780","24920"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","HEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Suffolk CC","SEO","15","15","42750","38300"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","AO","45","40","21240","21300"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","EO","15","15","25270","24920"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","HEO","10","10","30340","30400"
"In post","2022","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","SEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Powys","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Powys","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Powys","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Powys","SEO","10","10","37460","37240"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","EO","10","10","24690","24920"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","City of Edinburgh","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","AO","10","10","21300","21300"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross, and Stirling","SEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","EO","20","20","25980","25230"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","HEO","10","10","30450","29790"
"In post","2022","Animal and Plant Health Agency","Essex","Heart of Essex","SEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Thurrock","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Thurrock","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Thurrock","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","AO","40","40","21360","21300"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","EO","25","20","25200","25100"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","HEO","15","15","29930","29550"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","SEO","15","15","39670","37480"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Manchester","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Manchester","HEO","10","10","[c]","[c]"
