"Status","Year","Age","Region_ITL1","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Croydon","London","10","10","26020","25330"
"In post","2022","16-19","London","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hackney and Newham","London","10","10","[c]","[c]"
"In post","2022","16-19","London","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Tower Hamlets","London","10","10","[c]","[c]"
"In post","2022","16-19","London","Westminster","London","85","85","25330","25170"
"In post","2022","16-19","North East (England)","Durham","Outside London","15","15","22960","23140"
"In post","2022","16-19","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","Sunderland","Outside London","10","10","21250","21250"
"In post","2022","16-19","North East (England)","Tyneside","Outside London","50","50","21780","21250"
"In post","2022","16-19","North West (England)","Blackpool","Outside London","10","10","23550","21260"
"In post","2022","16-19","North West (England)","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester South East","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","North West (England)","Greater Manchester South West","Outside London","20","20","22540","21250"
"In post","2022","16-19","North West (England)","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Liverpool","Outside London","45","45","21880","21250"
"In post","2022","16-19","North West (England)","Manchester","Outside London","30","30","22830","22280"
"In post","2022","16-19","North West (England)","Mid Lancashire","Outside London","15","15","20970","21260"
"In post","2022","16-19","North West (England)","Sefton","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","North West (England)","Warrington","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Lisburn and Castlereagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Newry, Mourne and Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Angus and Dundee City","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Scotland","City of Edinburgh","Outside London","45","40","22470","21250"
"In post","2022","16-19","Scotland","Clackmannanshire and Fife","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Scotland","East Ayrshire and North Ayrshire mainland","Outside London","10","10","18770","18030"
"In post","2022","16-19","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Glasgow City","Outside London","30","30","21260","21050"
"In post","2022","16-19","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","North Lanarkshire","Outside London","10","10","21780","21250"
"In post","2022","16-19","Scotland","Perth and Kinross, and Stirling","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Scottish Borders","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Shetland Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","South Lanarkshire","Outside London","10","10","21300","21250"
"In post","2022","16-19","Scotland","West Lothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Central Hampshire","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","East Kent","Outside London","20","20","22720","21680"
"In post","2022","16-19","South East (England)","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","East Sussex CC","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","Kent Thames Gateway","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","Medway","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","Milton Keynes","Outside London","30","30","20460","19110"
"In post","2022","16-19","South East (England)","Oxfordshire CC","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","Portsmouth","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","South East (England)","South Hampshire","Outside London","20","15","20080","19860"
"In post","2022","16-19","South East (England)","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South East (England)","West Surrey","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","South East (England)","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","100","100","18700","18030"
"In post","2022","16-19","South West (England)","Bristol, City of","Outside London","15","15","21320","21200"
"In post","2022","16-19","South West (England)","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","South West (England)","Devon CC","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","South West (England)","Dorset","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","South West (England)","Plymouth","Outside London","20","20","19310","18700"
"In post","2022","16-19","South West (England)","Wiltshire","Outside London","25","25","20650","21170"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","18030","16720"
"In post","2022","16-19","Wales","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","Cardiff and Vale of Glamorgan","Outside London","25","25","22250","21250"
"In post","2022","16-19","Wales","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","Flintshire and Wrexham","Outside London","15","15","18060","17450"
"In post","2022","16-19","Wales","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","Monmouthshire and Newport","Outside London","15","15","21600","21350"
"In post","2022","16-19","Wales","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Wales","Swansea","Outside London","80","65","19300","18310"
"In post","2022","16-19","West Midlands (England)","Birmingham","Outside London","35","35","22340","21260"
"In post","2022","16-19","West Midlands (England)","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Staffordshire CC","Outside London","10","10","21680","22490"
"In post","2022","16-19","West Midlands (England)","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Wolverhampton","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","West Midlands (England)","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","Outside London","10","10","21920","21080"
"In post","2022","16-19","Yorkshire and The Humber","Bradford","Outside London","20","20","21570","21250"
"In post","2022","16-19","Yorkshire and The Humber","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","Kingston upon Hull, City of","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","Leeds","Outside London","45","45","22280","21260"
"In post","2022","16-19","Yorkshire and The Humber","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","Sheffield","Outside London","10","10","22600","21680"
"In post","2022","16-19","Yorkshire and The Humber","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Yorkshire and The Humber","York","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","East Midlands (England)","Derby","Outside London","140","140","25140","24240"
"In post","2022","20-29","East Midlands (England)","East Derbyshire","Outside London","30","30","25360","24800"
"In post","2022","20-29","East Midlands (England)","Leicester","Outside London","395","385","24220","22600"
"In post","2022","20-29","East Midlands (England)","Leicestershire CC and Rutland","Outside London","310","305","24470","24260"
"In post","2022","20-29","East Midlands (England)","Lincolnshire CC","Outside London","315","310","25190","24920"
"In post","2022","20-29","East Midlands (England)","North Northamptonshire","Outside London","85","80","23900","21260"
"In post","2022","20-29","East Midlands (England)","North Nottinghamshire","Outside London","170","165","25170","25610"
"In post","2022","20-29","East Midlands (England)","Nottingham","Outside London","1595","1565","27610","26590"
"In post","2022","20-29","East Midlands (England)","South and West Derbyshire","Outside London","130","130","25770","25700"
"In post","2022","20-29","East Midlands (England)","South Nottinghamshire","Outside London","145","140","26380","25660"
"In post","2022","20-29","East Midlands (England)","West Northamptonshire","Outside London","185","180","24430","24260"
"In post","2022","20-29","East of England","Bedford","Outside London","160","155","27090","28140"
"In post","2022","20-29","East of England","Breckland and South Norfolk","Outside London","90","90","24670","24520"
"In post","2022","20-29","East of England","Cambridgeshire CC","Outside London","475","465","27470","26670"
"In post","2022","20-29","East of England","Central Bedfordshire","Outside London","40","40","26930","27570"
"In post","2022","20-29","East of England","Essex Haven Gateway","Outside London","90","90","25690","24800"
"In post","2022","20-29","East of England","Essex Thames Gateway","Outside London","135","135","25760","24250"
"In post","2022","20-29","East of England","Heart of Essex","Outside London","245","240","27440","27050"
"In post","2022","20-29","East of England","Hertfordshire CC","Outside London","405","400","29830","29290"
"In post","2022","20-29","East of England","Luton","Outside London","95","90","25130","24880"
"In post","2022","20-29","East of England","North and West Norfolk","Outside London","65","65","24510","25000"
"In post","2022","20-29","East of England","Norwich and East Norfolk","Outside London","280","275","24980","24260"
"In post","2022","20-29","East of England","Peterborough","Outside London","165","155","25880","24880"
"In post","2022","20-29","East of England","Southend-on-Sea","Outside London","75","75","30260","29290"
"In post","2022","20-29","East of England","Suffolk CC","Outside London","600","590","25900","25300"
"In post","2022","20-29","East of England","Thurrock","Outside London","65","65","23570","21680"
"In post","2022","20-29","East of England","West Essex","Outside London","65","65","26630","24890"
"In post","2022","20-29","London","Barking & Dagenham and Havering","London","115","115","29850","31060"
"In post","2022","20-29","London","Barnet","London","370","345","30660","31060"
"In post","2022","20-29","London","Bexley and Greenwich","London","340","335","29420","30460"
"In post","2022","20-29","London","Brent","London","130","125","30440","31060"
"In post","2022","20-29","London","Bromley","London","60","55","29300","31060"
"In post","2022","20-29","London","Camden and City of London","London","345","340","31590","28310"
"In post","2022","20-29","London","Croydon","London","1455","1445","33960","31020"
"In post","2022","20-29","London","Ealing","London","75","70","30460","31060"
"In post","2022","20-29","London","Enfield","London","65","65","30080","31060"
"In post","2022","20-29","London","Hackney and Newham","London","960","955","36620","31110"
"In post","2022","20-29","London","Haringey and Islington","London","305","300","30410","31060"
"In post","2022","20-29","London","Harrow and Hillingdon","London","295","290","29080","28670"
"In post","2022","20-29","London","Hounslow and Richmond upon Thames","London","570","565","29770","29250"
"In post","2022","20-29","London","Kensington & Chelsea and Hammersmith & Fulham","London","200","195","31230","31060"
"In post","2022","20-29","London","Lambeth","London","680","670","34400","32330"
"In post","2022","20-29","London","Lewisham and Southwark","London","215","210","29280","28720"
"In post","2022","20-29","London","Merton, Kingston upon Thames and Sutton","London","90","90","30430","31060"
"In post","2022","20-29","London","Redbridge and Waltham Forest","London","225","225","28200","28150"
"In post","2022","20-29","London","Tower Hamlets","London","1220","1215","36280","33400"
"In post","2022","20-29","London","Wandsworth","London","190","190","30920","31060"
"In post","2022","20-29","London","Westminster","London","16065","16000","38470","35050"
"In post","2022","20-29","North East (England)","Darlington","Outside London","195","195","31450","29360"
"In post","2022","20-29","North East (England)","Durham","Outside London","885","860","24320","23140"
"In post","2022","20-29","North East (England)","Hartlepool and Stockton-on-Tees","Outside London","185","180","24560","24260"
"In post","2022","20-29","North East (England)","Northumberland","Outside London","35","35","26260","27570"
"In post","2022","20-29","North East (England)","South Teesside","Outside London","110","110","23950","21470"
"In post","2022","20-29","North East (England)","Sunderland","Outside London","440","425","24480","21260"
"In post","2022","20-29","North East (England)","Tyneside","Outside London","2740","2700","27090","26590"
"In post","2022","20-29","North West (England)","Blackburn with Darwen","Outside London","50","45","25320","24450"
"In post","2022","20-29","North West (England)","Blackpool","Outside London","685","675","24990","21260"
"In post","2022","20-29","North West (England)","Cheshire East","Outside London","205","205","24420","23140"
"In post","2022","20-29","North West (England)","Cheshire West and Chester","Outside London","70","70","24340","23630"
"In post","2022","20-29","North West (England)","Chorley and West Lancashire","Outside London","240","235","25110","24430"
"In post","2022","20-29","North West (England)","East Cumbria","Outside London","70","70","23870","21300"
"In post","2022","20-29","North West (England)","East Lancashire","Outside London","55","55","25480","26950"
"In post","2022","20-29","North West (England)","East Merseyside","Outside London","105","100","26290","27570"
"In post","2022","20-29","North West (England)","Greater Manchester North East","Outside London","170","165","25920","27570"
"In post","2022","20-29","North West (England)","Greater Manchester North West","Outside London","240","235","23980","23140"
"In post","2022","20-29","North West (England)","Greater Manchester South East","Outside London","120","120","23730","21260"
"In post","2022","20-29","North West (England)","Greater Manchester South West","Outside London","1515","1495","28000","26590"
"In post","2022","20-29","North West (England)","Lancaster and Wyre","Outside London","140","135","24660","24800"
"In post","2022","20-29","North West (England)","Liverpool","Outside London","2115","2070","25730","24880"
"In post","2022","20-29","North West (England)","Manchester","Outside London","1890","1875","29480","27570"
"In post","2022","20-29","North West (England)","Mid Lancashire","Outside London","545","530","24200","22600"
"In post","2022","20-29","North West (England)","Sefton","Outside London","755","740","25870","25000"
"In post","2022","20-29","North West (England)","Warrington","Outside London","400","395","28830","28840"
"In post","2022","20-29","North West (England)","West Cumbria","Outside London","175","170","25030","24610"
"In post","2022","20-29","North West (England)","Wirral","Outside London","225","220","24750","22600"
"In post","2022","20-29","Northern Ireland","Antrim and Newtownabbey","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Ards and North Down","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Armagh City, Banbridge and Craigavon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Belfast","Outside London","500","490","25560","21680"
"In post","2022","20-29","Northern Ireland","Causeway Coast and Glens","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Fermanagh and Omagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Lisburn and Castlereagh","Outside London","30","30","26080","24880"
"In post","2022","20-29","Northern Ireland","Mid Ulster","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Newry, Mourne and Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Overseas","Overseas","Overseas","325","325","35670","33230"
"In post","2022","20-29","Scotland","Aberdeen City and Aberdeenshire","Outside London","245","240","28620","27230"
"In post","2022","20-29","Scotland","Angus and Dundee City","Outside London","300","295","24220","21260"
"In post","2022","20-29","Scotland","Caithness and Sutherland, and Ross and Cromarty","Outside London","20","20","27320","26520"
"In post","2022","20-29","Scotland","City of Edinburgh","Outside London","2445","2410","29360","27230"
"In post","2022","20-29","Scotland","Clackmannanshire and Fife","Outside London","140","140","27120","26900"
"In post","2022","20-29","Scotland","Dumfries and Galloway","Outside London","70","65","27200","26960"
"In post","2022","20-29","Scotland","East Ayrshire and North Ayrshire mainland","Outside London","115","115","24380","23230"
"In post","2022","20-29","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","350","350","25440","23540"
"In post","2022","20-29","Scotland","East Lothian and Midlothian","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Scotland","Falkirk","Outside London","245","235","25000","22000"
"In post","2022","20-29","Scotland","Glasgow City","Outside London","2110","2075","27660","26590"
"In post","2022","20-29","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","120","115","27810","27020"
"In post","2022","20-29","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","110","105","25490","24020"
"In post","2022","20-29","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Outside London","30","30","25490","25940"
"In post","2022","20-29","Scotland","Na h-Eileanan Siar","Outside London","15","15","24380","21260"
"In post","2022","20-29","Scotland","North Lanarkshire","Outside London","380","365","24910","21640"
"In post","2022","20-29","Scotland","Orkney Islands","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Scotland","Perth and Kinross, and Stirling","Outside London","180","175","26770","26460"
"In post","2022","20-29","Scotland","Scottish Borders","Outside London","70","65","26050","25930"
"In post","2022","20-29","Scotland","Shetland Islands","Outside London","10","10","27380","27200"
"In post","2022","20-29","Scotland","South Ayrshire","Outside London","35","35","25490","27230"
"In post","2022","20-29","Scotland","South Lanarkshire","Outside London","520","505","26290","23510"
"In post","2022","20-29","Scotland","West Lothian","Outside London","35","30","27870","27230"
"In post","2022","20-29","South East (England)","Berkshire","Outside London","435","430","28300","27680"
"In post","2022","20-29","South East (England)","Brighton and Hove","Outside London","85","85","26290","26970"
"In post","2022","20-29","South East (England)","Buckinghamshire","Outside London","265","265","27930","28140"
"In post","2022","20-29","South East (England)","Central Hampshire","Outside London","710","705","29670","29230"
"In post","2022","20-29","South East (England)","East Kent","Outside London","585","580","25020","24880"
"In post","2022","20-29","South East (England)","East Surrey","Outside London","185","185","30460","31020"
"In post","2022","20-29","South East (England)","East Sussex CC","Outside London","280","275","24840","25120"
"In post","2022","20-29","South East (England)","Isle of Wight","Outside London","105","105","24530","24870"
"In post","2022","20-29","South East (England)","Kent Thames Gateway","Outside London","255","255","28320","29290"
"In post","2022","20-29","South East (England)","Medway","Outside London","260","255","28070","28140"
"In post","2022","20-29","South East (England)","Mid Kent","Outside London","100","95","26170","25210"
"In post","2022","20-29","South East (England)","Milton Keynes","Outside London","420","415","26890","26560"
"In post","2022","20-29","South East (England)","North Hampshire","Outside London","80","80","26700","25320"
"In post","2022","20-29","South East (England)","Oxfordshire CC","Outside London","350","345","27760","27850"
"In post","2022","20-29","South East (England)","Portsmouth","Outside London","355","355","26750","25040"
"In post","2022","20-29","South East (England)","South Hampshire","Outside London","565","545","28630","29350"
"In post","2022","20-29","South East (England)","Southampton","Outside London","175","175","27680","27530"
"In post","2022","20-29","South East (England)","West Kent","Outside London","30","30","30310","29230"
"In post","2022","20-29","South East (England)","West Surrey","Outside London","395","390","28710","27960"
"In post","2022","20-29","South East (England)","West Sussex (North East)","Outside London","135","135","26020","25770"
"In post","2022","20-29","South East (England)","West Sussex (South West)","Outside London","115","110","29340","27570"
"In post","2022","20-29","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","2735","2710","28190","27540"
"In post","2022","20-29","South West (England)","Bournemouth, Christchurch and Poole","Outside London","70","70","25170","24800"
"In post","2022","20-29","South West (England)","Bristol, City of","Outside London","1305","1285","28970","26820"
"In post","2022","20-29","South West (England)","Cornwall and Isles of Scilly","Outside London","140","140","24020","21260"
"In post","2022","20-29","South West (England)","Devon CC","Outside London","640","630","25660","24370"
"In post","2022","20-29","South West (England)","Dorset","Outside London","250","245","25000","24730"
"In post","2022","20-29","South West (England)","Gloucestershire CC","Outside London","150","150","26410","27130"
"In post","2022","20-29","South West (England)","Plymouth","Outside London","415","410","26570","26050"
"In post","2022","20-29","South West (England)","Somerset CC","Outside London","270","270","26300","26740"
"In post","2022","20-29","South West (England)","Swindon","Outside London","55","55","28180","27570"
"In post","2022","20-29","South West (England)","Torbay","Outside London","25","25","24720","23170"
"In post","2022","20-29","South West (England)","Wiltshire","Outside London","1280","1270","28590","28590"
"In post","2022","20-29","Unknown","Unknown","Unknown","805","800","29380","28980"
"In post","2022","20-29","Wales","Bridgend and Neath Port Talbot","Outside London","85","80","24360","21260"
"In post","2022","20-29","Wales","Cardiff and Vale of Glamorgan","Outside London","1925","1900","26980","25860"
"In post","2022","20-29","Wales","Central Valleys","Outside London","330","325","26400","27570"
"In post","2022","20-29","Wales","Conwy and Denbighshire","Outside London","65","60","25510","24630"
"In post","2022","20-29","Wales","Flintshire and Wrexham","Outside London","335","330","24010","23140"
"In post","2022","20-29","Wales","Gwent Valleys","Outside London","110","105","25010","25120"
"In post","2022","20-29","Wales","Gwynedd","Outside London","95","90","22940","21260"
"In post","2022","20-29","Wales","Isle of Anglesey","Outside London","10","10","24310","24890"
"In post","2022","20-29","Wales","Monmouthshire and Newport","Outside London","1230","1210","29440","30210"
"In post","2022","20-29","Wales","Powys","Outside London","35","35","24700","24630"
"In post","2022","20-29","Wales","South West Wales","Outside London","145","140","24620","24630"
"In post","2022","20-29","Wales","Swansea","Outside London","1140","1100","23650","21840"
"In post","2022","20-29","West Midlands (England)","Birmingham","Outside London","2410","2365","26700","25550"
"In post","2022","20-29","West Midlands (England)","Coventry","Outside London","445","440","30400","29360"
"In post","2022","20-29","West Midlands (England)","Dudley","Outside London","95","90","23770","21260"
"In post","2022","20-29","West Midlands (England)","Herefordshire, County of","Outside London","45","45","25710","25680"
"In post","2022","20-29","West Midlands (England)","Sandwell","Outside London","55","50","25820","27570"
"In post","2022","20-29","West Midlands (England)","Shropshire","Outside London","90","90","25530","25610"
"In post","2022","20-29","West Midlands (England)","Solihull","Outside London","170","165","25980","24880"
"In post","2022","20-29","West Midlands (England)","Staffordshire CC","Outside London","695","685","25630","25120"
"In post","2022","20-29","West Midlands (England)","Stoke-on-Trent","Outside London","200","190","23200","20970"
"In post","2022","20-29","West Midlands (England)","Telford and Wrekin","Outside London","205","200","28520","27130"
"In post","2022","20-29","West Midlands (England)","Walsall","Outside London","50","45","24520","23170"
"In post","2022","20-29","West Midlands (England)","Warwickshire CC","Outside London","125","125","25090","23630"
"In post","2022","20-29","West Midlands (England)","Wolverhampton","Outside London","150","145","26570","24860"
"In post","2022","20-29","West Midlands (England)","Worcestershire CC","Outside London","355","350","24460","24260"
"In post","2022","20-29","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","Outside London","415","410","24930","24430"
"In post","2022","20-29","Yorkshire and The Humber","Bradford","Outside London","555","530","23410","21250"
"In post","2022","20-29","Yorkshire and The Humber","Calderdale and Kirklees","Outside London","135","130","25890","27570"
"In post","2022","20-29","Yorkshire and The Humber","East Riding of Yorkshire","Outside London","305","305","24610","24730"
"In post","2022","20-29","Yorkshire and The Humber","Kingston upon Hull, City of","Outside London","290","285","24800","24260"
"In post","2022","20-29","Yorkshire and The Humber","Leeds","Outside London","2885","2850","28860","26820"
"In post","2022","20-29","Yorkshire and The Humber","North and North East Lincolnshire","Outside London","110","105","23140","21680"
"In post","2022","20-29","Yorkshire and The Humber","North Yorkshire CC","Outside London","150","150","26670","25460"
"In post","2022","20-29","Yorkshire and The Humber","Sheffield","Outside London","1070","1055","28270","25040"
"In post","2022","20-29","Yorkshire and The Humber","Wakefield","Outside London","270","265","25470","24800"
"In post","2022","20-29","Yorkshire and The Humber","York","Outside London","455","450","27200","26370"
"In post","2022","30-39","East Midlands (England)","Derby","Outside London","225","200","26750","25120"
"In post","2022","30-39","East Midlands (England)","East Derbyshire","Outside London","55","50","27780","27570"
"In post","2022","30-39","East Midlands (England)","Leicester","Outside London","510","470","27410","26820"
"In post","2022","30-39","East Midlands (England)","Leicestershire CC and Rutland","Outside London","440","415","29350","27570"
"In post","2022","30-39","East Midlands (England)","Lincolnshire CC","Outside London","490","470","28320","27120"
"In post","2022","30-39","East Midlands (England)","North Northamptonshire","Outside London","110","95","24720","21260"
"In post","2022","30-39","East Midlands (England)","North Nottinghamshire","Outside London","240","225","29170","27570"
"In post","2022","30-39","East Midlands (England)","Nottingham","Outside London","1930","1840","31990","28920"
"In post","2022","30-39","East Midlands (England)","South and West Derbyshire","Outside London","210","195","30800","28550"
"In post","2022","30-39","East Midlands (England)","South Nottinghamshire","Outside London","210","195","31970","30550"
"In post","2022","30-39","East Midlands (England)","West Northamptonshire","Outside London","220","200","28110","25700"
"In post","2022","30-39","East of England","Bedford","Outside London","175","165","29540","28140"
"In post","2022","30-39","East of England","Breckland and South Norfolk","Outside London","125","120","29110","27120"
"In post","2022","30-39","East of England","Cambridgeshire CC","Outside London","740","715","32120","31180"
"In post","2022","30-39","East of England","Central Bedfordshire","Outside London","55","55","31150","26900"
