"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","South East (England)","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South East (England)","Surrey, East and West Sussex","Outside London","20","20","40560","38430"
"In post","2022","Communications","South West (England)","Cornwall and Isles of Scilly","Outside London","10","10","23270","21280"
"In post","2022","Communications","South West (England)","Devon","Outside London","50","45","39200","37420"
"In post","2022","Communications","South West (England)","Dorset and Somerset","Outside London","50","45","35070","33290"
"In post","2022","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","200","185","36590","33950"
"In post","2022","Communications","Unknown","Unknown","Unknown","15","15","47540","38950"
"In post","2022","Communications","Wales","East Wales","Outside London","860","825","31200","26820"
"In post","2022","Communications","Wales","West Wales and The Valleys","Outside London","80","75","31270","26780"
"In post","2022","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","20","20","37940","36850"
"In post","2022","Communications","West Midlands (England)","Shropshire and Staffordshire","Outside London","50","45","33670","32590"
"In post","2022","Communications","West Midlands (England)","West Midlands","Outside London","560","550","30230","26820"
"In post","2022","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Yorkshire and The Humber","North Yorkshire","Outside London","25","20","33630","33300"
"In post","2022","Communications","Yorkshire and The Humber","South Yorkshire","Outside London","55","50","40770","38950"
"In post","2022","Communications","Yorkshire and The Humber","West Yorkshire","Outside London","660","645","32430","26820"
"In post","2022","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","800","740","33680","33080"
"In post","2022","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","90","80","29610","27570"
"In post","2022","Counter Fraud","East Midlands (England)","Lincolnshire","Outside London","25","25","27570","27570"
"In post","2022","Counter Fraud","East of England","Bedfordshire and Hertfordshire","Outside London","120","110","30590","29290"
"In post","2022","Counter Fraud","East of England","East Anglia","Outside London","480","440","28750","27570"
"In post","2022","Counter Fraud","East of England","Essex","Outside London","125","115","31410","30180"
"In post","2022","Counter Fraud","London","Inner London - East","London","1560","1495","38020","37610"
"In post","2022","Counter Fraud","London","Inner London - West","London","520","490","43980","40000"
"In post","2022","Counter Fraud","London","Outer London - East and North East","London","525","470","28350","25110"
"In post","2022","Counter Fraud","London","Outer London - South","London","865","825","39420","37610"
"In post","2022","Counter Fraud","London","Outer London - West and North West","London","130","120","32580","31880"
"In post","2022","Counter Fraud","North East (England)","Northumberland, and Tyne and Wear","Outside London","945","895","32080","27570"
"In post","2022","Counter Fraud","North East (England)","Tees Valley and Durham","Outside London","190","165","25390","26120"
"In post","2022","Counter Fraud","North West (England)","Cheshire","Outside London","30","25","27920","27570"
"In post","2022","Counter Fraud","North West (England)","Cumbria","Outside London","25","20","28230","27570"
"In post","2022","Counter Fraud","North West (England)","Greater Manchester","Outside London","1410","1330","33950","33080"
"In post","2022","Counter Fraud","North West (England)","Lancashire","Outside London","225","210","28900","27570"
"In post","2022","Counter Fraud","North West (England)","Merseyside","Outside London","895","835","32650","27940"
"In post","2022","Counter Fraud","Northern Ireland","Northern Ireland","Outside London","450","430","32900","33080"
"In post","2022","Counter Fraud","Scotland","Eastern Scotland","Outside London","455","415","30130","27570"
"In post","2022","Counter Fraud","Scotland","Highlands and Islands","Outside London","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Scotland","North Eastern Scotland","Outside London","20","15","27060","27570"
"In post","2022","Counter Fraud","Scotland","Southern Scotland","Outside London","300","265","26200","26820"
"In post","2022","Counter Fraud","Scotland","West Central Scotland","Outside London","1050","960","29490","27570"
"In post","2022","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","175","160","31060","29530"
"In post","2022","Counter Fraud","South East (England)","Hampshire and Isle of Wight","Outside London","365","320","28800","27570"
"In post","2022","Counter Fraud","South East (England)","Kent","Outside London","475","440","29480","28920"
"In post","2022","Counter Fraud","South East (England)","Surrey, East and West Sussex","Outside London","200","180","29210","27570"
"In post","2022","Counter Fraud","South West (England)","Cornwall and Isles of Scilly","Outside London","60","55","28960","27570"
"In post","2022","Counter Fraud","South West (England)","Devon","Outside London","120","100","28120","27570"
"In post","2022","Counter Fraud","South West (England)","Dorset and Somerset","Outside London","90","80","28090","27570"
"In post","2022","Counter Fraud","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","520","480","34700","31000"
"In post","2022","Counter Fraud","Unknown","Unknown","Unknown","15","15","36140","29780"
"In post","2022","Counter Fraud","Wales","East Wales","Outside London","635","585","30870","27570"
"In post","2022","Counter Fraud","Wales","West Wales and The Valleys","Outside London","410","375","26640","27570"
"In post","2022","Counter Fraud","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","65","55","28590","27570"
"In post","2022","Counter Fraud","West Midlands (England)","Shropshire and Staffordshire","Outside London","110","95","28880","27570"
"In post","2022","Counter Fraud","West Midlands (England)","West Midlands","Outside London","1125","1035","31600","27570"
"In post","2022","Counter Fraud","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","90","75","28150","27570"
"In post","2022","Counter Fraud","Yorkshire and The Humber","North Yorkshire","Outside London","75","70","31030","30810"
"In post","2022","Counter Fraud","Yorkshire and The Humber","South Yorkshire","Outside London","140","125","28450","27570"
"In post","2022","Counter Fraud","Yorkshire and The Humber","West Yorkshire","Outside London","1115","1035","32690","28920"
"In post","2022","Debt","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","285","260","22890","21250"
"In post","2022","Debt","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","225","185","22490","21260"
"In post","2022","Debt","East of England","Bedfordshire and Hertfordshire","Outside London","75","65","26470","25110"
"In post","2022","Debt","East of England","East Anglia","Outside London","35","30","25400","22080"
"In post","2022","Debt","East of England","Essex","Outside London","50","40","24050","22080"
"In post","2022","Debt","London","Inner London - East","London","255","225","29290","26400"
"In post","2022","Debt","London","Inner London - West","London","20","20","54810","48130"
"In post","2022","Debt","London","Outer London - South","London","220","195","28790","26400"
"In post","2022","Debt","London","Outer London - West and North West","London","10","10","[c]","[c]"
"In post","2022","Debt","North East (England)","Northumberland, and Tyne and Wear","Outside London","950","845","22540","21260"
"In post","2022","Debt","North East (England)","Tees Valley and Durham","Outside London","10","10","24650","22080"
"In post","2022","Debt","North West (England)","Greater Manchester","Outside London","290","260","22960","21260"
"In post","2022","Debt","North West (England)","Lancashire","Outside London","50","45","25300","24040"
"In post","2022","Debt","North West (England)","Merseyside","Outside London","400","370","23720","21250"
"In post","2022","Debt","Northern Ireland","Northern Ireland","Outside London","10","10","27890","26820"
"In post","2022","Debt","Scotland","Eastern Scotland","Outside London","515","485","22620","21250"
"In post","2022","Debt","Scotland","Highlands and Islands","Outside London","100","90","22240","21260"
"In post","2022","Debt","Scotland","Southern Scotland","Outside London","275","255","23610","21250"
"In post","2022","Debt","Scotland","West Central Scotland","Outside London","460","390","23820","21260"
"In post","2022","Debt","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","28700","28920"
"In post","2022","Debt","South East (England)","Hampshire and Isle of Wight","Outside London","10","10","29460","28760"
"In post","2022","Debt","South East (England)","Surrey, East and West Sussex","Outside London","50","35","28690","28920"
"In post","2022","Debt","South West (England)","Dorset and Somerset","Outside London","135","115","21990","21260"
"In post","2022","Debt","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","20","20","27760","28920"
"In post","2022","Debt","Unknown","Unknown","Unknown","70","55","25610","25110"
"In post","2022","Debt","Wales","East Wales","Outside London","390","365","24030","21250"
"In post","2022","Debt","Wales","West Wales and The Valleys","Outside London","70","60","22100","21260"
"In post","2022","Debt","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","220","180","22130","21260"
"In post","2022","Debt","West Midlands (England)","Shropshire and Staffordshire","Outside London","20","20","38530","40180"
