"Status","Year","Disability","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","No function","London","Heterosexual / straight","3835","3660","39270","33690"
"In post","2022","Declared disabled","No function","London","LGBO","635","625","40910","34710"
"In post","2022","Declared disabled","No function","London","Undeclared","495","475","38290","33440"
"In post","2022","Declared disabled","No function","London","Unknown","305","280","36030","31740"
"In post","2022","Declared disabled","No function","Outside London","Heterosexual / straight","20460","18310","28270","27570"
"In post","2022","Declared disabled","No function","Outside London","LGBO","2275","2170","27990","27570"
"In post","2022","Declared disabled","No function","Outside London","Undeclared","2780","2440","27710","27130"
"In post","2022","Declared disabled","No function","Outside London","Unknown","1960","1670","27310","26820"
"In post","2022","Declared disabled","No function","Overseas","Heterosexual / straight","95","95","49130","39280"
"In post","2022","Declared disabled","No function","Overseas","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","No function","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","No function","Overseas","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","No function","Unknown","Heterosexual / straight","60","55","30020","27570"
"In post","2022","Declared disabled","No function","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","No function","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","London","Heterosexual / straight","305","290","48380","44500"
"In post","2022","Declared disabled","Project Delivery","London","LGBO","50","50","50080","41750"
"In post","2022","Declared disabled","Project Delivery","London","Undeclared","30","30","50530","44390"
"In post","2022","Declared disabled","Project Delivery","London","Unknown","40","35","45760","40910"
"In post","2022","Declared disabled","Project Delivery","Outside London","Heterosexual / straight","1635","1555","37680","34570"
"In post","2022","Declared disabled","Project Delivery","Outside London","LGBO","150","145","36740","33870"
"In post","2022","Declared disabled","Project Delivery","Outside London","Undeclared","240","225","38190","38240"
"In post","2022","Declared disabled","Project Delivery","Outside London","Unknown","115","105","36080","33440"
"In post","2022","Declared disabled","Project Delivery","Overseas","Heterosexual / straight","40","40","56290","55620"
"In post","2022","Declared disabled","Project Delivery","Overseas","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
