"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data and Technology","Outside London","G6/G7","Female","1350","1300","55460","54000"
"In post","2022","Digital, Data and Technology","Outside London","G6/G7","Male","2665","2645","57920","55370"
"In post","2022","Digital, Data and Technology","Outside London","SCS level","Female","45","45","82770","76900"
"In post","2022","Digital, Data and Technology","Outside London","SCS level","Male","105","105","90810","85800"
"In post","2022","Digital, Data and Technology","Outside London","SEO/HEO","Female","2755","2620","36200","35730"
"In post","2022","Digital, Data and Technology","Outside London","SEO/HEO","Male","5320","5240","37750","37100"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","EO","Male","15","15","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Economics","London","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","Economics","London","EO","Female","60","60","27390","27680"
"In post","2022","Economics","London","EO","Male","45","45","27500","27680"
"In post","2022","Economics","London","G6/G7","Female","270","250","60440","57910"
"In post","2022","Economics","London","G6/G7","Male","470","465","60800","58900"
"In post","2022","Economics","London","SCS level","Female","35","30","85660","79590"
"In post","2022","Economics","London","SCS level","Male","50","50","97980","85000"
"In post","2022","Economics","London","SEO/HEO","Female","225","225","35940","34570"
"In post","2022","Economics","London","SEO/HEO","Male","455","450","35780","34710"
"In post","2022","Economics","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Economics","Outside London","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","Economics","Outside London","EO","Female","15","15","[c]","[c]"
"In post","2022","Economics","Outside London","EO","Male","20","20","[c]","[c]"
"In post","2022","Economics","Outside London","G6/G7","Female","50","45","55630","52650"
"In post","2022","Economics","Outside London","G6/G7","Male","90","85","56990","55210"
"In post","2022","Economics","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Economics","Outside London","SEO/HEO","Female","75","70","34830","33370"
"In post","2022","Economics","Outside London","SEO/HEO","Male","115","110","34050","32320"
"In post","2022","Economics","Overseas","G6/G7","Female","10","10","[c]","[c]"
