"Status","Year","Region_ITL3","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Barking & Dagenham and Havering","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","London","Female","Heterosexual / straight","790","730","36630","32330"
"In post","2022","Barnet","London","Female","LGBO","40","40","35630","32330"
"In post","2022","Barnet","London","Female","Undeclared","95","85","36590","32330"
"In post","2022","Barnet","London","Female","Unknown","210","190","45540","36650"
"In post","2022","Barnet","London","Male","Heterosexual / straight","430","415","40050","32970"
"In post","2022","Barnet","London","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Barnet","London","Male","Undeclared","70","65","45350","40070"
"In post","2022","Barnet","London","Male","Unknown","130","130","46220","41950"
"In post","2022","Barnet","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Barnet","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Female","Heterosexual / straight","1400","1210","26960","27120"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Female","LGBO","70","70","29650","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Female","Undeclared","140","120","26810","27120"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Female","Unknown","320","270","25220","24430"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Male","Heterosexual / straight","800","760","29670","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Male","LGBO","60","55","27680","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Male","Undeclared","110","100","31630","31630"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Male","Unknown","230","215","28040","27120"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","Heterosexual / straight","4365","4045","35310","33000"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","LGBO","215","210","31610","28840"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","Undeclared","530","490","36770","34070"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","Unknown","460","425","33300","29750"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","Heterosexual / straight","6345","6240","40290","38300"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","LGBO","255","255","35190","32710"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","Undeclared","905","875","42550","40660"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","Unknown","660","645","36590","33000"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","Female","Heterosexual / straight","340","315","29390","27570"
"In post","2022","Bedford","Outside London","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Bedford","Outside London","Female","Undeclared","40","35","32860","27570"
"In post","2022","Bedford","Outside London","Female","Unknown","80","70","29600","27770"
"In post","2022","Bedford","Outside London","Male","Heterosexual / straight","250","245","32860","29400"
"In post","2022","Bedford","Outside London","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Bedford","Outside London","Male","Undeclared","45","40","32550","30700"
"In post","2022","Bedford","Outside London","Male","Unknown","65","65","28730","28140"
"In post","2022","Bedford","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Belfast","Outside London","Female","Heterosexual / straight","1055","965","31350","28570"
"In post","2022","Belfast","Outside London","Female","LGBO","50","45","29100","26820"
"In post","2022","Belfast","Outside London","Female","Undeclared","60","55","30930","28120"
"In post","2022","Belfast","Outside London","Female","Unknown","425","385","27650","24890"
"In post","2022","Belfast","Outside London","Male","Heterosexual / straight","945","920","32440","28920"
"In post","2022","Belfast","Outside London","Male","LGBO","60","60","28800","26590"
"In post","2022","Belfast","Outside London","Male","Undeclared","90","85","32400","31950"
"In post","2022","Belfast","Outside London","Male","Unknown","450","445","27970","26590"
"In post","2022","Belfast","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Belfast","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire","Outside London","Female","Heterosexual / straight","940","865","32890","29290"
"In post","2022","Berkshire","Outside London","Female","LGBO","45","45","30780","29290"
"In post","2022","Berkshire","Outside London","Female","Undeclared","120","110","32410","29290"
"In post","2022","Berkshire","Outside London","Female","Unknown","290","265","32150","29290"
"In post","2022","Berkshire","Outside London","Male","Heterosexual / straight","1025","1005","36310","34820"
"In post","2022","Berkshire","Outside London","Male","LGBO","55","55","36200","29290"
"In post","2022","Berkshire","Outside London","Male","Undeclared","155","150","37240","37580"
"In post","2022","Berkshire","Outside London","Male","Unknown","305","300","34720","30110"
"In post","2022","Berkshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bexley and Greenwich","London","Female","Heterosexual / straight","635","595","31230","31060"
"In post","2022","Bexley and Greenwich","London","Female","LGBO","40","40","32430","31470"
"In post","2022","Bexley and Greenwich","London","Female","Undeclared","65","60","31520","31060"
"In post","2022","Bexley and Greenwich","London","Female","Unknown","200","190","29210","29020"
"In post","2022","Bexley and Greenwich","London","Male","Heterosexual / straight","560","550","34200","33490"
"In post","2022","Bexley and Greenwich","London","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Bexley and Greenwich","London","Male","Undeclared","70","65","35220","34350"
"In post","2022","Bexley and Greenwich","London","Male","Unknown","195","190","31970","31790"
"In post","2022","Bexley and Greenwich","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bexley and Greenwich","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Birmingham","Outside London","Female","Heterosexual / straight","4900","4485","31240","27570"
"In post","2022","Birmingham","Outside London","Female","LGBO","220","210","31870","27570"
"In post","2022","Birmingham","Outside London","Female","Undeclared","550","490","30920","27570"
"In post","2022","Birmingham","Outside London","Female","Unknown","1720","1550","29100","26590"
"In post","2022","Birmingham","Outside London","Male","Heterosexual / straight","3625","3530","33520","28920"
"In post","2022","Birmingham","Outside London","Male","LGBO","230","225","32330","27570"
"In post","2022","Birmingham","Outside London","Male","Undeclared","415","405","33300","27780"
"In post","2022","Birmingham","Outside London","Male","Unknown","1370","1320","31360","27570"
"In post","2022","Birmingham","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Birmingham","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","Outside London","Female","Heterosexual / straight","210","180","27760","27570"
"In post","2022","Blackburn with Darwen","Outside London","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Blackburn with Darwen","Outside London","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Blackburn with Darwen","Outside London","Female","Unknown","55","45","24600","23630"
"In post","2022","Blackburn with Darwen","Outside London","Male","Heterosexual / straight","130","125","27390","27570"
"In post","2022","Blackburn with Darwen","Outside London","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Blackburn with Darwen","Outside London","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Blackburn with Darwen","Outside London","Male","Unknown","45","45","27450","27570"
"In post","2022","Blackburn with Darwen","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Blackpool","Outside London","Female","Heterosexual / straight","2340","2085","28940","27570"
"In post","2022","Blackpool","Outside London","Female","LGBO","120","115","27100","27570"
"In post","2022","Blackpool","Outside London","Female","Undeclared","235","210","29500","27570"
"In post","2022","Blackpool","Outside London","Female","Unknown","700","610","28480","27570"
"In post","2022","Blackpool","Outside London","Male","Heterosexual / straight","1425","1390","31980","27570"
"In post","2022","Blackpool","Outside London","Male","LGBO","110","110","28070","27570"
"In post","2022","Blackpool","Outside London","Male","Undeclared","165","160","31130","27570"
"In post","2022","Blackpool","Outside London","Male","Unknown","460","440","31900","27570"
"In post","2022","Blackpool","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Blackpool","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Female","Heterosexual / straight","325","290","28370","27570"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Female","Undeclared","40","35","28420","27570"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Female","Unknown","70","55","26690","27570"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Male","Heterosexual / straight","235","225","27800","27370"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Male","Undeclared","35","35","26960","26670"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Male","Unknown","40","35","28850","27130"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bradford","Outside London","Female","Heterosexual / straight","1045","895","26820","26120"
"In post","2022","Bradford","Outside London","Female","LGBO","55","50","25960","23170"
"In post","2022","Bradford","Outside London","Female","Undeclared","120","100","25460","22080"
"In post","2022","Bradford","Outside London","Female","Unknown","465","375","24360","22080"
"In post","2022","Bradford","Outside London","Male","Heterosexual / straight","640","605","26650","24450"
"In post","2022","Bradford","Outside London","Male","LGBO","35","35","24960","22080"
"In post","2022","Bradford","Outside London","Male","Undeclared","75","70","27210","22080"
"In post","2022","Bradford","Outside London","Male","Unknown","330","310","24950","21260"
"In post","2022","Bradford","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bradford","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","Outside London","Female","Heterosexual / straight","165","155","29200","26850"
"In post","2022","Breckland and South Norfolk","Outside London","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Breckland and South Norfolk","Outside London","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Breckland and South Norfolk","Outside London","Female","Unknown","35","30","29940","26440"
"In post","2022","Breckland and South Norfolk","Outside London","Male","Heterosexual / straight","220","210","29690","27120"
"In post","2022","Breckland and South Norfolk","Outside London","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Breckland and South Norfolk","Outside London","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Breckland and South Norfolk","Outside London","Male","Unknown","45","40","26890","26750"
"In post","2022","Breckland and South Norfolk","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Brent","London","Female","Heterosexual / straight","245","225","31470","31060"
"In post","2022","Brent","London","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Brent","London","Female","Undeclared","50","45","30650","30620"
"In post","2022","Brent","London","Female","Unknown","90","75","31200","30460"
"In post","2022","Brent","London","Male","Heterosexual / straight","135","130","33620","31060"
"In post","2022","Brent","London","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Brent","London","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Brent","London","Male","Unknown","60","60","33120","31060"
"In post","2022","Brent","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Brent","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Female","Heterosexual / straight","400","350","26980","27570"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Female","Undeclared","20","15","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Female","Unknown","100","80","26060","25000"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Male","Heterosexual / straight","175","170","30930","27570"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Male","Unknown","40","40","27620","27570"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bridgend and Neath Port Talbot","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","Outside London","Female","Heterosexual / straight","310","275","32720","27570"
"In post","2022","Brighton and Hove","Outside London","Female","LGBO","55","50","31720","27570"
"In post","2022","Brighton and Hove","Outside London","Female","Undeclared","40","35","29690","27570"
"In post","2022","Brighton and Hove","Outside London","Female","Unknown","75","65","31330","27570"
"In post","2022","Brighton and Hove","Outside London","Male","Heterosexual / straight","140","135","35670","27570"
"In post","2022","Brighton and Hove","Outside London","Male","LGBO","45","40","32240","27570"
"In post","2022","Brighton and Hove","Outside London","Male","Undeclared","30","25","30300","27570"
"In post","2022","Brighton and Hove","Outside London","Male","Unknown","35","30","31610","27660"
"In post","2022","Brighton and Hove","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Brighton and Hove","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","Outside London","Female","Heterosexual / straight","2530","2300","34620","30560"
"In post","2022","Bristol, City of","Outside London","Female","LGBO","195","190","34250","30190"
"In post","2022","Bristol, City of","Outside London","Female","Undeclared","305","275","34700","32750"
"In post","2022","Bristol, City of","Outside London","Female","Unknown","660","585","31950","27570"
"In post","2022","Bristol, City of","Outside London","Male","Heterosexual / straight","1995","1940","37260","33370"
"In post","2022","Bristol, City of","Outside London","Male","LGBO","170","165","35570","32540"
"In post","2022","Bristol, City of","Outside London","Male","Undeclared","290","280","36390","31900"
"In post","2022","Bristol, City of","Outside London","Male","Unknown","580","555","34780","30730"
"In post","2022","Bristol, City of","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bristol, City of","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","London","Female","Heterosexual / straight","305","280","31260","31060"
"In post","2022","Bromley","London","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Bromley","London","Female","Undeclared","35","35","34470","31880"
"In post","2022","Bromley","London","Female","Unknown","65","55","32260","31880"
"In post","2022","Bromley","London","Male","Heterosexual / straight","105","100","33200","31060"
"In post","2022","Bromley","London","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Bromley","London","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Bromley","London","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Bromley","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bromley","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","Outside London","Female","Heterosexual / straight","745","695","32650","28670"
"In post","2022","Buckinghamshire","Outside London","Female","LGBO","50","45","30250","28140"
"In post","2022","Buckinghamshire","Outside London","Female","Undeclared","90","85","30580","28670"
"In post","2022","Buckinghamshire","Outside London","Female","Unknown","100","90","30440","27570"
"In post","2022","Buckinghamshire","Outside London","Male","Heterosexual / straight","530","520","34730","32040"
"In post","2022","Buckinghamshire","Outside London","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Buckinghamshire","Outside London","Male","Undeclared","70","70","34870","34250"
"In post","2022","Buckinghamshire","Outside London","Male","Unknown","85","80","35060","33000"
"In post","2022","Buckinghamshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Buckinghamshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Female","Heterosexual / straight","60","55","28370","27570"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Female","Undeclared","10","5","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Female","Unknown","30","25","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Male","Heterosexual / straight","55","55","32590","31030"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Male","Unknown","40","40","31210","30040"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Caithness and Sutherland, and Ross and Cromarty","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","Outside London","Female","Heterosexual / straight","500","440","28470","27570"
"In post","2022","Calderdale and Kirklees","Outside London","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Calderdale and Kirklees","Outside London","Female","Undeclared","70","55","27220","27570"
"In post","2022","Calderdale and Kirklees","Outside London","Female","Unknown","105","85","27840","27570"
"In post","2022","Calderdale and Kirklees","Outside London","Male","Heterosexual / straight","245","240","28890","27570"
"In post","2022","Calderdale and Kirklees","Outside London","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Calderdale and Kirklees","Outside London","Male","Undeclared","35","35","28140","27570"
"In post","2022","Calderdale and Kirklees","Outside London","Male","Unknown","75","75","27390","27570"
"In post","2022","Calderdale and Kirklees","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Calderdale and Kirklees","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","Outside London","Female","Heterosexual / straight","1180","1100","31840","28700"
"In post","2022","Cambridgeshire CC","Outside London","Female","LGBO","55","55","27710","26750"
"In post","2022","Cambridgeshire CC","Outside London","Female","Undeclared","185","180","34100","31270"
"In post","2022","Cambridgeshire CC","Outside London","Female","Unknown","225","205","30470","27000"
"In post","2022","Cambridgeshire CC","Outside London","Male","Heterosexual / straight","1290","1255","35420","33000"
"In post","2022","Cambridgeshire CC","Outside London","Male","LGBO","60","60","33020","30120"
"In post","2022","Cambridgeshire CC","Outside London","Male","Undeclared","205","200","35940","33300"
"In post","2022","Cambridgeshire CC","Outside London","Male","Unknown","280","270","33310","31510"
"In post","2022","Cambridgeshire CC","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cambridgeshire CC","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","London","Female","Heterosexual / straight","760","710","36390","29080"
"In post","2022","Camden and City of London","London","Female","LGBO","30","30","45000","41060"
"In post","2022","Camden and City of London","London","Female","Undeclared","115","105","36380","31060"
"In post","2022","Camden and City of London","London","Female","Unknown","195","185","34240","28310"
"In post","2022","Camden and City of London","London","Male","Heterosexual / straight","590","580","42140","31520"
"In post","2022","Camden and City of London","London","Male","LGBO","55","55","40110","35450"
"In post","2022","Camden and City of London","London","Male","Undeclared","125","120","39700","31520"
"In post","2022","Camden and City of London","London","Male","Unknown","225","225","45230","35050"
"In post","2022","Camden and City of London","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Camden and City of London","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Female","Heterosexual / straight","4585","4195","34980","30450"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Female","LGBO","290","280","31720","26820"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Female","Undeclared","470","430","36150","30300"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Female","Unknown","1070","955","28570","26590"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Male","Heterosexual / straight","3640","3545","36400","32640"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Male","LGBO","335","330","34300","29430"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Male","Undeclared","495","475","38050","33370"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Male","Unknown","1045","1010","30220","26820"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cardiff and Vale of Glamorgan","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Causeway Coast and Glens","Outside London","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Causeway Coast and Glens","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Causeway Coast and Glens","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Causeway Coast and Glens","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
