"Status","Year","Disability","Function_of_post","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Operational Research","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Science and Engineering","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Defence","Statistics","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Operational Delivery","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Operational Research","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Social Research","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Statistics","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Other","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Gas and Electricity Markets","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Office of the Secretary of State for Wales","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scottish Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Export Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Operational Delivery","40","40","31820","31700"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Social Research","70","65","38730","38340"
"In post","2022","Declared disabled","Analysis","UK Statistics Authority","Statistics","65","60","41140","38340"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Welsh Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","Commercial","30","30","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","Unknown","35","35","54840","54700"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Commercial","20","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Commercial","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Commercial","20","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","Commercial","35","30","35600","31850"
"In post","2022","Declared disabled","Commercial","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Commercial","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Estyn","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Commercial","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","Commercial","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Commercial","130","125","38420","38110"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Other","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Project Delivery","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Commercial","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scottish Government","Commercial","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","The National Archives","Commercial","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Export Finance","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Statistics Authority","Commercial","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Education","Communications","20","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Communications","25","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Transport","Communications","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Work and Pensions","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Work and Pensions","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Work and Pensions","Other","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department of Health and Social Care","Communications","25","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
