"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Charity Commission","G6/G7","G6","20","20","63030","62480"
"In post","2022","Charity Commission","G6/G7","G7","50","45","51270","51070"
"In post","2022","Charity Commission","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","HEO","150","145","29220","29160"
"In post","2022","Charity Commission","SEO/HEO","SEO","100","95","37570","37910"
"In post","2022","Competition and Markets Authority","AA/AO","AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","EO","EO","70","65","28170","27920"
"In post","2022","Competition and Markets Authority","G6/G7","G6","205","195","75900","75140"
"In post","2022","Competition and Markets Authority","G6/G7","G7","240","235","57260","56360"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","125","120","107650","99920"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","145","140","34810","34570"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","60","60","43890","43880"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AA","110","105","18860","19150"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AO","1390","1270","21800","21190"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","EO","1960","1870","26490","25880"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G6","1040","995","66420","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G7","2975","2885","54410","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","400","385","88070","81390"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","3115","3015","33850","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","3085","2980","41770","40050"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","AO","10","10","23930","23560"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","EO","185","185","26790","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G6","235","230","63900","62910"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","G7","680","670","53570","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","SCS level","125","120","83590","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","775","770","35420","34020"
"In post","2022","Department for Education","AA/AO","AO","125","120","21980","21250"
"In post","2022","Department for Education","EO","EO","935","905","26310","25000"
"In post","2022","Department for Education","G6/G7","G6","1005","965","64440","64180"
"In post","2022","Department for Education","G6/G7","G7","2250","2170","52080","50630"
"In post","2022","Department for Education","SCS level","SCS level","300","285","82800","74120"
"In post","2022","Department for Education","SEO/HEO","HEO","1765","1705","31160","30200"
"In post","2022","Department for Education","SEO/HEO","SEO","2325","2240","38760","36970"
"In post","2022","Department for Environment, Food and Rural Affairs","AA/AO","AA","10","10","20490","21580"
"In post","2022","Department for Environment, Food and Rural Affairs","AA/AO","AO","2385","2195","21720","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","EO","2300","2175","26130","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","G6/G7","G6","660","640","62750","62260"
"In post","2022","Department for Environment, Food and Rural Affairs","G6/G7","G7","2035","1965","51550","51770"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS level","SCS level","220","210","83160","77240"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","2595","2505","31370","30470"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","2545","2435","38630","37480"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","30","30","[c]","[c]"
"In post","2022","Department for International Trade","AA/AO","AO","25","25","24980","25140"
"In post","2022","Department for International Trade","EO","EO","275","270","27530","26510"
"In post","2022","Department for International Trade","G6/G7","G6","310","305","64710","63190"
"In post","2022","Department for International Trade","G6/G7","G7","855","845","53480","51970"
"In post","2022","Department for International Trade","SCS level","SCS level","175","170","86550","76790"
"In post","2022","Department for International Trade","SEO/HEO","HEO","620","615","32760","31800"
"In post","2022","Department for International Trade","SEO/HEO","SEO","620","620","39930","38540"
"In post","2022","Department for Levelling Up, Housing and Communities","AA/AO","AA","10","5","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","AA/AO","AO","210","195","22700","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","EO","440","425","27640","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","G6/G7","G6","595","555","64470","63470"
"In post","2022","Department for Levelling Up, Housing and Communities","G6/G7","G7","1140","1100","52210","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS level","SCS level","185","175","86020","77320"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","865","845","32920","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","710","695","39640","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","AA/AO","AA","1285","1030","18610","18310"
"In post","2022","Department for Transport","AA/AO","AO","4435","3950","22990","21840"
"In post","2022","Department for Transport","EO","EO","4265","4015","27850","26780"
"In post","2022","Department for Transport","G6/G7","G6","595","575","69150","66090"
"In post","2022","Department for Transport","G6/G7","G7","1455","1425","56240","54650"
"In post","2022","Department for Transport","SCS level","SCS level","255","245","88160","79910"
"In post","2022","Department for Transport","SEO/HEO","HEO","2295","2235","33560","33350"
"In post","2022","Department for Transport","SEO/HEO","SEO","1805","1770","42840","42470"
"In post","2022","Department for Work and Pensions","AA/AO","AA","280","230","20410","20480"
"In post","2022","Department for Work and Pensions","AA/AO","AO","29045","25055","21420","21260"
"In post","2022","Department for Work and Pensions","EO","EO","48390","43760","28110","27570"
"In post","2022","Department for Work and Pensions","G6/G7","G6","1075","1040","67210","66250"
"In post","2022","Department for Work and Pensions","G6/G7","G7","3020","2910","53820","52750"
"In post","2022","Department for Work and Pensions","SCS level","SCS level","300","295","87970","80000"
"In post","2022","Department for Work and Pensions","SEO/HEO","HEO","7645","7180","33510","32250"
"In post","2022","Department for Work and Pensions","SEO/HEO","SEO","4400","4195","40530","38480"
"In post","2022","Department of Health and Social Care","AA/AO","AA","140","110","20590","19520"
"In post","2022","Department of Health and Social Care","AA/AO","AO","685","610","21860","21820"
"In post","2022","Department of Health and Social Care","EO","EO","1555","1470","26510","26910"
"In post","2022","Department of Health and Social Care","G6/G7","G6","1225","1165","68450","66230"
"In post","2022","Department of Health and Social Care","G6/G7","G7","2610","2520","53240","53360"
"In post","2022","Department of Health and Social Care","SCS level","SCS level","815","765","96460","92470"
"In post","2022","Department of Health and Social Care","SEO/HEO","HEO","2370","2260","32210","32640"
"In post","2022","Department of Health and Social Care","SEO/HEO","SEO","2400","2295","40220","40560"
"In post","2022","Estyn","AA/AO","AO","10","10","24460","24630"
"In post","2022","Estyn","EO","EO","25","20","28700","29430"
"In post","2022","Estyn","G6/G7","G6","65","60","75110","75480"
"In post","2022","Estyn","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","AA/AO","AO","10","10","20100","19590"
"In post","2022","Food Standards Agency","EO","EO","430","410","27170","26750"
"In post","2022","Food Standards Agency","G6/G7","G6","55","50","63860","61210"
"In post","2022","Food Standards Agency","G6/G7","G7","210","205","53820","52070"
"In post","2022","Food Standards Agency","SCS level","SCS level","25","25","87570","87400"
"In post","2022","Food Standards Agency","SEO/HEO","HEO","345","335","31570","30810"
"In post","2022","Food Standards Agency","SEO/HEO","SEO","385","380","39400","37910"
"In post","2022","Foreign, Commonwealth and Development Office","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","AA/AO","AO","510","495","25850","25000"
"In post","2022","Foreign, Commonwealth and Development Office","EO","EO","855","830","29560","29300"
"In post","2022","Foreign, Commonwealth and Development Office","G6/G7","G6","1095","1070","67280","66790"
"In post","2022","Foreign, Commonwealth and Development Office","G6/G7","G7","2135","2070","55710","55430"
"In post","2022","Foreign, Commonwealth and Development Office","SCS level","SCS level","545","535","86240","77860"
"In post","2022","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","2110","2070","35800","35110"
"In post","2022","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","920","905","43270","43300"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Unknown","70","70","21740","21600"
"In post","2022","HM Land Registry","AA/AO","AA","35","35","21540","21290"
"In post","2022","HM Land Registry","AA/AO","AO","1710","1605","22710","22600"
"In post","2022","HM Land Registry","EO","EO","2365","2105","27470","27130"
"In post","2022","HM Land Registry","G6/G7","G6","60","60","72280","72860"
"In post","2022","HM Land Registry","G6/G7","G7","245","230","59520","59980"
"In post","2022","HM Land Registry","SCS level","SCS level","25","25","91430","82370"
"In post","2022","HM Land Registry","SEO/HEO","HEO","1355","1195","34570","33840"
"In post","2022","HM Land Registry","SEO/HEO","SEO","840","790","41760","40860"
"In post","2022","HM Revenue and Customs","AA/AO","AA","690","515","21310","21250"
"In post","2022","HM Revenue and Customs","AA/AO","AO","19610","17205","21720","21250"
"In post","2022","HM Revenue and Customs","EO","EO","16760","15640","27420","26820"
"In post","2022","HM Revenue and Customs","G6/G7","G6","2285","2200","70130","67910"
"In post","2022","HM Revenue and Customs","G6/G7","G7","6455","6245","56330","55210"
"In post","2022","HM Revenue and Customs","SCS level","SCS level","515","505","85810","79420"
"In post","2022","HM Revenue and Customs","SEO/HEO","HEO","16430","15730","34070","33370"
"In post","2022","HM Revenue and Customs","SEO/HEO","SEO","8625","8290","41260","40520"
"In post","2022","HM Treasury","AA/AO","AO","60","60","22600","22750"
"In post","2022","HM Treasury","EO","EO","250","240","26930","26750"
"In post","2022","HM Treasury","G6/G7","G6","370","360","66980","64270"
"In post","2022","HM Treasury","G6/G7","G7","820","795","54990","52840"
"In post","2022","HM Treasury","SCS level","SCS level","195","185","87680","78000"
"In post","2022","HM Treasury","SEO/HEO","HEO","890","880","34400","32320"
"In post","2022","HM Treasury","SEO/HEO","SEO","185","175","44000","43250"
"In post","2022","Home Office","AA/AO","AA","795","690","19820","18240"
"In post","2022","Home Office","AA/AO","AO","6575","5875","22490","21680"
"In post","2022","Home Office","EO","EO","14920","13805","26920","25690"
"In post","2022","Home Office","G6/G7","G6","1025","1000","69530","68720"
"In post","2022","Home Office","G6/G7","G7","2860","2800","57240","57430"
"In post","2022","Home Office","SCS level","SCS level","305","300","89940","82550"
"In post","2022","Home Office","SEO/HEO","HEO","5815","5610","33220","32740"
"In post","2022","Home Office","SEO/HEO","SEO","4020","3925","41090","41950"
"In post","2022","Home Office","Unknown","Unknown","220","215","44210","34630"
"In post","2022","Ministry of Defence","AA/AO","AA","4970","4800","19900","19810"
"In post","2022","Ministry of Defence","AA/AO","AO","10325","9885","24770","21830"
"In post","2022","Ministry of Defence","EO","EO","10095","9750","27110","26670"
"In post","2022","Ministry of Defence","G6/G7","G6","1560","1475","71220","68500"
"In post","2022","Ministry of Defence","G6/G7","G7","5210","5045","53970","54540"
"In post","2022","Ministry of Defence","SCS level","SCS level","475","460","93470","87210"
"In post","2022","Ministry of Defence","SEO/HEO","HEO","11920","11560","33470","33300"
"In post","2022","Ministry of Defence","SEO/HEO","SEO","9380","9095","41730","40580"
"In post","2022","Ministry of Defence","Unknown","Unknown","3885","3835","39070","35600"
"In post","2022","Ministry of Justice","AA/AO","AA","7680","7055","21210","20890"
"In post","2022","Ministry of Justice","AA/AO","AO","32030","29780","25800","24430"
"In post","2022","Ministry of Justice","EO","EO","10750","10260","29130","28310"
"In post","2022","Ministry of Justice","G6/G7","G6","895","875","72430","69100"
"In post","2022","Ministry of Justice","G6/G7","G7","2480","2415","58550","57540"
"In post","2022","Ministry of Justice","SCS level","SCS level","330","325","88950","84490"
"In post","2022","Ministry of Justice","SEO/HEO","HEO","7640","7330","34280","34260"
"In post","2022","Ministry of Justice","SEO/HEO","SEO","5860","5625","45030","43320"
"In post","2022","Ministry of Justice","Unknown","Unknown","19240","17820","30120","28200"
"In post","2022","National Crime Agency","AA/AO","AO","270","250","24040","24470"
"In post","2022","National Crime Agency","EO","EO","2490","2425","34250","34140"
"In post","2022","National Crime Agency","G6/G7","G6","90","90","74750","74010"
"In post","2022","National Crime Agency","G6/G7","G7","295","290","62330","60980"
"In post","2022","National Crime Agency","SCS level","SCS level","35","35","104320","95000"
"In post","2022","National Crime Agency","SEO/HEO","HEO","1610","1565","41910","41910"
"In post","2022","National Crime Agency","SEO/HEO","SEO","765","755","49840","48900"
"In post","2022","Northern Ireland Office","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Northern Ireland Office","EO","EO","15","15","28110","28310"
"In post","2022","Northern Ireland Office","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Northern Ireland Office","G6/G7","G7","45","45","54970","54850"
"In post","2022","Northern Ireland Office","SCS level","SCS level","20","20","86350","75420"
"In post","2022","Northern Ireland Office","SEO/HEO","HEO","30","30","32160","31320"
"In post","2022","Northern Ireland Office","SEO/HEO","SEO","60","60","39950","38800"
"In post","2022","Office for Standards in Education, Children's Services and Skills","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","195","175","21480","21410"
"In post","2022","Office for Standards in Education, Children's Services and Skills","EO","EO","200","190","26330","25880"
"In post","2022","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","145","140","81470","85550"
"In post","2022","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","485","470","70270","75500"
"In post","2022","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","30","30","107550","95150"
"In post","2022","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","200","195","32610","32010"
"In post","2022","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","570","550","47200","51360"
"In post","2022","Office of Gas and Electricity Markets","AA/AO","AO","55","55","19980","19750"
"In post","2022","Office of Gas and Electricity Markets","EO","EO","350","345","26070","25750"
"In post","2022","Office of Gas and Electricity Markets","G6/G7","G6","90","90","74190","74050"
"In post","2022","Office of Gas and Electricity Markets","G6/G7","G7","380","375","55440","54150"
"In post","2022","Office of Gas and Electricity Markets","SCS level","SCS level","55","55","98060","91110"
"In post","2022","Office of Gas and Electricity Markets","SEO/HEO","HEO","275","270","33730","33400"
"In post","2022","Office of Gas and Electricity Markets","SEO/HEO","SEO","140","140","40770","40910"
"In post","2022","Office of Qualifications and Examinations Regulation","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","EO","EO","25","25","23790","23250"
"In post","2022","Office of Qualifications and Examinations Regulation","G6/G7","G6","25","25","65090","63950"
"In post","2022","Office of Qualifications and Examinations Regulation","G6/G7","G7","80","80","49030","47880"
"In post","2022","Office of Qualifications and Examinations Regulation","SCS level","SCS level","20","20","95740","85720"
"In post","2022","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","65","60","32430","31620"
"In post","2022","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","70","65","39360","38000"
"In post","2022","Office of Rail and Road","AA/AO","AO","15","15","23720","23510"
"In post","2022","Office of Rail and Road","EO","EO","25","25","29800","29510"
"In post","2022","Office of Rail and Road","G6/G7","G6","40","35","73430","72830"
"In post","2022","Office of Rail and Road","G6/G7","G7","155","150","58920","58940"
"In post","2022","Office of Rail and Road","SCS level","SCS level","15","15","109940","103030"
"In post","2022","Office of Rail and Road","SEO/HEO","HEO","35","35","34280","34650"
"In post","2022","Office of Rail and Road","SEO/HEO","SEO","60","60","43550","43300"
"In post","2022","Office of the Secretary of State for Scotland","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","EO","EO","15","15","28430","28310"
"In post","2022","Office of the Secretary of State for Scotland","G6/G7","G6","15","15","69580","67550"
"In post","2022","Office of the Secretary of State for Scotland","G6/G7","G7","30","30","56910","56970"
"In post","2022","Office of the Secretary of State for Scotland","SCS level","SCS level","10","10","82560","77480"
"In post","2022","Office of the Secretary of State for Scotland","SEO/HEO","HEO","15","15","34150","34260"
"In post","2022","Office of the Secretary of State for Scotland","SEO/HEO","SEO","15","15","44430","43000"
"In post","2022","Office of the Secretary of State for Wales","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","EO","EO","10","10","27600","28310"
"In post","2022","Office of the Secretary of State for Wales","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Scottish Government","AA/AO","AA","2220","2050","21960","21640"
"In post","2022","Scottish Government","AA/AO","AO","4615","4350","24610","24400"
"In post","2022","Scottish Government","EO","EO","6190","5900","30850","30040"
"In post","2022","Scottish Government","G6/G7","G6","1320","1275","72850","75340"
"In post","2022","Scottish Government","G6/G7","G7","2365","2270","58400","59310"
"In post","2022","Scottish Government","SCS level","SCS level","285","285","88410","83230"
"In post","2022","Scottish Government","SEO/HEO","HEO","4370","4185","35150","35540"
"In post","2022","Scottish Government","SEO/HEO","SEO","3960","3775","45260","46020"
"In post","2022","The National Archives","AA/AO","AA","10","10","19120","20120"
"In post","2022","The National Archives","AA/AO","AO","90","80","21870","21150"
"In post","2022","The National Archives","EO","EO","75","70","25130","24630"
"In post","2022","The National Archives","G6/G7","G6","25","25","62300","61950"
"In post","2022","The National Archives","G6/G7","G7","70","70","49050","47930"
"In post","2022","The National Archives","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","The National Archives","SEO/HEO","HEO","140","135","30690","30000"
"In post","2022","The National Archives","SEO/HEO","SEO","155","150","40660","39040"
"In post","2022","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","EO","EO","65","60","29410","29000"
"In post","2022","UK Export Finance","G6/G7","G6","60","60","76730","76020"
"In post","2022","UK Export Finance","G6/G7","G7","110","110","60180","60060"
"In post","2022","UK Export Finance","SCS level","SCS level","30","30","116880","101500"
"In post","2022","UK Export Finance","SEO/HEO","HEO","85","85","34980","33500"
"In post","2022","UK Export Finance","SEO/HEO","SEO","145","145","45660","44080"
"In post","2022","UK Statistics Authority","AA/AO","AA","405","250","20280","19300"
"In post","2022","UK Statistics Authority","AA/AO","AO","1120","835","20360","20350"
"In post","2022","UK Statistics Authority","EO","EO","735","690","24600","23880"
"In post","2022","UK Statistics Authority","G6/G7","G6","220","215","62190","60940"
"In post","2022","UK Statistics Authority","G6/G7","G7","860","835","51660","50210"
"In post","2022","UK Statistics Authority","SCS level","SCS level","80","80","84820","76380"
"In post","2022","UK Statistics Authority","SEO/HEO","HEO","1315","1260","31120","30710"
"In post","2022","UK Statistics Authority","SEO/HEO","SEO","1155","1105","38030","37660"
"In post","2022","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","EO","EO","20","20","27280","27310"
"In post","2022","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","UK Supreme Court","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Water Services Regulation Authority","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Water Services Regulation Authority","EO","EO","45","45","29340","28000"
"In post","2022","Water Services Regulation Authority","G6/G7","G6","30","30","94530","91610"
"In post","2022","Water Services Regulation Authority","G6/G7","G7","40","35","71930","70960"
"In post","2022","Water Services Regulation Authority","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Water Services Regulation Authority","SEO/HEO","HEO","85","80","41120","40800"
"In post","2022","Water Services Regulation Authority","SEO/HEO","SEO","50","45","57210","56200"
"In post","2022","Welsh Government","AA/AO","AO","870","805","24260","24630"
"In post","2022","Welsh Government","EO","EO","1105","1040","28830","29430"
"In post","2022","Welsh Government","G6/G7","G6","235","225","72700","75480"
"In post","2022","Welsh Government","G6/G7","G7","870","830","59700","61440"
"In post","2022","Welsh Government","SCS level","SCS level","195","185","87010","79790"
"In post","2022","Welsh Government","SEO/HEO","HEO","1465","1385","37300","38160"
"In post","2022","Welsh Government","SEO/HEO","SEO","1225","1165","46280","47470"
"Leaver CS","2022","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Departments","AA/AO","AO","145","[c]","22290","22200"
"Leaver CS","2022","Attorney General's Departments","EO","EO","90","[c]","28110","27350"
"Leaver CS","2022","Attorney General's Departments","G6/G7","G6","65","[c]","69220","67730"
"Leaver CS","2022","Attorney General's Departments","G6/G7","G7","240","[c]","55510","55000"
"Leaver CS","2022","Attorney General's Departments","SCS level","SCS level","25","[c]","91150","84970"
"Leaver CS","2022","Attorney General's Departments","SEO/HEO","HEO","75","[c]","36160","35290"
"Leaver CS","2022","Attorney General's Departments","SEO/HEO","SEO","20","[c]","40210","40000"
"Leaver CS","2022","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office","AA/AO","AO","95","[c]","20340","20330"
"Leaver CS","2022","Cabinet Office","EO","EO","85","[c]","26790","27500"
"Leaver CS","2022","Cabinet Office","G6/G7","G6","90","[c]","72990","68700"
"Leaver CS","2022","Cabinet Office","G6/G7","G7","215","[c]","58310","56340"
"Leaver CS","2022","Cabinet Office","SCS level","SCS level","80","[c]","104600","95160"
"Leaver CS","2022","Cabinet Office","SEO/HEO","HEO","160","[c]","32470","33300"
"Leaver CS","2022","Cabinet Office","SEO/HEO","SEO","95","[c]","40180","40600"
"Leaver CS","2022","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","SEO/HEO","SEO","20","[c]","45820","45570"
"Leaver CS","2022","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","EO","EO","20","[c]","24600","24440"
"Leaver CS","2022","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","G6/G7","G7","10","[c]","55620","54980"
"Leaver CS","2022","Charity Commission","SEO/HEO","HEO","10","[c]","29360","29160"
"Leaver CS","2022","Charity Commission","SEO/HEO","SEO","10","[c]","37400","37910"
"Leaver CS","2022","Competition and Markets Authority","AA/AO","AO","10","[c]","23000","22770"
"Leaver CS","2022","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","G6/G7","G6","10","[c]","75550","76140"
"Leaver CS","2022","Competition and Markets Authority","G6/G7","G7","30","[c]","57480","57540"
"Leaver CS","2022","Competition and Markets Authority","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","SEO/HEO","HEO","25","[c]","34880","34570"
"Leaver CS","2022","Competition and Markets Authority","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AA","25","[c]","18470","17900"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","AA/AO","AO","110","[c]","21840","21130"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","EO","EO","125","[c]","26390","26330"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G6","50","[c]","66310","64990"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","G6/G7","G7","155","[c]","54100","53600"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","25","[c]","86220","75500"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","165","[c]","33340","33570"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","150","[c]","41430","40050"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","EO","EO","30","[c]","26150","26180"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","G6/G7","G7","40","[c]","52770","51730"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","SCS level","SCS level","5","[c]","[c]","[c]"
