"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Other ethnicity","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","AA/AO","335","320","23390","21840"
"In post","2022","20-29","Undeclared","EO","380","375","28130","27570"
"In post","2022","20-29","Undeclared","G6/G7","100","100","55130","54570"
"In post","2022","20-29","Undeclared","SEO/HEO","490","485","35610","34630"
"In post","2022","20-29","Undeclared","Unknown","40","40","28040","27800"
"In post","2022","20-29","Unknown","AA/AO","7715","7510","22790","21640"
"In post","2022","20-29","Unknown","EO","4915","4870","27230","26820"
"In post","2022","20-29","Unknown","G6/G7","1040","1035","55820","54650"
"In post","2022","20-29","Unknown","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","6390","6365","33910","33080"
"In post","2022","20-29","Unknown","Unknown","1205","1180","25700","24090"
"In post","2022","20-29","White","AA/AO","15375","15020","22890","21410"
"In post","2022","20-29","White","EO","13505","13365","27120","27130"
"In post","2022","20-29","White","G6/G7","3230","3215","54630","53420"
"In post","2022","20-29","White","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","White","SEO/HEO","15050","14975","34870","33570"
"In post","2022","20-29","White","Unknown","2565","2530","26080","24090"
"In post","2022","30-39","Asian","AA/AO","1955","1745","22470","21260"
"In post","2022","30-39","Asian","EO","2790","2640","28000","27570"
"In post","2022","30-39","Asian","G6/G7","1320","1290","57850","55210"
"In post","2022","30-39","Asian","SCS level","60","60","82170","75910"
"In post","2022","30-39","Asian","SEO/HEO","2875","2805","36900","36050"
"In post","2022","30-39","Asian","Unknown","220","200","28860","27980"
"In post","2022","30-39","Black","AA/AO","745","690","24650","23140"
"In post","2022","30-39","Black","EO","1075","1035","28850","28670"
"In post","2022","30-39","Black","G6/G7","375","370","55660","53760"
"In post","2022","30-39","Black","SCS level","5","5","[c]","[c]"
"In post","2022","30-39","Black","SEO/HEO","1095","1080","36670","36340"
"In post","2022","30-39","Black","Unknown","235","225","29980","27980"
"In post","2022","30-39","Mixed","AA/AO","455","420","23790","21840"
"In post","2022","30-39","Mixed","EO","595","570","28240","27570"
"In post","2022","30-39","Mixed","G6/G7","540","525","57480","55310"
"In post","2022","30-39","Mixed","SCS level","45","45","78210","75490"
"In post","2022","30-39","Mixed","SEO/HEO","815","790","37170","36650"
"In post","2022","30-39","Mixed","Unknown","165","155","29390","28200"
"In post","2022","30-39","Other ethnicity","AA/AO","110","105","24000","21860"
"In post","2022","30-39","Other ethnicity","EO","140","135","28730","28310"
"In post","2022","30-39","Other ethnicity","G6/G7","140","140","58180","55210"
"In post","2022","30-39","Other ethnicity","SCS level","10","10","[c]","[c]"
"In post","2022","30-39","Other ethnicity","SEO/HEO","200","200","36920","36740"
"In post","2022","30-39","Other ethnicity","Unknown","20","20","[c]","[c]"
"In post","2022","30-39","Undeclared","AA/AO","665","610","23490","21680"
"In post","2022","30-39","Undeclared","EO","855","820","28360","27570"
"In post","2022","30-39","Undeclared","G6/G7","645","635","57110","55210"
"In post","2022","30-39","Undeclared","SCS level","30","30","77740","75000"
"In post","2022","30-39","Undeclared","SEO/HEO","1140","1120","37280","36800"
"In post","2022","30-39","Undeclared","Unknown","105","100","33480","32690"
"In post","2022","30-39","Unknown","AA/AO","5270","4895","23270","21410"
"In post","2022","30-39","Unknown","EO","4315","4150","27900","27230"
"In post","2022","30-39","Unknown","G6/G7","3060","2995","58330","56010"
"In post","2022","30-39","Unknown","SCS level","170","165","81590","77000"
"In post","2022","30-39","Unknown","SEO/HEO","5040","4920","36450","35520"
"In post","2022","30-39","Unknown","Unknown","1300","1215","30470","28200"
"In post","2022","30-39","White","AA/AO","16165","14795","23330","21680"
"In post","2022","30-39","White","EO","16880","15990","27630","27570"
"In post","2022","30-39","White","G6/G7","12545","12175","57160","55210"
"In post","2022","30-39","White","SCS level","755","725","79610","75240"
"In post","2022","30-39","White","SEO/HEO","23320","22610","36750","36240"
"In post","2022","30-39","White","Unknown","3285","3070","30710","30210"
"In post","2022","40-49","Asian","AA/AO","2060","1730","22750","21300"
"In post","2022","40-49","Asian","EO","2660","2435","28310","27570"
"In post","2022","40-49","Asian","G6/G7","1355","1310","59360","57680"
"In post","2022","40-49","Asian","SCS level","160","155","87950","82600"
"In post","2022","40-49","Asian","SEO/HEO","2495","2420","38060","37300"
"In post","2022","40-49","Asian","Unknown","260","245","32500","30210"
"In post","2022","40-49","Black","AA/AO","805","740","24610","23720"
"In post","2022","40-49","Black","EO","1185","1125","29080","29000"
"In post","2022","40-49","Black","G6/G7","445","440","57970","56270"
"In post","2022","40-49","Black","SCS level","30","30","88830","80500"
"In post","2022","40-49","Black","SEO/HEO","1160","1145","37940","37610"
"In post","2022","40-49","Black","Unknown","215","210","32110","30200"
"In post","2022","40-49","Mixed","AA/AO","345","310","23420","21300"
"In post","2022","40-49","Mixed","EO","445","415","28230","27570"
"In post","2022","40-49","Mixed","G6/G7","435","415","59650","57740"
"In post","2022","40-49","Mixed","SCS level","60","60","84480","78500"
"In post","2022","40-49","Mixed","SEO/HEO","500","485","38430","37930"
"In post","2022","40-49","Mixed","Unknown","135","125","33190","34220"
"In post","2022","40-49","Other ethnicity","AA/AO","115","105","24000","22060"
"In post","2022","40-49","Other ethnicity","EO","165","155","28270","27570"
"In post","2022","40-49","Other ethnicity","G6/G7","135","125","59690","57480"
"In post","2022","40-49","Other ethnicity","SCS level","20","20","[c]","[c]"
"In post","2022","40-49","Other ethnicity","SEO/HEO","185","180","38370","37330"
"In post","2022","40-49","Other ethnicity","Unknown","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","AA/AO","985","895","23340","21410"
"In post","2022","40-49","Undeclared","EO","1245","1175","28460","27570"
"In post","2022","40-49","Undeclared","G6/G7","860","840","59170","57480"
"In post","2022","40-49","Undeclared","SCS level","65","65","85200","79760"
"In post","2022","40-49","Undeclared","SEO/HEO","1525","1485","37910","37610"
"In post","2022","40-49","Undeclared","Unknown","150","140","34770","34680"
"In post","2022","40-49","Unknown","AA/AO","3555","3250","22810","21300"
"In post","2022","40-49","Unknown","EO","2745","2600","28040","27370"
"In post","2022","40-49","Unknown","G6/G7","2595","2500","60480","58600"
"In post","2022","40-49","Unknown","SCS level","400","390","94100","88390"
"In post","2022","40-49","Unknown","SEO/HEO","3195","3085","37570","37280"
"In post","2022","40-49","Unknown","Unknown","1170","1080","34020","32400"
"In post","2022","40-49","White","AA/AO","17960","16095","22980","21300"
"In post","2022","40-49","White","EO","19475","18105","27790","27570"
"In post","2022","40-49","White","G6/G7","15570","14945","59330","57490"
"In post","2022","40-49","White","SCS level","2225","2150","86980","80000"
"In post","2022","40-49","White","SEO/HEO","23790","22835","37740","37280"
"In post","2022","40-49","White","Unknown","3595","3350","34350","34340"
"In post","2022","50-59","Asian","AA/AO","1615","1430","22800","21680"
"In post","2022","50-59","Asian","EO","2035","1895","28900","28680"
"In post","2022","50-59","Asian","G6/G7","685","670","60790","59390"
"In post","2022","50-59","Asian","SCS level","85","85","101820","99820"
"In post","2022","50-59","Asian","SEO/HEO","1505","1465","38650","37930"
"In post","2022","50-59","Asian","Unknown","140","130","31720","28620"
"In post","2022","50-59","Black","AA/AO","1395","1310","24710","24250"
"In post","2022","50-59","Black","EO","1865","1795","29720","30000"
"In post","2022","50-59","Black","G6/G7","490","485","59740","57940"
"In post","2022","50-59","Black","SCS level","55","55","95670","85880"
"In post","2022","50-59","Black","SEO/HEO","1290","1270","39050","38020"
"In post","2022","50-59","Black","Unknown","405","390","33470","32090"
"In post","2022","50-59","Mixed","AA/AO","395","360","23840","21740"
"In post","2022","50-59","Mixed","EO","445","420","28760","27570"
"In post","2022","50-59","Mixed","G6/G7","250","245","60130","58830"
"In post","2022","50-59","Mixed","SCS level","40","40","89520","82190"
"In post","2022","50-59","Mixed","SEO/HEO","420","410","38870","37850"
"In post","2022","50-59","Mixed","Unknown","95","95","35100","34100"
"In post","2022","50-59","Other ethnicity","AA/AO","135","125","24550","23020"
"In post","2022","50-59","Other ethnicity","EO","170","165","29200","28760"
"In post","2022","50-59","Other ethnicity","G6/G7","95","90","60890","59680"
"In post","2022","50-59","Other ethnicity","SCS level","15","15","[c]","[c]"
"In post","2022","50-59","Other ethnicity","SEO/HEO","165","160","40860","39650"
"In post","2022","50-59","Other ethnicity","Unknown","35","35","33270","32090"
"In post","2022","50-59","Undeclared","AA/AO","1795","1615","22850","21490"
"In post","2022","50-59","Undeclared","EO","2245","2095","28750","27570"
"In post","2022","50-59","Undeclared","G6/G7","1025","1005","60730","58710"
"In post","2022","50-59","Undeclared","SCS level","80","80","88120","82310"
"In post","2022","50-59","Undeclared","SEO/HEO","2320","2250","38460","37890"
"In post","2022","50-59","Undeclared","Unknown","210","200","35020","34340"
"In post","2022","50-59","Unknown","AA/AO","3990","3600","22650","21390"
"In post","2022","50-59","Unknown","EO","2930","2745","29240","27570"
"In post","2022","50-59","Unknown","G6/G7","1970","1930","61740","60490"
"In post","2022","50-59","Unknown","SCS level","310","305","104630","96040"
"In post","2022","50-59","Unknown","SEO/HEO","2735","2640","38640","38020"
"In post","2022","50-59","Unknown","Unknown","1300","1215","35280","32690"
"In post","2022","50-59","White","AA/AO","29090","26130","22930","21280"
"In post","2022","50-59","White","EO","28940","26795","28130","27570"
"In post","2022","50-59","White","G6/G7","15460","15080","60640","58850"
"In post","2022","50-59","White","SCS level","2050","2015","94360","85430"
"In post","2022","50-59","White","SEO/HEO","29255","28265","38180","37300"
"In post","2022","50-59","White","Unknown","3500","3315","33920","30210"
"In post","2022","60-64","Asian","AA/AO","595","500","23540","23460"
"In post","2022","60-64","Asian","EO","530","445","29530","29370"
"In post","2022","60-64","Asian","G6/G7","100","95","62040","62030"
"In post","2022","60-64","Asian","SCS level","15","15","[c]","[c]"
"In post","2022","60-64","Asian","SEO/HEO","325","295","39730","38560"
"In post","2022","60-64","Asian","Unknown","40","35","32740","28200"
"In post","2022","60-64","Black","AA/AO","480","425","24490","24230"
"In post","2022","60-64","Black","EO","470","425","29800","29790"
"In post","2022","60-64","Black","G6/G7","60","60","63130","62120"
"In post","2022","60-64","Black","SCS level","5","5","[c]","[c]"
"In post","2022","60-64","Black","SEO/HEO","260","250","39090","37930"
"In post","2022","60-64","Black","Unknown","145","135","32720","32090"
"In post","2022","60-64","Mixed","AA/AO","125","105","22370","21410"
"In post","2022","60-64","Mixed","EO","100","85","28820","27570"
"In post","2022","60-64","Mixed","G6/G7","40","35","64390","62400"
"In post","2022","60-64","Mixed","SCS level","5","5","[c]","[c]"
"In post","2022","60-64","Mixed","SEO/HEO","85","80","38730","37930"
"In post","2022","60-64","Mixed","Unknown","40","40","33910","33950"
"In post","2022","60-64","Other ethnicity","AA/AO","50","45","23890","23230"
"In post","2022","60-64","Other ethnicity","EO","50","45","29070","28480"
"In post","2022","60-64","Other ethnicity","G6/G7","25","20","[c]","[c]"
"In post","2022","60-64","Other ethnicity","SCS level","5","5","[c]","[c]"
"In post","2022","60-64","Other ethnicity","SEO/HEO","45","40","38510","37170"
"In post","2022","60-64","Other ethnicity","Unknown","10","10","[c]","[c]"
"In post","2022","60-64","Undeclared","AA/AO","630","520","22380","21380"
"In post","2022","60-64","Undeclared","EO","660","525","28550","27570"
"In post","2022","60-64","Undeclared","G6/G7","215","185","61370","59000"
"In post","2022","60-64","Undeclared","SCS level","20","15","[c]","[c]"
"In post","2022","60-64","Undeclared","SEO/HEO","610","515","38300","37590"
"In post","2022","60-64","Undeclared","Unknown","65","55","35860","34490"
"In post","2022","60-64","Unknown","AA/AO","1435","1185","22300","21300"
"In post","2022","60-64","Unknown","EO","730","590","29330","28650"
"In post","2022","60-64","Unknown","G6/G7","340","315","61560","59380"
"In post","2022","60-64","Unknown","SCS level","35","35","105240","105000"
"In post","2022","60-64","Unknown","SEO/HEO","570","495","39290","38510"
"In post","2022","60-64","Unknown","Unknown","420","375","33190","31520"
"In post","2022","60-64","White","AA/AO","11460","9220","22260","21260"
"In post","2022","60-64","White","EO","8760","6940","28160","27570"
"In post","2022","60-64","White","G6/G7","2710","2385","61790","60310"
"In post","2022","60-64","White","SCS level","345","320","103550","94500"
"In post","2022","60-64","White","SEO/HEO","6750","5715","38370","36910"
"In post","2022","60-64","White","Unknown","1195","1030","32130","28200"
"In post","2022","65+","Asian","AA/AO","360","285","23810","24310"
"In post","2022","65+","Asian","EO","240","185","29800","30230"
"In post","2022","65+","Asian","G6/G7","30","20","[c]","[c]"
"In post","2022","65+","Asian","SCS level","5","5","[c]","[c]"
"In post","2022","65+","Asian","SEO/HEO","110","90","41150","39480"
"In post","2022","65+","Asian","Unknown","15","10","[c]","[c]"
"In post","2022","65+","Black","AA/AO","185","160","24160","24310"
"In post","2022","65+","Black","EO","100","85","30260","30780"
"In post","2022","65+","Black","G6/G7","15","15","[c]","[c]"
"In post","2022","65+","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Black","SEO/HEO","50","45","40730","40190"
"In post","2022","65+","Black","Unknown","50","45","32310","31100"
"In post","2022","65+","Mixed","AA/AO","40","35","22830","21570"
"In post","2022","65+","Mixed","EO","45","35","28860","27570"
"In post","2022","65+","Mixed","G6/G7","10","10","[c]","[c]"
"In post","2022","65+","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Mixed","SEO/HEO","20","20","[c]","[c]"
"In post","2022","65+","Mixed","Unknown","10","5","[c]","[c]"
"In post","2022","65+","Other ethnicity","AA/AO","25","20","[c]","[c]"
"In post","2022","65+","Other ethnicity","EO","20","15","[c]","[c]"
"In post","2022","65+","Other ethnicity","G6/G7","10","10","[c]","[c]"
"In post","2022","65+","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Other ethnicity","SEO/HEO","10","10","[c]","[c]"
"In post","2022","65+","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Undeclared","AA/AO","230","175","22590","21410"
"In post","2022","65+","Undeclared","EO","225","165","28930","27570"
"In post","2022","65+","Undeclared","G6/G7","55","40","62060","59750"
"In post","2022","65+","Undeclared","SCS level","10","5","[c]","[c]"
"In post","2022","65+","Undeclared","SEO/HEO","165","125","39420","37650"
"In post","2022","65+","Undeclared","Unknown","25","20","[c]","[c]"
"In post","2022","65+","Unknown","AA/AO","480","375","22360","21300"
"In post","2022","65+","Unknown","EO","205","145","29180","28860"
"In post","2022","65+","Unknown","G6/G7","105","85","62290","60650"
"In post","2022","65+","Unknown","SCS level","15","10","[c]","[c]"
"In post","2022","65+","Unknown","SEO/HEO","205","155","39510","39000"
"In post","2022","65+","Unknown","Unknown","135","100","31410","28640"
"In post","2022","65+","White","AA/AO","3995","3065","22030","21260"
"In post","2022","65+","White","EO","2470","1830","28190","27570"
"In post","2022","65+","White","G6/G7","700","545","63330","61440"
"In post","2022","65+","White","SCS level","75","60","109270","102820"
"In post","2022","65+","White","SEO/HEO","1735","1370","38800","37210"
"In post","2022","65+","White","Unknown","395","305","32330","28240"
"In post","2022","Unknown","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","EO","10","5","[c]","[c]"
"In post","2022","Unknown","White","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Asian","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Asian","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Black","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Black","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Mixed","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","AA/AO","60","[c]","20570","20890"
"Leaver CS","2022","16-19","Unknown","EO","20","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","White","AA/AO","75","[c]","20830","21260"
"Leaver CS","2022","16-19","White","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","White","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Asian","AA/AO","385","[c]","21600","21260"
"Leaver CS","2022","20-29","Asian","EO","270","[c]","27810","27570"
"Leaver CS","2022","20-29","Asian","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Asian","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Asian","SEO/HEO","135","[c]","35690","34800"
"Leaver CS","2022","20-29","Asian","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Black","AA/AO","160","[c]","22640","22680"
"Leaver CS","2022","20-29","Black","EO","180","[c]","28850","29290"
"Leaver CS","2022","20-29","Black","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Black","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Black","SEO/HEO","70","[c]","35420","34540"
"Leaver CS","2022","20-29","Black","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Mixed","AA/AO","165","[c]","21380","21260"
"Leaver CS","2022","20-29","Mixed","EO","105","[c]","27420","27570"
"Leaver CS","2022","20-29","Mixed","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Mixed","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Mixed","SEO/HEO","65","[c]","35170","34250"
"Leaver CS","2022","20-29","Mixed","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","AA/AO","25","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","EO","30","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Undeclared","AA/AO","105","[c]","21070","20370"
"Leaver CS","2022","20-29","Undeclared","EO","45","[c]","26380","26880"
"Leaver CS","2022","20-29","Undeclared","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Undeclared","SEO/HEO","70","[c]","34900","33660"
"Leaver CS","2022","20-29","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","AA/AO","1835","[c]","21360","21260"
"Leaver CS","2022","20-29","Unknown","EO","685","[c]","25940","27270"
"Leaver CS","2022","20-29","Unknown","G6/G7","75","[c]","54130","53380"
"Leaver CS","2022","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","SEO/HEO","540","[c]","33910","33290"
"Leaver CS","2022","20-29","Unknown","Unknown","265","[c]","27590","28980"
"Leaver CS","2022","20-29","White","AA/AO","2880","[c]","21360","21260"
"Leaver CS","2022","20-29","White","EO","1220","[c]","26520","27570"
"Leaver CS","2022","20-29","White","G6/G7","130","[c]","54190","53480"
"Leaver CS","2022","20-29","White","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","White","SEO/HEO","880","[c]","34370","34020"
"Leaver CS","2022","20-29","White","Unknown","240","[c]","27290","26220"
"Leaver CS","2022","30-39","Asian","AA/AO","155","[c]","21940","21280"
"Leaver CS","2022","30-39","Asian","EO","175","[c]","28100","27570"
"Leaver CS","2022","30-39","Asian","G6/G7","80","[c]","57410","54700"
"Leaver CS","2022","30-39","Asian","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Asian","SEO/HEO","180","[c]","36410","36410"
"Leaver CS","2022","30-39","Asian","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Black","AA/AO","85","[c]","22200","21430"
"Leaver CS","2022","30-39","Black","EO","105","[c]","28990","29290"
"Leaver CS","2022","30-39","Black","G6/G7","30","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Black","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Black","SEO/HEO","100","[c]","36230","35180"
"Leaver CS","2022","30-39","Black","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Mixed","AA/AO","50","[c]","22410","21260"
"Leaver CS","2022","30-39","Mixed","EO","65","[c]","28430","27570"
"Leaver CS","2022","30-39","Mixed","G6/G7","30","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Mixed","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Mixed","SEO/HEO","50","[c]","36350","35650"
"Leaver CS","2022","30-39","Mixed","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","EO","20","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","SEO/HEO","25","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","AA/AO","65","[c]","22770","21260"
"Leaver CS","2022","30-39","Undeclared","EO","50","[c]","27670","27570"
"Leaver CS","2022","30-39","Undeclared","G6/G7","55","[c]","55940","54700"
"Leaver CS","2022","30-39","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","SEO/HEO","85","[c]","37420","36900"
"Leaver CS","2022","30-39","Undeclared","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","AA/AO","795","[c]","21920","21260"
"Leaver CS","2022","30-39","Unknown","EO","380","[c]","27750","27570"
