"Status","Year","Function_of_post","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","Female","10","10","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","Male","25","25","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","Female","1110","1040","37600","36840"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","Male","855","845","38840","36840"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","HM Revenue and Customs","Female","35","30","44330","40160"
"In post","2022","Analysis","Valuation Office Agency","HM Revenue and Customs","Male","30","25","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","45","40","31430","29180"
"In post","2022","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Female","815","795","65250","63680"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","Male","845","845","73500","65870"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Cabinet Office","Female","190","185","34980","32210"
"In post","2022","Commercial","Crown Commercial Service","Cabinet Office","Male","165","165","37170","38330"
"In post","2022","Commercial","Crown Prosecution Service","Attorney General's Departments","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Ministry of Defence","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Defence Equipment and Support","Ministry of Defence","Female","175","165","39440","35560"
"In post","2022","Commercial","Defence Equipment and Support","Ministry of Defence","Male","265","260","45410","41990"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Female","40","35","33510","34540"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","Male","40","40","31940","29230"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Department for Education","Female","145","135","37440","36500"
"In post","2022","Commercial","Department for Education (excl. agencies)","Department for Education","Male","105","105","37790","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","80","75","35240","35900"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","50","50","38780","36730"
"In post","2022","Commercial","Department for International Trade","Department for International Trade","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Department for Transport","Female","60","60","45410","42470"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Department for Transport","Male","85","85","49850","43360"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","170","165","50210","49870"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","120","120","47670","43000"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Female","85","75","32380","30730"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","Male","85","85","32400","30730"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Female","40","35","36140","33890"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Department for Transport","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Female","40","40","43470","35570"
"In post","2022","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","Male","40","35","51710","50610"
"In post","2022","Commercial","Food Standards Agency","Food Standards Agency","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Food Standards Agency","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","35","30","38980","39630"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","25","25","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Department for Work and Pensions","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Department for Work and Pensions","Male","25","25","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","75","70","36610","40180"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","70","70","39120","33370"
"In post","2022","Commercial","HM Treasury (excl. agencies)","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury (excl. agencies)","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Maritime and Coastguard Agency","Department for Transport","Female","15","15","[c]","[c]"
"In post","2022","Commercial","Maritime and Coastguard Agency","Department for Transport","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Female","110","100","42820","42640"
"In post","2022","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","Male","90","90","46170","47960"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","555","530","35130","34500"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","385","380","37690","35390"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","130","125","34660","34260"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","125","120","35200","34260"
"In post","2022","Commercial","National Crime Agency","National Crime Agency","Female","15","15","[c]","[c]"
"In post","2022","Commercial","National Crime Agency","National Crime Agency","Male","5","5","[c]","[c]"
"In post","2022","Commercial","National Savings and Investments","Chancellor's other departments","Female","5","5","[c]","[c]"
"In post","2022","Commercial","National Savings and Investments","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Registers of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Registers of Scotland","Scottish Government","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Scottish Courts and Tribunals Service","Scottish Government","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Scottish Courts and Tribunals Service","Scottish Government","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Scottish Prison Service","Scottish Government","Female","40","35","29530","26900"
"In post","2022","Commercial","Scottish Prison Service","Scottish Government","Male","50","50","33080","26900"
"In post","2022","Commercial","Serious Fraud Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Serious Fraud Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Submarine Delivery Agency","Ministry of Defence","Female","75","70","38030","37400"
"In post","2022","Commercial","Submarine Delivery Agency","Ministry of Defence","Male","90","90","42370","39860"
"In post","2022","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2022","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2022","Commercial","The National Archives","The National Archives","Female","15","15","[c]","[c]"
"In post","2022","Commercial","The National Archives","The National Archives","Male","25","25","[c]","[c]"
"In post","2022","Commercial","UK Debt Management Office","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Debt Management Office","HM Treasury","Male","5","5","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","UK Export Finance","Female","80","80","45190","42750"
"In post","2022","Commercial","UK Export Finance","UK Export Finance","Male","130","130","56790","51680"
"In post","2022","Commercial","UK Health Security Agency","Department of Health and Social Care","Female","65","65","42580","38580"
"In post","2022","Commercial","UK Health Security Agency","Department of Health and Social Care","Male","75","70","52230","53860"
"In post","2022","Commercial","UK Hydrographic Office","Ministry of Defence","Female","40","35","41500","38260"
"In post","2022","Commercial","UK Hydrographic Office","Ministry of Defence","Male","45","45","42960","42510"
"In post","2022","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","UK Statistics Authority","Female","15","15","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","UK Statistics Authority","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Valuation Office Agency","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Valuation Office Agency","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","Female","20","15","[c]","[c]"
"In post","2022","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2022","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2022","Communications","Attorney General's Office","Attorney General's Departments","Female","10","10","[c]","[c]"
"In post","2022","Communications","Attorney General's Office","Attorney General's Departments","Male","5","5","[c]","[c]"
"In post","2022","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Female","225","220","48090","43890"
"In post","2022","Communications","Cabinet Office (excl. agencies)","Cabinet Office","Male","130","130","48730","40600"
"In post","2022","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","5","5","[c]","[c]"
"In post","2022","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Charity Commission","Charity Commission","Female","10","10","[c]","[c]"
"In post","2022","Communications","Charity Commission","Charity Commission","Male","10","10","[c]","[c]"
"In post","2022","Communications","Companies House","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2022","Communications","Companies House","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Competition and Markets Authority","Female","15","15","[c]","[c]"
"In post","2022","Communications","Competition and Markets Authority","Competition and Markets Authority","Male","15","15","[c]","[c]"
"In post","2022","Communications","Crown Commercial Service","Cabinet Office","Female","15","15","[c]","[c]"
"In post","2022","Communications","Crown Commercial Service","Cabinet Office","Male","5","5","[c]","[c]"
"In post","2022","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","Female","10","10","[c]","[c]"
"In post","2022","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Crown Prosecution Service","Attorney General's Departments","Female","20","20","[c]","[c]"
"In post","2022","Communications","Crown Prosecution Service","Attorney General's Departments","Male","15","15","[c]","[c]"
"In post","2022","Communications","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Defence Equipment and Support","Ministry of Defence","Female","15","15","[c]","[c]"
"In post","2022","Communications","Defence Equipment and Support","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2022","Communications","Defence Science and Technology Laboratory","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2022","Communications","Defence Science and Technology Laboratory","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","65","60","50920","45270"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","45","45","44940","42580"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","20","15","[c]","[c]"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","15","15","[c]","[c]"
"In post","2022","Communications","Department for Education (excl. agencies)","Department for Education","Female","125","120","38960","36660"
"In post","2022","Communications","Department for Education (excl. agencies)","Department for Education","Male","80","80","37650","33500"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","160","150","41060","37200"
