"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","100","95","26900","26470"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G6","55","55","61790","61710"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","G7","175","170","51400","51420"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","200","195","32010","31980"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO","190","185","38220","37240"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","EO","30","30","27820","27580"
"In post","2022","Declared disabled","Department for International Trade","G6","35","35","64660","64170"
"In post","2022","Declared disabled","Department for International Trade","G7","70","65","53420","51970"
"In post","2022","Declared disabled","Department for International Trade","HEO","50","50","32860","31800"
"In post","2022","Declared disabled","Department for International Trade","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","SEO","40","40","39780","38160"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","60","60","27890","27850"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","95","90","52570","53130"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","95","95","32740","33210"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","80","80","39410","39600"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","EO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","G7","60","60","54440","54110"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","HEO","55","50","33550","34710"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","SEO","40","35","43350","42470"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","AA","70","55","20370","20480"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","AO","5195","4410","21400","21260"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","8525","7555","28070","27570"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","G6","90","90","67520","66250"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","G7","295","280","52540","51580"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","HEO","1160","1070","33580","32470"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","SEO","430","400","38240","37330"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","G7","65","65","52870","53360"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","HEO","55","55","32770","32790"
