"Status","Year","Age","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","East of England","East Anglia","North and West Norfolk","65","65","24510","25000"
"In post","2022","20-29","East of England","East Anglia","Norwich and East Norfolk","280","275","24980","24260"
"In post","2022","20-29","East of England","East Anglia","Peterborough","165","155","25880","24880"
"In post","2022","20-29","East of England","East Anglia","Suffolk CC","600","590","25900","25300"
"In post","2022","20-29","East of England","Essex","Essex Haven Gateway","90","90","25690","24800"
"In post","2022","20-29","East of England","Essex","Essex Thames Gateway","135","135","25760","24250"
"In post","2022","20-29","East of England","Essex","Heart of Essex","245","240","27440","27050"
"In post","2022","20-29","East of England","Essex","Southend-on-Sea","75","75","30260","29290"
"In post","2022","20-29","East of England","Essex","Thurrock","65","65","23570","21680"
"In post","2022","20-29","East of England","Essex","West Essex","65","65","26630","24890"
"In post","2022","20-29","London","Inner London - East","Hackney and Newham","960","955","36620","31110"
"In post","2022","20-29","London","Inner London - East","Haringey and Islington","305","300","30410","31060"
"In post","2022","20-29","London","Inner London - East","Lambeth","680","670","34400","32330"
"In post","2022","20-29","London","Inner London - East","Lewisham and Southwark","215","210","29280","28720"
"In post","2022","20-29","London","Inner London - East","Tower Hamlets","1220","1215","36280","33400"
"In post","2022","20-29","London","Inner London - West","Camden and City of London","345","340","31590","28310"
"In post","2022","20-29","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","200","195","31230","31060"
"In post","2022","20-29","London","Inner London - West","Wandsworth","190","190","30920","31060"
"In post","2022","20-29","London","Inner London - West","Westminster","16065","16000","38470","35050"
"In post","2022","20-29","London","Outer London - East and North East","Barking & Dagenham and Havering","115","115","29850","31060"
"In post","2022","20-29","London","Outer London - East and North East","Bexley and Greenwich","340","335","29420","30460"
"In post","2022","20-29","London","Outer London - East and North East","Enfield","65","65","30080","31060"
"In post","2022","20-29","London","Outer London - East and North East","Redbridge and Waltham Forest","225","225","28200","28150"
"In post","2022","20-29","London","Outer London - South","Bromley","60","55","29300","31060"
"In post","2022","20-29","London","Outer London - South","Croydon","1455","1445","33960","31020"
"In post","2022","20-29","London","Outer London - South","Merton, Kingston upon Thames and Sutton","90","90","30430","31060"
"In post","2022","20-29","London","Outer London - West and North West","Barnet","370","345","30660","31060"
"In post","2022","20-29","London","Outer London - West and North West","Brent","130","125","30440","31060"
"In post","2022","20-29","London","Outer London - West and North West","Ealing","75","70","30460","31060"
"In post","2022","20-29","London","Outer London - West and North West","Harrow and Hillingdon","295","290","29080","28670"
"In post","2022","20-29","London","Outer London - West and North West","Hounslow and Richmond upon Thames","570","565","29770","29250"
"In post","2022","20-29","North East (England)","Northumberland, and Tyne and Wear","Northumberland","35","35","26260","27570"
"In post","2022","20-29","North East (England)","Northumberland, and Tyne and Wear","Sunderland","440","425","24480","21260"
"In post","2022","20-29","North East (England)","Northumberland, and Tyne and Wear","Tyneside","2740","2700","27090","26590"
"In post","2022","20-29","North East (England)","Tees Valley and Durham","Darlington","195","195","31450","29360"
"In post","2022","20-29","North East (England)","Tees Valley and Durham","Durham","885","860","24320","23140"
"In post","2022","20-29","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","185","180","24560","24260"
"In post","2022","20-29","North East (England)","Tees Valley and Durham","South Teesside","110","110","23950","21470"
"In post","2022","20-29","North West (England)","Cheshire","Cheshire East","205","205","24420","23140"
"In post","2022","20-29","North West (England)","Cheshire","Cheshire West and Chester","70","70","24340","23630"
"In post","2022","20-29","North West (England)","Cheshire","Warrington","400","395","28830","28840"
"In post","2022","20-29","North West (England)","Cumbria","East Cumbria","70","70","23870","21300"
"In post","2022","20-29","North West (England)","Cumbria","West Cumbria","175","170","25030","24610"
"In post","2022","20-29","North West (England)","Greater Manchester","Greater Manchester North East","170","165","25920","27570"
"In post","2022","20-29","North West (England)","Greater Manchester","Greater Manchester North West","240","235","23980","23140"
"In post","2022","20-29","North West (England)","Greater Manchester","Greater Manchester South East","120","120","23730","21260"
"In post","2022","20-29","North West (England)","Greater Manchester","Greater Manchester South West","1515","1495","28000","26590"
"In post","2022","20-29","North West (England)","Greater Manchester","Manchester","1890","1875","29480","27570"
"In post","2022","20-29","North West (England)","Lancashire","Blackburn with Darwen","50","45","25320","24450"
"In post","2022","20-29","North West (England)","Lancashire","Blackpool","685","675","24990","21260"
"In post","2022","20-29","North West (England)","Lancashire","Chorley and West Lancashire","240","235","25110","24430"
"In post","2022","20-29","North West (England)","Lancashire","East Lancashire","55","55","25480","26950"
"In post","2022","20-29","North West (England)","Lancashire","Lancaster and Wyre","140","135","24660","24800"
"In post","2022","20-29","North West (England)","Lancashire","Mid Lancashire","545","530","24200","22600"
"In post","2022","20-29","North West (England)","Merseyside","East Merseyside","105","100","26290","27570"
"In post","2022","20-29","North West (England)","Merseyside","Liverpool","2115","2070","25730","24880"
"In post","2022","20-29","North West (England)","Merseyside","Sefton","755","740","25870","25000"
"In post","2022","20-29","North West (England)","Merseyside","Wirral","225","220","24750","22600"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","10","10","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Ards and North Down","5","5","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Belfast","500","490","25560","21680"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","30","30","26080","24880"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Mid Ulster","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Overseas","Overseas","Overseas","325","325","35670","33230"
"In post","2022","20-29","Scotland","Eastern Scotland","Angus and Dundee City","300","295","24220","21260"
"In post","2022","20-29","Scotland","Eastern Scotland","City of Edinburgh","2445","2410","29360","27230"
"In post","2022","20-29","Scotland","Eastern Scotland","Clackmannanshire and Fife","140","140","27120","26900"
"In post","2022","20-29","Scotland","Eastern Scotland","East Lothian and Midlothian","10","10","[c]","[c]"
"In post","2022","20-29","Scotland","Eastern Scotland","Falkirk","245","235","25000","22000"
"In post","2022","20-29","Scotland","Eastern Scotland","Perth and Kinross, and Stirling","180","175","26770","26460"
"In post","2022","20-29","Scotland","Eastern Scotland","West Lothian","35","30","27870","27230"
"In post","2022","20-29","Scotland","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","20","20","27320","26520"
"In post","2022","20-29","Scotland","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","110","105","25490","24020"
"In post","2022","20-29","Scotland","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","30","30","25490","25940"
"In post","2022","20-29","Scotland","Highlands and Islands","Na h-Eileanan Siar","15","15","24380","21260"
"In post","2022","20-29","Scotland","Highlands and Islands","Orkney Islands","5","5","[c]","[c]"
"In post","2022","20-29","Scotland","Highlands and Islands","Shetland Islands","10","10","27380","27200"
"In post","2022","20-29","Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","245","240","28620","27230"
"In post","2022","20-29","Scotland","Southern Scotland","Dumfries and Galloway","70","65","27200","26960"
"In post","2022","20-29","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","115","115","24380","23230"
"In post","2022","20-29","Scotland","Southern Scotland","Scottish Borders","70","65","26050","25930"
"In post","2022","20-29","Scotland","Southern Scotland","South Ayrshire","35","35","25490","27230"
"In post","2022","20-29","Scotland","Southern Scotland","South Lanarkshire","520","505","26290","23510"
"In post","2022","20-29","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","350","350","25440","23540"
"In post","2022","20-29","Scotland","West Central Scotland","Glasgow City","2110","2075","27660","26590"
"In post","2022","20-29","Scotland","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","120","115","27810","27020"
"In post","2022","20-29","Scotland","West Central Scotland","North Lanarkshire","380","365","24910","21640"
"In post","2022","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","435","430","28300","27680"
"In post","2022","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","265","265","27930","28140"
"In post","2022","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","420","415","26890","26560"
"In post","2022","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","350","345","27760","27850"
"In post","2022","20-29","South East (England)","Hampshire and Isle of Wight","Central Hampshire","710","705","29670","29230"
"In post","2022","20-29","South East (England)","Hampshire and Isle of Wight","Isle of Wight","105","105","24530","24870"
"In post","2022","20-29","South East (England)","Hampshire and Isle of Wight","North Hampshire","80","80","26700","25320"
"In post","2022","20-29","South East (England)","Hampshire and Isle of Wight","Portsmouth","355","355","26750","25040"
"In post","2022","20-29","South East (England)","Hampshire and Isle of Wight","South Hampshire","565","545","28630","29350"
"In post","2022","20-29","South East (England)","Hampshire and Isle of Wight","Southampton","175","175","27680","27530"
"In post","2022","20-29","South East (England)","Kent","East Kent","585","580","25020","24880"
"In post","2022","20-29","South East (England)","Kent","Kent Thames Gateway","255","255","28320","29290"
"In post","2022","20-29","South East (England)","Kent","Medway","260","255","28070","28140"
"In post","2022","20-29","South East (England)","Kent","Mid Kent","100","95","26170","25210"
"In post","2022","20-29","South East (England)","Kent","West Kent","30","30","30310","29230"
"In post","2022","20-29","South East (England)","Surrey, East and West Sussex","Brighton and Hove","85","85","26290","26970"
"In post","2022","20-29","South East (England)","Surrey, East and West Sussex","East Surrey","185","185","30460","31020"
"In post","2022","20-29","South East (England)","Surrey, East and West Sussex","East Sussex CC","280","275","24840","25120"
"In post","2022","20-29","South East (England)","Surrey, East and West Sussex","West Surrey","395","390","28710","27960"
"In post","2022","20-29","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","135","135","26020","25770"
"In post","2022","20-29","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","115","110","29340","27570"
"In post","2022","20-29","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","140","140","24020","21260"
"In post","2022","20-29","South West (England)","Devon","Devon CC","640","630","25660","24370"
"In post","2022","20-29","South West (England)","Devon","Plymouth","415","410","26570","26050"
"In post","2022","20-29","South West (England)","Devon","Torbay","25","25","24720","23170"
"In post","2022","20-29","South West (England)","Dorset and Somerset","Bournemouth, Christchurch and Poole","70","70","25170","24800"
"In post","2022","20-29","South West (England)","Dorset and Somerset","Dorset","250","245","25000","24730"
"In post","2022","20-29","South West (England)","Dorset and Somerset","Somerset CC","270","270","26300","26740"
"In post","2022","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","2735","2710","28190","27540"
"In post","2022","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","1305","1285","28970","26820"
"In post","2022","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","150","150","26410","27130"
"In post","2022","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","55","55","28180","27570"
"In post","2022","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","1280","1270","28590","28590"
"In post","2022","20-29","Unknown","Unknown","Unknown","805","800","29380","28980"
"In post","2022","20-29","Wales","East Wales","Cardiff and Vale of Glamorgan","1925","1900","26980","25860"
"In post","2022","20-29","Wales","East Wales","Flintshire and Wrexham","335","330","24010","23140"
"In post","2022","20-29","Wales","East Wales","Monmouthshire and Newport","1230","1210","29440","30210"
"In post","2022","20-29","Wales","East Wales","Powys","35","35","24700","24630"
"In post","2022","20-29","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","85","80","24360","21260"
"In post","2022","20-29","Wales","West Wales and The Valleys","Central Valleys","330","325","26400","27570"
"In post","2022","20-29","Wales","West Wales and The Valleys","Conwy and Denbighshire","65","60","25510","24630"
"In post","2022","20-29","Wales","West Wales and The Valleys","Gwent Valleys","110","105","25010","25120"
"In post","2022","20-29","Wales","West Wales and The Valleys","Gwynedd","95","90","22940","21260"
"In post","2022","20-29","Wales","West Wales and The Valleys","Isle of Anglesey","10","10","24310","24890"
"In post","2022","20-29","Wales","West Wales and The Valleys","South West Wales","145","140","24620","24630"
"In post","2022","20-29","Wales","West Wales and The Valleys","Swansea","1140","1100","23650","21840"
"In post","2022","20-29","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","45","45","25710","25680"
"In post","2022","20-29","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","125","125","25090","23630"
"In post","2022","20-29","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","355","350","24460","24260"
"In post","2022","20-29","West Midlands (England)","Shropshire and Staffordshire","Shropshire","90","90","25530","25610"
