"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6/G7","110","105","57080","53630"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO/HEO","80","80","35210","34000"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","EO","30","30","29550","29970"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","G6/G7","160","150","57610","54760"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","135","130","37820","35700"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","50","45","22460","21260"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","35","35","28850","27660"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","200","185","59530","57230"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","10","10","78760","78190"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","335","325","36380","36480"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","25","20","27000","27270"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","255","245","57620","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","20","20","82600","76870"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","105","100","35530","32790"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","20","15","21640","21840"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","EO","15","10","26330","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","25","25","35250","33350"
"In post","2022","Analysis","Education and Skills Funding Agency","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","G6/G7","10","10","55770","55300"
"In post","2022","Analysis","Food Standards Agency","Food Standards Agency","SEO/HEO","30","30","36520","37350"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","35","35","66800","65590"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","15","15","49780","48860"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","EO","10","10","28720","28230"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","G6/G7","120","105","86270","80750"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Chancellor's other departments","SEO/HEO","50","50","40160","38670"
"In post","2022","Analysis","Government Internal Audit Agency","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","EO","10","5","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","G6/G7","20","20","61810","59150"
"In post","2022","Analysis","Health and Safety Executive","Department for Work and Pensions","SEO/HEO","20","15","35910","34700"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","EO","10","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","G6/G7","20","15","59400","59790"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Ministry of Justice","SEO/HEO","30","30","37350","36700"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","HM Land Registry","SEO/HEO","15","15","38400","35560"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Ministry of Justice","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AA/AO","10","10","22830","21250"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","40","35","29200","28920"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6/G7","250","235","61070","62120"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","15","15","81150","79420"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO/HEO","425","410","38030","37930"
"In post","2022","Analysis","HM Treasury (excl. agencies)","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","10","10","24750","24030"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6/G7","10","10","61030","60340"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","20","20","35240","32100"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","G6/G7","20","15","55360","53830"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SEO/HEO","20","20","37970","40450"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","AA/AO","20","20","21460","21220"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","70","65","28020","27850"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","G6/G7","40","40","60790","60290"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO/HEO","165","160","39140","38500"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","70","65","28070","28310"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","G6/G7","185","175","61250","60280"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","SCS level","10","10","83210","82270"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","SEO/HEO","230","225","39010","41100"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","G6/G7","10","10","56460","53060"
"In post","2022","Analysis","National Savings and Investments","Chancellor's other departments","SEO/HEO","15","15","44010","43860"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","G6/G7","20","20","59500","57060"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","HM Treasury","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","EO","15","15","25760","25880"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","G6/G7","20","20","63930","59810"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","SEO/HEO","90","85","35880","33350"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","45","45","27360","26500"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6/G7","60","60","58270","58340"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO/HEO","60","60","35840","35000"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","G6/G7","25","25","61920","59210"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Office of Rail and Road","SEO/HEO","15","15","39140","38650"
"In post","2022","Analysis","Office of the Public Guardian","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Scottish Government","SEO/HEO","15","15","42320","40340"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","EO","20","15","25260","25100"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","25","25","31930","29690"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","35","30","39470","38510"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","G6/G7","15","15","69150","67460"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","HM Treasury","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","G6/G7","10","10","65360","66810"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","UK Export Finance","SEO/HEO","15","15","39540","41000"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","10","10","54480","53380"
"In post","2022","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","AA/AO","70","65","20130","19860"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","EO","195","180","24700","23880"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","G6/G7","420","405","53820","51210"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","SCS level","35","35","86220","74730"
"In post","2022","Analysis","UK Statistics Authority","UK Statistics Authority","SEO/HEO","1255","1210","34580","33710"
"In post","2022","Analysis","Valuation Office Agency","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","HM Revenue and Customs","G6/G7","25","25","59710","57150"
"In post","2022","Analysis","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","35","35","37450","38040"
"In post","2022","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","EO","10","10","28000","28000"
"In post","2022","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","G6/G7","15","15","87720","82920"
"In post","2022","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","SEO/HEO","15","15","49640","48720"
"In post","2022","Analysis","Welsh Revenue Authority","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","20","15","22150","21300"
"In post","2022","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","10","10","26610","25890"
"In post","2022","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","10","10","56660","54360"
"In post","2022","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","30","30","35320","35900"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","EO","35","30","26600","27500"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","1245","1230","64860","64500"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","240","235","118970","117230"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","145","140","38090","38420"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Cabinet Office","EO","45","40","26160","25950"
"In post","2022","Commercial","Crown Commercial Service","Cabinet Office","G6/G7","25","25","51740","51100"
"In post","2022","Commercial","Crown Commercial Service","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Cabinet Office","SEO/HEO","285","280","35550","38330"
"In post","2022","Commercial","Crown Prosecution Service","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","Attorney General's Departments","G6/G7","10","10","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","20","20","35840","38180"
"In post","2022","Commercial","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Ministry of Defence","EO","15","15","28940","29470"
"In post","2022","Commercial","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","10","10","38120","35100"
"In post","2022","Commercial","Defence Equipment and Support","Ministry of Defence","EO","55","55","25150","26670"
"In post","2022","Commercial","Defence Equipment and Support","Ministry of Defence","G6/G7","130","125","57520","55420"
"In post","2022","Commercial","Defence Equipment and Support","Ministry of Defence","SCS level","10","10","109620","109540"
"In post","2022","Commercial","Defence Equipment and Support","Ministry of Defence","SEO/HEO","245","235","36470","37400"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","10","10","26600","19170"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","EO","25","20","24120","23490"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","40","40","36390","38070"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","10","10","62290","57230"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","25","20","38050","40050"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","10","10","57220","53710"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","20","20","34910","34020"
"In post","2022","Commercial","Department for Education (excl. agencies)","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Department for Education","EO","30","30","25120","25000"
"In post","2022","Commercial","Department for Education (excl. agencies)","Department for Education","G6/G7","55","55","52570","49970"
"In post","2022","Commercial","Department for Education (excl. agencies)","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Department for Education","SEO/HEO","160","155","34770","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
