"Status","Year","Age","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","110","110","18420","18030"
"In post","2022","16-19","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Foreign, Commonwealth and Development Office","15","15","19130","16630"
"In post","2022","16-19","Property","HM Revenue and Customs","15","15","25460","25520"
"In post","2022","16-19","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","5","5","[c]","[c]"
"In post","2022","16-19","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","5","5","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","55","50","23480","21680"
"In post","2022","16-19","Unknown","Ministry of Defence","40","40","18290","16720"
"In post","2022","16-19","Unknown","Scottish Government","55","55","22230","21050"
"In post","2022","16-19","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Chancellor's other departments","55","55","39290","36590"
"In post","2022","20-29","Analysis","Competition and Markets Authority","30","30","41180","34640"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","175","175","36650","33880"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","85","85","43000","38020"
"In post","2022","20-29","Analysis","Department for Education","65","65","37220","36580"
"In post","2022","20-29","Analysis","Department for Environment, Food and Rural Affairs","85","85","26020","25460"
"In post","2022","20-29","Analysis","Department for International Trade","150","150","37470","31800"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities","105","100","39760","34550"
"In post","2022","20-29","Analysis","Department for Transport","165","165","39550","34710"
"In post","2022","20-29","Analysis","Department for Work and Pensions","270","270","33930","35000"
"In post","2022","20-29","Analysis","Department of Health and Social Care","155","155","41440","40650"
"In post","2022","20-29","Analysis","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","15","15","34520","32350"
"In post","2022","20-29","Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Land Registry","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","HM Revenue and Customs","315","315","38290","37610"
"In post","2022","20-29","Analysis","HM Treasury","20","20","39210","35690"
"In post","2022","20-29","Analysis","Ministry of Defence","245","245","33220","29670"
"In post","2022","20-29","Analysis","Ministry of Justice","195","190","38980","34610"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","25","25","33700","32010"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","60","60","33010","30000"
"In post","2022","20-29","Analysis","Office of Rail and Road","15","15","38930","38650"
"In post","2022","20-29","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Export Finance","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","UK Statistics Authority","735","730","32980","30710"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","15","15","37060","28000"
"In post","2022","20-29","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","Cabinet Office","215","215","43170","38330"
"In post","2022","20-29","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy","25","25","36860","33570"
"In post","2022","20-29","Commercial","Department for Digital, Culture, Media and Sport","15","15","35610","34020"
"In post","2022","20-29","Commercial","Department for Education","60","60","31870","29360"
"In post","2022","20-29","Commercial","Department for Environment, Food and Rural Affairs","20","20","30220","33110"
"In post","2022","20-29","Commercial","Department for International Trade","15","15","34290","31800"
"In post","2022","20-29","Commercial","Department for Levelling Up, Housing and Communities","10","10","34100","33210"
"In post","2022","20-29","Commercial","Department for Transport","80","80","34600","34710"
"In post","2022","20-29","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department of Health and Social Care","130","130","41130","40650"
"In post","2022","20-29","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Foreign, Commonwealth and Development Office","15","15","27680","26010"
"In post","2022","20-29","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","HM Revenue and Customs","35","35","31520","33080"
"In post","2022","20-29","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Ministry of Defence","320","320","30070","27850"
"In post","2022","20-29","Commercial","Ministry of Justice","50","50","33080","34260"
"In post","2022","20-29","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Scottish Government","25","20","26940","25420"
"In post","2022","20-29","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","UK Export Finance","50","50","37090","33000"
"In post","2022","20-29","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Attorney General's Departments","25","25","36670","31560"
"In post","2022","20-29","Communications","Cabinet Office","125","125","36950","35160"
"In post","2022","20-29","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","20-29","Communications","Department for Business, Energy and Industrial Strategy","45","45","37650","38620"
"In post","2022","20-29","Communications","Department for Digital, Culture, Media and Sport","10","10","35240","36520"
"In post","2022","20-29","Communications","Department for Education","75","75","33120","30410"
"In post","2022","20-29","Communications","Department for Environment, Food and Rural Affairs","60","60","32890","32560"
"In post","2022","20-29","Communications","Department for International Trade","50","50","37280","38160"
"In post","2022","20-29","Communications","Department for Levelling Up, Housing and Communities","35","35","35710","33210"
"In post","2022","20-29","Communications","Department for Transport","45","45","32370","32490"
"In post","2022","20-29","Communications","Department for Work and Pensions","15","15","40310","41880"
"In post","2022","20-29","Communications","Department of Health and Social Care","135","130","36040","27510"
"In post","2022","20-29","Communications","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Foreign, Commonwealth and Development Office","15","15","41370","40600"
"In post","2022","20-29","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","HM Revenue and Customs","1335","1325","28210","26820"
"In post","2022","20-29","Communications","HM Treasury","15","15","39380","37900"
"In post","2022","20-29","Communications","Ministry of Defence","90","90","33050","33000"
"In post","2022","20-29","Communications","Ministry of Justice","45","45","36400","34260"
"In post","2022","20-29","Communications","National Crime Agency","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2022","20-29","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Scottish Government","10","10","30440","31610"
"In post","2022","20-29","Communications","The National Archives","5","5","[c]","[c]"
"In post","2022","20-29","Communications","UK Export Finance","20","20","38180","36000"
"In post","2022","20-29","Communications","UK Statistics Authority","15","15","32280","30210"
"In post","2022","20-29","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Attorney General's Departments","30","30","31560","33100"
"In post","2022","20-29","Counter Fraud","Cabinet Office","35","35","37220","34550"
"In post","2022","20-29","Counter Fraud","Department for Business, Energy and Industrial Strategy","25","25","25820","24500"
"In post","2022","20-29","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","Department for Work and Pensions","650","645","26540","27570"
"In post","2022","20-29","Counter Fraud","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","HM Revenue and Customs","1275","1265","30600","26820"
"In post","2022","20-29","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","Department for Work and Pensions","300","290","21870","21260"
"In post","2022","20-29","Debt","HM Revenue and Customs","985","950","22310","21250"
"In post","2022","20-29","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Attorney General's Departments","35","35","31460","30130"
"In post","2022","20-29","Digital, Data & Technology","Cabinet Office","250","250","41050","37300"
"In post","2022","20-29","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Competition and Markets Authority","15","15","47080","42290"
"In post","2022","20-29","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","360","355","29100","30930"
"In post","2022","20-29","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Department for Education","180","180","36540","34000"
"In post","2022","20-29","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","100","100","32730","29180"
"In post","2022","20-29","Digital, Data & Technology","Department for International Trade","50","50","38100","35050"
"In post","2022","20-29","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","25","25","42800","39820"
"In post","2022","20-29","Digital, Data & Technology","Department for Transport","160","160","31180","30730"
"In post","2022","20-29","Digital, Data & Technology","Department for Work and Pensions","400","400","35500","31990"
"In post","2022","20-29","Digital, Data & Technology","Department of Health and Social Care","120","120","35420","32790"
"In post","2022","20-29","Digital, Data & Technology","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Foreign, Commonwealth and Development Office","50","50","32180","33930"
"In post","2022","20-29","Digital, Data & Technology","HM Land Registry","120","120","30400","30180"
"In post","2022","20-29","Digital, Data & Technology","HM Revenue and Customs","535","530","34620","33370"
"In post","2022","20-29","Digital, Data & Technology","HM Treasury","10","10","33670","32000"
"In post","2022","20-29","Digital, Data & Technology","Ministry of Defence","390","390","28810","26670"
"In post","2022","20-29","Digital, Data & Technology","Ministry of Justice","160","160","37500","35320"
"In post","2022","20-29","Digital, Data & Technology","National Crime Agency","45","45","32980","32260"
"In post","2022","20-29","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Scottish Government","40","40","31200","30450"
"In post","2022","20-29","Digital, Data & Technology","The National Archives","20","15","29690","30000"
"In post","2022","20-29","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","UK Statistics Authority","120","115","31300","30210"
"In post","2022","20-29","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Attorney General's Departments","30","30","26320","25480"
"In post","2022","20-29","Finance","Cabinet Office","30","30","35480","34550"
"In post","2022","20-29","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Business, Energy and Industrial Strategy","45","45","38410","39820"
"In post","2022","20-29","Finance","Department for Digital, Culture, Media and Sport","20","20","43870","43970"
"In post","2022","20-29","Finance","Department for Education","245","245","33560","29990"
"In post","2022","20-29","Finance","Department for Environment, Food and Rural Affairs","50","50","30480","29180"
"In post","2022","20-29","Finance","Department for International Trade","15","15","41650","39780"
"In post","2022","20-29","Finance","Department for Levelling Up, Housing and Communities","15","15","42870","39600"
"In post","2022","20-29","Finance","Department for Transport","60","55","35520","30730"
"In post","2022","20-29","Finance","Department for Work and Pensions","170","170","33000","31990"
"In post","2022","20-29","Finance","Department of Health and Social Care","175","175","35240","32790"
"In post","2022","20-29","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Foreign, Commonwealth and Development Office","55","55","37070","33610"
"In post","2022","20-29","Finance","HM Land Registry","5","5","[c]","[c]"
"In post","2022","20-29","Finance","HM Revenue and Customs","350","335","28870","22080"
"In post","2022","20-29","Finance","HM Treasury","35","35","39970","33890"
"In post","2022","20-29","Finance","Ministry of Defence","325","325","30030","26670"
"In post","2022","20-29","Finance","Ministry of Justice","55","55","36630","34260"
"In post","2022","20-29","Finance","National Crime Agency","10","10","[c]","[c]"
"In post","2022","20-29","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Scottish Government","30","25","27850","26900"
"In post","2022","20-29","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","UK Export Finance","10","10","37580","31180"
"In post","2022","20-29","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","Department for Environment, Food and Rural Affairs","375","370","22350","21300"
"In post","2022","20-29","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Attorney General's Departments","70","70","28550","26950"
"In post","2022","20-29","Human Resources","Cabinet Office","245","245","30750","27750"
"In post","2022","20-29","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","50","50","32880","29640"
"In post","2022","20-29","Human Resources","Department for Digital, Culture, Media and Sport","25","25","35100","34020"
"In post","2022","20-29","Human Resources","Department for Education","45","45","28150","28000"
"In post","2022","20-29","Human Resources","Department for Environment, Food and Rural Affairs","30","30","31400","29180"
"In post","2022","20-29","Human Resources","Department for International Trade","45","45","38620","32540"
"In post","2022","20-29","Human Resources","Department for Levelling Up, Housing and Communities","25","25","31540","30190"
"In post","2022","20-29","Human Resources","Department for Transport","50","50","30770","28980"
"In post","2022","20-29","Human Resources","Department for Work and Pensions","160","155","30640","28000"
"In post","2022","20-29","Human Resources","Department of Health and Social Care","150","150","33730","32330"
"In post","2022","20-29","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Foreign, Commonwealth and Development Office","50","50","33220","32790"
"In post","2022","20-29","Human Resources","HM Land Registry","15","15","31780","27130"
"In post","2022","20-29","Human Resources","HM Revenue and Customs","180","180","32720","33080"
"In post","2022","20-29","Human Resources","HM Treasury","30","30","32790","27000"
"In post","2022","20-29","Human Resources","Ministry of Defence","250","245","27420","24370"
"In post","2022","20-29","Human Resources","Ministry of Justice","110","110","33180","30450"
"In post","2022","20-29","Human Resources","National Crime Agency","25","25","31740","28840"
"In post","2022","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Scottish Government","45","45","27770","27230"
"In post","2022","20-29","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Export Finance","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Statistics Authority","20","20","29480","30210"
"In post","2022","20-29","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2022","20-29","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","HM Treasury","25","25","32730","33420"
"In post","2022","20-29","Internal Audit","Ministry of Defence","10","10","33130","33150"
"In post","2022","20-29","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Attorney General's Departments","1240","1225","30090","26950"
"In post","2022","20-29","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Competition and Markets Authority","30","30","38990","34730"
"In post","2022","20-29","Legal","Department for Business, Energy and Industrial Strategy","15","15","32920","30930"
"In post","2022","20-29","Legal","Department for Education","5","5","[c]","[c]"
"In post","2022","20-29","Legal","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","20-29","Legal","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2022","20-29","Legal","Foreign, Commonwealth and Development Office","10","10","34940","26400"
"In post","2022","20-29","Legal","HM Land Registry","20","20","32020","27130"
"In post","2022","20-29","Legal","HM Revenue and Customs","180","175","36450","33370"
"In post","2022","20-29","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
