"Status","Year","Age","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Counter Fraud","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Bradford","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Liverpool","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Debt","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tyneside","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Devon CC","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Plymouth","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","15","15","19730","19460"
"In post","2022","16-19","Finance","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","North Lanarkshire","Outside London","10","5","[c]","[c]"
"In post","2022","16-19","Finance","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Westminster","London","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Westminster","London","10","10","22560","21850"
"In post","2022","16-19","No function","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Barnet","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Barnsley, Doncaster and Rotherham","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Bexley and Greenwich","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Birmingham","Outside London","20","20","22030","21260"
"In post","2022","16-19","No function","Blackpool","Outside London","10","10","23550","21260"
"In post","2022","16-19","No function","Bradford","Outside London","15","10","21700","21250"
"In post","2022","16-19","No function","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Bristol, City of","Outside London","10","10","20850","20930"
"In post","2022","16-19","No function","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cambridgeshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cardiff and Vale of Glamorgan","Outside London","15","15","22460","21250"
"In post","2022","16-19","No function","Central Hampshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","City of Edinburgh","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","No function","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Croydon","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Dorset","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Durham","Outside London","10","10","22150","22200"
"In post","2022","16-19","No function","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","East Sussex CC","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Flintshire and Wrexham","Outside London","15","15","18060","17450"
"In post","2022","16-19","No function","Glasgow City","Outside London","10","10","21300","21260"
"In post","2022","16-19","No function","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Greater Manchester South East","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Greater Manchester South West","Outside London","15","15","21190","21250"
"In post","2022","16-19","No function","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Kent Thames Gateway","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Leeds","Outside London","25","25","21740","21250"
"In post","2022","16-19","No function","Leicester","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Leicestershire CC and Rutland","Outside London","10","10","20930","20930"
"In post","2022","16-19","No function","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Liverpool","Outside London","30","30","21760","21250"
"In post","2022","16-19","No function","Manchester","Outside London","15","15","22510","22280"
"In post","2022","16-19","No function","Medway","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","No function","Mid Lancashire","Outside London","15","15","20660","21260"
"In post","2022","16-19","No function","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Monmouthshire and Newport","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","No function","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Nottingham","Outside London","10","10","23010","23140"
"In post","2022","16-19","No function","Oxfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Perth and Kinross, and Stirling","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","South Hampshire","Outside London","10","10","20250","19860"
"In post","2022","16-19","No function","South Lanarkshire","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","No function","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Staffordshire CC","Outside London","10","10","21200","22490"
"In post","2022","16-19","No function","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Suffolk CC","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","No function","Sunderland","Outside London","10","10","21250","21250"
"In post","2022","16-19","No function","Swansea","Outside London","80","65","19330","18310"
"In post","2022","16-19","No function","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tyneside","Outside London","25","25","21380","21260"
"In post","2022","16-19","No function","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Warrington","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","West Lothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Westminster","London","30","30","25490","25170"
"In post","2022","16-19","No function","Wiltshire","Outside London","15","15","19920","20890"
"In post","2022","16-19","No function","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Wolverhampton","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","80","80","18410","18030"
"In post","2022","16-19","Project Delivery","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","East Ayrshire and North Ayrshire mainland","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Plymouth","Outside London","10","10","18710","18030"
"In post","2022","16-19","Project Delivery","South Hampshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Brent","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Milton Keynes","Outside London","15","15","19130","16630"
"In post","2022","16-19","Property","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Lisburn and Castlereagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Newry, Mourne and Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Angus and Dundee City","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","City of Edinburgh","Outside London","25","25","22730","21050"
"In post","2022","16-19","Unknown","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","East Kent","Outside London","15","15","22680","21680"
"In post","2022","16-19","Unknown","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Glasgow City","Outside London","20","20","21230","21050"
"In post","2022","16-19","Unknown","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Scottish Borders","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Sheffield","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Shetland Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Westminster","London","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","35","30","31210","29350"
"In post","2022","20-29","Analysis","Birmingham","Outside London","20","20","36650","33770"
"In post","2022","20-29","Analysis","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Bristol, City of","Outside London","25","25","32940","32010"
"In post","2022","20-29","Analysis","Buckinghamshire","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Camden and City of London","London","65","60","38510","36480"
"In post","2022","20-29","Analysis","Cardiff and Vale of Glamorgan","Outside London","5","5","[c]","[c]"
