"Status","Year","Function_of_post","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Counter Fraud","Outside London","HEO","Female","1545","1430","33320","33370"
"In post","2022","Counter Fraud","Outside London","HEO","Male","1595","1545","33530","33370"
"In post","2022","Counter Fraud","Outside London","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","SEO","Female","565","535","39980","40520"
"In post","2022","Counter Fraud","Outside London","SEO","Male","645","625","40390","40520"
"In post","2022","Counter Fraud","Unknown","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","AO","Female","200","165","25850","25900"
"In post","2022","Debt","London","AO","Male","115","110","25740","25860"
"In post","2022","Debt","London","EO","Female","80","70","31850","32880"
"In post","2022","Debt","London","EO","Male","55","50","31770","32180"
"In post","2022","Debt","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","G7","Male","10","10","[c]","[c]"
"In post","2022","Debt","London","HEO","Female","10","10","[c]","[c]"
"In post","2022","Debt","London","HEO","Male","15","15","[c]","[c]"
"In post","2022","Debt","London","SEO","Female","5","5","[c]","[c]"
"In post","2022","Debt","London","SEO","Male","10","10","[c]","[c]"
"In post","2022","Debt","Outside London","AA","Female","20","15","[c]","[c]"
"In post","2022","Debt","Outside London","AA","Male","20","20","[c]","[c]"
"In post","2022","Debt","Outside London","AO","Female","2940","2455","21360","21260"
"In post","2022","Debt","Outside London","AO","Male","1835","1750","21320","21250"
"In post","2022","Debt","Outside London","EO","Female","635","555","27300","26820"
"In post","2022","Debt","Outside London","EO","Male","440","415","27280","26820"
"In post","2022","Debt","Outside London","G6","Female","10","10","[c]","[c]"
"In post","2022","Debt","Outside London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Outside London","G7","Female","15","15","[c]","[c]"
"In post","2022","Debt","Outside London","G7","Male","10","10","[c]","[c]"
"In post","2022","Debt","Outside London","HEO","Female","155","140","32890","33080"
"In post","2022","Debt","Outside London","HEO","Male","85","85","33170","33370"
"In post","2022","Debt","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Outside London","SEO","Female","50","50","38620","40180"
"In post","2022","Debt","Outside London","SEO","Male","30","25","[c]","[c]"
"In post","2022","Debt","Unknown","AO","Female","50","40","24670","25110"
"In post","2022","Debt","Unknown","AO","Male","10","10","[c]","[c]"
"In post","2022","Debt","Unknown","EO","Female","5","5","[c]","[c]"
"In post","2022","Debt","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","AO","Female","55","55","24470","24490"
"In post","2022","Digital, Data & Technology","London","AO","Male","70","65","24950","24340"
"In post","2022","Digital, Data & Technology","London","EO","Female","200","190","29410","28690"
"In post","2022","Digital, Data & Technology","London","EO","Male","275","270","29850","30230"
"In post","2022","Digital, Data & Technology","London","G6","Female","160","155","68400","66440"
"In post","2022","Digital, Data & Technology","London","G6","Male","255","250","70220","69530"
"In post","2022","Digital, Data & Technology","London","G7","Female","555","535","56470","54700"
"In post","2022","Digital, Data & Technology","London","G7","Male","825","820","58270","56730"
"In post","2022","Digital, Data & Technology","London","HEO","Female","375","365","35230","34550"
"In post","2022","Digital, Data & Technology","London","HEO","Male","440","435","35690","35060"
"In post","2022","Digital, Data & Technology","London","SCS level","Female","60","55","91630","85000"
"In post","2022","Digital, Data & Technology","London","SCS level","Male","100","100","96830","91340"
"In post","2022","Digital, Data & Technology","London","SEO","Female","420","410","42420","41750"
"In post","2022","Digital, Data & Technology","London","SEO","Male","525","520","43690","42470"
"In post","2022","Digital, Data & Technology","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Outside London","AA","Female","40","35","19370","19190"
"In post","2022","Digital, Data & Technology","Outside London","AA","Male","50","50","19530","19380"
"In post","2022","Digital, Data & Technology","Outside London","AO","Female","355","330","21630","21300"
"In post","2022","Digital, Data & Technology","Outside London","AO","Male","370","365","21750","21380"
"In post","2022","Digital, Data & Technology","Outside London","EO","Female","1200","1110","27060","26820"
"In post","2022","Digital, Data & Technology","Outside London","EO","Male","2090","2035","27490","27130"
"In post","2022","Digital, Data & Technology","Outside London","G6","Female","305","300","65570","64900"
"In post","2022","Digital, Data & Technology","Outside London","G6","Male","660","650","67660","66610"
"In post","2022","Digital, Data & Technology","Outside London","G7","Female","1110","1065","52300","51210"
"In post","2022","Digital, Data & Technology","Outside London","G7","Male","2110","2085","54240","53830"
"In post","2022","Digital, Data & Technology","Outside London","HEO","Female","1765","1670","32850","33050"
"In post","2022","Digital, Data & Technology","Outside London","HEO","Male","2735","2685","33640","33300"
"In post","2022","Digital, Data & Technology","Outside London","SCS level","Female","55","55","85020","76900"
"In post","2022","Digital, Data & Technology","Outside London","SCS level","Male","120","115","92450","88420"
"In post","2022","Digital, Data & Technology","Outside London","SEO","Female","1535","1460","39760","40000"
"In post","2022","Digital, Data & Technology","Outside London","SEO","Male","3050","2995","41100","40520"
"In post","2022","Digital, Data & Technology","Outside London","Unknown","Female","25","20","[c]","[c]"
"In post","2022","Digital, Data & Technology","Outside London","Unknown","Male","50","45","33420","32500"
"In post","2022","Digital, Data & Technology","Overseas","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","EO","Female","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","EO","Male","15","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","HEO","Female","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","HEO","Male","25","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","SEO","Female","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","SEO","Male","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","EO","Male","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","G7","Female","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","G7","Male","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","HEO","Female","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","HEO","Male","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","SEO","Female","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","SEO","Male","5","5","[c]","[c]"
"In post","2022","Finance","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","AO","Female","65","60","25180","25330"
"In post","2022","Finance","London","AO","Male","40","40","24700","24510"
"In post","2022","Finance","London","EO","Female","225","215","29610","30130"
"In post","2022","Finance","London","EO","Male","140","135","29470","29670"
"In post","2022","Finance","London","G6","Female","140","135","69610","69200"
"In post","2022","Finance","London","G6","Male","190","190","70080","69800"
"In post","2022","Finance","London","G7","Female","315","305","57350","57400"
"In post","2022","Finance","London","G7","Male","370","365","58300","57460"
"In post","2022","Finance","London","HEO","Female","345","335","36160","36300"
"In post","2022","Finance","London","HEO","Male","270","270","36370","36650"
"In post","2022","Finance","London","SCS level","Female","70","70","86620","81600"
"In post","2022","Finance","London","SCS level","Male","100","100","91160","82340"
"In post","2022","Finance","London","SEO","Female","330","320","43200","42430"
"In post","2022","Finance","London","SEO","Male","390","385","43700","43300"
"In post","2022","Finance","Outside London","AA","Female","55","35","20530","21250"
"In post","2022","Finance","Outside London","AA","Male","35","30","20850","21250"
"In post","2022","Finance","Outside London","AO","Female","1010","810","21670","21260"
"In post","2022","Finance","Outside London","AO","Male","515","480","21490","21250"
"In post","2022","Finance","Outside London","EO","Female","1070","985","26380","26670"
"In post","2022","Finance","Outside London","EO","Male","650","640","26180","26670"
"In post","2022","Finance","Outside London","G6","Female","225","220","64990","65090"
"In post","2022","Finance","Outside London","G6","Male","230","230","66240","66500"
"In post","2022","Finance","Outside London","G7","Female","650","630","52800","52070"
"In post","2022","Finance","Outside London","G7","Male","635","620","53240","52750"
"In post","2022","Finance","Outside London","HEO","Female","1155","1080","32490","32320"
"In post","2022","Finance","Outside London","HEO","Male","860","845","32690","33000"
"In post","2022","Finance","Outside London","SCS level","Female","45","45","84370","75520"
"In post","2022","Finance","Outside London","SCS level","Male","85","85","85370","80230"
"In post","2022","Finance","Outside London","SEO","Female","1105","1050","39760","39480"
"In post","2022","Finance","Outside London","SEO","Male","940","920","40100","40180"
"In post","2022","Finance","Outside London","Unknown","Female","30","25","[c]","[c]"
"In post","2022","Finance","Outside London","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Finance","Overseas","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","EO","Female","10","10","[c]","[c]"
"In post","2022","Finance","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","HEO","Female","10","10","[c]","[c]"
"In post","2022","Finance","Overseas","HEO","Male","5","5","[c]","[c]"
"In post","2022","Finance","Overseas","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Outside London","AO","Female","750","655","21280","21300"
"In post","2022","Grants Management","Outside London","AO","Male","530","515","21270","21300"
"In post","2022","Grants Management","Outside London","EO","Female","370","330","25430","25190"
"In post","2022","Grants Management","Outside London","EO","Male","230","225","25450","25190"
"In post","2022","Grants Management","Outside London","G6","Female","10","10","[c]","[c]"
"In post","2022","Grants Management","Outside London","G6","Male","10","10","[c]","[c]"
"In post","2022","Grants Management","Outside London","G7","Female","25","25","[c]","[c]"
"In post","2022","Grants Management","Outside London","G7","Male","20","20","[c]","[c]"
"In post","2022","Grants Management","Outside London","HEO","Female","130","115","30200","30210"
