"Status","Year","Organisation","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","35","35","30330","29180"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon","Outside London","Heterosexual / straight","155","150","28100","21300"
"In post","2022","Animal and Plant Health Agency","Devon","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon","Outside London","Unknown","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Outside London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset and Somerset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Outside London","Heterosexual / straight","70","70","31320","29180"
"In post","2022","Animal and Plant Health Agency","East Anglia","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Anglia","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Outside London","Heterosexual / straight","85","80","28590","24920"
"In post","2022","Animal and Plant Health Agency","East Wales","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Wales","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Outside London","Heterosexual / straight","35","35","33520","29180"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Outside London","Heterosexual / straight","35","35","30490","29180"
"In post","2022","Animal and Plant Health Agency","Essex","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Essex","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Heterosexual / straight","90","85","28470","24920"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Greater Manchester","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hampshire and Isle of Wight","Outside London","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hampshire and Isle of Wight","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hampshire and Isle of Wight","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hampshire and Isle of Wight","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","Heterosexual / straight","130","120","29870","27110"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Highlands and Islands","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Highlands and Islands","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Highlands and Islands","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Inner London - West","London","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Inner London - West","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Inner London - West","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Inner London - West","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Kent","Outside London","Heterosexual / straight","35","35","28040","27380"
"In post","2022","Animal and Plant Health Agency","Kent","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Kent","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Kent","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lancashire","Outside London","Heterosexual / straight","70","65","28440","24920"
"In post","2022","Animal and Plant Health Agency","Lancashire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lancashire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lancashire","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lincolnshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Eastern Scotland","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Eastern Scotland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","Outside London","Heterosexual / straight","135","130","29050","25310"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North Yorkshire","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Outside London","Heterosexual / straight","35","35","30070","25190"
"In post","2022","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Northumberland, and Tyne and Wear","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outer London - East and North East","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outer London - East and North East","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outer London - West and North West","London","Heterosexual / straight","60","60","33330","31690"
"In post","2022","Animal and Plant Health Agency","Outer London - West and North West","London","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outer London - West and North West","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outer London - West and North West","London","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Shropshire and Staffordshire","Outside London","Heterosexual / straight","70","65","29440","24920"
"In post","2022","Animal and Plant Health Agency","Shropshire and Staffordshire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Shropshire and Staffordshire","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Shropshire and Staffordshire","Outside London","Unknown","20","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Southern Scotland","Outside London","Heterosexual / straight","45","45","30710","25190"
"In post","2022","Animal and Plant Health Agency","Southern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Southern Scotland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Southern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","Heterosexual / straight","470","450","33310","28840"
"In post","2022","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","LGBO","40","40","28000","26440"
"In post","2022","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","Undeclared","80","75","38720","33560"
"In post","2022","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","Unknown","75","70","30820","24370"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","Heterosexual / straight","155","145","28130","25100"
"In post","2022","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","LGBO","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","Unknown","35","30","26350","25100"
"In post","2022","Animal and Plant Health Agency","West Yorkshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Yorkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Inner London - West","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Office","Inner London - West","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Inner London - West","London","Unknown","30","30","55230","51900"
"In post","2022","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","65","65","34100","33300"
"In post","2022","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","60","60","40400","29250"
"In post","2022","Cabinet Office (excl. agencies)","Cheshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cheshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cumbria","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Outside London","Unknown","25","25","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Devon","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Devon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Devon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Dorset and Somerset","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Dorset and Somerset","Outside London","LGBO","[c]","[c]","[c]","[c]"
