"Status","Year","Disability","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
