"Status","Year","Age","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","65+","East Midlands (England)","Outside London","Male","260","200","30620","27570"
"In post","2022","65+","East of England","Outside London","Female","345","265","27240","25110"
"In post","2022","65+","East of England","Outside London","Male","410","315","32120","28900"
"In post","2022","65+","London","London","Female","1180","960","34580","29250"
"In post","2022","65+","London","London","Male","1240","1045","40830","33900"
"In post","2022","65+","North East (England)","Outside London","Female","400","280","24570","22080"
"In post","2022","65+","North East (England)","Outside London","Male","315","235","27060","22080"
"In post","2022","65+","North West (England)","Outside London","Female","760","545","25940","22080"
"In post","2022","65+","North West (England)","Outside London","Male","645","485","30540","27380"
"In post","2022","65+","Northern Ireland","Outside London","Female","25","20","[c]","[c]"
"In post","2022","65+","Northern Ireland","Outside London","Male","65","55","26730","21680"
"In post","2022","65+","Overseas","Overseas","Female","10","5","[c]","[c]"
"In post","2022","65+","Overseas","Overseas","Male","20","20","[c]","[c]"
"In post","2022","65+","Scotland","Outside London","Female","500","355","27430","24050"
"In post","2022","65+","Scotland","Outside London","Male","630","490","32660","27570"
"In post","2022","65+","South East (England)","Outside London","Female","740","560","27710","25110"
"In post","2022","65+","South East (England)","Outside London","Male","980","780","32030","27570"
"In post","2022","65+","South West (England)","Outside London","Female","460","345","28160","26670"
"In post","2022","65+","South West (England)","Outside London","Male","825","670","34000","30520"
"In post","2022","65+","Unknown","Unknown","Female","20","15","[c]","[c]"
"In post","2022","65+","Unknown","Unknown","Male","35","35","36280","32570"
"In post","2022","65+","Wales","Outside London","Female","525","360","27620","23570"
"In post","2022","65+","Wales","Outside London","Male","435","330","34200","28800"
"In post","2022","65+","West Midlands (England)","Outside London","Female","365","270","27610","25340"
"In post","2022","65+","West Midlands (England)","Outside London","Male","425","335","30610","27570"
"In post","2022","65+","Yorkshire and The Humber","Outside London","Female","345","245","26710","26000"
"In post","2022","65+","Yorkshire and The Humber","Outside London","Male","390","300","30690","27570"
"In post","2022","Unknown","East of England","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","East of England","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","London","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","London","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North East (England)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North East (England)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North West (England)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North West (England)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South East (England)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South East (England)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","East Midlands (England)","Outside London","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","East Midlands (England)","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","East of England","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","East of England","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","London","London","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","London","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","North East (England)","Outside London","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","North East (England)","Outside London","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","North West (England)","Outside London","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","16-19","North West (England)","Outside London","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Scotland","Outside London","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Scotland","Outside London","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","South East (England)","Outside London","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","South East (England)","Outside London","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","South West (England)","Outside London","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","South West (England)","Outside London","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Wales","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Wales","Outside London","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","West Midlands (England)","Outside London","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","West Midlands (England)","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Yorkshire and The Humber","Outside London","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Yorkshire and The Humber","Outside London","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","East Midlands (England)","Outside London","Female","265","[c]","22580","21110"
"Leaver CS","2022","20-29","East Midlands (England)","Outside London","Male","250","[c]","24180","22600"
"Leaver CS","2022","20-29","East of England","Outside London","Female","315","[c]","25750","24920"
"Leaver CS","2022","20-29","East of England","Outside London","Male","235","[c]","25940","24900"
"Leaver CS","2022","20-29","London","London","Female","1810","[c]","30560","29250"
"Leaver CS","2022","20-29","London","London","Male","1270","[c]","31930","31060"
"Leaver CS","2022","20-29","North East (England)","Outside London","Female","245","[c]","23180","21260"
"Leaver CS","2022","20-29","North East (England)","Outside London","Male","260","[c]","23530","21260"
"Leaver CS","2022","20-29","North West (England)","Outside London","Female","505","[c]","23400","21300"
"Leaver CS","2022","20-29","North West (England)","Outside London","Male","490","[c]","24830","21260"
"Leaver CS","2022","20-29","Northern Ireland","Outside London","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Northern Ireland","Outside London","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Scotland","Outside London","Female","355","[c]","25640","23450"
"Leaver CS","2022","20-29","Scotland","Outside London","Male","330","[c]","25430","24400"
"Leaver CS","2022","20-29","South East (England)","Outside London","Female","535","[c]","24350","23670"
"Leaver CS","2022","20-29","South East (England)","Outside London","Male","450","[c]","25440","24880"
"Leaver CS","2022","20-29","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","South West (England)","Outside London","Female","480","[c]","23970","21590"
"Leaver CS","2022","20-29","South West (England)","Outside London","Male","540","[c]","25550","24960"
"Leaver CS","2022","20-29","Unknown","Unknown","Female","165","[c]","22740","21590"
"Leaver CS","2022","20-29","Unknown","Unknown","Male","140","[c]","26960","23870"
"Leaver CS","2022","20-29","Wales","Outside London","Female","275","[c]","23180","21260"
"Leaver CS","2022","20-29","Wales","Outside London","Male","280","[c]","25220","23050"
"Leaver CS","2022","20-29","West Midlands (England)","Outside London","Female","375","[c]","24540","22920"
"Leaver CS","2022","20-29","West Midlands (England)","Outside London","Male","295","[c]","24370","21260"
"Leaver CS","2022","20-29","Yorkshire and The Humber","Outside London","Female","425","[c]","23870","21300"
"Leaver CS","2022","20-29","Yorkshire and The Humber","Outside London","Male","365","[c]","24950","21930"
"Leaver CS","2022","30-39","East Midlands (England)","Outside London","Female","220","[c]","26930","26670"
"Leaver CS","2022","30-39","East Midlands (England)","Outside London","Male","170","[c]","30940","27570"
"Leaver CS","2022","30-39","East of England","Outside London","Female","255","[c]","30590","27570"
"Leaver CS","2022","30-39","East of England","Outside London","Male","230","[c]","30190","27570"
"Leaver CS","2022","30-39","London","London","Female","1205","[c]","41250","37430"
"Leaver CS","2022","30-39","London","London","Male","975","[c]","44310","40510"
"Leaver CS","2022","30-39","London","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","North East (England)","Outside London","Female","190","[c]","27760","23940"
"Leaver CS","2022","30-39","North East (England)","Outside London","Male","195","[c]","30580","24910"
"Leaver CS","2022","30-39","North West (England)","Outside London","Female","345","[c]","27890","25780"
"Leaver CS","2022","30-39","North West (England)","Outside London","Male","395","[c]","28960","27150"
"Leaver CS","2022","30-39","Northern Ireland","Outside London","Female","20","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Northern Ireland","Outside London","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Overseas","Overseas","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Overseas","Overseas","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Scotland","Outside London","Female","280","[c]","29620","27570"
"Leaver CS","2022","30-39","Scotland","Outside London","Male","285","[c]","30220","27570"
"Leaver CS","2022","30-39","South East (England)","Outside London","Female","360","[c]","29590","27570"
