"Status","Year","Organisation","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","Worcestershire CC","15","15","31770","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","Leicestershire CC and Rutland","15","15","28420","26520"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","Lincolnshire CC","20","20","31850","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","South and West Derbyshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East of England","Cambridgeshire CC","25","25","29750","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East of England","Heart of Essex","40","40","29120","28030"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East of England","Hertfordshire CC","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East of England","North and West Norfolk","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East of England","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East of England","Suffolk CC","30","30","27550","25100"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","Harrow and Hillingdon","15","15","34150","31690"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","Hounslow and Richmond upon Thames","65","65","32440","31570"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","Redbridge and Waltham Forest","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","Westminster","15","10","37860","29680"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","North East (England)","Tyneside","30","30","30630","26520"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","North West (England)","Cheshire East","25","25","31120","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","North West (England)","East Cumbria","130","120","23560","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","North West (England)","Manchester","15","15","27730","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","North West (England)","Mid Lancashire","90","80","26880","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","Aberdeen City and Aberdeenshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","15","10","25050","23110"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","Perth and Kinross, and Stirling","30","30","29780","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","Scottish Borders","10","10","27120","23110"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","South Ayrshire","20","15","24390","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Scotland","South Lanarkshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","Central Hampshire","35","35","28010","25190"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","East Kent","35","35","28430","28340"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","Mid Kent","10","10","28070","26580"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","Oxfordshire CC","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","West Surrey","150","145","32370","28270"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","West Sussex (North East)","20","20","31470","29610"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South West (England)","Bristol, City of","60","55","23960","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South West (England)","Cornwall and Isles of Scilly","40","40","26760","25320"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South West (England)","Devon CC","165","155","25160","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South West (England)","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South West (England)","Gloucestershire CC","35","30","28930","25600"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South West (England)","Somerset CC","20","20","29180","26520"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","South West (England)","Wiltshire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","Unknown","20","20","25480","25130"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Wales","Cardiff and Vale of Glamorgan","80","75","25970","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Wales","Gwynedd","60","50","25260","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Wales","Powys","20","15","32520","32540"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Wales","South West Wales","110","105","26090","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Shropshire","25","25","29820","27850"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Staffordshire CC","65","60","24410","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Worcestershire CC","110","100","27250","25360"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","East Riding of Yorkshire","20","20","27360","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","North Yorkshire CC","100","95","30280","26520"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","York","70","65","23650","21300"
"In post","2022","Animal and Plant Health Agency","Other","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","South East (England)","West Surrey","15","15","38600","38750"
"In post","2022","Animal and Plant Health Agency","Other","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","West Midlands (England)","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","South West (England)","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Wales","South West Wales","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","Worcestershire CC","25","25","34020","30730"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","South Nottinghamshire","15","15","29020","24920"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","East of England","Suffolk CC","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","North East (England)","Tyneside","20","15","28170","25060"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","North West (England)","East Cumbria","15","15","24690","24920"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","South East (England)","West Surrey","450","430","32700","28550"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","South West (England)","Devon CC","15","15","31480","26450"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","South West (England)","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Wales","South West Wales","10","10","24320","21300"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","West Midlands (England)","Shropshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","West Midlands (England)","Worcestershire CC","10","10","31960","29180"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Yorkshire and The Humber","North Yorkshire CC","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","Leicestershire CC and Rutland","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","East of England","Suffolk CC","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","London","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","London","Westminster","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","North West (England)","Cheshire East","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","North West (England)","East Cumbria","15","10","43440","48740"
"In post","2022","Animal and Plant Health Agency","Veterinarian","North West (England)","Mid Lancashire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","Perth and Kinross, and Stirling","10","10","47030","47550"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","South Ayrshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South East (England)","Oxfordshire CC","10","10","47340","49120"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South East (England)","West Surrey","20","20","48280","50780"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South West (England)","Cornwall and Isles of Scilly","15","15","43560","38330"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South West (England)","Devon CC","25","25","43780","41480"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South West (England)","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South West (England)","Gloucestershire CC","30","30","34300","35900"
"In post","2022","Animal and Plant Health Agency","Veterinarian","South West (England)","Somerset CC","15","15","41250","36970"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Wales","Cardiff and Vale of Glamorgan","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Wales","Gwynedd","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Wales","South West Wales","25","20","41270","37910"
"In post","2022","Animal and Plant Health Agency","Veterinarian","West Midlands (England)","Shropshire","10","10","47280","48320"
"In post","2022","Animal and Plant Health Agency","Veterinarian","West Midlands (England)","Staffordshire CC","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","West Midlands (England)","Worcestershire CC","10","10","44040","46480"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Yorkshire and The Humber","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Yorkshire and The Humber","North Yorkshire CC","25","25","36440","36970"
