"Status","Year","Disability","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","150","145","39300","39860"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","30","30","35160","33290"
"In post","2022","Declared disabled","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scottish Government","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","The National Archives","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Export Finance","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Statistics Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Education","20","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","30","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Transport","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Work and Pensions","25","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department of Health and Social Care","30","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","HM Revenue and Customs","305","285","30800","26820"
"In post","2022","Declared disabled","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Ministry of Defence","65","65","34460","32200"
"In post","2022","Declared disabled","Communications","Ministry of Justice","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","UK Statistics Authority","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Cabinet Office","20","20","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy","35","30","35540","37700"
"In post","2022","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Transport","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Work and Pensions","1060","935","27510","27570"
"In post","2022","Declared disabled","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","HM Revenue and Customs","845","775","34810","33370"
"In post","2022","Declared disabled","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Department for Work and Pensions","400","335","22520","21260"
"In post","2022","Declared disabled","Debt","HM Revenue and Customs","415","365","24270","22080"
"In post","2022","Declared disabled","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Attorney General's Departments","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Cabinet Office","135","130","46360","49700"
"In post","2022","Declared disabled","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","120","115","36590","36160"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Education","80","75","39750","36500"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","105","100","42820","44680"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for International Trade","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Transport","85","80","38160","35430"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","415","390","39210","33520"
"In post","2022","Declared disabled","Digital, Data & Technology","Department of Health and Social Care","35","30","36450","32790"
"In post","2022","Declared disabled","Digital, Data & Technology","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","40","35","36840","33930"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Land Registry","55","50","36970","38450"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Revenue and Customs","240","230","40290","35980"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Defence","390","375","33480","33000"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Justice","125","125","44470","41750"
"In post","2022","Declared disabled","Digital, Data & Technology","National Crime Agency","20","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Scottish Government","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","The National Archives","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Statistics Authority","55","50","40600","36840"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","Cabinet Office","15","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Business, Energy and Industrial Strategy","20","20","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Education","110","105","39270","36500"
"In post","2022","Declared disabled","Finance","Department for Environment, Food and Rural Affairs","55","50","40330","36970"
"In post","2022","Declared disabled","Finance","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Levelling Up, Housing and Communities","15","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Transport","35","35","39080","35350"
"In post","2022","Declared disabled","Finance","Department for Work and Pensions","265","235","34860","31990"
"In post","2022","Declared disabled","Finance","Department of Health and Social Care","35","35","40510","36820"
"In post","2022","Declared disabled","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Foreign, Commonwealth and Development Office","25","20","[c]","[c]"
"In post","2022","Declared disabled","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","HM Revenue and Customs","235","205","33710","28920"
"In post","2022","Declared disabled","Finance","HM Treasury","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","Ministry of Defence","175","165","35620","32600"
"In post","2022","Declared disabled","Finance","Ministry of Justice","75","75","41050","36050"
"In post","2022","Declared disabled","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Scottish Government","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","UK Export Finance","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","UK Statistics Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Department for Environment, Food and Rural Affairs","180","165","25390","21300"
"In post","2022","Declared disabled","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Attorney General's Departments","35","30","45430","38180"
"In post","2022","Declared disabled","Human Resources","Cabinet Office","200","190","39470","37300"
"In post","2022","Declared disabled","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Department for Business, Energy and Industrial Strategy","50","45","43250","40050"
"In post","2022","Declared disabled","Human Resources","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Department for Education","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Department for Environment, Food and Rural Affairs","55","55","42430","38300"
"In post","2022","Declared disabled","Human Resources","Department for International Trade","20","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Department for Transport","45","40","32560","31380"
"In post","2022","Declared disabled","Human Resources","Department for Work and Pensions","290","270","33750","31060"
"In post","2022","Declared disabled","Human Resources","Department of Health and Social Care","35","35","44350","40350"
"In post","2022","Declared disabled","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Foreign, Commonwealth and Development Office","50","45","43090","37560"
"In post","2022","Declared disabled","Human Resources","HM Land Registry","15","15","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","HM Revenue and Customs","215","205","37120","33370"
"In post","2022","Declared disabled","Human Resources","HM Treasury","15","15","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Ministry of Defence","255","240","33250","30000"
"In post","2022","Declared disabled","Human Resources","Ministry of Justice","185","180","42000","37230"
"In post","2022","Declared disabled","Human Resources","National Crime Agency","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Scottish Government","20","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","UK Export Finance","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","UK Statistics Authority","25","25","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","HM Treasury","40","40","44250","42150"
"In post","2022","Declared disabled","Internal Audit","Ministry of Defence","25","25","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Ministry of Justice","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Attorney General's Departments","940","865","44100","48080"
"In post","2022","Declared disabled","Legal","Cabinet Office","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Declared disabled","Legal","Department for Education","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","Declared disabled","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Foreign, Commonwealth and Development Office","10","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","HM Land Registry","25","20","[c]","[c]"
"In post","2022","Declared disabled","Legal","HM Revenue and Customs","140","130","38020","33370"
"In post","2022","Declared disabled","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Ministry of Defence","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Scottish Government","50","45","52690","53490"
"In post","2022","Declared disabled","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Declared disabled","No function","Cabinet Office","240","235","46690","40600"
"In post","2022","Declared disabled","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Charity Commission","20","20","[c]","[c]"
"In post","2022","Declared disabled","No function","Department for Business, Energy and Industrial Strategy","890","845","39760","34500"
"In post","2022","Declared disabled","No function","Department for Digital, Culture, Media and Sport","130","125","45450","37000"
"In post","2022","Declared disabled","No function","Department for Education","465","440","42580","37100"
"In post","2022","Declared disabled","No function","Department for Environment, Food and Rural Affairs","835","795","35810","32560"
"In post","2022","Declared disabled","No function","Department for International Trade","165","165","46220","41060"
"In post","2022","Declared disabled","No function","Department for Levelling Up, Housing and Communities","330","325","40380","36340"
"In post","2022","Declared disabled","No function","Department for Transport","1065","920","27950","26350"
"In post","2022","Declared disabled","No function","Department for Work and Pensions","12990","11380","26550","27570"
"In post","2022","Declared disabled","No function","Department of Health and Social Care","405","380","41110","35280"
"In post","2022","Declared disabled","No function","Food Standards Agency","75","75","35670","32350"
"In post","2022","Declared disabled","No function","Foreign, Commonwealth and Development Office","340","335","44800","37560"
"In post","2022","Declared disabled","No function","HM Land Registry","545","480","27990","27130"
"In post","2022","Declared disabled","No function","HM Revenue and Customs","3120","2770","30360","26820"
"In post","2022","Declared disabled","No function","HM Treasury","190","185","45910","41590"
"In post","2022","Declared disabled","No function","Ministry of Defence","200","195","37520","35340"
"In post","2022","Declared disabled","No function","Ministry of Justice","9680","8985","29500","27380"
"In post","2022","Declared disabled","No function","National Crime Agency","205","200","38210","36410"
"In post","2022","Declared disabled","No function","Northern Ireland Office","5","5","[c]","[c]"
"In post","2022","Declared disabled","No function","Office for Standards in Education, Children's Services and Skills","110","105","49980","51360"
"In post","2022","Declared disabled","No function","Office of Gas and Electricity Markets","60","55","33780","29210"
"In post","2022","Declared disabled","No function","Office of Qualifications and Examinations Regulation","20","20","[c]","[c]"
"In post","2022","Declared disabled","No function","Office of Rail and Road","20","20","[c]","[c]"
"In post","2022","Declared disabled","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Scottish Government","555","520","32150","35000"
"In post","2022","Declared disabled","No function","The National Archives","20","20","[c]","[c]"
"In post","2022","Declared disabled","No function","UK Statistics Authority","270","215","26300","20350"
"In post","2022","Declared disabled","No function","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","No function","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Cabinet Office","25","25","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Competition and Markets Authority","20","20","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Department for Business, Energy and Industrial Strategy","60","60","39760","37080"
"In post","2022","Declared disabled","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Department for Education","10","10","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Department for Environment, Food and Rural Affairs","50","45","28970","26840"
"In post","2022","Declared disabled","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Department for Levelling Up, Housing and Communities","25","25","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Department for Transport","45","45","43480","40560"
"In post","2022","Declared disabled","Project Delivery","Department for Work and Pensions","270","235","33770","31990"
"In post","2022","Declared disabled","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Estyn","10","10","[c]","[c]"
