"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Land Registry","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","AA/AO","75","75","21310","21250"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Treasury","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","AA/AO","35","35","19100","19450"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","EO","50","50","19640","19460"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice","AA/AO","95","95","23180","23140"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government","AA/AO","40","35","21470","21050"
"In post","2022","16-19","Declared non-disabled","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Attorney General's Departments","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cabinet Office","EO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Business, Energy and Industrial Strategy","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education","EO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Transport","AA/AO","45","40","19210","18310"
"In post","2022","16-19","Unknown","Department for Transport","EO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Revenue and Customs","AA/AO","100","95","21420","21250"
"In post","2022","16-19","Unknown","HM Revenue and Customs","EO","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","AA/AO","30","30","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","EO","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","EO","45","45","17900","17140"
"In post","2022","16-19","Unknown","Ministry of Defence","Unknown","45","45","17790","16720"
"In post","2022","16-19","Unknown","Ministry of Justice","AA/AO","85","85","22660","21790"
"In post","2022","16-19","Unknown","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Scottish Government","AA/AO","35","35","21860","21050"
"In post","2022","16-19","Unknown","Scottish Government","EO","[c]","[c]","[c]","[c]"
