"Status","Year","Ethnicity","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Heterosexual / straight","35","35","45170","51710"
"In post","2022","Asian","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Heterosexual / straight","40","35","38050","36650"
"In post","2022","Asian","Analysis","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department of Health and Social Care","Heterosexual / straight","35","30","47060","53360"
"In post","2022","Asian","Analysis","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department of Health and Social Care","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Revenue and Customs","Heterosexual / straight","80","80","45030","40180"
"In post","2022","Asian","Analysis","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Revenue and Customs","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Justice","Heterosexual / straight","55","55","44990","42010"
"In post","2022","Asian","Analysis","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Gas and Electricity Markets","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Rail and Road","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Export Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Statistics Authority","Heterosexual / straight","65","65","36180","36840"
"In post","2022","Asian","Analysis","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Statistics Authority","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cabinet Office","Heterosexual / straight","30","30","52870","40600"
"In post","2022","Asian","Commercial","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Digital, Culture, Media and Sport","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Education","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Environment, Food and Rural Affairs","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Levelling Up, Housing and Communities","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Transport","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Revenue and Customs","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Defence","Heterosexual / straight","40","40","37520","37640"
"In post","2022","Asian","Commercial","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Justice","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Export Finance","Heterosexual / straight","30","30","52610","45690"
"In post","2022","Asian","Commercial","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Education","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Environment, Food and Rural Affairs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
