"Status","Year","Age","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Outside London","Unknown","25","25","19030","19110"
"In post","2022","16-19","HM Land Registry","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Outside London","AA","10","10","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","London","AO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","Outside London","AO","175","170","21260","21250"
"In post","2022","16-19","HM Revenue and Customs","Outside London","EO","25","25","25990","26590"
"In post","2022","16-19","HM Treasury","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury","London","EO","10","10","24300","24300"
"In post","2022","16-19","Home Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Home Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Outside London","AO","30","30","21800","21680"
"In post","2022","16-19","Home Office","Outside London","EO","15","15","24880","24880"
"In post","2022","16-19","Ministry of Defence","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence","Outside London","AA","30","30","17580","17450"
"In post","2022","16-19","Ministry of Defence","Outside London","AO","20","20","21700","22160"
"In post","2022","16-19","Ministry of Defence","Outside London","EO","110","110","18840","18030"
"In post","2022","16-19","Ministry of Defence","Outside London","Unknown","15","15","18160","17140"
"In post","2022","16-19","Ministry of Defence","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Ministry of Justice","London","AA","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","London","AO","10","10","27340","29020"
"In post","2022","16-19","Ministry of Justice","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Outside London","AA","60","60","20640","20890"
"In post","2022","16-19","Ministry of Justice","Outside London","AO","115","115","23730","23140"
"In post","2022","16-19","Ministry of Justice","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","Outside London","AA","50","50","21300","21050"
"In post","2022","16-19","Scottish Government","Outside London","AO","30","25","22150","21820"
"In post","2022","16-19","Scottish Government","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","AA","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","AO","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Outside London","EO","10","10","[c]","[c]"
"In post","2022","16-19","Welsh Government","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","London","AO","145","140","23180","23770"
"In post","2022","20-29","Attorney General's Departments","London","EO","285","280","27910","26970"
"In post","2022","20-29","Attorney General's Departments","London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Attorney General's Departments","London","G7","110","110","51250","50500"
"In post","2022","20-29","Attorney General's Departments","London","HEO","140","135","36460","33100"
"In post","2022","20-29","Attorney General's Departments","London","SEO","25","25","40130","39750"
"In post","2022","20-29","Attorney General's Departments","Outside London","AO","340","335","22220","22200"
"In post","2022","20-29","Attorney General's Departments","Outside London","EO","255","255","26040","25480"
"In post","2022","20-29","Attorney General's Departments","Outside London","G7","65","65","49560","48080"
"In post","2022","20-29","Attorney General's Departments","Outside London","HEO","95","95","35090","38000"
"In post","2022","20-29","Attorney General's Departments","Outside London","SEO","10","10","38490","38180"
"In post","2022","20-29","Cabinet Office","London","AO","45","45","23780","24490"
"In post","2022","20-29","Cabinet Office","London","EO","300","295","27320","27500"
"In post","2022","20-29","Cabinet Office","London","G6","50","50","66070","64500"
"In post","2022","20-29","Cabinet Office","London","G7","370","370","55580","54700"
"In post","2022","20-29","Cabinet Office","London","HEO","1425","1425","31010","29410"
"In post","2022","20-29","Cabinet Office","London","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office","London","SEO","235","230","40660","40600"
"In post","2022","20-29","Cabinet Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office","Outside London","AO","115","110","20970","21050"
"In post","2022","20-29","Cabinet Office","Outside London","EO","160","160","24950","24100"
"In post","2022","20-29","Cabinet Office","Outside London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office","Outside London","G7","50","50","52930","49700"
"In post","2022","20-29","Cabinet Office","Outside London","HEO","445","445","30200","29250"
"In post","2022","20-29","Cabinet Office","Outside London","SEO","85","85","37410","37300"
"In post","2022","20-29","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office","Unknown","EO","20","20","26230","27500"
"In post","2022","20-29","Cabinet Office","Unknown","G7","15","15","53660","54700"
"In post","2022","20-29","Cabinet Office","Unknown","HEO","230","230","30020","29250"
"In post","2022","20-29","Cabinet Office","Unknown","SEO","20","20","39600","40600"
"In post","2022","20-29","Chancellor's other departments","London","AO","10","10","22930","22240"
"In post","2022","20-29","Chancellor's other departments","London","EO","10","10","28320","28230"
"In post","2022","20-29","Chancellor's other departments","London","G7","15","15","55100","57250"
"In post","2022","20-29","Chancellor's other departments","London","HEO","25","25","35870","35980"
"In post","2022","20-29","Chancellor's other departments","London","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","Outside London","EO","5","5","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Chancellor's other departments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","London","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Charity Commission","London","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Charity Commission","Outside London","AO","15","10","17360","17140"
"In post","2022","20-29","Charity Commission","Outside London","EO","25","25","24570","24440"
"In post","2022","20-29","Charity Commission","Outside London","HEO","15","15","28610","29160"
"In post","2022","20-29","Charity Commission","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","London","AO","15","15","22580","22520"
"In post","2022","20-29","Competition and Markets Authority","London","EO","25","25","27440","26750"
"In post","2022","20-29","Competition and Markets Authority","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","London","G7","35","35","55480","54320"
"In post","2022","20-29","Competition and Markets Authority","London","HEO","55","55","33640","33120"
"In post","2022","20-29","Competition and Markets Authority","London","SEO","10","10","43140","41670"
"In post","2022","20-29","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","London","AO","30","30","24440","24900"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","London","EO","170","170","28050","27680"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","London","G6","30","30","66090","64700"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","London","G7","520","520","55040","53380"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","London","HEO","670","670","34400","33570"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","London","SEO","540","540","41010","40050"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Outside London","AA","40","40","17930","17900"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Outside London","AO","300","295","21050","21130"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Outside London","EO","400","395","25700","24500"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Outside London","G7","30","30","50670","49100"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Outside London","HEO","300","300","31450","30930"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Outside London","SEO","135","130","40220","39910"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Overseas","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy","Overseas","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","London","EO","95","95","26920","26180"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","London","G6","10","10","62380","62600"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","London","G7","180","180","53330","51730"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","London","HEO","390","390","35220","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Outside London","EO","20","20","24970","23830"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Outside London","G7","15","15","51230","51070"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Outside London","HEO","55","55","33660","34020"
"In post","2022","20-29","Department for Education","London","AO","10","10","23550","24250"
"In post","2022","20-29","Department for Education","London","EO","100","100","28880","28500"
"In post","2022","20-29","Department for Education","London","G6","15","15","64230","64180"
"In post","2022","20-29","Department for Education","London","G7","150","150","53560","53420"
"In post","2022","20-29","Department for Education","London","HEO","175","175","33890","32940"
"In post","2022","20-29","Department for Education","London","SEO","170","170","41770","40230"
"In post","2022","20-29","Department for Education","Outside London","AO","25","25","21250","21250"
"In post","2022","20-29","Department for Education","Outside London","EO","320","320","25200","25000"
"In post","2022","20-29","Department for Education","Outside London","G6","10","10","[c]","[c]"
"In post","2022","20-29","Department for Education","Outside London","G7","110","110","50080","49860"
"In post","2022","20-29","Department for Education","Outside London","HEO","400","400","30160","29360"
"In post","2022","20-29","Department for Education","Outside London","SEO","305","300","37380","36500"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","London","AO","15","15","23070","24370"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","London","EO","145","145","27770","27960"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","London","G7","130","130","53190","52290"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","London","HEO","465","465","33170","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","London","SEO","165","165","39540","38750"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Outside London","AO","560","545","21710","21300"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Outside London","EO","440","440","25270","24920"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Outside London","G7","45","40","48580","47550"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Outside London","HEO","365","365","29990","29180"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Outside London","SEO","175","175","36900","35900"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","London","EO","135","135","27150","26250"
"In post","2022","20-29","Department for International Trade","London","G6","5","5","[c]","[c]"
"In post","2022","20-29","Department for International Trade","London","G7","215","215","52550","51710"
"In post","2022","20-29","Department for International Trade","London","HEO","355","355","32530","31800"
"In post","2022","20-29","Department for International Trade","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","London","SEO","240","240","39260","38160"
"In post","2022","20-29","Department for International Trade","Outside London","EO","10","10","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Outside London","HEO","15","15","29040","28070"
"In post","2022","20-29","Department for International Trade","Outside London","SEO","10","10","36000","35900"
"In post","2022","20-29","Department for International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Overseas","G7","10","10","52280","51970"
"In post","2022","20-29","Department for International Trade","Overseas","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Overseas","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","London","AO","10","10","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","London","EO","125","120","27980","27850"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","London","G6","15","15","63700","63470"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","London","G7","180","180","53500","53130"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","London","HEO","265","260","33310","33210"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","London","SEO","160","160","40090","39600"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Outside London","AO","50","50","21080","21270"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Outside London","EO","55","55","25280","24830"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Outside London","G7","35","35","48070","48200"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Outside London","HEO","100","100","30390","30190"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Outside London","SEO","45","45","36710","36340"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Transport","London","AO","10","10","26250","25730"
"In post","2022","20-29","Department for Transport","London","EO","125","125","29790","29970"
"In post","2022","20-29","Department for Transport","London","G6","30","30","65160","65440"
"In post","2022","20-29","Department for Transport","London","G7","155","155","54250","54110"
"In post","2022","20-29","Department for Transport","London","HEO","315","315","34410","34710"
"In post","2022","20-29","Department for Transport","London","SEO","180","180","42330","42470"
"In post","2022","20-29","Department for Transport","Outside London","AA","190","175","18520","18310"
"In post","2022","20-29","Department for Transport","Outside London","AO","675","650","22540","21840"
"In post","2022","20-29","Department for Transport","Outside London","EO","300","295","26560","26130"
"In post","2022","20-29","Department for Transport","Outside London","G7","15","15","49790","48770"
"In post","2022","20-29","Department for Transport","Outside London","HEO","200","200","32210","30730"
"In post","2022","20-29","Department for Transport","Outside London","SEO","65","65","41280","38650"
"In post","2022","20-29","Department for Transport","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions","London","AO","210","210","25120","25110"
"In post","2022","20-29","Department for Work and Pensions","London","EO","1190","1175","31060","31060"
"In post","2022","20-29","Department for Work and Pensions","London","G6","10","10","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions","London","G7","65","65","55600","54070"
"In post","2022","20-29","Department for Work and Pensions","London","HEO","255","255","36070","36650"
"In post","2022","20-29","Department for Work and Pensions","London","SEO","70","70","41070","40310"
"In post","2022","20-29","Department for Work and Pensions","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions","Outside London","AO","3625","3520","21420","21260"
"In post","2022","20-29","Department for Work and Pensions","Outside London","EO","4770","4700","27660","27570"
"In post","2022","20-29","Department for Work and Pensions","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions","Outside London","G7","80","80","52820","52150"
"In post","2022","20-29","Department for Work and Pensions","Outside London","HEO","460","460","32090","31990"
"In post","2022","20-29","Department for Work and Pensions","Outside London","SEO","225","225","37830","36320"
"In post","2022","20-29","Department for Work and Pensions","Unknown","AO","10","10","21260","21260"
"In post","2022","20-29","Department for Work and Pensions","Unknown","EO","60","60","28770","27570"
"In post","2022","20-29","Department for Work and Pensions","Unknown","HEO","10","10","35260","35890"
"In post","2022","20-29","Department for Work and Pensions","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care","London","AA","25","20","22170","22350"
"In post","2022","20-29","Department of Health and Social Care","London","AO","70","65","24150","23780"
"In post","2022","20-29","Department of Health and Social Care","London","EO","420","400","27260","27270"
"In post","2022","20-29","Department of Health and Social Care","London","G6","35","35","65690","66230"
"In post","2022","20-29","Department of Health and Social Care","London","G7","310","310","53610","53360"
"In post","2022","20-29","Department of Health and Social Care","London","HEO","595","595","32760","32790"
"In post","2022","20-29","Department of Health and Social Care","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care","London","SEO","345","340","40410","40650"
"In post","2022","20-29","Department of Health and Social Care","Outside London","AA","30","30","19200","19100"
"In post","2022","20-29","Department of Health and Social Care","Outside London","AO","210","195","20640","19880"
"In post","2022","20-29","Department of Health and Social Care","Outside London","EO","240","235","24140","23690"
"In post","2022","20-29","Department of Health and Social Care","Outside London","G6","15","15","62790","62400"
"In post","2022","20-29","Department of Health and Social Care","Outside London","G7","65","65","50530","49530"
"In post","2022","20-29","Department of Health and Social Care","Outside London","HEO","350","335","29970","28970"
"In post","2022","20-29","Department of Health and Social Care","Outside London","SEO","140","140","37520","36820"
"In post","2022","20-29","Department of Health and Social Care","Unknown","EO","5","5","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Department of Health and Social Care","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","London","EO","5","5","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","London","HEO","15","15","32440","32350"
"In post","2022","20-29","Food Standards Agency","London","SEO","15","15","40950","40350"
"In post","2022","20-29","Food Standards Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","Outside London","EO","25","25","26080","26750"
"In post","2022","20-29","Food Standards Agency","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","Outside London","HEO","40","40","30660","30350"
"In post","2022","20-29","Food Standards Agency","Outside London","SEO","25","25","38300","37350"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","London","AO","60","60","27700","28250"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","London","EO","120","120","30160","30000"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","London","G7","80","80","52540","53180"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","London","HEO","420","420","36270","37560"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","London","SEO","65","65","41060","41000"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Outside London","AO","85","85","24120","25000"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Outside London","EO","90","90","26950","26120"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Outside London","G7","10","10","46810","48500"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Outside London","HEO","65","65","33630","33930"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Outside London","SEO","20","20","37850","38500"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Outside London","Unknown","40","40","22330","21670"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Overseas","EO","5","5","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Overseas","G7","20","20","51490","51500"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Overseas","HEO","170","170","33430","32790"
"In post","2022","20-29","Foreign, Commonwealth and Development Office","Overseas","SEO","10","10","[c]","[c]"
"In post","2022","20-29","HM Land Registry","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HM Land Registry","London","AO","15","15","25850","25850"
"In post","2022","20-29","HM Land Registry","London","EO","35","35","30740","30600"
"In post","2022","20-29","HM Land Registry","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HM Land Registry","London","HEO","10","10","37710","37290"
"In post","2022","20-29","HM Land Registry","London","SEO","5","5","[c]","[c]"
