"Status","Year","Function_of_post","Organisation","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","Westminster","135","135","48540","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","East Midlands (England)","Nottingham","10","10","41670","41990"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","Westminster","65","65","49200","46030"
"In post","2022","Analysis","Department for Education (excl. agencies)","North East (England)","Darlington","10","10","42030","42580"
"In post","2022","Analysis","Department for Education (excl. agencies)","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","North West (England)","Manchester","25","25","38800","37590"
"In post","2022","Analysis","Department for Education (excl. agencies)","South West (England)","Bristol, City of","20","20","37340","39240"
"In post","2022","Analysis","Department for Education (excl. agencies)","West Midlands (England)","Coventry","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","Sheffield","60","55","45780","49860"
"In post","2022","Analysis","Department for International Trade","London","Westminster","250","250","44110","40270"
"In post","2022","Analysis","Department for International Trade","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Westminster","200","195","48100","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","Wolverhampton","15","10","35660","30190"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","Westminster","320","310","48130","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","South East (England)","East Sussex CC","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","South East (England)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","Leeds","10","10","38020","38650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","Westminster","250","240","46070","40270"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","Sunderland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North East (England)","Tyneside","105","100","39970","36320"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","North West (England)","Manchester","40","40","32890","31990"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","Leeds","75","70","37540","35450"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","Sheffield","145","135","45580","40700"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","Westminster","310","300","52370","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","Leeds","85","85","46320","49530"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South East (England)","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South West (England)","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South West (England)","Bristol, City of","15","15","32820","31380"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Yorkshire and The Humber","Leeds","10","10","24990","21840"
"In post","2022","Analysis","Education and Skills Funding Agency","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","London","Westminster","15","15","36280","32350"
"In post","2022","Analysis","Food Standards Agency","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South East (England)","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South West (England)","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South West (England)","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wales","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Midlands (England)","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Yorkshire and The Humber","Wakefield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Westminster","55","55","59450","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","London","Camden and City of London","175","160","69590","65470"
"In post","2022","Analysis","Government Actuary's Department","Scotland","City of Edinburgh","10","10","73790","69690"
"In post","2022","Analysis","Government Internal Audit Agency","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","South West (England)","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","East Midlands (England)","South and West Derbyshire","20","15","41820","34990"
"In post","2022","Analysis","Health and Safety Executive","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North West (England)","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","North West (England)","Sefton","20","20","42880","39390"
"In post","2022","Analysis","Health and Safety Executive","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","London","Westminster","30","30","48270","43710"
"In post","2022","Analysis","HM Courts and Tribunals Service","North West (England)","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","South West (England)","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","West Midlands (England)","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","London","Croydon","15","15","50690","50590"
"In post","2022","Analysis","HM Land Registry","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","West Midlands (England)","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","West Midlands (England)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East of England","Southend-on-Sea","20","20","47660","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Croydon","45","40","53070","54160"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Hackney and Newham","155","150","47160","43430"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","London","Westminster","175","170","51610","44620"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North East (England)","Tyneside","10","10","43790","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Greater Manchester South West","15","15","40750","40180"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Liverpool","95","95","41190","40180"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Manchester","185","180","40510","35980"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","Leeds","10","10","49370","52080"
"In post","2022","Analysis","HM Treasury (excl. agencies)","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","London","Westminster","10","10","57710","60440"
"In post","2022","Analysis","Intellectual Property Office","Wales","Monmouthshire and Newport","35","35","34960","30770"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","London","Tower Hamlets","40","40","48830","47060"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East of England","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","East of England","Suffolk CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","London","Westminster","100","100","45330","45030"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Buckinghamshire","10","10","35440","29850"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Central Hampshire","20","20","35070","33300"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Portsmouth","15","15","34430","33000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South East (England)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","75","70","38340","36000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Wiltshire","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","West Midlands (England)","Staffordshire CC","15","15","35190","33300"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","North Yorkshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","Tower Hamlets","380","365","48720","44130"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","London","Westminster","45","40","47340","42430"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
