"Status","Year","Organisation","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Courts and Tribunals Service","G7","Heterosexual / straight","375","360","54760","54270"
"In post","2022","HM Courts and Tribunals Service","G7","LGBO","20","20","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","G7","Undeclared","75","75","55230","53650"
"In post","2022","HM Courts and Tribunals Service","G7","Unknown","40","40","54250","54270"
"In post","2022","HM Courts and Tribunals Service","HEO","Heterosexual / straight","1040","1010","31920","30450"
"In post","2022","HM Courts and Tribunals Service","HEO","LGBO","55","55","32200","30450"
"In post","2022","HM Courts and Tribunals Service","HEO","Undeclared","125","125","32300","30450"
"In post","2022","HM Courts and Tribunals Service","HEO","Unknown","210","210","32500","33980"
"In post","2022","HM Courts and Tribunals Service","SCS level","Heterosexual / straight","60","60","81910","77200"
"In post","2022","HM Courts and Tribunals Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","SEO","Heterosexual / straight","1000","915","40750","41750"
"In post","2022","HM Courts and Tribunals Service","SEO","LGBO","45","45","40040","40110"
"In post","2022","HM Courts and Tribunals Service","SEO","Undeclared","195","175","43370","43400"
"In post","2022","HM Courts and Tribunals Service","SEO","Unknown","165","155","42490","41750"
"In post","2022","HM Courts and Tribunals Service","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","HM Courts and Tribunals Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","G7","Unknown","10","10","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","AA","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","HM Land Registry","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","AA","Unknown","10","10","[c]","[c]"
"In post","2022","HM Land Registry","AO","Heterosexual / straight","885","825","22710","22600"
"In post","2022","HM Land Registry","AO","LGBO","70","65","22600","22600"
"In post","2022","HM Land Registry","AO","Undeclared","55","50","22960","22600"
"In post","2022","HM Land Registry","AO","Unknown","700","660","22720","22600"
"In post","2022","HM Land Registry","EO","Heterosexual / straight","1380","1225","27440","27130"
"In post","2022","HM Land Registry","EO","LGBO","45","45","27450","27130"
"In post","2022","HM Land Registry","EO","Undeclared","275","240","27420","27130"
"In post","2022","HM Land Registry","EO","Unknown","660","600","27540","27130"
"In post","2022","HM Land Registry","G6","Heterosexual / straight","40","40","72370","72860"
"In post","2022","HM Land Registry","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","HM Land Registry","G6","Unknown","10","10","[c]","[c]"
"In post","2022","HM Land Registry","G7","Heterosexual / straight","180","170","59170","58570"
"In post","2022","HM Land Registry","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","G7","Undeclared","25","20","[c]","[c]"
"In post","2022","HM Land Registry","G7","Unknown","40","35","59240","60520"
"In post","2022","HM Land Registry","HEO","Heterosexual / straight","855","755","34520","33840"
"In post","2022","HM Land Registry","HEO","LGBO","35","30","34640","33840"
"In post","2022","HM Land Registry","HEO","Undeclared","195","165","34700","33840"
"In post","2022","HM Land Registry","HEO","Unknown","270","240","34650","33840"
"In post","2022","HM Land Registry","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","HM Land Registry","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","SEO","Heterosexual / straight","585","550","41850","40860"
"In post","2022","HM Land Registry","SEO","LGBO","15","15","[c]","[c]"
"In post","2022","HM Land Registry","SEO","Undeclared","100","90","41740","40860"
"In post","2022","HM Land Registry","SEO","Unknown","140","135","41350","38550"
"In post","2022","HM Prison and Probation Service","AA","Heterosexual / straight","3720","3490","21570","20890"
"In post","2022","HM Prison and Probation Service","AA","LGBO","305","300","21500","20890"
"In post","2022","HM Prison and Probation Service","AA","Undeclared","355","330","21820","20920"
"In post","2022","HM Prison and Probation Service","AA","Unknown","1520","1395","21890","20890"
"In post","2022","HM Prison and Probation Service","AO","Heterosexual / straight","14920","14215","27360","26880"
"In post","2022","HM Prison and Probation Service","AO","LGBO","1190","1155","27650","27120"
"In post","2022","HM Prison and Probation Service","AO","Undeclared","1440","1335","28450","28550"
"In post","2022","HM Prison and Probation Service","AO","Unknown","4720","4420","28210","28140"
"In post","2022","HM Prison and Probation Service","EO","Heterosexual / straight","4645","4460","30750","31420"
"In post","2022","HM Prison and Probation Service","EO","LGBO","320","315","31040","31670"
"In post","2022","HM Prison and Probation Service","EO","Undeclared","570","545","31740","32240"
"In post","2022","HM Prison and Probation Service","EO","Unknown","950","885","31420","32040"
"In post","2022","HM Prison and Probation Service","G6","Heterosexual / straight","270","260","81880","84310"
"In post","2022","HM Prison and Probation Service","G6","LGBO","20","20","[c]","[c]"
"In post","2022","HM Prison and Probation Service","G6","Undeclared","25","25","[c]","[c]"
"In post","2022","HM Prison and Probation Service","G6","Unknown","25","25","[c]","[c]"
"In post","2022","HM Prison and Probation Service","G7","Heterosexual / straight","375","365","65710","65520"
"In post","2022","HM Prison and Probation Service","G7","LGBO","20","20","[c]","[c]"
"In post","2022","HM Prison and Probation Service","G7","Undeclared","40","40","65480","65520"
"In post","2022","HM Prison and Probation Service","G7","Unknown","45","40","65100","64490"
"In post","2022","HM Prison and Probation Service","HEO","Heterosexual / straight","3285","3125","35370","36480"
"In post","2022","HM Prison and Probation Service","HEO","LGBO","245","240","35140","36480"
"In post","2022","HM Prison and Probation Service","HEO","Undeclared","410","385","36240","37140"
"In post","2022","HM Prison and Probation Service","HEO","Unknown","470","435","35940","36720"
"In post","2022","HM Prison and Probation Service","SCS level","Heterosexual / straight","65","65","98500","98700"
"In post","2022","HM Prison and Probation Service","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","HM Prison and Probation Service","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","HM Prison and Probation Service","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","HM Prison and Probation Service","SEO","Heterosexual / straight","1935","1885","49760","50690"
"In post","2022","HM Prison and Probation Service","SEO","LGBO","130","130","49710","50030"
"In post","2022","HM Prison and Probation Service","SEO","Undeclared","225","215","51040","51320"
"In post","2022","HM Prison and Probation Service","SEO","Unknown","240","225","48130","48580"
"In post","2022","HM Prison and Probation Service","Unknown","Heterosexual / straight","13595","12645","30420","28200"
"In post","2022","HM Prison and Probation Service","Unknown","LGBO","960","930","29730","26820"
"In post","2022","HM Prison and Probation Service","Unknown","Undeclared","1130","1045","32320","32090"
"In post","2022","HM Prison and Probation Service","Unknown","Unknown","3525","3170","28190","26310"
"In post","2022","HM Revenue and Customs (excl. agencies)","AA","Heterosexual / straight","285","215","21290","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","AA","LGBO","15","15","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","AA","Undeclared","50","35","21250","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","AA","Unknown","340","250","21340","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","AO","Heterosexual / straight","9175","8030","21690","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","AO","LGBO","650","610","21550","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","AO","Undeclared","1100","930","22000","22080"
"In post","2022","HM Revenue and Customs (excl. agencies)","AO","Unknown","7840","6855","21660","21250"
"In post","2022","HM Revenue and Customs (excl. agencies)","EO","Heterosexual / straight","8970","8330","27420","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","EO","LGBO","675","650","27140","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","EO","Undeclared","975","885","27960","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","EO","Unknown","5130","4835","27360","26820"
"In post","2022","HM Revenue and Customs (excl. agencies)","G6","Heterosexual / straight","1545","1480","69860","67910"
"In post","2022","HM Revenue and Customs (excl. agencies)","G6","LGBO","95","90","70200","67910"
"In post","2022","HM Revenue and Customs (excl. agencies)","G6","Undeclared","180","165","71520","69110"
"In post","2022","HM Revenue and Customs (excl. agencies)","G6","Unknown","390","380","70560","68890"
"In post","2022","HM Revenue and Customs (excl. agencies)","G7","Heterosexual / straight","4125","3995","56100","55210"
"In post","2022","HM Revenue and Customs (excl. agencies)","G7","LGBO","270","270","56190","55210"
"In post","2022","HM Revenue and Customs (excl. agencies)","G7","Undeclared","495","480","56610","55210"
"In post","2022","HM Revenue and Customs (excl. agencies)","G7","Unknown","1175","1130","56670","55210"
"In post","2022","HM Revenue and Customs (excl. agencies)","HEO","Heterosexual / straight","9675","9240","34040","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","HEO","LGBO","675","660","33910","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","HEO","Undeclared","1135","1070","34420","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","HEO","Unknown","4155","4010","34210","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","SCS level","Heterosexual / straight","355","350","84510","78760"
"In post","2022","HM Revenue and Customs (excl. agencies)","SCS level","LGBO","25","25","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","SCS level","Undeclared","35","30","84320","81590"
"In post","2022","HM Revenue and Customs (excl. agencies)","SCS level","Unknown","80","75","91380","80250"
"In post","2022","HM Revenue and Customs (excl. agencies)","SEO","Heterosexual / straight","5330","5130","40890","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","SEO","LGBO","275","270","40720","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","SEO","Undeclared","640","610","41270","40520"
"In post","2022","HM Revenue and Customs (excl. agencies)","SEO","Unknown","1660","1610","41030","40520"
"In post","2022","HM Treasury (excl. agencies)","AO","Heterosexual / straight","40","40","22360","22750"
"In post","2022","HM Treasury (excl. agencies)","AO","LGBO","5","5","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","EO","Heterosexual / straight","175","170","26700","26750"
"In post","2022","HM Treasury (excl. agencies)","EO","LGBO","15","15","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","EO","Undeclared","20","15","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","EO","Unknown","15","15","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","G6","Heterosexual / straight","230","225","65940","63910"
"In post","2022","HM Treasury (excl. agencies)","G6","LGBO","15","15","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","G6","Undeclared","30","25","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","G6","Unknown","5","5","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","G7","Heterosexual / straight","490","480","54660","52840"
"In post","2022","HM Treasury (excl. agencies)","G7","LGBO","60","60","54510","52840"
"In post","2022","HM Treasury (excl. agencies)","G7","Undeclared","75","75","55310","52850"
"In post","2022","HM Treasury (excl. agencies)","G7","Unknown","10","10","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","HEO","Heterosexual / straight","575","565","34420","32320"
"In post","2022","HM Treasury (excl. agencies)","HEO","LGBO","75","75","33370","32320"
"In post","2022","HM Treasury (excl. agencies)","HEO","Undeclared","100","100","34180","32320"
"In post","2022","HM Treasury (excl. agencies)","HEO","Unknown","15","15","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","SCS level","Heterosexual / straight","135","130","86210","78000"
"In post","2022","HM Treasury (excl. agencies)","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Home Office","AA","Heterosexual / straight","620","530","19730","18240"
"In post","2022","Home Office","AA","LGBO","15","15","[c]","[c]"
"In post","2022","Home Office","AA","Undeclared","80","70","20170","18240"
"In post","2022","Home Office","AA","Unknown","80","75","20440","22330"
"In post","2022","Home Office","AO","Heterosexual / straight","4980","4395","22510","21680"
"In post","2022","Home Office","AO","LGBO","180","170","22140","21680"
"In post","2022","Home Office","AO","Undeclared","605","520","22880","21680"
"In post","2022","Home Office","AO","Unknown","815","795","22150","21680"
"In post","2022","Home Office","EO","Heterosexual / straight","10760","9940","26860","25580"
"In post","2022","Home Office","EO","LGBO","455","440","26210","25220"
"In post","2022","Home Office","EO","Undeclared","1640","1475","27480","27370"
"In post","2022","Home Office","EO","Unknown","2065","1955","26950","24880"
"In post","2022","Home Office","G6","Heterosexual / straight","760","740","69500","68720"
"In post","2022","Home Office","G6","LGBO","40","40","69010","68720"
"In post","2022","Home Office","G6","Undeclared","120","115","69620","68940"
"In post","2022","Home Office","G6","Unknown","110","105","69830","68700"
"In post","2022","Home Office","G7","Heterosexual / straight","2040","1995","57140","57460"
"In post","2022","Home Office","G7","LGBO","125","125","57070","57430"
"In post","2022","Home Office","G7","Undeclared","300","295","57670","57460"
"In post","2022","Home Office","G7","Unknown","395","390","57490","57430"
"In post","2022","Home Office","HEO","Heterosexual / straight","4455","4290","33090","32170"
"In post","2022","Home Office","HEO","LGBO","210","205","32940","31060"
"In post","2022","Home Office","HEO","Undeclared","625","595","33530","32780"
"In post","2022","Home Office","HEO","Unknown","525","525","34040","35050"
"In post","2022","Home Office","SCS level","Heterosexual / straight","240","235","89600","82710"
"In post","2022","Home Office","SCS level","LGBO","15","15","[c]","[c]"
"In post","2022","Home Office","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2022","Home Office","SCS level","Unknown","30","30","[c]","[c]"
"In post","2022","Home Office","SEO","Heterosexual / straight","3000","2920","41020","41950"
"In post","2022","Home Office","SEO","LGBO","140","140","40580","41950"
"In post","2022","Home Office","SEO","Undeclared","475","465","41310","41950"
"In post","2022","Home Office","SEO","Unknown","405","400","41560","41950"
"In post","2022","Home Office","Unknown","Heterosexual / straight","160","160","[c]","[c]"
"In post","2022","Home Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2022","Home Office","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","G7","Heterosexual / straight","75","75","52110","50590"
"In post","2022","Institute for Apprenticeships and Technical Education","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","G7","Unknown","35","35","51830","50470"
"In post","2022","Institute for Apprenticeships and Technical Education","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","SEO","Heterosexual / straight","40","40","37910","36570"
"In post","2022","Institute for Apprenticeships and Technical Education","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","SEO","Unknown","25","25","[c]","[c]"
"In post","2022","Intellectual Property Office","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Intellectual Property Office","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","AO","Heterosexual / straight","135","125","21740","21810"
"In post","2022","Intellectual Property Office","AO","LGBO","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Intellectual Property Office","AO","Unknown","85","75","21590","21810"
"In post","2022","Intellectual Property Office","EO","Heterosexual / straight","280","260","26290","24030"
"In post","2022","Intellectual Property Office","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Intellectual Property Office","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Intellectual Property Office","EO","Unknown","165","160","25820","24030"
"In post","2022","Intellectual Property Office","G6","Heterosexual / straight","40","35","68120","67590"
"In post","2022","Intellectual Property Office","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","G6","Unknown","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","G7","Heterosexual / straight","190","175","60030","60350"
"In post","2022","Intellectual Property Office","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","G7","Undeclared","20","15","[c]","[c]"
"In post","2022","Intellectual Property Office","G7","Unknown","105","100","60050","60790"
"In post","2022","Intellectual Property Office","HEO","Heterosexual / straight","135","125","32250","30770"
"In post","2022","Intellectual Property Office","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","HEO","Unknown","50","50","32590","31220"
"In post","2022","Intellectual Property Office","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Intellectual Property Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Intellectual Property Office","SEO","Heterosexual / straight","230","220","42580","41580"
"In post","2022","Intellectual Property Office","SEO","LGBO","20","20","[c]","[c]"
"In post","2022","Intellectual Property Office","SEO","Undeclared","25","25","[c]","[c]"
"In post","2022","Intellectual Property Office","SEO","Unknown","105","105","43190","42070"
"In post","2022","Legal Aid Agency","AA","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Legal Aid Agency","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","AO","Heterosexual / straight","295","270","21160","20970"
"In post","2022","Legal Aid Agency","AO","LGBO","20","20","[c]","[c]"
"In post","2022","Legal Aid Agency","AO","Undeclared","40","40","21270","20970"
"In post","2022","Legal Aid Agency","AO","Unknown","55","50","20990","20970"
"In post","2022","Legal Aid Agency","EO","Heterosexual / straight","270","250","25820","25120"
"In post","2022","Legal Aid Agency","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Legal Aid Agency","EO","Undeclared","30","30","25650","25120"
"In post","2022","Legal Aid Agency","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Legal Aid Agency","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Legal Aid Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","G7","Heterosexual / straight","65","65","57710","56440"
"In post","2022","Legal Aid Agency","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Legal Aid Agency","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","HEO","Heterosexual / straight","115","110","32200","31380"
"In post","2022","Legal Aid Agency","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Legal Aid Agency","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Legal Aid Agency","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Legal Aid Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","SEO","Heterosexual / straight","135","130","40770","41100"
"In post","2022","Legal Aid Agency","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Legal Aid Agency","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Legal Aid Agency","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Legal Aid Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","AO","Heterosexual / straight","185","175","24610","26840"
"In post","2022","Maritime and Coastguard Agency","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","AO","Undeclared","30","30","24820","26840"
"In post","2022","Maritime and Coastguard Agency","AO","Unknown","50","50","25810","26840"
"In post","2022","Maritime and Coastguard Agency","EO","Heterosexual / straight","165","160","28570","26780"
"In post","2022","Maritime and Coastguard Agency","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","EO","Undeclared","35","35","29960","31300"
"In post","2022","Maritime and Coastguard Agency","EO","Unknown","25","25","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","G7","Heterosexual / straight","115","110","58150","55190"
"In post","2022","Maritime and Coastguard Agency","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","HEO","Heterosexual / straight","210","210","34190","34730"
"In post","2022","Maritime and Coastguard Agency","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","HEO","Undeclared","35","35","35540","36180"
"In post","2022","Maritime and Coastguard Agency","HEO","Unknown","20","20","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","SEO","Heterosexual / straight","215","210","45670","42650"
"In post","2022","Maritime and Coastguard Agency","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","SEO","Undeclared","40","40","45790","43470"
"In post","2022","Maritime and Coastguard Agency","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","EO","Heterosexual / straight","100","100","27420","27400"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","EO","Unknown","40","40","28290","27840"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","G6","Heterosexual / straight","90","85","67970","66850"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","G6","LGBO","10","10","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","G6","Undeclared","25","20","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","G6","Unknown","45","45","70480","66930"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","G7","Heterosexual / straight","145","145","53780","53620"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","G7","Undeclared","25","25","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","G7","Unknown","55","50","54530","53830"
