"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Counter Fraud","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","G6/G7","Heterosexual / straight","55","55","65490","66200"
"In post","2022","Attorney General's Departments","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","SEO/HEO","Heterosexual / straight","80","80","37920","40000"
"In post","2022","Attorney General's Departments","Counter Fraud","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","SEO/HEO","Undeclared","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","SEO/HEO","Unknown","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","G6/G7","Heterosexual / straight","40","40","58240","55750"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","70","70","37260","38180"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","AA/AO","Heterosexual / straight","55","50","22530","22200"
"In post","2022","Attorney General's Departments","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","EO","Heterosexual / straight","50","45","26640","26220"
"In post","2022","Attorney General's Departments","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","SEO/HEO","Heterosexual / straight","55","50","33990","32500"
"In post","2022","Attorney General's Departments","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","EO","Heterosexual / straight","35","35","26690","26650"
"In post","2022","Attorney General's Departments","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","G6/G7","Heterosexual / straight","40","40","56970","54220"
"In post","2022","Attorney General's Departments","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","SEO/HEO","Heterosexual / straight","95","90","33520","31810"
"In post","2022","Attorney General's Departments","Human Resources","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","EO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","EO","Heterosexual / straight","160","155","28560","27050"
"In post","2022","Attorney General's Departments","Legal","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","G6/G7","Heterosexual / straight","3110","2890","57040","54770"
"In post","2022","Attorney General's Departments","Legal","G6/G7","LGBO","180","170","59150","55610"
"In post","2022","Attorney General's Departments","Legal","G6/G7","Undeclared","200","185","58980","55610"
"In post","2022","Attorney General's Departments","Legal","G6/G7","Unknown","1075","955","60370","59380"
"In post","2022","Attorney General's Departments","Legal","SCS level","Heterosexual / straight","175","165","87370","82500"
"In post","2022","Attorney General's Departments","Legal","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","SCS level","Unknown","60","55","85250","80570"
"In post","2022","Attorney General's Departments","Legal","SEO/HEO","Heterosexual / straight","300","285","39080","38000"
"In post","2022","Attorney General's Departments","Legal","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","SEO/HEO","Unknown","75","70","37330","37780"
"In post","2022","Attorney General's Departments","Operational Delivery","AA/AO","Heterosexual / straight","970","895","22700","22200"
"In post","2022","Attorney General's Departments","Operational Delivery","AA/AO","LGBO","70","65","22210","22200"
"In post","2022","Attorney General's Departments","Operational Delivery","AA/AO","Undeclared","50","45","22400","22200"
"In post","2022","Attorney General's Departments","Operational Delivery","AA/AO","Unknown","260","225","22850","22200"
"In post","2022","Attorney General's Departments","Operational Delivery","EO","Heterosexual / straight","815","755","27770","28430"
"In post","2022","Attorney General's Departments","Operational Delivery","EO","LGBO","60","60","27460","27050"
"In post","2022","Attorney General's Departments","Operational Delivery","EO","Undeclared","35","35","27820","28430"
"In post","2022","Attorney General's Departments","Operational Delivery","EO","Unknown","255","230","28510","28430"
"In post","2022","Attorney General's Departments","Operational Delivery","G6/G7","Heterosexual / straight","55","55","61170","59670"
"In post","2022","Attorney General's Departments","Operational Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","SEO/HEO","Heterosexual / straight","250","245","34810","33310"
"In post","2022","Attorney General's Departments","Operational Delivery","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","SEO/HEO","Unknown","45","40","34390","33540"
"In post","2022","Attorney General's Departments","Other","AA/AO","Heterosexual / straight","30","30","23980","24050"
"In post","2022","Attorney General's Departments","Other","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","EO","Heterosexual / straight","175","165","27310","26950"
"In post","2022","Attorney General's Departments","Other","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","EO","Undeclared","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","EO","Unknown","35","35","27830","27580"
"In post","2022","Attorney General's Departments","Other","G6/G7","Heterosexual / straight","35","35","58840","60640"
"In post","2022","Attorney General's Departments","Other","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","SEO/HEO","Heterosexual / straight","85","85","33860","31600"
"In post","2022","Attorney General's Departments","Other","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Other","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","G6/G7","Heterosexual / straight","55","50","59200","56300"
"In post","2022","Attorney General's Departments","Policy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","SEO/HEO","Unknown","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","SEO/HEO","Heterosexual / straight","45","40","35440","33930"
"In post","2022","Attorney General's Departments","Project Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","EO","Heterosexual / straight","35","35","26120","25520"
"In post","2022","Cabinet Office","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","SEO/HEO","Heterosexual / straight","195","190","35520","38330"
"In post","2022","Cabinet Office","Commercial","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","SEO/HEO","Unknown","55","55","35060","32730"
"In post","2022","Cabinet Office","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","G6/G7","Heterosexual / straight","50","50","56860","54700"
"In post","2022","Cabinet Office","Digital, Data and Technology","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","40","40","37320","38330"
"In post","2022","Cabinet Office","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Finance","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Cabinet Office","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
