"Status","Year","Age","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","FCDO Services","London","15","15","31540","30860"
"In post","2022","20-29","FCDO Services","Outside London","130","130","26960","26100"
"In post","2022","20-29","FCDO Services","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Food Standards Agency","London","40","40","35350","32350"
"In post","2022","20-29","Food Standards Agency","Outside London","95","95","31120","30350"
"In post","2022","20-29","Food Standards Scotland","Outside London","45","45","30140","31540"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","London","735","730","36930","35700"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","170","165","29600","26120"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","200","200","35310","33230"
"In post","2022","20-29","Forestry and Land Scotland","Outside London","95","95","27140","25940"
"In post","2022","20-29","Government Actuary's Department","London","55","55","37790","35840"
"In post","2022","20-29","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Government Internal Audit Agency","London","20","20","31850","33420"
"In post","2022","20-29","Government Internal Audit Agency","Outside London","10","10","33280","30730"
"In post","2022","20-29","Government Legal Department","London","350","340","36410","30720"
"In post","2022","20-29","Government Legal Department","Outside London","15","15","34000","29280"
"In post","2022","20-29","Government Property Agency","London","15","15","41000","34550"
"In post","2022","20-29","Government Property Agency","Outside London","35","35","36120","34500"
"In post","2022","20-29","Health and Safety Executive","London","20","20","37930","36040"
"In post","2022","20-29","Health and Safety Executive","Outside London","290","290","28200","26370"
"In post","2022","20-29","HM Courts and Tribunals Service","London","670","665","28090","23720"
"In post","2022","20-29","HM Courts and Tribunals Service","Outside London","1480","1440","23050","20970"
"In post","2022","20-29","HM Courts and Tribunals Service","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","HM Land Registry","London","65","65","32970","30600"
"In post","2022","20-29","HM Land Registry","Outside London","1060","1040","25700","22600"
"In post","2022","20-29","HM Prison and Probation Service","London","1525","1510","30810","30520"
"In post","2022","20-29","HM Prison and Probation Service","Outside London","10480","10340","25380","24620"
"In post","2022","20-29","HM Prison and Probation Service","Unknown","15","15","24110","23140"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","London","1395","1385","39510","37610"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","Outside London","10120","9910","27330","26590"
"In post","2022","20-29","HM Treasury (excl. agencies)","London","930","925","38940","32960"
"In post","2022","20-29","HM Treasury (excl. agencies)","Outside London","50","45","33160","29320"
"In post","2022","20-29","Home Office","London","2115","2105","36650","35050"
"In post","2022","20-29","Home Office","Outside London","3410","3335","24910","24880"
"In post","2022","20-29","Home Office","Overseas","15","15","28690","25330"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","London","10","10","35430","40430"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","Outside London","15","15","39790","36570"
"In post","2022","20-29","Intellectual Property Office","London","15","15","41180","43710"
"In post","2022","20-29","Intellectual Property Office","Outside London","320","315","29130","27380"
"In post","2022","20-29","Legal Aid Agency","London","5","5","[c]","[c]"
"In post","2022","20-29","Legal Aid Agency","Outside London","110","105","22500","20970"
"In post","2022","20-29","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Maritime and Coastguard Agency","Outside London","185","185","29410","26840"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","London","125","125","33280","32640"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","Outside London","20","20","31580","32640"
"In post","2022","20-29","Met Office","London","10","10","29040","30930"
"In post","2022","20-29","Met Office","Outside London","285","285","27920","28030"
"In post","2022","20-29","Met Office","Overseas","20","20","32680","31260"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","London","740","735","38230","37000"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","Outside London","2925","2900","28090","26350"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","Overseas","40","40","35900","37140"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","Unknown","25","25","27560","27370"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","London","835","830","38340","34260"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","Outside London","275","275","30870","30450"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","National Crime Agency","London","310","310","36370","36200"
"In post","2022","20-29","National Crime Agency","Outside London","560","560","32050","32770"
"In post","2022","20-29","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","National Infrastructure Commission","London","15","15","39200","34710"
"In post","2022","20-29","National Records of Scotland","Outside London","45","45","28500","27230"
"In post","2022","20-29","National Savings and Investments","London","15","15","36260","36500"
"In post","2022","20-29","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","London","25","25","46010","44660"
"In post","2022","20-29","Northern Ireland Office","Outside London","15","15","31580","30940"
"In post","2022","20-29","Office for Budget Responsibility","London","15","15","39240","35610"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","London","35","35","31740","34700"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","Outside London","95","95","27580","25620"
"In post","2022","20-29","Office of Gas and Electricity Markets","London","210","205","32180","31030"
"In post","2022","20-29","Office of Gas and Electricity Markets","Outside London","170","170","28640","25670"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","Outside London","35","35","31920","31000"
"In post","2022","20-29","Office of Rail and Road","London","25","25","35230","31910"
"In post","2022","20-29","Office of Rail and Road","Outside London","10","10","38550","38650"
"In post","2022","20-29","Office of the Public Guardian","Outside London","305","290","22320","20970"
"In post","2022","20-29","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Scottish Charity Regulator","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","London","15","15","33920","34260"
"In post","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","20","20","32590","30500"
"In post","2022","20-29","Office of the Secretary of State for Wales","London","5","5","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","Outside London","10","10","27150","25300"
"In post","2022","20-29","Planning Inspectorate","Outside London","70","65","24400","21520"
"In post","2022","20-29","Queen Elizabeth II Centre","London","5","5","[c]","[c]"
"In post","2022","20-29","Registers of Scotland","Outside London","170","170","28560","25050"
"In post","2022","20-29","Revenue Scotland","Outside London","15","15","31850","27230"
"In post","2022","20-29","Royal Fleet Auxiliary","Unknown","365","365","28260","28980"
"In post","2022","20-29","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Rural Payments Agency","Outside London","400","395","22750","21300"
"In post","2022","20-29","Scottish Courts and Tribunals Service","Outside London","300","290","25030","23780"
"In post","2022","20-29","Scottish Fiscal Commission","Outside London","10","10","35510","31540"
"In post","2022","20-29","Scottish Forestry","Outside London","15","15","27680","27360"
"In post","2022","20-29","Scottish Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Scottish Government (excl. agencies)","Outside London","1590","1570","31560","31540"
"In post","2022","20-29","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Scottish Prison Service","Outside London","695","680","26300","23330"
"In post","2022","20-29","Scottish Public Pensions Agency","Outside London","35","30","25760","25930"
"In post","2022","20-29","Serious Fraud Office","London","65","60","32680","32920"
"In post","2022","20-29","Social Security Scotland","Outside London","555","545","26160","27230"
"In post","2022","20-29","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Standards and Testing Agency","Outside London","15","15","31430","27180"
"In post","2022","20-29","Student Awards Agency for Scotland","Outside London","55","55","24710","23230"
"In post","2022","20-29","Submarine Delivery Agency","Outside London","435","435","28610","27540"
"In post","2022","20-29","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Teaching Regulation Agency","Outside London","25","25","26110","25000"
"In post","2022","20-29","The Insolvency Service","London","25","25","29530","26200"
"In post","2022","20-29","The Insolvency Service","Outside London","160","160","23260","21130"
"In post","2022","20-29","The National Archives","London","95","90","26580","23810"
"In post","2022","20-29","Transport Scotland","Outside London","80","80","31270","31540"
"In post","2022","20-29","UK Debt Management Office","London","15","15","40200","40000"
"In post","2022","20-29","UK Export Finance","London","110","110","36750","33180"
"In post","2022","20-29","UK Health Security Agency","London","705","675","34080","32330"
"In post","2022","20-29","UK Health Security Agency","Outside London","770","735","27490","25010"
"In post","2022","20-29","UK Hydrographic Office","Outside London","155","155","26770","26740"
"In post","2022","20-29","UK Space Agency","London","35","35","39730","40050"
"In post","2022","20-29","UK Space Agency","Outside London","15","15","37630","36740"
"In post","2022","20-29","UK Statistics Authority","London","155","155","36020","33710"
"In post","2022","20-29","UK Statistics Authority","Outside London","1130","1100","30190","30710"
"In post","2022","20-29","UK Supreme Court","London","10","10","34760","37230"
"In post","2022","20-29","Valuation Office Agency","London","120","120","34790","31130"
"In post","2022","20-29","Valuation Office Agency","Outside London","520","510","27420","26030"
"In post","2022","20-29","Vehicle Certification Agency","Outside London","35","35","28840","26710"
"In post","2022","20-29","Veterinary Medicines Directorate","Outside London","20","20","32910","32560"
"In post","2022","20-29","Water Services Regulation Authority","London","20","20","36590","28000"
"In post","2022","20-29","Water Services Regulation Authority","Outside London","25","25","33100","30000"
"In post","2022","20-29","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Welsh Government (excl. agencies)","Outside London","545","535","28430","25860"
"In post","2022","20-29","Welsh Revenue Authority","Outside London","15","15","31010","31210"
"In post","2022","20-29","Wilton Park","Outside London","10","10","25640","24300"
"In post","2022","30-39","Accountant in Bankruptcy","Outside London","30","25","30150","30040"
"In post","2022","30-39","Advisory, Conciliation and Arbitration Service","London","30","25","40120","38670"
"In post","2022","30-39","Advisory, Conciliation and Arbitration Service","Outside London","195","185","29440","30950"
"In post","2022","30-39","Animal and Plant Health Agency","London","25","25","33850","31750"
"In post","2022","30-39","Animal and Plant Health Agency","Outside London","545","520","29130","27960"
"In post","2022","30-39","Animal and Plant Health Agency","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Attorney General's Office","London","20","20","49710","52970"
"In post","2022","30-39","Cabinet Office (excl. agencies)","London","1725","1700","53040","54700"
"In post","2022","30-39","Cabinet Office (excl. agencies)","Outside London","695","675","41440","37300"
"In post","2022","30-39","Cabinet Office (excl. agencies)","Unknown","100","100","42150","35880"
"In post","2022","30-39","Centre for Environment, Fisheries and Aquaculture Science","Outside London","160","155","32960","30220"
"In post","2022","30-39","Charity Commission","London","20","20","43870","46250"
"In post","2022","30-39","Charity Commission","Outside London","90","90","31600","29160"
"In post","2022","30-39","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Companies House","Outside London","255","245","30890","25100"
"In post","2022","30-39","Competition and Markets Authority","London","275","265","60250","57950"
"In post","2022","30-39","Competition and Markets Authority","Outside London","25","25","60320","56650"
"In post","2022","30-39","Criminal Injuries Compensation Authority","Outside London","85","80","27640","25120"
"In post","2022","30-39","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Crown Commercial Service","London","25","25","47740","43130"
"In post","2022","30-39","Crown Commercial Service","Outside London","225","215","37480","38330"
"In post","2022","30-39","Crown Office and Procurator Fiscal Service","Outside London","600","575","38180","34600"
"In post","2022","30-39","Crown Prosecution Service","London","290","280","43490","49580"
"In post","2022","30-39","Crown Prosecution Service","Outside London","905","850","39330","38760"
"In post","2022","30-39","Defence Electronics and Components Agency","Outside London","30","30","29800","28150"
"In post","2022","30-39","Defence Equipment and Support","London","25","25","27880","20700"
"In post","2022","30-39","Defence Equipment and Support","Outside London","2300","2200","35570","34140"
"In post","2022","30-39","Defence Equipment and Support","Overseas","25","25","37880","37530"
"In post","2022","30-39","Defence Science and Technology Laboratory","Outside London","1065","1035","40410","38070"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","1525","1485","52540","53380"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","210","210","41600","36740"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","London","640","625","51310","51730"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","Outside London","75","75","41660","34960"
"In post","2022","30-39","Department for Education (excl. agencies)","London","570","545","52830","53420"
"In post","2022","30-39","Department for Education (excl. agencies)","Outside London","1220","1170","41350","36780"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","London","700","680","47010","47810"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","935","895","39460","36520"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Department for International Trade","London","705","695","50430","51970"
"In post","2022","30-39","Department for International Trade","Outside London","50","50","45640","47980"
"In post","2022","30-39","Department for International Trade","Overseas","70","70","52820","52400"
"In post","2022","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","London","640","625","51970","53130"
"In post","2022","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","305","295","40190","36340"
"In post","2022","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Department for Transport (excl. agencies)","London","820","810","51620","54110"
"In post","2022","30-39","Department for Transport (excl. agencies)","Outside London","165","155","40690","38650"
"In post","2022","30-39","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Department for Work and Pensions (excl. agencies)","London","1725","1650","34850","31060"
"In post","2022","30-39","Department for Work and Pensions (excl. agencies)","Outside London","13170","12095","27350","27570"
"In post","2022","30-39","Department for Work and Pensions (excl. agencies)","Unknown","90","85","30170","27570"
"In post","2022","30-39","Department of Health and Social Care (excl. agencies)","London","750","725","51300","53360"
"In post","2022","30-39","Department of Health and Social Care (excl. agencies)","Outside London","305","295","42900","38560"
"In post","2022","30-39","Department of Health and Social Care (excl. agencies)","Unknown","10","10","52190","50940"
"In post","2022","30-39","Disclosure Scotland","Outside London","110","105","27390","23230"
"In post","2022","30-39","Driver and Vehicle Licensing Agency","Outside London","1715","1540","25650","21840"
"In post","2022","30-39","Driver and Vehicle Standards Agency","London","40","40","32440","30700"
