"Status","Year","Ethnicity","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Intelligence Analysis","London","AO","15","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","EO","75","70","29400","29080"
"In post","2022","Asian","Intelligence Analysis","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","G7","5","5","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","HEO","30","30","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","EO","35","35","26210","25510"
"In post","2022","Asian","Intelligence Analysis","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","G7","10","10","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","SEO","20","20","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","London","G6","5","5","[c]","[c]"
"In post","2022","Asian","International Trade","London","G7","30","30","[c]","[c]"
"In post","2022","Asian","International Trade","London","HEO","35","35","33230","31800"
"In post","2022","Asian","International Trade","London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","International Trade","London","SEO","30","30","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
