"Status","Year","Age","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Counter Fraud","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Department for Work and Pensions (excl. agencies)","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","HM Prison and Probation Service","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Defence Equipment and Support","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","UK Statistics Authority","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","HM Revenue and Customs (excl. agencies)","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","Department for Work and Pensions (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Debt","Department for Work and Pensions (excl. agencies)","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Debt","HM Revenue and Customs (excl. agencies)","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Defence Equipment and Support","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Grants Management","Rural Payments Agency","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","Crown Prosecution Service","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Animal and Plant Health Agency","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Crown Office and Procurator Fiscal Service","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Defence Electronics and Components Agency","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Defence Science and Technology Laboratory","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Department for Work and Pensions (excl. agencies)","100","100","23050","21260"
"In post","2022","16-19","Declared non-disabled","No function","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Driver and Vehicle Licensing Agency","30","25","19250","18310"
"In post","2022","16-19","Declared non-disabled","No function","Driver and Vehicle Standards Agency","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","HM Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","HM Prison and Probation Service","85","85","23510","23140"
"In post","2022","16-19","Declared non-disabled","No function","HM Revenue and Customs (excl. agencies)","50","50","21440","21250"
