"Status","Year","Age","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Devon","Unknown","Male","10","10","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","AO","Female","15","15","[c]","[c]"
"In post","2022","16-19","East Anglia","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","East Anglia","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Wales","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Wales","AA","Male","15","15","[c]","[c]"
"In post","2022","16-19","East Wales","AO","Female","15","15","[c]","[c]"
"In post","2022","16-19","East Wales","AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","East Wales","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","East Wales","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","AA","Female","15","15","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","AA","Male","15","10","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Essex","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Essex","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Essex","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Essex","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AA","Female","10","10","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AA","Male","5","5","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Female","25","25","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Male","70","70","18680","18030"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Male","5","5","[c]","[c]"
"In post","2022","16-19","Greater Manchester","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Greater Manchester","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Greater Manchester","AO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Greater Manchester","AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Greater Manchester","EO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Greater Manchester","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Greater Manchester","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Greater Manchester","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Greater Manchester","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Greater Manchester","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Hampshire and Isle of Wight","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Hampshire and Isle of Wight","AA","Male","5","5","[c]","[c]"
"In post","2022","16-19","Hampshire and Isle of Wight","AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Hampshire and Isle of Wight","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Hampshire and Isle of Wight","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Hampshire and Isle of Wight","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Highlands and Islands","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Highlands and Islands","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Highlands and Islands","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Highlands and Islands","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - East","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - East","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - East","AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Inner London - East","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - East","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - East","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - West","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - West","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - West","AO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Inner London - West","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Inner London - West","EO","Female","25","25","[c]","[c]"
"In post","2022","16-19","Inner London - West","EO","Male","30","30","25830","25170"
"In post","2022","16-19","Inner London - West","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - West","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - West","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - West","Unknown","Male","[c]","[c]","[c]","[c]"
