"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Outside London","HEO","Heterosexual / straight","2405","2315","32810","33080"
"In post","2022","Asian","Outside London","HEO","LGBO","45","40","32800","33080"
"In post","2022","Asian","Outside London","HEO","Undeclared","115","110","32860","33080"
"In post","2022","Asian","Outside London","HEO","Unknown","230","225","33370","33280"
"In post","2022","Asian","Outside London","SCS level","Heterosexual / straight","75","75","93430","92550"
"In post","2022","Asian","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Outside London","SEO","Heterosexual / straight","1305","1280","41140","40180"
"In post","2022","Asian","Outside London","SEO","LGBO","35","35","40770","39170"
"In post","2022","Asian","Outside London","SEO","Undeclared","70","65","41000","40520"
"In post","2022","Asian","Outside London","SEO","Unknown","140","140","40600","40300"
"In post","2022","Asian","Outside London","Unknown","Heterosexual / straight","585","540","29290","27540"
"In post","2022","Asian","Outside London","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Outside London","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Outside London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Overseas","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","HEO","Heterosexual / straight","40","40","35030","34070"
"In post","2022","Asian","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Asian","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","EO","Heterosexual / straight","65","60","29990","30330"
"In post","2022","Asian","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","AA","Heterosexual / straight","230","215","23540","22900"
"In post","2022","Black","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","AA","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","London","AA","Unknown","50","45","24890","25180"
"In post","2022","Black","London","AO","Heterosexual / straight","1535","1440","26530","25110"
"In post","2022","Black","London","AO","LGBO","30","30","26320","25110"
"In post","2022","Black","London","AO","Undeclared","120","105","25890","25110"
"In post","2022","Black","London","AO","Unknown","230","205","27290","25110"
"In post","2022","Black","London","EO","Heterosexual / straight","2900","2800","30250","31020"
"In post","2022","Black","London","EO","LGBO","75","75","30090","31020"
"In post","2022","Black","London","EO","Undeclared","185","175","30270","30690"
"In post","2022","Black","London","EO","Unknown","380","345","31040","31060"
"In post","2022","Black","London","G6","Heterosexual / straight","150","150","69550","68630"
"In post","2022","Black","London","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Black","London","G6","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","London","G6","Unknown","20","20","[c]","[c]"
"In post","2022","Black","London","G7","Heterosexual / straight","795","790","56660","54970"
"In post","2022","Black","London","G7","LGBO","30","30","56400","54700"
"In post","2022","Black","London","G7","Undeclared","30","30","56920","56010"
"In post","2022","Black","London","G7","Unknown","50","45","57750","55400"
"In post","2022","Black","London","HEO","Heterosexual / straight","1585","1565","35800","35200"
"In post","2022","Black","London","HEO","LGBO","25","25","[c]","[c]"
"In post","2022","Black","London","HEO","Undeclared","90","85","35710","35200"
"In post","2022","Black","London","HEO","Unknown","120","120","36800","37610"
"In post","2022","Black","London","SCS level","Heterosexual / straight","55","55","87250","79510"
"In post","2022","Black","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Black","London","SEO","Heterosexual / straight","975","965","43050","41970"
"In post","2022","Black","London","SEO","LGBO","25","25","[c]","[c]"
"In post","2022","Black","London","SEO","Undeclared","55","55","43230","42180"
"In post","2022","Black","London","SEO","Unknown","60","60","43040","43430"
"In post","2022","Black","London","Unknown","Heterosexual / straight","615","600","33320","32090"
"In post","2022","Black","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Black","London","Unknown","Undeclared","30","30","34580","33700"
"In post","2022","Black","London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Outside London","AA","Heterosexual / straight","180","170","21060","20890"
"In post","2022","Black","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","AA","Undeclared","15","10","[c]","[c]"
"In post","2022","Black","Outside London","AA","Unknown","25","25","[c]","[c]"
"In post","2022","Black","Outside London","AO","Heterosexual / straight","1440","1335","22850","21260"
"In post","2022","Black","Outside London","AO","LGBO","35","35","23330","21260"
"In post","2022","Black","Outside London","AO","Undeclared","85","75","22710","21260"
"In post","2022","Black","Outside London","AO","Unknown","145","125","23100","21260"
"In post","2022","Black","Outside London","EO","Heterosexual / straight","1775","1700","27400","27570"
"In post","2022","Black","Outside London","EO","LGBO","55","55","27940","27570"
"In post","2022","Black","Outside London","EO","Undeclared","90","85","27870","27570"
"In post","2022","Black","Outside London","EO","Unknown","165","150","27800","27570"
"In post","2022","Black","Outside London","G6","Heterosexual / straight","45","45","69760","67320"
"In post","2022","Black","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","G7","Heterosexual / straight","260","255","53220","52080"
"In post","2022","Black","Outside London","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Outside London","G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","Outside London","G7","Unknown","30","30","53500","52930"
"In post","2022","Black","Outside London","HEO","Heterosexual / straight","805","790","32720","33000"
"In post","2022","Black","Outside London","HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Black","Outside London","HEO","Undeclared","30","30","33690","33080"
"In post","2022","Black","Outside London","HEO","Unknown","55","55","33320","33080"
"In post","2022","Black","Outside London","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Black","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Outside London","SEO","Heterosexual / straight","545","535","40810","40000"
"In post","2022","Black","Outside London","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Outside London","SEO","Undeclared","25","20","[c]","[c]"
"In post","2022","Black","Outside London","SEO","Unknown","40","35","40860","40520"
"In post","2022","Black","Outside London","Unknown","Heterosexual / straight","500","470","28990","27980"
"In post","2022","Black","Outside London","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Outside London","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","Black","Outside London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Overseas","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Black","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Overseas","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Black","Overseas","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Black","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Overseas","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Black","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Black","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","London","AA","Heterosexual / straight","30","30","23250","22460"
"In post","2022","Mixed","London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","London","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","London","AA","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","London","AO","Heterosexual / straight","280","265","26510","25110"
"In post","2022","Mixed","London","AO","LGBO","30","30","26850","25110"
"In post","2022","Mixed","London","AO","Undeclared","25","25","[c]","[c]"
"In post","2022","Mixed","London","AO","Unknown","30","25","[c]","[c]"
"In post","2022","Mixed","London","EO","Heterosexual / straight","605","580","29910","30330"
"In post","2022","Mixed","London","EO","LGBO","50","50","29800","30750"
"In post","2022","Mixed","London","EO","Undeclared","70","65","30050","30730"
"In post","2022","Mixed","London","EO","Unknown","40","35","30610","30750"
"In post","2022","Mixed","London","G6","Heterosexual / straight","180","170","68040","66440"
"In post","2022","Mixed","London","G6","LGBO","20","20","[c]","[c]"
"In post","2022","Mixed","London","G6","Undeclared","15","15","[c]","[c]"
"In post","2022","Mixed","London","G6","Unknown","25","25","[c]","[c]"
"In post","2022","Mixed","London","G7","Heterosexual / straight","545","530","56140","54760"
"In post","2022","Mixed","London","G7","LGBO","75","75","56210","54700"
"In post","2022","Mixed","London","G7","Undeclared","40","40","55800","54370"
"In post","2022","Mixed","London","G7","Unknown","30","25","[c]","[c]"
"In post","2022","Mixed","London","HEO","Heterosexual / straight","610","600","35520","35000"
"In post","2022","Mixed","London","HEO","LGBO","70","70","34460","34260"
"In post","2022","Mixed","London","HEO","Undeclared","65","65","35530","35050"
"In post","2022","Mixed","London","HEO","Unknown","35","35","36980","37290"
"In post","2022","Mixed","London","SCS level","Heterosexual / straight","80","80","83930","78470"
"In post","2022","Mixed","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","London","SEO","Heterosexual / straight","375","370","43040","41970"
"In post","2022","Mixed","London","SEO","LGBO","60","60","42430","41820"
"In post","2022","Mixed","London","SEO","Undeclared","30","30","[c]","[c]"
"In post","2022","Mixed","London","SEO","Unknown","15","15","[c]","[c]"
"In post","2022","Mixed","London","Unknown","Heterosexual / straight","110","105","33800","33290"
"In post","2022","Mixed","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","London","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Outside London","AA","Heterosexual / straight","105","95","20600","20890"
"In post","2022","Mixed","Outside London","AA","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Outside London","AA","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Outside London","AA","Unknown","10","10","[c]","[c]"
"In post","2022","Mixed","Outside London","AO","Heterosexual / straight","1125","1035","23080","21260"
"In post","2022","Mixed","Outside London","AO","LGBO","130","120","23250","21260"
"In post","2022","Mixed","Outside London","AO","Undeclared","110","100","23300","21430"
"In post","2022","Mixed","Outside London","AO","Unknown","105","85","22520","21260"
"In post","2022","Mixed","Outside London","EO","Heterosexual / straight","1175","1115","27440","27570"
"In post","2022","Mixed","Outside London","EO","LGBO","135","135","27460","27570"
"In post","2022","Mixed","Outside London","EO","Undeclared","120","110","27200","27570"
"In post","2022","Mixed","Outside London","EO","Unknown","100","85","27720","27570"
"In post","2022","Mixed","Outside London","G6","Heterosexual / straight","80","75","69710","67910"
"In post","2022","Mixed","Outside London","G6","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Outside London","G6","Undeclared","10","10","[c]","[c]"
"In post","2022","Mixed","Outside London","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Outside London","G7","Heterosexual / straight","305","290","53930","53360"
"In post","2022","Mixed","Outside London","G7","LGBO","25","25","[c]","[c]"
"In post","2022","Mixed","Outside London","G7","Undeclared","25","25","[c]","[c]"
"In post","2022","Mixed","Outside London","G7","Unknown","35","35","53700","51260"
"In post","2022","Mixed","Outside London","HEO","Heterosexual / straight","610","590","32890","33080"
"In post","2022","Mixed","Outside London","HEO","LGBO","80","80","32630","33000"
"In post","2022","Mixed","Outside London","HEO","Undeclared","45","45","33550","33300"
"In post","2022","Mixed","Outside London","HEO","Unknown","80","75","32040","32120"
"In post","2022","Mixed","Outside London","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Mixed","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Outside London","SEO","Heterosexual / straight","405","395","41130","40180"
"In post","2022","Mixed","Outside London","SEO","LGBO","40","40","41020","39950"
"In post","2022","Mixed","Outside London","SEO","Undeclared","30","30","42290","40340"
"In post","2022","Mixed","Outside London","SEO","Unknown","40","40","40520","38600"
