"Status","Year","Age","Function_of_post","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Debt","Tax","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Tax","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Unknown","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Devon","10","10","18800","19380"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Policy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","19730","19460"
"In post","2022","16-19","Finance","Finance","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Operational Delivery","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Tax","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Internal Audit","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Legal","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Inner London - West","10","10","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Digital, Data and Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Economics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","International Trade","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Knowledge and Information Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","15","15","23860","21790"
"In post","2022","16-19","No function","Operational Delivery","Cheshire","5","5","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Derbyshire and Nottinghamshire","15","15","22880","23140"
"In post","2022","16-19","No function","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Dorset and Somerset","5","5","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","East Anglia","15","15","23950","23140"
"In post","2022","16-19","No function","Operational Delivery","East Wales","20","20","21420","21250"
"In post","2022","16-19","No function","Operational Delivery","East Yorkshire and Northern Lincolnshire","5","5","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Eastern Scotland","15","15","21630","21260"
"In post","2022","16-19","No function","Operational Delivery","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","21660","20890"
"In post","2022","16-19","No function","Operational Delivery","Greater Manchester","30","25","21380","21250"
"In post","2022","16-19","No function","Operational Delivery","Hampshire and Isle of Wight","15","15","21890","19860"
"In post","2022","16-19","No function","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Inner London - East","10","10","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Kent","15","15","24390","24470"
"In post","2022","16-19","No function","Operational Delivery","Lancashire","25","25","22070","21260"
"In post","2022","16-19","No function","Operational Delivery","Leicestershire, Rutland and Northamptonshire","20","15","22060","21110"
"In post","2022","16-19","No function","Operational Delivery","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Merseyside","30","30","21460","21250"
"In post","2022","16-19","No function","Operational Delivery","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Northumberland, and Tyne and Wear","20","20","21150","21250"
"In post","2022","16-19","No function","Operational Delivery","Outer London - East and North East","5","5","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Outer London - West and North West","10","5","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Shropshire and Staffordshire","10","10","22300","22490"
"In post","2022","16-19","No function","Operational Delivery","South Yorkshire","10","10","22550","21080"
"In post","2022","16-19","No function","Operational Delivery","Southern Scotland","10","10","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Surrey, East and West Sussex","15","15","24470","22470"
"In post","2022","16-19","No function","Operational Delivery","Tees Valley and Durham","10","10","21880","22200"
"In post","2022","16-19","No function","Operational Delivery","West Central Scotland","15","10","21310","21260"
"In post","2022","16-19","No function","Operational Delivery","West Midlands","25","20","21750","21260"
"In post","2022","16-19","No function","Operational Delivery","West Wales and The Valleys","80","65","19510","18310"
"In post","2022","16-19","No function","Operational Delivery","West Yorkshire","35","30","22150","21250"
"In post","2022","16-19","No function","Other","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","Inner London - West","20","20","25760","25170"
"In post","2022","16-19","No function","Policy","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","West Midlands","5","5","[c]","[c]"
"In post","2022","16-19","No function","Policy","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","East Wales","10","10","17820","17450"
"In post","2022","16-19","No function","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","18410","18350"
"In post","2022","16-19","No function","Science and Engineering","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","East Wales","5","5","[c]","[c]"
"In post","2022","16-19","No function","Tax","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","Merseyside","5","5","[c]","[c]"
"In post","2022","16-19","No function","Tax","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2022","16-19","No function","Tax","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","West Yorkshire","10","10","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Veterinarian","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Southern Scotland","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Science and Engineering","Devon","10","10","18710","18030"
"In post","2022","16-19","Project Delivery","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","70","70","18120","17140"
"In post","2022","16-19","Property","Property","Berkshire, Buckinghamshire and Oxfordshire","15","15","19130","16630"
"In post","2022","16-19","Property","Property","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Science and Engineering","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","East Anglia","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Kent","15","15","22680","21680"
"In post","2022","16-19","Unknown","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Research","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Inner London - West","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Policy","Inner London - West","[c]","[c]","[c]","[c]"
