"Status","Year","Disability","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Other ethnicity","Foreign, Commonwealth and Development Office","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","HM Revenue and Customs","40","40","38490","33370"
"In post","2022","Declared disabled","Other ethnicity","HM Treasury","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Home Office","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Ministry of Defence","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Ministry of Justice","75","70","32500","31120"
"In post","2022","Declared disabled","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Scottish Government","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Attorney General's Departments","25","20","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Cabinet Office","35","35","46240","42660"
"In post","2022","Declared disabled","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Department for Business, Energy and Industrial Strategy","30","30","45730","40220"
"In post","2022","Declared disabled","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Department for Education","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Department for Environment, Food and Rural Affairs","60","55","33660","31360"
"In post","2022","Declared disabled","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Department for Transport","60","55","31900","28550"
"In post","2022","Declared disabled","Undeclared","Department for Work and Pensions","705","620","27500","27570"
"In post","2022","Declared disabled","Undeclared","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","HM Land Registry","20","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","HM Revenue and Customs","215","195","33750","31070"
"In post","2022","Declared disabled","Undeclared","HM Treasury","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Home Office","175","165","30920","28630"
"In post","2022","Declared disabled","Undeclared","Ministry of Defence","280","270","36720","33630"
"In post","2022","Declared disabled","Undeclared","Ministry of Justice","315","295","30540","28200"
"In post","2022","Declared disabled","Undeclared","National Crime Agency","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Scottish Government","55","55","37270","35000"
"In post","2022","Declared disabled","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","UK Statistics Authority","10","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Welsh Government","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Attorney General's Departments","35","35","40810","34480"
"In post","2022","Declared disabled","Unknown","Cabinet Office","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Business, Energy and Industrial Strategy","50","45","31870","28750"
"In post","2022","Declared disabled","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Education","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Environment, Food and Rural Affairs","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for International Trade","30","30","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Department for Transport","35","30","29970","26700"
"In post","2022","Declared disabled","Unknown","Department for Work and Pensions","180","155","28120","27570"
"In post","2022","Declared disabled","Unknown","Department of Health and Social Care","30","30","49080","53360"
"In post","2022","Declared disabled","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Foreign, Commonwealth and Development Office","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","HM Land Registry","35","30","26250","22600"
"In post","2022","Declared disabled","Unknown","HM Revenue and Customs","215","180","31110","26820"
"In post","2022","Declared disabled","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Home Office","45","45","31320","26850"
"In post","2022","Declared disabled","Unknown","Ministry of Defence","145","140","35710","33000"
"In post","2022","Declared disabled","Unknown","Ministry of Justice","150","135","29910","28140"
"In post","2022","Declared disabled","Unknown","National Crime Agency","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Scottish Government","195","180","33560","35000"
"In post","2022","Declared disabled","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","UK Statistics Authority","30","25","32190","30210"
"In post","2022","Declared disabled","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Attorney General's Departments","790","735","43960","43810"
"In post","2022","Declared disabled","White","Cabinet Office","690","675","44260","38730"
"In post","2022","Declared disabled","White","Chancellor's other departments","20","20","[c]","[c]"
"In post","2022","Declared disabled","White","Charity Commission","25","25","[c]","[c]"
"In post","2022","Declared disabled","White","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","Declared disabled","White","Department for Business, Energy and Industrial Strategy","965","920","39970","36740"
"In post","2022","Declared disabled","White","Department for Digital, Culture, Media and Sport","130","125","48130","42330"
"In post","2022","Declared disabled","White","Department for Education","615","585","41750","37100"
"In post","2022","Declared disabled","White","Department for Environment, Food and Rural Affairs","1200","1130","35170","30610"
"In post","2022","Declared disabled","White","Department for International Trade","165","160","46660","47980"
"In post","2022","Declared disabled","White","Department for Levelling Up, Housing and Communities","315","310","41420","36580"
"In post","2022","Declared disabled","White","Department for Transport","1215","1060","29520","26700"
"In post","2022","Declared disabled","White","Department for Work and Pensions","13070","11450","27400","27570"
"In post","2022","Declared disabled","White","Department of Health and Social Care","450","430","42380","36820"
"In post","2022","Declared disabled","White","Estyn","10","10","[c]","[c]"
"In post","2022","Declared disabled","White","Food Standards Agency","85","80","38000","32830"
"In post","2022","Declared disabled","White","Foreign, Commonwealth and Development Office","605","590","45690","40330"
"In post","2022","Declared disabled","White","HM Land Registry","575","510","30020","27130"
"In post","2022","Declared disabled","White","HM Revenue and Customs","5210","4710","32960","28920"
"In post","2022","Declared disabled","White","HM Treasury","220","215","46070","41590"
"In post","2022","Declared disabled","White","Home Office","2150","1990","32160","27370"
"In post","2022","Declared disabled","White","Ministry of Defence","4260","4090","33300","31600"
"In post","2022","Declared disabled","White","Ministry of Justice","8420","7825","30060","27380"
"In post","2022","Declared disabled","White","National Crime Agency","210","200","38820","36740"
"In post","2022","Declared disabled","White","Northern Ireland Office","10","10","[c]","[c]"
"In post","2022","Declared disabled","White","Office for Standards in Education, Children's Services and Skills","130","125","47510","51360"
"In post","2022","Declared disabled","White","Office of Gas and Electricity Markets","60","60","38130","33400"
"In post","2022","Declared disabled","White","Office of Qualifications and Examinations Regulation","25","25","[c]","[c]"
"In post","2022","Declared disabled","White","Office of Rail and Road","25","25","[c]","[c]"
"In post","2022","Declared disabled","White","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Scottish Government","1665","1585","37100","33070"
"In post","2022","Declared disabled","White","The National Archives","30","25","[c]","[c]"
"In post","2022","Declared disabled","White","UK Export Finance","20","20","[c]","[c]"
"In post","2022","Declared disabled","White","UK Statistics Authority","530","470","33060","30810"
"In post","2022","Declared disabled","White","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","White","Welsh Government","325","300","39600","38160"
"In post","2022","Declared non-disabled","Asian","Attorney General's Departments","775","720","43340","48080"
"In post","2022","Declared non-disabled","Asian","Cabinet Office","440","430","45520","40600"
"In post","2022","Declared non-disabled","Asian","Chancellor's other departments","45","40","48920","45860"
"In post","2022","Declared non-disabled","Asian","Charity Commission","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Competition and Markets Authority","95","95","48960","42290"
"In post","2022","Declared non-disabled","Asian","Department for Business, Energy and Industrial Strategy","725","710","39810","39120"
"In post","2022","Declared non-disabled","Asian","Department for Digital, Culture, Media and Sport","135","130","43810","38020"
"In post","2022","Declared non-disabled","Asian","Department for Education","560","545","41620","37100"
"In post","2022","Declared non-disabled","Asian","Department for Environment, Food and Rural Affairs","385","375","35870","32560"
"In post","2022","Declared non-disabled","Asian","Department for International Trade","185","185","43690","38540"
"In post","2022","Declared non-disabled","Asian","Department for Levelling Up, Housing and Communities","245","240","41670","36460"
"In post","2022","Declared non-disabled","Asian","Department for Transport","540","525","38980","34710"
"In post","2022","Declared non-disabled","Asian","Department for Work and Pensions","6705","6100","28300","27570"
"In post","2022","Declared non-disabled","Asian","Department of Health and Social Care","730","675","39960","33100"
"In post","2022","Declared non-disabled","Asian","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Food Standards Agency","40","40","34070","30810"
"In post","2022","Declared non-disabled","Asian","Foreign, Commonwealth and Development Office","390","380","42980","37560"
"In post","2022","Declared non-disabled","Asian","HM Land Registry","155","140","31830","27130"
"In post","2022","Declared non-disabled","Asian","HM Revenue and Customs","4570","4340","32760","31020"
"In post","2022","Declared non-disabled","Asian","HM Treasury","225","220","45230","40890"
"In post","2022","Declared non-disabled","Asian","Home Office","3745","3485","31840","28850"
"In post","2022","Declared non-disabled","Asian","Ministry of Defence","1165","1130","35050","33000"
"In post","2022","Declared non-disabled","Asian","Ministry of Justice","3610","3355","29940","25740"
"In post","2022","Declared non-disabled","Asian","National Crime Agency","70","65","42600","40170"
"In post","2022","Declared non-disabled","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Office for Standards in Education, Children's Services and Skills","85","85","41120","35010"
"In post","2022","Declared non-disabled","Asian","Office of Gas and Electricity Markets","130","130","41970","35610"
"In post","2022","Declared non-disabled","Asian","Office of Qualifications and Examinations Regulation","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Scottish Government","210","200","35690","31540"
"In post","2022","Declared non-disabled","Asian","The National Archives","30","30","36050","35530"
"In post","2022","Declared non-disabled","Asian","UK Export Finance","80","80","50840","42740"
"In post","2022","Declared non-disabled","Asian","UK Statistics Authority","90","85","34720","30710"
"In post","2022","Declared non-disabled","Asian","UK Supreme Court","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Water Services Regulation Authority","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Welsh Government","55","55","40700","38160"
"In post","2022","Declared non-disabled","Black","Attorney General's Departments","445","430","41290","33900"
"In post","2022","Declared non-disabled","Black","Cabinet Office","220","220","42000","37300"
"In post","2022","Declared non-disabled","Black","Chancellor's other departments","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Competition and Markets Authority","35","35","40600","34870"
"In post","2022","Declared non-disabled","Black","Department for Business, Energy and Industrial Strategy","360","355","38320","34080"
"In post","2022","Declared non-disabled","Black","Department for Digital, Culture, Media and Sport","85","85","38980","34020"
"In post","2022","Declared non-disabled","Black","Department for Education","210","205","40250","36780"
"In post","2022","Declared non-disabled","Black","Department for Environment, Food and Rural Affairs","210","210","34820","32560"
"In post","2022","Declared non-disabled","Black","Department for International Trade","95","90","40680","38160"
"In post","2022","Declared non-disabled","Black","Department for Levelling Up, Housing and Communities","160","160","40280","38040"
"In post","2022","Declared non-disabled","Black","Department for Transport","230","225","37780","34710"
"In post","2022","Declared non-disabled","Black","Department for Work and Pensions","3260","3095","29430","29550"
"In post","2022","Declared non-disabled","Black","Department of Health and Social Care","415","390","34980","32330"
"In post","2022","Declared non-disabled","Black","Estyn","[c]","[c]","[c]","[c]"
