"Status","Year","Parent_department","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Hertfordshire CC","G7","80","70","59190","61430"
"In post","2022","Attorney General's Departments","Hertfordshire CC","HEO","15","15","37520","38120"
"In post","2022","Attorney General's Departments","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hertfordshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","AO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Hounslow and Richmond upon Thames","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kent Thames Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","AO","20","20","22180","22200"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","EO","15","15","27700","28430"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","G7","35","30","54320","55610"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Kingston upon Hull, City of","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lancaster and Wyre","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leeds","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leeds","AO","70","60","22210","22200"
"In post","2022","Attorney General's Departments","Leeds","EO","85","80","27150","26880"
"In post","2022","Attorney General's Departments","Leeds","G6","35","30","65620","64680"
"In post","2022","Attorney General's Departments","Leeds","G7","195","180","52780","51250"
"In post","2022","Attorney General's Departments","Leeds","HEO","60","60","35960","34480"
"In post","2022","Attorney General's Departments","Leeds","SCS level","10","10","88720","88210"
"In post","2022","Attorney General's Departments","Leeds","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","AO","30","25","21870","22200"
"In post","2022","Attorney General's Departments","Leicester","EO","25","20","27500","28430"
"In post","2022","Attorney General's Departments","Leicester","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","G7","65","55","52400","51470"
"In post","2022","Attorney General's Departments","Leicester","HEO","15","15","34160","33900"
"In post","2022","Attorney General's Departments","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicester","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","AO","10","10","24260","24590"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lewisham and Southwark","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lincolnshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Lincolnshire CC","G7","15","10","54630","55610"
"In post","2022","Attorney General's Departments","Lincolnshire CC","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Liverpool","AO","90","85","21950","22200"
"In post","2022","Attorney General's Departments","Liverpool","EO","90","85","26900","26220"
"In post","2022","Attorney General's Departments","Liverpool","G6","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Liverpool","G7","130","125","53370","53350"
"In post","2022","Attorney General's Departments","Liverpool","HEO","45","45","33260","32050"
"In post","2022","Attorney General's Departments","Liverpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Liverpool","SEO","10","10","38420","38180"
"In post","2022","Attorney General's Departments","Luton","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Manchester","AO","75","70","22080","22200"
"In post","2022","Attorney General's Departments","Manchester","EO","85","75","27640","28430"
"In post","2022","Attorney General's Departments","Manchester","G6","20","20","70130","70350"
"In post","2022","Attorney General's Departments","Manchester","G7","145","135","53990","55610"
"In post","2022","Attorney General's Departments","Manchester","HEO","35","35","33940","33310"
"In post","2022","Attorney General's Departments","Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Manchester","SEO","10","10","38970","38180"
"In post","2022","Attorney General's Departments","Medway","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Kent","AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Kent","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Kent","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Lancashire","AO","35","30","22410","22200"
"In post","2022","Attorney General's Departments","Mid Lancashire","EO","40","40","27600","28430"
"In post","2022","Attorney General's Departments","Mid Lancashire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Lancashire","G7","75","70","53450","54290"
"In post","2022","Attorney General's Departments","Mid Lancashire","HEO","20","20","33810","33310"
"In post","2022","Attorney General's Departments","Mid Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Mid Lancashire","SEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Monmouthshire and Newport","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North and North East Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Hampshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Northamptonshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Yorkshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North Yorkshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Northumberland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","AO","30","25","22020","22200"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","EO","20","15","26860","26090"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","G7","20","20","56060","57640"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Norwich and East Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Nottingham","AO","70","65","21910","22200"
"In post","2022","Attorney General's Departments","Nottingham","EO","70","65","26490","25650"
"In post","2022","Attorney General's Departments","Nottingham","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Nottingham","G7","110","100","52750","51010"
"In post","2022","Attorney General's Departments","Nottingham","HEO","35","35","33730","32680"
"In post","2022","Attorney General's Departments","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Nottingham","SEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Oxfordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Peterborough","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Portsmouth","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Portsmouth","AO","30","30","23740","23770"
"In post","2022","Attorney General's Departments","Portsmouth","EO","20","20","28350","27600"
"In post","2022","Attorney General's Departments","Portsmouth","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Portsmouth","G7","45","45","59260","60710"
"In post","2022","Attorney General's Departments","Portsmouth","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Portsmouth","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Redbridge and Waltham Forest","AO","10","10","23380","24590"
"In post","2022","Attorney General's Departments","Redbridge and Waltham Forest","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Sefton","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Sefton","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Sheffield","AO","45","40","22050","22200"
"In post","2022","Attorney General's Departments","Sheffield","EO","35","30","27240","28430"
"In post","2022","Attorney General's Departments","Sheffield","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Sheffield","G7","40","35","52920","52410"
"In post","2022","Attorney General's Departments","Sheffield","HEO","10","10","32860","33310"
"In post","2022","Attorney General's Departments","Sheffield","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Shropshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Shropshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Somerset CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South Hampshire","AO","25","20","23120","23770"
"In post","2022","Attorney General's Departments","South Hampshire","EO","35","35","28020","26970"
"In post","2022","Attorney General's Departments","South Hampshire","G6","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South Hampshire","G7","65","60","57470","54390"
"In post","2022","Attorney General's Departments","South Hampshire","HEO","20","15","34670","33510"
"In post","2022","Attorney General's Departments","South Hampshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South Hampshire","SEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South Teesside","AO","20","15","22680","22200"
"In post","2022","Attorney General's Departments","South Teesside","EO","20","15","27440","28430"
"In post","2022","Attorney General's Departments","South Teesside","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South Teesside","G7","35","35","53780","55610"
"In post","2022","Attorney General's Departments","South Teesside","HEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South Teesside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South Teesside","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West Wales","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Staffordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Staffordshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Stoke-on-Trent","AO","15","15","22500","22200"
"In post","2022","Attorney General's Departments","Stoke-on-Trent","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Stoke-on-Trent","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Stoke-on-Trent","G7","30","25","54590","53540"
"In post","2022","Attorney General's Departments","Stoke-on-Trent","HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Stoke-on-Trent","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Stoke-on-Trent","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Suffolk CC","AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Suffolk CC","EO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Suffolk CC","G7","15","10","56620","55610"
"In post","2022","Attorney General's Departments","Suffolk CC","HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Swansea","AO","10","10","22180","22200"
"In post","2022","Attorney General's Departments","Swansea","EO","10","10","26540","25650"
"In post","2022","Attorney General's Departments","Swansea","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Swansea","G7","35","35","53270","54200"
"In post","2022","Attorney General's Departments","Swansea","HEO","15","15","33510","32560"
"In post","2022","Attorney General's Departments","Swansea","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Swindon","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Swindon","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Swindon","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Swindon","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Swindon","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Telford and Wrekin","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Thurrock","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Tyneside","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Tyneside","AO","60","55","22220","22200"
"In post","2022","Attorney General's Departments","Tyneside","EO","45","40","27100","27570"
"In post","2022","Attorney General's Departments","Tyneside","G6","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Tyneside","G7","95","90","53240","53780"
"In post","2022","Attorney General's Departments","Tyneside","HEO","30","30","33280","32480"
"In post","2022","Attorney General's Departments","Tyneside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Tyneside","SEO","10","10","38830","38180"
"In post","2022","Attorney General's Departments","Wakefield","AO","15","10","21950","22200"
"In post","2022","Attorney General's Departments","Wakefield","EO","20","20","26250","25920"
"In post","2022","Attorney General's Departments","Wakefield","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wakefield","G7","10","10","57080","55070"
"In post","2022","Attorney General's Departments","Wakefield","HEO","15","15","30970","30130"
"In post","2022","Attorney General's Departments","Wakefield","SEO","10","10","40110","38180"
"In post","2022","Attorney General's Departments","Walsall","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Warrington","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Warrington","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Warrington","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Warrington","G7","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Warrington","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Warrington","SCS level","[c]","[c]","[c]","[c]"
