"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Outside London","170","160","38510","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Statistics","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","155","155","39920","33980"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","London","15","15","47770","46050"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","London","10","10","56600","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","15","15","55820","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","London","25","25","48200","46050"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","London","75","70","48560","53230"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","London","10","10","50800","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","London","20","20","47840","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","London","20","20","43550","38360"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","London","30","30","50010","45250"
"In post","2022","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Outside London","65","60","40640","41990"
"In post","2022","Analysis","Department for Education (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Policy","London","40","35","48500","46840"
"In post","2022","Analysis","Department for Education (excl. agencies)","Policy","Outside London","70","65","43700","42220"
"In post","2022","Analysis","Department for International Trade","Economics","London","145","145","44230","40330"
"In post","2022","Analysis","Department for International Trade","Operational Research","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","London","15","15","39710","32120"
"In post","2022","Analysis","Department for International Trade","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","London","10","10","50460","47870"
"In post","2022","Analysis","Department for International Trade","Social Research","London","20","20","43020","32430"
"In post","2022","Analysis","Department for International Trade","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","London","50","50","44730","41530"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","London","60","55","48610","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","London","30","30","50660","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","London","110","110","47460","42980"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","Outside London","20","20","37850","33330"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Economics","London","145","145","48530","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Operational Research","London","15","15","49890","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Other","London","40","35","50720","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Social Research","London","45","45","48980","46710"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Statistics","London","70","70","44730","42470"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Statistics","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Economics","London","25","25","42040","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Economics","Outside London","15","15","35250","31990"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Human Resources","Outside London","10","10","35880","35310"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Delivery","Outside London","10","10","44830","37850"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","Outside London","10","10","33320","31000"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Policy","London","110","105","48740","41240"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Policy","Outside London","125","115","44300","40260"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","London","25","25","36150","35000"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","Outside London","15","15","33770","31250"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","London","45","40","51670","45050"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Outside London","140","135","42950","36780"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","London","20","20","37540","25110"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Outside London","45","45","31420","21260"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Commercial","London","10","10","50110","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Economics","London","70","70","48360","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Economics","Outside London","15","15","45260","49530"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Medicine","London","10","10","53280","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Operational Delivery","London","15","15","46460","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Operational Delivery","Outside London","15","15","49650","51480"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Policy","London","140","135","53940","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Policy","Outside London","25","20","46960","49530"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Science and Engineering","London","20","20","65040","66230"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","London","20","20","48930","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Outside London","25","25","48030","50070"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Operational Research","Outside London","60","55","29490","26740"
"In post","2022","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","London","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","Outside London","15","15","37060","37350"
"In post","2022","Analysis","Food Standards Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Social Research","London","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Social Research","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","London","55","55","59450","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Other","London","175","160","69590","65470"
"In post","2022","Analysis","Government Actuary's Department","Other","Outside London","10","10","73790","69690"
"In post","2022","Analysis","Government Internal Audit Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Operational Delivery","Outside London","20","20","38450","31680"
"In post","2022","Analysis","Health and Safety Executive","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Statistics","Outside London","15","15","47260","51170"
"In post","2022","Analysis","HM Courts and Tribunals Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Delivery","London","20","20","46120","43710"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Delivery","Outside London","20","20","35640","35080"
"In post","2022","Analysis","HM Courts and Tribunals Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Statistics","London","5","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Finance","London","15","15","50690","50590"
"In post","2022","Analysis","HM Land Registry","Finance","Outside London","15","15","40410","38550"
"In post","2022","Analysis","HM Prison and Probation Service","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Economics","London","75","75","51540","43430"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Outside London","45","40","38900","33370"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","London","15","15","38950","33440"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Outside London","15","10","37430","35980"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","London","40","35","47860","37930"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Outside London","60","55","44080","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","London","65","60","50350","43810"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Outside London","50","45","42860","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","London","145","140","50910","43810"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Outside London","160","155","41370","40180"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","London","35","35","51400","51300"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Outside London","25","25","45270","40520"
"In post","2022","Analysis","HM Treasury (excl. agencies)","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Economics","London","5","5","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Intelligence Analysis","Outside London","20","20","29480","29070"
"In post","2022","Analysis","Intellectual Property Office","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Other","London","35","35","50150","53620"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Geography","Outside London","55","55","31070","33000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Statistics","London","100","100","45200","45000"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Statistics","Outside London","140","135","37140","34500"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","London","10","10","50170","54270"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Economics","London","50","50","49120","41750"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Finance","London","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","London","60","60","44660","41750"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Operational Delivery","Outside London","15","15","38850","38780"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Operational Research","London","100","95","50400","47430"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Operational Research","Outside London","10","10","38370","36050"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Social Research","London","70","65","52380","58130"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Social Research","Outside London","10","10","42870","40630"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Statistics","London","110","105","48090","43260"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Statistics","Outside London","20","20","34740","30450"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Operational Research","London","5","5","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Other","London","15","15","54180","48820"
"In post","2022","Analysis","National Savings and Investments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","Economics","London","35","35","51220","52530"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","London","15","15","48840","42660"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","Outside London","25","25","38540","32010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","London","10","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","Outside London","80","75","39060","32010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Economics","London","30","30","46140","46250"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Economics","Outside London","10","10","47770","45760"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Finance","London","15","15","54750","52780"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Operational Delivery","Outside London","10","10","32570","34000"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Other","London","55","55","40520","33400"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Other","Outside London","30","30","36760","33740"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Policy","London","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Science and Engineering","London","10","10","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Economics","London","15","15","62020","63340"
"In post","2022","Analysis","Office of Rail and Road","Economics","Outside London","10","10","50250","51310"
"In post","2022","Analysis","Office of Rail and Road","Statistics","London","15","10","49830","48700"
"In post","2022","Analysis","Office of Rail and Road","Statistics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Office of the Public Guardian","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Statistics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Statistics","Outside London","20","20","38480","37710"
"In post","2022","Analysis","Rural Payments Agency","Operational Delivery","Outside London","45","45","30370","29180"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Economics","Outside London","[c]","[c]","[c]","[c]"
