"Status","Year","Disability","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Revenue and Customs","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Outside London","140","135","39440","40000"
"In post","2022","Declared disabled","Commercial","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Outside London","20","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","The National Archives","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Export Finance","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","UK Statistics Authority","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Education","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","Outside London","20","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for International Trade","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Transport","Outside London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Work and Pensions","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department for Work and Pensions","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department of Health and Social Care","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department of Health and Social Care","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Foreign, Commonwealth and Development Office","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","HM Revenue and Customs","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","HM Revenue and Customs","Outside London","295","280","30130","26820"
"In post","2022","Declared disabled","Communications","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Ministry of Defence","Outside London","55","55","32560","29200"
"In post","2022","Declared disabled","Communications","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Ministry of Justice","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","UK Statistics Authority","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Cabinet Office","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Business, Energy and Industrial Strategy","Outside London","30","30","34380","32830"
"In post","2022","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Department for Work and Pensions","London","145","130","29850","31060"
"In post","2022","Declared disabled","Counter Fraud","Department for Work and Pensions","Outside London","910","805","27130","27570"
"In post","2022","Declared disabled","Counter Fraud","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","HM Revenue and Customs","London","155","145","40100","37930"
"In post","2022","Declared disabled","Counter Fraud","HM Revenue and Customs","Outside London","690","630","33610","33080"
"In post","2022","Declared disabled","Counter Fraud","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","Department for Work and Pensions","Outside London","390","325","22400","21260"
"In post","2022","Declared disabled","Debt","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Debt","HM Revenue and Customs","London","55","50","28230","26400"
"In post","2022","Declared disabled","Debt","HM Revenue and Customs","Outside London","360","315","23680","21760"
"In post","2022","Declared disabled","Debt","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Attorney General's Departments","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Cabinet Office","London","95","90","49160","54700"
"In post","2022","Declared disabled","Digital, Data & Technology","Cabinet Office","Outside London","35","35","41120","37300"
"In post","2022","Declared disabled","Digital, Data & Technology","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Outside London","105","95","35940","36160"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Education","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Education","Outside London","65","60","36890","30840"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Outside London","90","85","42150","40020"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for International Trade","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Transport","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Transport","Outside London","75","75","37570","33790"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","Outside London","400","375","38970","33160"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department of Health and Social Care","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department of Health and Social Care","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Outside London","35","35","36880","33930"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Land Registry","Outside London","55","50","37090","38450"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Revenue and Customs","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Revenue and Customs","Outside London","215","205","39500","35980"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Defence","London","30","30","37040","33680"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Defence","Outside London","355","345","33200","33000"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Justice","London","60","60","50380","51990"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Justice","Outside London","65","65","39490","36050"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","National Crime Agency","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","National Crime Agency","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
