"Status","Year","Disability","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Department for International Trade","Department for International Trade","London","205","200","45650","39110"
"In post","2022","Declared disabled","Department for International Trade","Department for International Trade","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Department for International Trade","Overseas","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","240","235","44360","39600"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","140","140","38250","36340"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","London","170","165","49210","46710"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","Outside London","40","35","38690","31040"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","1575","1450","33420","31060"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","14130","12360","26620","27570"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","85","75","31000","27570"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","150","145","45730","40650"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","75","70","44610","42480"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Scottish Government","Outside London","35","30","28190","25930"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","650","535","24270","21840"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","London","45","45","31670","30780"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","Outside London","405","365","29290","26780"
"In post","2022","Declared disabled","Education and Skills Funding Agency","Department for Education","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","Department for Education","Outside London","160","150","38960","36500"
"In post","2022","Declared disabled","Education and Skills Funding Agency","Department for Education","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Estyn","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","60","60","35040","31280"
"In post","2022","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Food Standards Agency","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Food Standards Agency","Outside London","85","85","37020","32350"
"In post","2022","Declared disabled","Food Standards Scotland","Scottish Government","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","390","375","46990","41000"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","140","135","35720","33930"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","170","170","49550","52430"
"In post","2022","Declared disabled","Forestry and Land Scotland","Scottish Government","Outside London","45","45","29650","28980"
"In post","2022","Declared disabled","Government Actuary's Department","Chancellor's other departments","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","HM Treasury","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","HM Treasury","Outside London","35","35","44440","40920"
"In post","2022","Declared disabled","Government Legal Department","Attorney General's Departments","London","200","190","52720","51830"
"In post","2022","Declared disabled","Government Legal Department","Attorney General's Departments","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Government Property Agency","Cabinet Office","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Government Property Agency","Cabinet Office","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Health and Safety Executive","Department for Work and Pensions","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Health and Safety Executive","Department for Work and Pensions","Outside London","315","290","38540","35910"
"In post","2022","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","London","455","425","30170","24310"
"In post","2022","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Outside London","1620","1445","24360","20970"
"In post","2022","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","HM Land Registry","London","25","20","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","HM Land Registry","Outside London","645","570","29550","27130"
"In post","2022","Declared disabled","HM Prison and Probation Service","Ministry of Justice","London","895","860","35720","33890"
"In post","2022","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Outside London","6330","5905","30150","28200"
"In post","2022","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","805","755","44180","39500"
"In post","2022","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","5305","4770","31230","27080"
"In post","2022","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","London","195","190","46760","43150"
"In post","2022","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","Outside London","25","20","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Home Office","London","1165","1090","38620","35050"
"In post","2022","Declared disabled","Home Office","Home Office","Outside London","1850","1700","28110","25260"
"In post","2022","Declared disabled","Home Office","Home Office","Overseas","15","15","[c]","[c]"
"In post","2022","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","90","85","35960","30810"
"In post","2022","Declared disabled","Legal Aid Agency","Ministry of Justice","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Legal Aid Agency","Ministry of Justice","Outside London","140","130","26610","23300"
"In post","2022","Declared disabled","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Maritime and Coastguard Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Maritime and Coastguard Agency","Department for Transport","Outside London","65","60","35360","31130"
"In post","2022","Declared disabled","Maritime and Coastguard Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","30","30","44670","37440"
"In post","2022","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","120","110","35670","35270"
"In post","2022","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","London","390","380","42260","37760"
"In post","2022","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","2890","2770","30940","26930"
"In post","2022","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","25","25","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","London","370","360","43580","41750"
"In post","2022","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","280","275","38430","34110"
"In post","2022","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","National Crime Agency","London","75","75","41650","39840"
"In post","2022","Declared disabled","National Crime Agency","National Crime Agency","Outside London","170","165","36550","36410"
"In post","2022","Declared disabled","National Crime Agency","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Infrastructure Commission","HM Treasury","London","10","5","[c]","[c]"
"In post","2022","Declared disabled","National Records of Scotland","Scottish Government","Outside London","45","40","33220","30040"
"In post","2022","Declared disabled","National Savings and Investments","Chancellor's other departments","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","National Savings and Investments","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Northern Ireland Office","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office for Budget Responsibility","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Outside London","120","115","45630","46360"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","35","35","40840","33700"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","45","45","33550","29190"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","30","30","39090","38000"
"In post","2022","Declared disabled","Office of Rail and Road","Office of Rail and Road","London","20","15","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Office of Rail and Road","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Office of the Public Guardian","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Public Guardian","Ministry of Justice","Outside London","195","180","24860","21490"
"In post","2022","Declared disabled","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Scottish Charity Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectorate","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Outside London","50","50","34030","24310"
"In post","2022","Declared disabled","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Registers of Scotland","Scottish Government","Outside London","135","130","33130","30840"
"In post","2022","Declared disabled","Revenue Scotland","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Royal Fleet Auxiliary","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Rural Payments Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","205","185","26130","24920"
"In post","2022","Declared disabled","Scottish Courts and Tribunals Service","Scottish Government","Outside London","60","55","27150","23780"
"In post","2022","Declared disabled","Scottish Fiscal Commission","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Forestry","Scottish Government","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Scottish Government (excl. agencies)","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Government (excl. agencies)","Scottish Government","Outside London","760","735","42170","39660"
"In post","2022","Declared disabled","Scottish Government (excl. agencies)","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Housing Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Prison Service","Scottish Government","Outside London","365","340","35040","35000"
"In post","2022","Declared disabled","Scottish Public Pensions Agency","Scottish Government","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Serious Fraud Office","Attorney General's Departments","London","30","30","[c]","[c]"
"In post","2022","Declared disabled","Social Security Scotland","Scottish Government","Outside London","255","245","28950","27230"
"In post","2022","Declared disabled","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Student Awards Agency for Scotland","Scottish Government","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Submarine Delivery Agency","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Submarine Delivery Agency","Ministry of Defence","Outside London","200","195","39410","37400"
"In post","2022","Declared disabled","Submarine Delivery Agency","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Teaching Regulation Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","30","30","39080","39690"
"In post","2022","Declared disabled","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","160","150","33360","29410"
"In post","2022","Declared disabled","The National Archives","The National Archives","London","40","35","29490","28040"
"In post","2022","Declared disabled","The National Archives","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Transport Scotland","Scottish Government","Outside London","50","45","40420","39660"
"In post","2022","Declared disabled","UK Debt Management Office","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","UK Export Finance","London","30","30","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Health Security Agency","Department of Health and Social Care","London","115","110","41450","36570"
"In post","2022","Declared disabled","UK Health Security Agency","Department of Health and Social Care","Outside London","215","200","37690","30460"
"In post","2022","Declared disabled","UK Health Security Agency","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Hydrographic Office","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Hydrographic Office","Ministry of Defence","Outside London","70","65","35630","33290"
"In post","2022","Declared disabled","UK Hydrographic Office","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","UK Statistics Authority","UK Statistics Authority","London","35","30","42280","33870"
"In post","2022","Declared disabled","UK Statistics Authority","UK Statistics Authority","Outside London","555","490","32480","30710"
"In post","2022","Declared disabled","UK Supreme Court","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Valuation Office Agency","HM Revenue and Customs","London","50","45","44040","39050"
"In post","2022","Declared disabled","Valuation Office Agency","HM Revenue and Customs","Outside London","240","225","32320","27000"
"In post","2022","Declared disabled","Vehicle Certification Agency","Department for Transport","Outside London","15","10","[c]","[c]"
"In post","2022","Declared disabled","Vehicle Certification Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Outside London","350","325","39560","38160"
"In post","2022","Declared disabled","Welsh Government (excl. agencies)","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Welsh Revenue Authority","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Accountant in Bankruptcy","Scottish Government","Outside London","65","60","33400","30040"
"In post","2022","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","75","75","47140","43880"
"In post","2022","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","325","300","31660","30950"
"In post","2022","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","80","75","35970","31970"
"In post","2022","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","2065","1960","30830","27960"
"In post","2022","Declared non-disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Attorney General's Office","Attorney General's Departments","London","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","London","3205","3155","53100","54700"
"In post","2022","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","1355","1295","38920","33300"
"In post","2022","Declared non-disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","145","145","41820","37300"
"In post","2022","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","440","425","33260","29750"
"In post","2022","Declared non-disabled","Charity Commission","Charity Commission","London","45","40","45080","41340"
"In post","2022","Declared non-disabled","Charity Commission","Charity Commission","Outside London","180","175","33430","29160"
"In post","2022","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","760","710","31970","27460"
"In post","2022","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","London","670","650","60660","56360"
"In post","2022","Declared non-disabled","Competition and Markets Authority","Competition and Markets Authority","Outside London","60","55","57120","55860"
"In post","2022","Declared non-disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","160","150","29630","25120"
"In post","2022","Declared non-disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Crown Commercial Service","Cabinet Office","London","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Crown Commercial Service","Cabinet Office","Outside London","250","240","39530","38980"
"In post","2022","Declared non-disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","2100","1975","36550","31540"
"In post","2022","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","London","1195","1130","45320","40000"
"In post","2022","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Outside London","3500","3225","41130","38000"
"In post","2022","Declared non-disabled","Crown Prosecution Service","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Defence Electronics and Components Agency","Ministry of Defence","Outside London","225","215","29280","29470"
"In post","2022","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","London","130","125","26020","22260"
"In post","2022","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Outside London","7685","7415","37240","34290"
"In post","2022","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Overseas","50","50","42020","41010"
"In post","2022","Declared non-disabled","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","4400","4240","41160","38110"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","3815","3725","50460","53380"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","570","555","43860","36740"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","1385","1360","47900","51730"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","175","170","41800","34960"
"In post","2022","Declared non-disabled","Department for Education (excl. agencies)","Department for Education","London","1270","1215","52150","53420"
"In post","2022","Declared non-disabled","Department for Education (excl. agencies)","Department for Education","Outside London","2460","2360","43720","40300"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","1940","1885","44890","39650"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","2615","2515","40400","36970"
