"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA/AO","Heterosexual / straight","30","30","21520","21250"
"In post","2022","Asian","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Communications","EO","Heterosexual / straight","295","290","26870","26590"
"In post","2022","Asian","Communications","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Communications","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Communications","EO","Unknown","45","45","27090","26590"
"In post","2022","Asian","Communications","G6/G7","Heterosexual / straight","35","35","61560","62120"
"In post","2022","Asian","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SEO/HEO","Heterosexual / straight","220","215","36090","33370"
"In post","2022","Asian","Communications","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Communications","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Communications","SEO/HEO","Unknown","30","30","35120","33370"
"In post","2022","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA/AO","Heterosexual / straight","240","215","23620","25110"
"In post","2022","Asian","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA/AO","Undeclared","30","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA/AO","Unknown","70","55","23400","23380"
"In post","2022","Asian","Counter Fraud","EO","Heterosexual / straight","470","445","28910","27570"
"In post","2022","Asian","Counter Fraud","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","EO","Unknown","90","80","29590","29290"
"In post","2022","Asian","Counter Fraud","G6/G7","Heterosexual / straight","45","45","60080","62120"
"In post","2022","Asian","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO/HEO","Heterosexual / straight","285","275","36750","37610"
"In post","2022","Asian","Counter Fraud","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO/HEO","Unknown","55","55","37550","37930"
"In post","2022","Asian","Debt","AA/AO","Heterosexual / straight","465","410","22040","21260"
"In post","2022","Asian","Debt","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Debt","AA/AO","Undeclared","45","40","22660","21260"
"In post","2022","Asian","Debt","AA/AO","Unknown","120","95","23110","21450"
"In post","2022","Asian","Debt","EO","Heterosexual / straight","65","60","28280","27570"
"In post","2022","Asian","Debt","EO","LGBO","10","5","[c]","[c]"
"In post","2022","Asian","Debt","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Debt","EO","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Debt","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Debt","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","AA/AO","Heterosexual / straight","35","35","22440","21400"
"In post","2022","Asian","Digital, Data & Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","EO","Heterosexual / straight","235","230","27980","27500"
"In post","2022","Asian","Digital, Data & Technology","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","EO","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","G6/G7","Heterosexual / straight","340","335","58230","55210"
"In post","2022","Asian","Digital, Data & Technology","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","G6/G7","Unknown","35","35","58970","57810"
"In post","2022","Asian","Digital, Data & Technology","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","540","535","37170","36500"
"In post","2022","Asian","Digital, Data & Technology","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","SEO/HEO","Undeclared","40","40","37350","37100"
"In post","2022","Asian","Digital, Data & Technology","SEO/HEO","Unknown","55","55","38400","38990"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA/AO","Heterosexual / straight","80","70","21880","21250"
"In post","2022","Asian","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Finance","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Finance","EO","Heterosexual / straight","190","185","27510","27140"
"In post","2022","Asian","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Finance","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Finance","G6/G7","Heterosexual / straight","175","175","59110","57570"
"In post","2022","Asian","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Finance","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Finance","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","SEO/HEO","Heterosexual / straight","485","475","37780","36960"
"In post","2022","Asian","Finance","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Finance","SEO/HEO","Undeclared","30","30","38260","37680"
"In post","2022","Asian","Finance","SEO/HEO","Unknown","50","50","37400","37100"
"In post","2022","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","AA/AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Asian","Grants Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Grants Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","Heterosexual / straight","65","60","21960","21250"
"In post","2022","Asian","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","EO","Heterosexual / straight","150","145","27930","27570"
"In post","2022","Asian","Human Resources","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","G6/G7","Heterosexual / straight","105","100","57880","55520"
"In post","2022","Asian","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO/HEO","Heterosexual / straight","255","250","36490","36570"
"In post","2022","Asian","Human Resources","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","Heterosexual / straight","45","45","40710","39200"
"In post","2022","Asian","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","AA/AO","Heterosexual / straight","145","130","23000","23770"
"In post","2022","Asian","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Legal","AA/AO","Unknown","35","30","23130","23770"
"In post","2022","Asian","Legal","EO","Heterosexual / straight","190","180","27830","27050"
"In post","2022","Asian","Legal","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Legal","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Legal","EO","Unknown","25","20","[c]","[c]"
"In post","2022","Asian","Legal","G6/G7","Heterosexual / straight","475","445","57060","53230"
"In post","2022","Asian","Legal","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Legal","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Legal","G6/G7","Unknown","65","55","59150","58590"
"In post","2022","Asian","Legal","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Legal","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","SEO/HEO","Heterosexual / straight","160","155","38280","38000"
"In post","2022","Asian","Legal","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Legal","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","No function","AA/AO","Heterosexual / straight","4235","3795","22450","21260"
"In post","2022","Asian","No function","AA/AO","LGBO","125","115","22930","21260"
"In post","2022","Asian","No function","AA/AO","Undeclared","340","290","22310","21260"
"In post","2022","Asian","No function","AA/AO","Unknown","675","545","22270","21260"
"In post","2022","Asian","No function","EO","Heterosexual / straight","5175","4880","28630","27570"
"In post","2022","Asian","No function","EO","LGBO","120","110","28430","27570"
"In post","2022","Asian","No function","EO","Undeclared","335","305","28690","27570"
"In post","2022","Asian","No function","EO","Unknown","745","650","28660","27570"
"In post","2022","Asian","No function","G6/G7","Heterosexual / straight","1070","1045","58290","55210"
"In post","2022","Asian","No function","G6/G7","LGBO","45","45","56720","54700"
"In post","2022","Asian","No function","G6/G7","Undeclared","70","70","57330","55570"
"In post","2022","Asian","No function","G6/G7","Unknown","115","110","59570","56400"
"In post","2022","Asian","No function","SCS level","Heterosexual / straight","145","140","90680","89670"
"In post","2022","Asian","No function","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","No function","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","No function","SCS level","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","No function","SEO/HEO","Heterosexual / straight","3345","3250","37020","35980"
"In post","2022","Asian","No function","SEO/HEO","LGBO","90","85","37470","36490"
"In post","2022","Asian","No function","SEO/HEO","Undeclared","185","175","37210","36650"
"In post","2022","Asian","No function","SEO/HEO","Unknown","345","335","38120","37930"
"In post","2022","Asian","No function","Unknown","Heterosexual / straight","695","645","29440","27980"
"In post","2022","Asian","No function","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","No function","Unknown","Undeclared","25","20","[c]","[c]"
"In post","2022","Asian","No function","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","AA/AO","Heterosexual / straight","35","30","23700","23810"
"In post","2022","Asian","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","AA/AO","Unknown","20","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","EO","Heterosexual / straight","145","135","26860","27320"
"In post","2022","Asian","Project Delivery","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Project Delivery","G6/G7","Heterosexual / straight","265","260","59300","58030"
"In post","2022","Asian","Project Delivery","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","G6/G7","Unknown","35","35","63690","62120"
"In post","2022","Asian","Project Delivery","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Project Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","SEO/HEO","Heterosexual / straight","550","535","37280","37610"
"In post","2022","Asian","Project Delivery","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Project Delivery","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Project Delivery","SEO/HEO","Unknown","60","55","38300","39390"
"In post","2022","Asian","Project Delivery","Unknown","Heterosexual / straight","40","40","39710","36980"
"In post","2022","Asian","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","AA/AO","Heterosexual / straight","30","30","23610","22070"
"In post","2022","Asian","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Property","EO","Heterosexual / straight","125","115","25990","26570"
"In post","2022","Asian","Property","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Property","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Property","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Property","G6/G7","Heterosexual / straight","65","65","58550","55210"
"In post","2022","Asian","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Property","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","SEO/HEO","Heterosexual / straight","150","145","37600","36900"
"In post","2022","Asian","Property","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Property","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","AA/AO","Heterosexual / straight","110","105","25130","22900"
"In post","2022","Asian","Security","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Security","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Security","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Security","EO","Heterosexual / straight","40","35","28770","28700"
"In post","2022","Asian","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
