"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Suffolk CC","Outside London","Male","15","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Swansea","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Swansea","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Thurrock","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Thurrock","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","Female","90","80","29230","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","Male","50","50","31020","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wandsworth","London","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wandsworth","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Warwickshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Warwickshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Westminster","London","Female","95","90","41390","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Westminster","London","Male","85","85","44570","43750"
"In post","2022","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Berkshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Bristol, City of","Outside London","Female","35","35","26160","21300"
"In post","2022","Animal and Plant Health Agency","Bristol, City of","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cambridgeshire CC","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cambridgeshire CC","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Outside London","Female","55","55","26160","21300"
"In post","2022","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Outside London","Male","35","35","31690","29890"
"In post","2022","Animal and Plant Health Agency","Central Hampshire","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Central Hampshire","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cheshire East","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cheshire East","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","City of Edinburgh","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","City of Edinburgh","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","Female","30","30","31000","29180"
"In post","2022","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","Male","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Devon CC","Outside London","Female","130","120","26840","21300"
"In post","2022","Animal and Plant Health Agency","Devon CC","Outside London","Male","80","75","29810","25090"
"In post","2022","Animal and Plant Health Agency","Dorset","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dorset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dumfries and Galloway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Dumfries and Galloway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Cumbria","Outside London","Female","105","95","25400","21300"
"In post","2022","Animal and Plant Health Agency","East Cumbria","Outside London","Male","55","55","25180","21300"
"In post","2022","Animal and Plant Health Agency","East Kent","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Kent","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Lothian and Midlothian","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Lothian and Midlothian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Riding of Yorkshire","Outside London","Female","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East Riding of Yorkshire","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Gloucestershire CC","Outside London","Female","35","35","30810","29180"
"In post","2022","Animal and Plant Health Agency","Gloucestershire CC","Outside London","Male","30","30","31920","25690"
"In post","2022","Animal and Plant Health Agency","Gwynedd","Outside London","Female","50","40","26900","23110"
"In post","2022","Animal and Plant Health Agency","Gwynedd","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Harrow and Hillingdon","London","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Harrow and Hillingdon","London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Heart of Essex","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Heart of Essex","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hertfordshire CC","Outside London","Female","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hertfordshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","London","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Hounslow and Richmond upon Thames","London","Male","40","40","33300","31800"
"In post","2022","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leeds","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leeds","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire CC and Rutland","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Leicestershire CC and Rutland","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lincolnshire CC","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Lincolnshire CC","Outside London","Male","10","10","[c]","[c]"
