"Status","Year","Organisation","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","15","15","31770","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Bedfordshire and Hertfordshire","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cheshire","25","25","31120","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cornwall and Isles of Scilly","40","40","26760","25320"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Cumbria","130","120","23560","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Derbyshire and Nottinghamshire","15","15","28930","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Devon","165","155","25160","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Dorset and Somerset","20","20","30100","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Anglia","70","65","28810","27950"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Wales","100","95","27160","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","East Yorkshire and Northern Lincolnshire","20","20","27360","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Eastern Scotland","30","30","29370","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Essex","45","40","29800","28480"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","105","100","25970","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Greater Manchester","15","15","27730","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Hampshire and Isle of Wight","35","35","28010","25190"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","110","100","27250","25360"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Highlands and Islands","15","15","25210","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Inner London - West","15","10","37860","29680"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Kent","45","45","28350","28140"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Lancashire","90","80","26880","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Leicestershire, Rutland and Northamptonshire","15","15","28420","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Lincolnshire","20","20","31850","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","North Eastern Scotland","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","North Yorkshire","165","160","27580","25310"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Northumberland, and Tyne and Wear","30","30","30500","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Outer London - East and North East","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Outer London - West and North West","75","75","32730","31690"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Shropshire and Staffordshire","95","90","26120","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Southern Scotland","40","40","25600","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Surrey, East and West Sussex","175","165","32240","28410"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","Unknown","20","20","25480","25130"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Wales and The Valleys","170","155","25790","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","Surrey, East and West Sussex","15","15","38600","38750"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Herefordshire, Worcestershire and Warwickshire","25","25","34020","30730"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Cumbria","15","15","24690","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Derbyshire and Nottinghamshire","15","15","29020","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Devon","15","15","31480","26450"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","East Anglia","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Herefordshire, Worcestershire and Warwickshire","10","10","31960","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","North Yorkshire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Northumberland, and Tyne and Wear","20","15","28170","25060"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Surrey, East and West Sussex","450","430","32700","28550"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","West Wales and The Valleys","10","10","24320","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Berkshire, Buckinghamshire and Oxfordshire","10","10","47340","49120"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Cheshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Cornwall and Isles of Scilly","15","15","43560","38330"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Cumbria","15","10","43440","48740"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Devon","25","25","43780","41480"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Dorset and Somerset","20","20","40390","36780"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","East Anglia","10","10","44570","47550"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","East Wales","10","10","45850","47550"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Eastern Scotland","15","15","47370","47550"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","35170","36210"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Herefordshire, Worcestershire and Warwickshire","10","10","44040","46480"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Highlands and Islands","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Inner London - West","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Lancashire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","North Yorkshire","25","25","36610","36970"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Outer London - West and North West","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Shropshire and Staffordshire","20","15","44620","41130"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Southern Scotland","15","15","42380","37490"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Surrey, East and West Sussex","20","20","48960","52290"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","West Wales and The Valleys","30","30","41400","37690"
"In post","2022","Attorney General's Office","Attorney General's Departments","Communications","Inner London - West","10","10","45010","38590"
"In post","2022","Attorney General's Office","Attorney General's Departments","Legal","Inner London - West","15","15","69960","65180"
"In post","2022","Attorney General's Office","Attorney General's Departments","Other","Inner London - West","10","10","35120","30950"
"In post","2022","Attorney General's Office","Attorney General's Departments","Policy","Inner London - West","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","Greater Manchester","10","10","37300","37300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","Inner London - West","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Other","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Other","Inner London - West","15","15","47280","47650"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Other","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Policy","Inner London - East","10","10","59920","57880"
