"Status","Year","Function_of_post","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Competition and Markets Authority","City of Edinburgh","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","City of Edinburgh","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Tower Hamlets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Tower Hamlets","G6/G7","80","80","64460","60540"
"In post","2022","Analysis","Competition and Markets Authority","Tower Hamlets","SCS level","15","15","107830","97750"
"In post","2022","Analysis","Competition and Markets Authority","Tower Hamlets","SEO/HEO","30","30","37570","34710"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Calderdale and Kirklees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","SEO/HEO","20","20","38220","36150"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Lothian and Midlothian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Hertfordshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Lincolnshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Merton, Kingston upon Thames and Sutton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","SEO/HEO","20","15","35010","32100"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Nottingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Oxfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Oxfordshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Plymouth","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Swindon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","EO","30","30","28550","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","G6/G7","75","70","61420","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","SEO/HEO","140","140","37190","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wirral","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Cardiff and Vale of Glamorgan","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Glasgow City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Manchester","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Nottingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Westminster","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Westminster","G6/G7","70","70","58050","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Westminster","SEO/HEO","55","55","38050","38020"
"In post","2022","Analysis","Department for Education","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Bristol, City of","SEO/HEO","10","10","38730","41990"
"In post","2022","Analysis","Department for Education","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Coventry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Coventry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Darlington","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Darlington","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Manchester","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Manchester","SEO/HEO","15","15","36920","33190"
"In post","2022","Analysis","Department for Education","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Nottingham","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Sheffield","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Sheffield","G6/G7","30","25","54050","50630"
"In post","2022","Analysis","Department for Education","Sheffield","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Sheffield","SEO/HEO","25","25","35910","33190"
"In post","2022","Analysis","Department for Education","Tyneside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Westminster","G6/G7","30","30","56950","54160"
"In post","2022","Analysis","Department for Education","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Westminster","SEO/HEO","35","35","41980","45250"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cheshire East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Dorset","AA/AO","10","10","21510","21510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Dorset","EO","30","30","25180","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Dorset","G6/G7","20","20","54150","49970"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Dorset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Dorset","SEO/HEO","60","60","32850","30220"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Mid Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire CC","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Plymouth","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Suffolk CC","AA/AO","20","20","21080","21510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Suffolk CC","EO","60","55","25280","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Suffolk CC","G6/G7","60","60","51590","48080"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Suffolk CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Suffolk CC","SEO/HEO","180","170","33360","32110"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","West Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","West Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Worcestershire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Worcestershire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","York","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","York","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Darlington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Westminster","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","Westminster","G6/G7","110","110","55950","51970"
"In post","2022","Analysis","Department for International Trade","Westminster","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Westminster","SEO/HEO","100","100","33550","31800"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Birmingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Darlington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Sheffield","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Westminster","EO","20","20","28970","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Westminster","G6/G7","105","100","57600","53870"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Westminster","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Westminster","SEO/HEO","70","70","35690","34000"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Wolverhampton","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Wolverhampton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Wolverhampton","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Bournemouth, Christchurch and Poole","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Bristol, City of","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Bristol, City of","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Devon CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Ayrshire and North Ayrshire mainland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Sussex CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Sussex CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Sussex CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Flintshire and Wrexham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Greater Manchester North East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Leeds","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Leeds","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Medway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Merton, Kingston upon Thames and Sutton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","North Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","North Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Nottingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Oxfordshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Portsmouth","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Portsmouth","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","South Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Staffordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Suffolk CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Swansea","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Tyneside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","West Surrey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","West Surrey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Westminster","EO","25","25","29910","29970"
"In post","2022","Analysis","Department for Transport","Westminster","G6/G7","150","145","57800","54760"
"In post","2022","Analysis","Department for Transport","Westminster","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport","Westminster","SEO/HEO","125","125","37830","35060"
"In post","2022","Analysis","Department for Transport","Worcestershire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Barnsley, Doncaster and Rotherham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Blackpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Central Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","East Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Flintshire and Wrexham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Greater Manchester South West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Hartlepool and Stockton-on-Tees","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Leeds","AA/AO","10","10","21260","21260"
"In post","2022","Analysis","Department for Work and Pensions","Leeds","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Leeds","G6/G7","15","15","57600","52150"
"In post","2022","Analysis","Department for Work and Pensions","Leeds","SEO/HEO","40","35","35010","35590"
"In post","2022","Analysis","Department for Work and Pensions","Luton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Manchester","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Manchester","SEO/HEO","25","25","33610","31990"
"In post","2022","Analysis","Department for Work and Pensions","Sefton","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sefton","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sefton","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sefton","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sheffield","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sheffield","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sheffield","G6/G7","65","60","59190","58140"
"In post","2022","Analysis","Department for Work and Pensions","Sheffield","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sheffield","SEO/HEO","65","60","35860","35590"
"In post","2022","Analysis","Department for Work and Pensions","South and West Derbyshire","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","South and West Derbyshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","South and West Derbyshire","SEO/HEO","10","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Sunderland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Tower Hamlets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Tyneside","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Tyneside","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Tyneside","G6/G7","35","30","54590","52150"
"In post","2022","Analysis","Department for Work and Pensions","Tyneside","SEO/HEO","65","60","34970","35590"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Westminster","AA/AO","15","15","25110","25110"
"In post","2022","Analysis","Department for Work and Pensions","Westminster","EO","10","10","31570","31060"
"In post","2022","Analysis","Department for Work and Pensions","Westminster","G6/G7","80","75","62760","57760"
"In post","2022","Analysis","Department for Work and Pensions","Westminster","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Westminster","SEO/HEO","140","135","38140","37380"
"In post","2022","Analysis","Department of Health and Social Care","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","East Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","East Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Leeds","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Leeds","G6/G7","50","45","53710","51530"
"In post","2022","Analysis","Department of Health and Social Care","Leeds","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Leeds","SEO/HEO","25","25","33420","32790"
