"Status","Year","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","15","15","51950","50470"
"In post","2022","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","10","41680","40600"
"In post","2022","Commercial","Maritime and Coastguard Agency","Department for Transport","25","25","40440","39040"
"In post","2022","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","200","190","44360","45150"
"In post","2022","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","940","905","36180","34800"
"In post","2022","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","250","250","34920","34260"
"In post","2022","Commercial","National Crime Agency","National Crime Agency","20","20","45660","45920"
"In post","2022","Commercial","National Savings and Investments","Chancellor's other departments","20","20","52240","49760"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","15","15","37610","35930"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2022","Commercial","Registers of Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2022","Commercial","Scottish Courts and Tribunals Service","Scottish Government","10","10","33920","34950"
"In post","2022","Commercial","Scottish Prison Service","Scottish Government","90","85","31510","26900"
"In post","2022","Commercial","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Commercial","Submarine Delivery Agency","Ministry of Defence","160","160","40420","37450"
"In post","2022","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","20","20","41040","42290"
"In post","2022","Commercial","The National Archives","The National Archives","40","35","30070","24150"
"In post","2022","Commercial","UK Debt Management Office","HM Treasury","10","10","[c]","[c]"
"In post","2022","Commercial","UK Export Finance","UK Export Finance","215","210","52350","47150"
"In post","2022","Commercial","UK Health Security Agency","Department of Health and Social Care","140","135","47610","46000"
"In post","2022","Commercial","UK Hydrographic Office","Ministry of Defence","85","85","42310","42510"
"In post","2022","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Commercial","UK Statistics Authority","UK Statistics Authority","35","35","44460","37570"
"In post","2022","Commercial","Valuation Office Agency","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2022","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","25","20","29620","25760"
"In post","2022","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","15","15","37610","35120"
"In post","2022","Communications","Attorney General's Office","Attorney General's Departments","15","15","44450","38290"
"In post","2022","Communications","Cabinet Office (excl. agencies)","Cabinet Office","355","350","48330","42000"
"In post","2022","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2022","Communications","Charity Commission","Charity Commission","20","20","41880","37910"
"In post","2022","Communications","Companies House","Department for Business, Energy and Industrial Strategy","25","25","35760","30720"
"In post","2022","Communications","Competition and Markets Authority","Competition and Markets Authority","35","30","49220","41670"
"In post","2022","Communications","Crown Commercial Service","Cabinet Office","20","20","39610","37220"
"In post","2022","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","15","15","36570","32310"
"In post","2022","Communications","Crown Prosecution Service","Attorney General's Departments","35","35","42570","39750"
"In post","2022","Communications","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Defence Equipment and Support","Ministry of Defence","30","30","36310","33350"
"In post","2022","Communications","Defence Science and Technology Laboratory","Ministry of Defence","25","25","39000","38070"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","110","105","48390","45100"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","35","35","50520","43370"
"In post","2022","Communications","Department for Education (excl. agencies)","Department for Education","205","200","38460","35160"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","240","225","41050","37190"
"In post","2022","Communications","Department for International Trade","Department for International Trade","110","105","43690","38480"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","110","105","44770","39600"
"In post","2022","Communications","Department for Transport (excl. agencies)","Department for Transport","90","90","48280","42890"
"In post","2022","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","165","155","41910","40840"
"In post","2022","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","340","330","47080","50140"
"In post","2022","Communications","Driver and Vehicle Licensing Agency","Department for Transport","70","65","29690","26780"
"In post","2022","Communications","Driver and Vehicle Standards Agency","Department for Transport","45","45","35090","32180"
"In post","2022","Communications","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Communications","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","Food Standards Agency","50","50","41300","37350"
"In post","2022","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","95","95","50280","47340"
"In post","2022","Communications","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Government Legal Department","Attorney General's Departments","15","15","40290","32570"
"In post","2022","Communications","Health and Safety Executive","Department for Work and Pensions","35","35","43100","39390"
"In post","2022","Communications","HM Courts and Tribunals Service","Ministry of Justice","15","15","48280","41750"
"In post","2022","Communications","HM Land Registry","HM Land Registry","25","25","40240","37290"
"In post","2022","Communications","HM Prison and Probation Service","Ministry of Justice","25","25","40450","42630"
"In post","2022","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4620","4465","30400","26820"
"In post","2022","Communications","HM Treasury (excl. agencies)","HM Treasury","35","35","46920","42250"
"In post","2022","Communications","Institute for Apprenticeships and Technical Education","Department for Education","30","30","50270","40430"
"In post","2022","Communications","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","35","35","39490","32100"
"In post","2022","Communications","Legal Aid Agency","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Communications","Maritime and Coastguard Agency","Department for Transport","20","15","36550","31290"
"In post","2022","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","45","45","42320","37880"
"In post","2022","Communications","Met Office","Department for Business, Energy and Industrial Strategy","35","30","40560","37810"
"In post","2022","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","520","505","35260","33300"
"In post","2022","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","130","130","45320","41750"
"In post","2022","Communications","National Crime Agency","National Crime Agency","30","30","44220","45480"
"In post","2022","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Savings and Investments","Chancellor's other departments","20","20","44230","43670"
"In post","2022","Communications","Northern Ireland Office","Northern Ireland Office","20","20","48050","38630"
"In post","2022","Communications","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","35","35","43280","39850"
"In post","2022","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","45","45","45530","40410"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","10","10","44270","39910"
"In post","2022","Communications","Office of Rail and Road","Office of Rail and Road","20","20","46630","41160"
"In post","2022","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","5","5","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2022","Communications","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Registers of Scotland","Scottish Government","20","20","38090","37710"
"In post","2022","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","55","45","33340","30320"
"In post","2022","Communications","Scottish Courts and Tribunals Service","Scottish Government","5","5","[c]","[c]"
"In post","2022","Communications","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Serious Fraud Office","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","Communications","Submarine Delivery Agency","Ministry of Defence","5","5","[c]","[c]"
"In post","2022","Communications","The Insolvency Service","Department for Business, Energy and Industrial Strategy","10","10","40430","41710"
"In post","2022","Communications","The National Archives","The National Archives","20","15","33960","29780"
"In post","2022","Communications","UK Debt Management Office","HM Treasury","5","5","[c]","[c]"
"In post","2022","Communications","UK Export Finance","UK Export Finance","65","65","56560","52500"
"In post","2022","Communications","UK Health Security Agency","Department of Health and Social Care","100","95","43770","40070"
"In post","2022","Communications","UK Hydrographic Office","Ministry of Defence","30","25","43660","42510"
"In post","2022","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","10","10","46290","44400"
"In post","2022","Communications","UK Statistics Authority","UK Statistics Authority","65","65","39150","36840"
"In post","2022","Communications","UK Supreme Court","UK Supreme Court","5","5","[c]","[c]"
"In post","2022","Communications","Valuation Office Agency","HM Revenue and Customs","20","20","43680","39050"
"In post","2022","Communications","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Water Services Regulation Authority","15","15","48930","38910"
"In post","2022","Communications","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","130","130","46590","43890"
"In post","2022","Counter Fraud","Companies House","Department for Business, Energy and Industrial Strategy","170","155","24810","22740"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","20","20","48600","51730"
"In post","2022","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","6385","5695","27570","27570"
"In post","2022","Counter Fraud","Driver and Vehicle Licensing Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","45","45","30250","30730"
"In post","2022","Counter Fraud","Food Standards Agency","Food Standards Agency","55","55","38260","37350"
"In post","2022","Counter Fraud","Government Internal Audit Agency","HM Treasury","35","30","39770","38090"
"In post","2022","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","9680","9140","35120","33370"
"In post","2022","Counter Fraud","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Serious Fraud Office","Attorney General's Departments","240","235","46740","40270"
"In post","2022","Counter Fraud","The Insolvency Service","Department for Business, Energy and Industrial Strategy","240","235","39350","38910"
"In post","2022","Counter Fraud","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","2505","2135","22600","21260"
"In post","2022","Debt","Health and Safety Executive","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2022","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4295","3895","24350","21250"
"In post","2022","Debt","UK Debt Management Office","HM Treasury","15","15","59190","49590"
"In post","2022","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","60","60","45080","43800"
"In post","2022","Digital, Data & Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","15","15","31980","29180"
"In post","2022","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","1145","1130","50490","54700"
"In post","2022","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","60","55","31650","29750"
"In post","2022","Digital, Data & Technology","Charity Commission","Charity Commission","55","55","34230","29160"
"In post","2022","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","230","225","39700","38000"
"In post","2022","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","75","75","57160","57000"
"In post","2022","Digital, Data & Technology","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Crown Commercial Service","Cabinet Office","130","125","44530","41040"
"In post","2022","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Scottish Government","60","60","41540","38600"
"In post","2022","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","135","130","38930","33310"
"In post","2022","Digital, Data & Technology","Defence Electronics and Components Agency","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","390","380","36350","33310"
"In post","2022","Digital, Data & Technology","Defence Science and Technology Laboratory","Ministry of Defence","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","155","155","46640","40220"
"In post","2022","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","15","15","61740","62380"
"In post","2022","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","960","935","41760","37390"
"In post","2022","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","845","825","43540","47550"
"In post","2022","Digital, Data & Technology","Department for International Trade","Department for International Trade","165","160","47710","47000"
"In post","2022","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","140","135","47360","48200"
"In post","2022","Digital, Data & Technology","Department for Transport (excl. agencies)","Department for Transport","130","125","42460","39040"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","4035","3875","42160","36910"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","195","190","42620","36820"
"In post","2022","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","805","790","40460","38870"
"In post","2022","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","230","230","35780","31380"
"In post","2022","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","115","115","44450","42400"
"In post","2022","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","60","60","45710","41220"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","225","220","41440","38500"
"In post","2022","Digital, Data & Technology","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Government Legal Department","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","90","90","40520","34380"
"In post","2022","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","355","350","39880","36050"
"In post","2022","Digital, Data & Technology","HM Land Registry","HM Land Registry","705","675","37870","38450"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2980","2880","41740","40180"
"In post","2022","Digital, Data & Technology","HM Treasury (excl. agencies)","HM Treasury","30","30","46730","43440"
"In post","2022","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Department for Education","20","20","51240","53680"
"In post","2022","Digital, Data & Technology","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","220","215","45560","44880"
"In post","2022","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","100","100","37560","32180"
"In post","2022","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","115","115","44580","41010"
"In post","2022","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","1355","1285","38310","38200"
"In post","2022","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","2555","2500","33690","33000"
"In post","2022","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","920","905","48960","50430"
"In post","2022","Digital, Data & Technology","National Crime Agency","National Crime Agency","270","260","42780","40170"
"In post","2022","Digital, Data & Technology","National Savings and Investments","Chancellor's other departments","15","15","52230","45080"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","75","75","46280","39850"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","75","75","53930","50580"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","20","20","41830","39540"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Planning Inspectorate","Department for Levelling Up, Housing and Communities","35","35","37920","40720"
"In post","2022","Digital, Data & Technology","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Registers of Scotland","Scottish Government","75","75","39520","37710"
"In post","2022","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","75","75","36910","32000"
"In post","2022","Digital, Data & Technology","Scottish Prison Service","Scottish Government","35","30","41370","39490"
"In post","2022","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","55","55","42900","40170"
"In post","2022","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","60","60","36090","34890"
"In post","2022","Digital, Data & Technology","The Insolvency Service","Department for Business, Energy and Industrial Strategy","55","50","43460","41870"
"In post","2022","Digital, Data & Technology","The National Archives","The National Archives","130","130","40430","40000"
"In post","2022","Digital, Data & Technology","UK Debt Management Office","HM Treasury","35","30","51670","50000"
"In post","2022","Digital, Data & Technology","UK Export Finance","UK Export Finance","30","30","56420","52940"
"In post","2022","Digital, Data & Technology","UK Health Security Agency","Department of Health and Social Care","155","150","43740","38150"
"In post","2022","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","190","185","40580","42510"
"In post","2022","Digital, Data & Technology","UK Space Agency","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
