"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Heterosexual / straight","50","50","19240","19460"
"In post","2022","16-19","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","Unknown","40","40","17550","17140"
"In post","2022","16-19","Project Delivery","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Property","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","EO","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Heterosexual / straight","45","45","21610","21220"
"In post","2022","16-19","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Unknown","50","50","21890","21680"
"In post","2022","16-19","Unknown","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","Analysis","AA/AO","Heterosexual / straight","105","105","21880","21260"
"In post","2022","20-29","Analysis","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Analysis","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","AA/AO","Unknown","30","30","21650","21510"
"In post","2022","20-29","Analysis","EO","Heterosexual / straight","240","240","27330","27570"
"In post","2022","20-29","Analysis","EO","LGBO","35","35","26330","26250"
"In post","2022","20-29","Analysis","EO","Undeclared","25","25","[c]","[c]"
"In post","2022","20-29","Analysis","EO","Unknown","100","100","26850","26550"
"In post","2022","20-29","Analysis","G6/G7","Heterosexual / straight","295","290","55020","54110"
"In post","2022","20-29","Analysis","G6/G7","LGBO","40","40","55790","53800"
"In post","2022","20-29","Analysis","G6/G7","Undeclared","35","35","54740","53360"
"In post","2022","20-29","Analysis","G6/G7","Unknown","50","50","54480","53400"
"In post","2022","20-29","Analysis","SEO/HEO","Heterosexual / straight","1285","1275","35330","34610"
"In post","2022","20-29","Analysis","SEO/HEO","LGBO","205","205","34750","33610"
"In post","2022","20-29","Analysis","SEO/HEO","Undeclared","140","140","35250","33710"
"In post","2022","20-29","Analysis","SEO/HEO","Unknown","385","385","33880","33370"
"In post","2022","20-29","Commercial","AA/AO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Commercial","EO","Heterosexual / straight","190","185","26250","26350"
"In post","2022","20-29","Commercial","EO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","EO","Unknown","65","65","26140","26590"
"In post","2022","20-29","Commercial","G6/G7","Heterosexual / straight","55","55","55230","53360"
"In post","2022","20-29","Commercial","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Commercial","G6/G7","Unknown","80","80","59910","61710"
"In post","2022","20-29","Commercial","SEO/HEO","Heterosexual / straight","370","365","35190","34500"
"In post","2022","20-29","Commercial","SEO/HEO","LGBO","40","40","35640","35900"
"In post","2022","20-29","Commercial","SEO/HEO","Undeclared","50","50","37430","39190"
"In post","2022","20-29","Commercial","SEO/HEO","Unknown","100","100","34930","34410"
"In post","2022","20-29","Commercial","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","Heterosexual / straight","60","60","21890","21250"
"In post","2022","20-29","Communications","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Communications","AA/AO","Unknown","40","40","21730","21250"
"In post","2022","20-29","Communications","EO","Heterosexual / straight","590","585","26850","26820"
"In post","2022","20-29","Communications","EO","LGBO","75","75","26920","26820"
"In post","2022","20-29","Communications","EO","Undeclared","70","70","27100","27270"
"In post","2022","20-29","Communications","EO","Unknown","465","465","26760","26820"
"In post","2022","20-29","Communications","G6/G7","Heterosexual / straight","50","50","55230","54220"
"In post","2022","20-29","Communications","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Communications","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Communications","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Communications","SEO/HEO","Heterosexual / straight","445","445","35750","33370"
"In post","2022","20-29","Communications","SEO/HEO","LGBO","80","80","35390","33370"
"In post","2022","20-29","Communications","SEO/HEO","Undeclared","40","40","34660","33370"
"In post","2022","20-29","Communications","SEO/HEO","Unknown","235","235","35820","34260"
"In post","2022","20-29","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","Heterosexual / straight","250","245","22340","21260"
"In post","2022","20-29","Counter Fraud","AA/AO","LGBO","30","30","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","Unknown","80","75","21770","21250"
"In post","2022","20-29","Counter Fraud","EO","Heterosexual / straight","675","665","27830","27570"
"In post","2022","20-29","Counter Fraud","EO","LGBO","70","70","27640","27570"
"In post","2022","20-29","Counter Fraud","EO","Undeclared","40","35","28110","27570"
"In post","2022","20-29","Counter Fraud","EO","Unknown","340","340","27750","26820"
"In post","2022","20-29","Counter Fraud","G6/G7","Heterosexual / straight","40","40","55480","55210"
"In post","2022","20-29","Counter Fraud","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Heterosexual / straight","260","255","34740","33370"
"In post","2022","20-29","Counter Fraud","SEO/HEO","LGBO","30","30","36220","36150"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Counter Fraud","SEO/HEO","Unknown","155","155","35490","33370"
"In post","2022","20-29","Debt","AA/AO","Heterosexual / straight","565","545","21360","21250"
"In post","2022","20-29","Debt","AA/AO","LGBO","85","85","21400","21250"
"In post","2022","20-29","Debt","AA/AO","Undeclared","25","25","[c]","[c]"
"In post","2022","20-29","Debt","AA/AO","Unknown","435","420","21400","21250"
"In post","2022","20-29","Debt","EO","Heterosexual / straight","80","80","26690","26820"
"In post","2022","20-29","Debt","EO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Debt","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Debt","EO","Unknown","50","50","26510","26820"
"In post","2022","20-29","Debt","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Debt","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","AA/AO","Heterosexual / straight","155","155","21250","21170"
"In post","2022","20-29","Digital, Data & Technology","AA/AO","LGBO","30","30","20620","21110"
"In post","2022","20-29","Digital, Data & Technology","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","AA/AO","Unknown","50","50","21730","21250"
"In post","2022","20-29","Digital, Data & Technology","EO","Heterosexual / straight","555","550","26860","26670"
"In post","2022","20-29","Digital, Data & Technology","EO","LGBO","80","75","27010","26820"
"In post","2022","20-29","Digital, Data & Technology","EO","Undeclared","65","65","26960","26820"
"In post","2022","20-29","Digital, Data & Technology","EO","Unknown","275","270","27230","26820"
"In post","2022","20-29","Digital, Data & Technology","G6/G7","Heterosexual / straight","180","180","54420","54160"
"In post","2022","20-29","Digital, Data & Technology","G6/G7","LGBO","40","40","54720","54700"
"In post","2022","20-29","Digital, Data & Technology","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","G6/G7","Unknown","65","65","53790","54210"
"In post","2022","20-29","Digital, Data & Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","1010","1005","35270","33730"
"In post","2022","20-29","Digital, Data & Technology","SEO/HEO","LGBO","140","135","35030","33370"
"In post","2022","20-29","Digital, Data & Technology","SEO/HEO","Undeclared","125","125","34870","33370"
"In post","2022","20-29","Digital, Data & Technology","SEO/HEO","Unknown","405","405","36250","34550"
"In post","2022","20-29","Digital, Data & Technology","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","Heterosexual / straight","135","125","21640","21250"
"In post","2022","20-29","Finance","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","Unknown","110","100","21550","21250"
"In post","2022","20-29","Finance","EO","Heterosexual / straight","330","330","25580","26350"
"In post","2022","20-29","Finance","EO","LGBO","40","40","25190","25000"
"In post","2022","20-29","Finance","EO","Undeclared","45","45","25060","25000"
"In post","2022","20-29","Finance","EO","Unknown","85","85","26440","26350"
"In post","2022","20-29","Finance","G6/G7","Heterosexual / straight","135","135","55510","54110"
"In post","2022","20-29","Finance","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Finance","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Finance","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Finance","SEO/HEO","Heterosexual / straight","520","520","35320","34000"
"In post","2022","20-29","Finance","SEO/HEO","LGBO","50","50","34300","32790"
"In post","2022","20-29","Finance","SEO/HEO","Undeclared","75","75","36010","36050"
"In post","2022","20-29","Finance","SEO/HEO","Unknown","145","145","36130","36500"
"In post","2022","20-29","Finance","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","AA/AO","Heterosexual / straight","80","80","21250","21300"
"In post","2022","20-29","Grants Management","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","Grants Management","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Grants Management","AA/AO","Unknown","175","175","21260","21300"
"In post","2022","20-29","Grants Management","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","20-29","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","EO","Unknown","45","45","24800","24920"
"In post","2022","20-29","Grants Management","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Grants Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","Heterosexual / straight","195","190","21500","21170"
"In post","2022","20-29","Human Resources","AA/AO","LGBO","30","30","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Human Resources","AA/AO","Unknown","70","65","21180","21170"
"In post","2022","20-29","Human Resources","EO","Heterosexual / straight","340","335","26670","26880"
"In post","2022","20-29","Human Resources","EO","LGBO","50","50","26700","27230"
"In post","2022","20-29","Human Resources","EO","Undeclared","30","30","27180","27270"
"In post","2022","20-29","Human Resources","EO","Unknown","85","85","26110","26590"
"In post","2022","20-29","Human Resources","G6/G7","Heterosexual / straight","95","95","54950","53690"
"In post","2022","20-29","Human Resources","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Human Resources","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SEO/HEO","Heterosexual / straight","480","480","33600","33000"
"In post","2022","20-29","Human Resources","SEO/HEO","LGBO","80","80","33880","32940"
"In post","2022","20-29","Human Resources","SEO/HEO","Undeclared","50","50","34490","33810"
"In post","2022","20-29","Human Resources","SEO/HEO","Unknown","85","85","33680","33080"
"In post","2022","20-29","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","Heterosexual / straight","30","30","35180","33680"
"In post","2022","20-29","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Legal","AA/AO","Heterosexual / straight","370","370","22520","22200"
"In post","2022","20-29","Legal","AA/AO","LGBO","35","35","22260","22200"
"In post","2022","20-29","Legal","AA/AO","Undeclared","30","30","[c]","[c]"
"In post","2022","20-29","Legal","AA/AO","Unknown","45","45","23100","23770"
"In post","2022","20-29","Legal","EO","Heterosexual / straight","455","450","27340","26970"
"In post","2022","20-29","Legal","EO","LGBO","50","50","27400","26970"
"In post","2022","20-29","Legal","EO","Undeclared","35","35","28010","26960"
"In post","2022","20-29","Legal","EO","Unknown","60","60","27700","26970"
"In post","2022","20-29","Legal","G6/G7","Heterosexual / straight","165","165","51920","50500"
"In post","2022","20-29","Legal","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Legal","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Legal","G6/G7","Unknown","30","30","[c]","[c]"
"In post","2022","20-29","Legal","SEO/HEO","Heterosexual / straight","290","290","38670","40000"
"In post","2022","20-29","Legal","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2022","20-29","Legal","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Legal","SEO/HEO","Unknown","55","55","36950","37610"
"In post","2022","20-29","No function","AA/AO","Heterosexual / straight","11010","10725","23220","21300"
"In post","2022","20-29","No function","AA/AO","LGBO","1485","1455","23020","21260"
"In post","2022","20-29","No function","AA/AO","Undeclared","715","690","23210","21260"
"In post","2022","20-29","No function","AA/AO","Unknown","5615","5460","22850","21260"
"In post","2022","20-29","No function","EO","Heterosexual / straight","8125","8025","28130","27570"
"In post","2022","20-29","No function","EO","LGBO","970","960","27780","27570"
"In post","2022","20-29","No function","EO","Undeclared","620","610","28090","27570"
