"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Property","SEO/HEO","700","685","36990","36450"
"In post","2022","30-39","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","AA/AO","1030","1025","28710","26610"
"In post","2022","30-39","Security","EO","260","255","31880","28700"
"In post","2022","30-39","Security","G6/G7","155","155","58080","57400"
"In post","2022","30-39","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","SEO/HEO","595","585","37830","37000"
"In post","2022","30-39","Security","Unknown","30","30","34320","33950"
"In post","2022","30-39","Unknown","AA/AO","3220","2950","22280","21680"
"In post","2022","30-39","Unknown","EO","5195","4940","26830","26250"
"In post","2022","30-39","Unknown","G6/G7","2510","2440","59850","57680"
"In post","2022","30-39","Unknown","SCS level","95","90","79960","77060"
"In post","2022","30-39","Unknown","SEO/HEO","6020","5840","37560","37450"
"In post","2022","30-39","Unknown","Unknown","460","455","37470","34460"
"In post","2022","40-49","Analysis","AA/AO","15","10","21690","21510"
"In post","2022","40-49","Analysis","EO","120","110","26160","25350"
"In post","2022","40-49","Analysis","G6/G7","810","755","60790","58980"
"In post","2022","40-49","Analysis","SCS level","75","70","84380","79990"
"In post","2022","40-49","Analysis","SEO/HEO","650","605","37800","38070"
"In post","2022","40-49","Commercial","AA/AO","55","50","22820","21840"
"In post","2022","40-49","Commercial","EO","120","115","26890","26350"
"In post","2022","40-49","Commercial","G6/G7","765","750","61990","61420"
"In post","2022","40-49","Commercial","SCS level","130","130","108850","103000"
"In post","2022","40-49","Commercial","SEO/HEO","620","595","37640","38180"
"In post","2022","40-49","Commercial","Unknown","35","35","42770","40580"
"In post","2022","40-49","Communications","AA/AO","90","80","21680","21250"
"In post","2022","40-49","Communications","EO","560","540","26990","26820"
"In post","2022","40-49","Communications","G6/G7","420","400","58480","56110"
"In post","2022","40-49","Communications","SCS level","65","65","90750","85090"
"In post","2022","40-49","Communications","SEO/HEO","760","730","37290","36480"
"In post","2022","40-49","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Counter Fraud","AA/AO","540","465","22260","21260"
"In post","2022","40-49","Counter Fraud","EO","1440","1345","28060","27570"
"In post","2022","40-49","Counter Fraud","G6/G7","340","330","59190","55210"
"In post","2022","40-49","Counter Fraud","SCS level","20","15","78700","78170"
"In post","2022","40-49","Counter Fraud","SEO/HEO","1440","1395","36170","33680"
"In post","2022","40-49","Debt","AA/AO","945","805","21550","21260"
"In post","2022","40-49","Debt","EO","270","250","27660","27570"
"In post","2022","40-49","Debt","G6/G7","10","10","[c]","[c]"
"In post","2022","40-49","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","SEO/HEO","80","75","34500","33370"
"In post","2022","40-49","Digital, Data & Technology","AA/AO","135","130","21990","21380"
"In post","2022","40-49","Digital, Data & Technology","EO","795","765","27820","27570"
"In post","2022","40-49","Digital, Data & Technology","G6/G7","2065","2030","58300","56120"
"In post","2022","40-49","Digital, Data & Technology","SCS level","145","145","94000","90440"
"In post","2022","40-49","Digital, Data & Technology","SEO/HEO","2805","2735","38020","37930"
"In post","2022","40-49","Digital, Data & Technology","Unknown","20","20","34180","32580"
"In post","2022","40-49","Finance","AA/AO","300","260","21800","21260"
"In post","2022","40-49","Finance","EO","430","405","27180","26820"
"In post","2022","40-49","Finance","G6/G7","875","855","58620","56730"
"In post","2022","40-49","Finance","SCS level","135","130","84250","78220"
"In post","2022","40-49","Finance","SEO/HEO","1410","1360","37300","36650"
"In post","2022","40-49","Finance","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Grants Management","AA/AO","345","305","21300","21300"
"In post","2022","40-49","Grants Management","EO","185","165","25450","25190"
"In post","2022","40-49","Grants Management","G6/G7","20","20","50660","48370"
"In post","2022","40-49","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","SEO/HEO","135","125","32640","31040"
"In post","2022","40-49","Human Resources","AA/AO","300","265","21860","21380"
"In post","2022","40-49","Human Resources","EO","545","510","27430","27530"
"In post","2022","40-49","Human Resources","G6/G7","745","720","57290","55430"
"In post","2022","40-49","Human Resources","SCS level","115","115","86040","77800"
"In post","2022","40-49","Human Resources","SEO/HEO","1220","1165","36710","36360"
"In post","2022","40-49","Human Resources","Unknown","10","10","46170","46490"
"In post","2022","40-49","Internal Audit","AA/AO","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","EO","10","10","[c]","[c]"
"In post","2022","40-49","Internal Audit","G6/G7","60","55","58500","58470"
"In post","2022","40-49","Internal Audit","SCS level","10","10","[c]","[c]"
"In post","2022","40-49","Internal Audit","SEO/HEO","105","100","40860","40690"
"In post","2022","40-49","Legal","AA/AO","315","275","22830","22200"
"In post","2022","40-49","Legal","EO","405","370","28030","28430"
"In post","2022","40-49","Legal","G6/G7","1990","1815","59760","58840"
"In post","2022","40-49","Legal","SCS level","170","165","84630","80270"
"In post","2022","40-49","Legal","SEO/HEO","485","460","39730","38180"
"In post","2022","40-49","No function","AA/AO","17830","15865","23030","21260"
"In post","2022","40-49","No function","EO","16665","15435","28290","27570"
"In post","2022","40-49","No function","G6/G7","6975","6725","58720","56590"
"In post","2022","40-49","No function","SCS level","1390","1330","87200","79910"
"In post","2022","40-49","No function","SEO/HEO","12360","11880","37830","36740"
"In post","2022","40-49","No function","Unknown","4625","4260","32500","31420"
"In post","2022","40-49","Project Delivery","AA/AO","115","95","22050","21300"
"In post","2022","40-49","Project Delivery","EO","520","485","25310","26340"
"In post","2022","40-49","Project Delivery","G6/G7","2250","2195","58270","56000"
"In post","2022","40-49","Project Delivery","SCS level","220","215","87910","80330"
"In post","2022","40-49","Project Delivery","SEO/HEO","2840","2735","37140","37930"
"In post","2022","40-49","Project Delivery","Unknown","330","320","46190","43930"
"In post","2022","40-49","Property","AA/AO","325","300","21870","22010"
"In post","2022","40-49","Property","EO","340","320","26840","26820"
"In post","2022","40-49","Property","G6/G7","495","490","57700","56210"
"In post","2022","40-49","Property","SCS level","35","35","86720","82580"
"In post","2022","40-49","Property","SEO/HEO","905","880","37350","36630"
"In post","2022","40-49","Security","AA/AO","1040","1030","28950","24840"
"In post","2022","40-49","Security","EO","310","300","32550","28950"
"In post","2022","40-49","Security","G6/G7","175","170","59780","58600"
"In post","2022","40-49","Security","SCS level","35","35","87430","78810"
"In post","2022","40-49","Security","SEO/HEO","565","555","39010","37980"
"In post","2022","40-49","Security","Unknown","55","55","34810","33950"
"In post","2022","40-49","Unknown","AA/AO","3475","3180","22260","21680"
"In post","2022","40-49","Unknown","EO","5195","4895","27340","27020"
"In post","2022","40-49","Unknown","G6/G7","3400","3260","62480","61440"
"In post","2022","40-49","Unknown","SCS level","415","400","85630","80140"
"In post","2022","40-49","Unknown","SEO/HEO","6475","6230","38490","38020"
"In post","2022","40-49","Unknown","Unknown","455","450","41110","35380"
"In post","2022","50-59","Analysis","AA/AO","30","30","21500","21840"
"In post","2022","50-59","Analysis","EO","125","115","27240","26700"
"In post","2022","50-59","Analysis","G6/G7","465","450","61440","59630"
"In post","2022","50-59","Analysis","SCS level","65","65","98120","83940"
"In post","2022","50-59","Analysis","SEO/HEO","400","380","37680","37930"
"In post","2022","50-59","Commercial","AA/AO","75","70","23380","22330"
"In post","2022","50-59","Commercial","EO","155","150","27350","26670"
"In post","2022","50-59","Commercial","G6/G7","665","660","62840","61360"
"In post","2022","50-59","Commercial","SCS level","145","145","116510","114120"
"In post","2022","50-59","Commercial","SEO/HEO","655","640","38670","39360"
"In post","2022","50-59","Commercial","Unknown","35","35","49890","49510"
"In post","2022","50-59","Communications","AA/AO","125","110","21840","21690"
"In post","2022","50-59","Communications","EO","425","400","27300","26820"
"In post","2022","50-59","Communications","G6/G7","215","215","60780","60020"
"In post","2022","50-59","Communications","SCS level","40","35","94930","87260"
"In post","2022","50-59","Communications","SEO/HEO","540","525","37050","35980"
"In post","2022","50-59","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Counter Fraud","AA/AO","975","850","22350","21260"
"In post","2022","50-59","Counter Fraud","EO","2265","2115","28460","27570"
"In post","2022","50-59","Counter Fraud","G6/G7","495","485","60430","58600"
"In post","2022","50-59","Counter Fraud","SCS level","25","25","84860","79990"
"In post","2022","50-59","Counter Fraud","SEO/HEO","2055","1985","36990","35980"
"In post","2022","50-59","Debt","AA/AO","1360","1185","21880","21260"
"In post","2022","50-59","Debt","EO","395","365","28450","27570"
"In post","2022","50-59","Debt","G6/G7","30","30","62940","55210"
"In post","2022","50-59","Debt","SEO/HEO","140","135","35610","33370"
"In post","2022","50-59","Digital, Data & Technology","AA/AO","245","235","22370","21830"
"In post","2022","50-59","Digital, Data & Technology","EO","950","905","28140","27570"
"In post","2022","50-59","Digital, Data & Technology","G6/G7","1730","1700","58520","56720"
"In post","2022","50-59","Digital, Data & Technology","SCS level","115","110","92610","85000"
"In post","2022","50-59","Digital, Data & Technology","SEO/HEO","2890","2825","38020","37590"
"In post","2022","50-59","Digital, Data & Technology","Unknown","15","15","40900","39860"
"In post","2022","50-59","Finance","AA/AO","600","500","21910","21830"
"In post","2022","50-59","Finance","EO","555","525","27660","26930"
"In post","2022","50-59","Finance","G6/G7","900","890","59000","57540"
"In post","2022","50-59","Finance","SCS level","105","105","92760","87180"
"In post","2022","50-59","Finance","SEO/HEO","1635","1580","37690","36910"
"In post","2022","50-59","Finance","Unknown","15","15","71410","66900"
"In post","2022","50-59","Grants Management","AA/AO","260","235","21300","21300"
"In post","2022","50-59","Grants Management","EO","150","140","25860","26040"
"In post","2022","50-59","Grants Management","G6/G7","35","35","52720","49770"
"In post","2022","50-59","Grants Management","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Grants Management","SEO/HEO","115","110","32890","31720"
"In post","2022","50-59","Human Resources","AA/AO","460","425","21800","21830"
"In post","2022","50-59","Human Resources","EO","720","675","27800","27570"
"In post","2022","50-59","Human Resources","G6/G7","810","800","58700","56940"
"In post","2022","50-59","Human Resources","SCS level","95","95","87280","79960"
"In post","2022","50-59","Human Resources","SEO/HEO","1360","1305","37280","36620"
"In post","2022","50-59","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2022","50-59","Internal Audit","AA/AO","10","10","[c]","[c]"
"In post","2022","50-59","Internal Audit","EO","20","20","28420","28300"
"In post","2022","50-59","Internal Audit","G6/G7","100","95","60350","59310"
"In post","2022","50-59","Internal Audit","SCS level","15","15","93040","87720"
"In post","2022","50-59","Internal Audit","SEO/HEO","170","165","42280","42060"
"In post","2022","50-59","Legal","AA/AO","420","380","22930","22200"
"In post","2022","50-59","Legal","EO","590","545","28710","28430"
"In post","2022","50-59","Legal","G6/G7","1665","1550","61900","60960"
"In post","2022","50-59","Legal","SCS level","205","200","91950","84650"
"In post","2022","50-59","Legal","SEO/HEO","575","550","39010","36240"
"In post","2022","50-59","No function","AA/AO","25385","22500","23060","21260"
"In post","2022","50-59","No function","EO","23760","21945","28550","27570"
"In post","2022","50-59","No function","G6/G7","6310","6175","60640","58770"
"In post","2022","50-59","No function","SCS level","1060","1035","96040","90310"
"In post","2022","50-59","No function","SEO/HEO","14550","13980","38500","37240"
"In post","2022","50-59","No function","Unknown","4610","4305","31710","28300"
"In post","2022","50-59","Project Delivery","AA/AO","215","185","22070","21300"
"In post","2022","50-59","Project Delivery","EO","810","760","25590","26200"
"In post","2022","50-59","Project Delivery","G6/G7","2505","2465","59340","57000"
"In post","2022","50-59","Project Delivery","SCS level","270","265","95490","86780"
"In post","2022","50-59","Project Delivery","SEO/HEO","3685","3575","37720","38280"
"In post","2022","50-59","Project Delivery","Unknown","375","375","49860","46750"
"In post","2022","50-59","Property","AA/AO","575","540","21400","21810"
"In post","2022","50-59","Property","EO","600","575","27280","27000"
"In post","2022","50-59","Property","G6/G7","720","710","59330","58090"
"In post","2022","50-59","Property","SCS level","65","65","92130","82120"
"In post","2022","50-59","Property","SEO/HEO","1330","1300","38470","37340"
"In post","2022","50-59","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Security","AA/AO","1940","1910","26880","21380"
"In post","2022","50-59","Security","EO","505","495","34240","30370"
"In post","2022","50-59","Security","G6/G7","200","200","59980","57550"
"In post","2022","50-59","Security","SCS level","25","25","93300","86440"
"In post","2022","50-59","Security","SEO/HEO","905","890","40430","37660"
"In post","2022","50-59","Security","Unknown","60","55","33940","28320"
"In post","2022","50-59","Unknown","AA/AO","5740","5405","22110","21680"
"In post","2022","50-59","Unknown","EO","6600","6180","28010","27370"
"In post","2022","50-59","Unknown","G6/G7","3125","3040","63610","62170"
"In post","2022","50-59","Unknown","SCS level","405","395","93390","83280"
"In post","2022","50-59","Unknown","SEO/HEO","6680","6515","38820","38020"
"In post","2022","50-59","Unknown","Unknown","575","570","42230","37300"
"In post","2022","60-64","Analysis","AA/AO","10","10","22780","21510"
"In post","2022","60-64","Analysis","EO","40","30","26720","26230"
"In post","2022","60-64","Analysis","G6/G7","80","70","60960","55630"
"In post","2022","60-64","Analysis","SCS level","10","10","[c]","[c]"
"In post","2022","60-64","Analysis","SEO/HEO","100","85","37630","37850"
"In post","2022","60-64","Commercial","AA/AO","25","25","22980","21830"
"In post","2022","60-64","Commercial","EO","40","35","26980","26780"
"In post","2022","60-64","Commercial","G6/G7","110","100","61970","58930"
"In post","2022","60-64","Commercial","SCS level","15","15","116740","112710"
"In post","2022","60-64","Commercial","SEO/HEO","135","125","38620","39360"
"In post","2022","60-64","Commercial","Unknown","10","10","45770","43880"
"In post","2022","60-64","Communications","AA/AO","50","40","22110","22080"
"In post","2022","60-64","Communications","EO","80","70","28030","26930"
"In post","2022","60-64","Communications","G6/G7","30","30","62210","63310"
"In post","2022","60-64","Communications","SCS level","5","5","[c]","[c]"
"In post","2022","60-64","Communications","SEO/HEO","105","95","37520","36330"
"In post","2022","60-64","Counter Fraud","AA/AO","380","295","22560","22080"
"In post","2022","60-64","Counter Fraud","EO","770","570","28460","27570"
"In post","2022","60-64","Counter Fraud","G6/G7","115","95","62200","60380"
"In post","2022","60-64","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Counter Fraud","SEO/HEO","415","325","37170","35980"
"In post","2022","60-64","Debt","AA/AO","525","410","22090","21260"
"In post","2022","60-64","Debt","EO","150","110","28580","27570"
