"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Department for Transport (excl. agencies)","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","AO","65","65","21440","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","EO","25","25","27710","27570"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","AO","30","30","21510","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Other","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","AO","10","10","21260","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","AA","55","45","18310","18310"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","AO","15","15","21840","21840"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Property","Unknown","15","15","19130","16630"
"In post","2022","16-19","FCDO Services","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","AA","10","10","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","AO","15","15","21520","20970"
"In post","2022","16-19","HM Courts and Tribunals Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Digital, Data and Technology","AA","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","AA","55","55","20890","20890"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","AO","105","105","24630","23140"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Security","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Finance","AO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","AO","105","100","21330","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","AO","60","55","21250","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","EO","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","AO","10","10","22470","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Economics","EO","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","AO","30","30","21800","21680"
"In post","2022","16-19","Home Office","Operational Delivery","EO","15","15","25770","24880"
"In post","2022","16-19","Home Office","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Other","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Property","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Other","Unknown","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","Operational Delivery","AO","10","10","20720","21300"
"In post","2022","16-19","Rural Payments Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Unknown","AA","25","20","21430","21050"
"In post","2022","16-19","Scottish Government (excl. agencies)","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Unknown","AA","15","15","21110","21050"
"In post","2022","16-19","Social Security Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Science and Engineering","Unknown","15","15","18160","17140"
"In post","2022","16-19","The Insolvency Service","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Operational Delivery","AA","10","5","21050","22350"
"In post","2022","16-19","UK Health Security Agency","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Economics","EO","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Operational Delivery","AA","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Property","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Property","EO","10","10","25900","26030"
"In post","2022","16-19","Vehicle Certification Agency","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Unknown","AA","5","5","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","45","45","24180","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","HEO","15","15","31680","30950"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Operational Delivery","AO","165","160","21800","21300"
"In post","2022","20-29","Animal and Plant Health Agency","Operational Delivery","EO","160","160","25580","24920"
"In post","2022","20-29","Animal and Plant Health Agency","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Operational Delivery","HEO","50","50","30430","29180"
"In post","2022","20-29","Animal and Plant Health Agency","Operational Delivery","SEO","15","15","36730","35900"
"In post","2022","20-29","Animal and Plant Health Agency","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Science and Engineering","AO","60","60","23780","24370"
"In post","2022","20-29","Animal and Plant Health Agency","Science and Engineering","EO","45","45","27590","27960"
"In post","2022","20-29","Animal and Plant Health Agency","Science and Engineering","HEO","20","20","32690","32560"
"In post","2022","20-29","Animal and Plant Health Agency","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Veterinarian","AO","5","5","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Veterinarian","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Legal","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","AO","140","140","21890","21050"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","EO","425","420","26590","27500"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","G6","50","50","65930","64500"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","G7","415","415","55330","54700"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","HEO","2030","2025","30710","29250"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","SEO","290","290","40140","40600"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","EO","10","10","25220","25240"
