"Status","Year","Function_of_post","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Human Resources","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","G7","15","15","56770","56360"
"In post","2022","Analysis","Intelligence Analysis","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","SEO","10","10","44810","43880"
"In post","2022","Analysis","Intelligence Analysis","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Outside London","HEO","35","35","30160","30350"
"In post","2022","Analysis","Intelligence Analysis","Outside London","SEO","20","20","40580","40740"
"In post","2022","Analysis","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","London","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Medicine","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","EO","40","40","29320","28310"
"In post","2022","Analysis","Operational Delivery","London","G6","15","15","72830","68190"
"In post","2022","Analysis","Operational Delivery","London","G7","35","30","56580","54270"
"In post","2022","Analysis","Operational Delivery","London","HEO","35","35","35550","34260"
"In post","2022","Analysis","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","SEO","35","35","43470","42240"
"In post","2022","Analysis","Operational Delivery","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Outside London","AO","25","25","20280","20350"
"In post","2022","Analysis","Operational Delivery","Outside London","EO","195","175","24940","24570"
"In post","2022","Analysis","Operational Delivery","Outside London","G6","10","10","66510","65580"
"In post","2022","Analysis","Operational Delivery","Outside London","G7","70","70","51460","50210"
"In post","2022","Analysis","Operational Delivery","Outside London","HEO","200","195","30860","30210"
"In post","2022","Analysis","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Outside London","SEO","175","170","37660","36840"
"In post","2022","Analysis","Operational Research","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","London","EO","10","10","28920","28950"
"In post","2022","Analysis","Operational Research","London","G6","30","30","72130","73230"
"In post","2022","Analysis","Operational Research","London","G7","85","80","60280","60280"
"In post","2022","Analysis","Operational Research","London","HEO","65","65","35430","35100"
"In post","2022","Analysis","Operational Research","London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","London","SEO","55","50","45880","46420"
"In post","2022","Analysis","Operational Research","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Outside London","AO","25","20","21730","21840"
"In post","2022","Analysis","Operational Research","Outside London","EO","20","20","25980","26130"
"In post","2022","Analysis","Operational Research","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","Outside London","G7","170","160","50930","47660"
"In post","2022","Analysis","Operational Research","Outside London","HEO","115","115","31870","31380"
"In post","2022","Analysis","Operational Research","Outside London","SEO","115","110","39680","38700"
"In post","2022","Analysis","Operational Research","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Other","London","EO","45","45","28640","28230"
"In post","2022","Analysis","Other","London","G6","105","90","89520","82360"
"In post","2022","Analysis","Other","London","G7","65","60","56190","55670"
"In post","2022","Analysis","Other","London","HEO","65","65","36240","35680"
"In post","2022","Analysis","Other","London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Other","London","SEO","40","40","44260","42680"
"In post","2022","Analysis","Other","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Other","Outside London","G6","10","10","84470","78140"
"In post","2022","Analysis","Other","Outside London","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Other","Outside London","HEO","10","10","32570","32220"
"In post","2022","Analysis","Other","Outside London","SEO","10","10","39290","38500"
"In post","2022","Analysis","Policy","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","London","EO","20","20","29560","30010"
"In post","2022","Analysis","Policy","London","G6","55","55","68430","66230"
"In post","2022","Analysis","Policy","London","G7","140","135","55560","53680"
"In post","2022","Analysis","Policy","London","HEO","65","60","36760","36650"
"In post","2022","Analysis","Policy","London","SCS level","15","15","87010","78490"
"In post","2022","Analysis","Policy","London","SEO","55","50","43130","42440"
"In post","2022","Analysis","Policy","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Outside London","EO","25","25","27190","27570"
"In post","2022","Analysis","Policy","Outside London","G6","25","25","65840","66370"
"In post","2022","Analysis","Policy","Outside London","G7","65","55","52160","52150"
"In post","2022","Analysis","Policy","Outside London","HEO","40","40","32170","31990"
"In post","2022","Analysis","Policy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","Outside London","SEO","60","55","39580","40010"
"In post","2022","Analysis","Policy","Unknown","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Project Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Psychology","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","London","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","London","G7","15","15","58470","57990"
"In post","2022","Analysis","Science and Engineering","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","London","SEO","10","10","40690","40450"
"In post","2022","Analysis","Science and Engineering","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Outside London","AO","35","35","21360","21510"
"In post","2022","Analysis","Science and Engineering","Outside London","EO","105","100","25290","25010"
"In post","2022","Analysis","Science and Engineering","Outside London","G6","25","25","62910","60250"
"In post","2022","Analysis","Science and Engineering","Outside London","G7","115","110","49980","48080"
"In post","2022","Analysis","Science and Engineering","Outside London","HEO","195","190","30030","29750"
"In post","2022","Analysis","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Outside London","SEO","175","165","38070","37960"
"In post","2022","Analysis","Security","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Social Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","London","G6","30","25","69140","68540"
"In post","2022","Analysis","Social Research","London","G7","105","105","57820","58600"
"In post","2022","Analysis","Social Research","London","HEO","135","135","34990","34650"
"In post","2022","Analysis","Social Research","London","SCS level","10","10","79200","79130"
"In post","2022","Analysis","Social Research","London","SEO","85","85","42720","42460"
"In post","2022","Analysis","Social Research","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Social Research","Outside London","G6","25","25","62590","59740"
"In post","2022","Analysis","Social Research","Outside London","G7","135","125","51960","51210"
"In post","2022","Analysis","Social Research","Outside London","HEO","290","280","31270","30710"
"In post","2022","Analysis","Social Research","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Social Research","Outside London","SEO","245","230","38820","38340"
"In post","2022","Analysis","Statistics","London","AO","10","10","24190","24120"
"In post","2022","Analysis","Statistics","London","EO","80","80","29460","29970"
"In post","2022","Analysis","Statistics","London","G6","70","70","69580","68790"
"In post","2022","Analysis","Statistics","London","G7","240","230","58250","58990"
"In post","2022","Analysis","Statistics","London","HEO","210","205","36150","36650"
"In post","2022","Analysis","Statistics","London","SCS level","25","25","88270","81560"
"In post","2022","Analysis","Statistics","London","SEO","200","195","43400","42980"
"In post","2022","Analysis","Statistics","Outside London","AO","15","15","21560","21170"
"In post","2022","Analysis","Statistics","Outside London","EO","115","115","26490","26370"
"In post","2022","Analysis","Statistics","Outside London","G6","75","75","64300","65620"
"In post","2022","Analysis","Statistics","Outside London","G7","275","260","53210","52150"
"In post","2022","Analysis","Statistics","Outside London","HEO","365","355","32390","32010"
"In post","2022","Analysis","Statistics","Outside London","SCS level","25","25","82110","74500"
"In post","2022","Analysis","Statistics","Outside London","SEO","345","335","39260","38650"
"In post","2022","Analysis","Statistics","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Statistics","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Statistics","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","London","AO","15","10","25110","25110"
"In post","2022","Analysis","Unknown","London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","London","G7","25","25","59800","61090"
"In post","2022","Analysis","Unknown","London","HEO","15","15","36500","37610"
"In post","2022","Analysis","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","London","SEO","10","10","43230","43810"
"In post","2022","Analysis","Unknown","Outside London","AO","30","30","21390","21260"
"In post","2022","Analysis","Unknown","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","Outside London","G7","15","15","54760","55210"
"In post","2022","Analysis","Unknown","Outside London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Outside London","SEO","15","10","39460","40180"
"In post","2022","Analysis","Unknown","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Commercial","London","AO","40","35","22640","22950"
"In post","2022","Commercial","Commercial","London","EO","65","65","28370","27860"
"In post","2022","Commercial","Commercial","London","G6","80","80","68560","66300"
"In post","2022","Commercial","Commercial","London","G7","170","165","54360","53360"
"In post","2022","Commercial","Commercial","London","HEO","120","115","34440","34640"
"In post","2022","Commercial","Commercial","London","SCS level","40","40","81170","75930"
"In post","2022","Commercial","Commercial","London","SEO","215","210","42360","41750"
"In post","2022","Commercial","Commercial","Outside London","AA","30","30","22410","21640"
"In post","2022","Commercial","Commercial","Outside London","AO","155","145","22700","21840"
"In post","2022","Commercial","Commercial","Outside London","EO","545","520","26430","26350"
"In post","2022","Commercial","Commercial","Outside London","G6","150","150","65330","64690"
"In post","2022","Commercial","Commercial","Outside London","G7","375","360","51310","50450"
"In post","2022","Commercial","Commercial","Outside London","HEO","810","785","32500","33000"
"In post","2022","Commercial","Commercial","Outside London","SCS level","30","30","89950","79330"
"In post","2022","Commercial","Commercial","Outside London","SEO","1035","1000","39900","40000"
"In post","2022","Commercial","Commercial","Outside London","Unknown","165","165","40030","37400"
"In post","2022","Commercial","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Commercial","Overseas","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Commercial","Overseas","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Commercial","Overseas","HEO","10","10","36720","34800"
"In post","2022","Commercial","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Commercial","Overseas","SEO","10","10","47550","50290"
"In post","2022","Commercial","Commercial","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","London","HEO","10","10","[c]","[c]"
"In post","2022","Commercial","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","London","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Finance","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","Outside London","HEO","10","10","29900","30450"
"In post","2022","Commercial","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","Outside London","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","International Trade","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Knowledge and Information Management","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Knowledge and Information Management","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Operational Delivery","London","EO","20","20","29640","29000"
"In post","2022","Commercial","Operational Delivery","London","G6","15","15","78530","79630"
"In post","2022","Commercial","Operational Delivery","London","G7","60","60","61120","60380"
"In post","2022","Commercial","Operational Delivery","London","HEO","45","45","34010","33350"
"In post","2022","Commercial","Operational Delivery","London","SCS level","10","10","124090","115350"
"In post","2022","Commercial","Operational Delivery","London","SEO","60","60","46220","44080"
"In post","2022","Commercial","Operational Delivery","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Operational Delivery","Outside London","AO","50","45","22410","21300"
"In post","2022","Commercial","Operational Delivery","Outside London","EO","45","40","26620","26130"
"In post","2022","Commercial","Operational Delivery","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Operational Delivery","Outside London","G7","15","15","53470","54340"
"In post","2022","Commercial","Operational Delivery","Outside London","HEO","20","20","32260","33080"
"In post","2022","Commercial","Operational Delivery","Outside London","SEO","50","50","39270","39540"
"In post","2022","Commercial","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Other","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Other","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Other","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Other","Outside London","EO","15","10","22990","22000"
"In post","2022","Commercial","Other","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Other","Outside London","G7","20","20","50020","49540"
"In post","2022","Commercial","Other","Outside London","HEO","15","15","29040","29470"
"In post","2022","Commercial","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Other","Outside London","SEO","25","25","38970","39610"
"In post","2022","Commercial","Policy","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Policy","London","G7","10","10","56540","57020"
"In post","2022","Commercial","Policy","London","HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Policy","London","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Policy","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Policy","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Policy","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Policy","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Project Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Project Delivery","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Project Delivery","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Project Delivery","London","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Project Delivery","Outside London","G6","10","10","66820","68810"
"In post","2022","Commercial","Project Delivery","Outside London","G7","20","20","51710","54090"
"In post","2022","Commercial","Project Delivery","Outside London","HEO","15","15","30240","31000"
"In post","2022","Commercial","Project Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Project Delivery","Outside London","SEO","35","30","39430","39100"
"In post","2022","Commercial","Property","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Property","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Property","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","Outside London","AO","5","5","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","Outside London","G7","25","25","53520","53450"
"In post","2022","Commercial","Science and Engineering","Outside London","HEO","30","30","32480","31950"
"In post","2022","Commercial","Science and Engineering","Outside London","SEO","50","50","41450","42010"
