"Status","Year","Disability","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Welsh Government","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Welsh Government","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Welsh Government","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cabinet Office","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Chancellor's other departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
